<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
AAM,20090924,45.6000,45.6000,45.6000,45.6000,5380
AAM,20090925,47.8000,47.8000,47.8000,47.8000,12090
AAM,20090928,50.0000,50.0000,50.0000,50.0000,9150
AAM,20090929,52.5000,52.5000,52.5000,52.5000,11530
AAM,20090930,55.0000,55.0000,55.0000,55.0000,29680
AAM,20091001,57.5000,57.5000,57.5000,57.5000,122120
AAM,20091002,60.0000,60.0000,59.5000,60.0000,501150
AAM,20091005,63.0000,63.0000,63.0000,63.0000,157030
AAM,20091006,65.0000,65.0000,62.5000,63.0000,257710
AAM,20091007,60.0000,62.0000,60.0000,60.5000,301400
AAM,20091008,61.0000,62.0000,59.5000,62.0000,160400
AAM,20091009,64.0000,65.0000,63.5000,65.0000,325400
AAM,20091012,68.0000,68.0000,67.0000,68.0000,715800
AAM,20091013,66.5000,68.0000,65.5000,65.5000,189110
AAM,20091014,66.5000,68.5000,65.5000,67.5000,274300
AAM,20091015,69.5000,69.5000,67.0000,68.0000,238120
AAM,20091016,67.0000,68.0000,66.5000,66.5000,289690
AAM,20091019,65.0000,68.0000,65.0000,68.0000,263230
AAM,20091020,69.5000,71.0000,69.0000,70.0000,352230
AAM,20091021,70.0000,70.0000,69.0000,69.5000,177890
AAM,20091022,69.5000,70.0000,69.0000,69.5000,331220
AAM,20091023,72.5000,72.5000,67.5000,67.5000,398230
AAM,20091026,68.5000,69.0000,66.0000,67.0000,297030
AAM,20091027,65.0000,66.0000,64.5000,65.0000,223410
AAM,20091028,65.0000,67.0000,63.5000,66.5000,300800
AAM,20091029,63.5000,65.5000,63.5000,65.0000,234480
AAM,20091030,66.0000,66.0000,63.0000,63.5000,192520
AAM,20091102,60.5000,63.5000,60.5000,62.0000,262530
AAM,20091103,12.8074,13.6711,12.5393,12.5393,135010
AAM,20091104,12.2117,13.1052,12.2117,12.3606,125350
AAM,20091105,12.8074,12.8074,12.3904,12.5393,130670
AAM,20091106,12.9861,12.9861,12.2415,12.2415,83820
AAM,20091109,12.2117,12.2117,11.6458,11.6458,185240
AAM,20091110,11.4075,12.0628,11.3479,11.3479,56290
AAM,20091111,11.3181,11.9138,11.3181,11.9138,85170
AAM,20091112,11.9138,12.4500,11.9138,12.3606,94630
AAM,20091113,11.9138,12.5691,11.8245,12.4500,98430
AAM,20091116,12.2117,12.5095,12.0925,12.0925,44630
AAM,20091117,12.2117,12.2117,11.7649,11.7649,48810
AAM,20091118,11.7649,11.7649,11.6160,11.6458,23580
AAM,20091119,11.9734,12.2117,11.6756,11.9138,189960
AAM,20091120,12.0032,12.0330,11.8543,11.8543,83200
AAM,20091123,11.3181,11.8245,11.2884,11.3181,188310
AAM,20091124,11.3777,11.4671,11.2884,11.3181,40720
AAM,20091125,10.9905,11.0203,10.7522,10.7522,64490
AAM,20091126,10.2161,10.2161,10.2161,10.2161,27900
AAM,20091127,9.7098,10.7225,9.7098,10.2757,100780
AAM,20091130,10.0374,10.5735,10.0374,10.0374,23100
AAM,20091201,10.1268,10.5140,10.1268,10.4246,93080
AAM,20091202,10.4246,10.4246,9.9183,9.9183,35310
AAM,20091203,9.5906,10.1268,9.5906,9.9183,35560
AAM,20091204,10.0970,10.0970,9.8885,9.9778,37360
AAM,20091207,10.1268,10.1268,9.8289,9.9778,24130
AAM,20091208,10.0970,10.0970,9.7396,9.9481,27280
AAM,20091209,9.5013,9.9481,9.4715,9.4715,33690
AAM,20091210,9.0545,9.7991,9.0247,9.0247,117480
AAM,20091211,9.0247,9.0545,8.5780,8.5780,80730
AAM,20091214,8.3397,8.9949,8.3397,8.9949,43990
AAM,20091215,8.9949,8.9949,8.7865,8.9354,13840
AAM,20091216,8.7865,8.9056,8.4886,8.5780,52390
AAM,20091217,8.3099,8.5780,8.1908,8.5780,19590
AAM,20091218,8.6375,8.9949,8.6375,8.9949,66970
AAM,20091221,9.3821,9.3821,9.2332,9.3821,48480
AAM,20091222,9.1737,9.3821,8.9949,9.2332,98320
AAM,20091223,9.0247,9.1737,8.7865,8.9354,56690
AAM,20091224,8.6673,9.0247,8.6673,8.9949,143490
AAM,20091225,9.0843,9.4417,9.0843,9.4417,280640
AAM,20091228,9.4417,9.8289,9.3226,9.5311,222740
AAM,20091229,9.5311,9.6800,9.3524,9.5311,77950
AAM,20091230,9.5906,10.0076,9.5013,10.0076,181150
AAM,20091231,10.3650,10.3650,9.5311,9.5609,152230
AAM,20100104,9.8289,10.0374,9.8289,10.0374,161260
AAM,20100105,10.5140,10.5140,9.8289,10.2757,197140
AAM,20100106,10.0076,10.3650,9.9183,10.1268,114920
AAM,20100107,10.3948,10.6331,10.3948,10.6331,292740
AAM,20100108,11.1394,11.1394,10.6331,10.6331,587420
AAM,20100111,10.6331,10.7522,10.4246,10.5735,184670
AAM,20100112,10.5735,10.6331,10.1268,10.1268,131620
AAM,20100113,10.1268,10.2757,9.6204,10.1268,231820
AAM,20100114,10.1268,10.3353,9.8289,10.2161,71960
AAM,20100115,10.3650,10.3650,9.9481,10.2757,187690
AAM,20100118,10.1863,10.1863,9.7693,9.7693,135250
AAM,20100119,9.6204,10.2161,9.6204,10.0970,78080
AAM,20100120,9.8289,10.1268,9.8289,9.8587,41500
AAM,20100121,9.5906,9.8587,9.5906,9.6204,119630
AAM,20100122,9.3821,9.7693,9.3821,9.6204,50420
AAM,20100125,9.6204,9.8289,9.5311,9.7098,19960
AAM,20100126,10.0970,10.0970,9.9778,10.0970,132960
AAM,20100127,10.0970,10.0970,9.7693,10.0672,80350
AAM,20100128,10.0672,10.0672,9.6800,9.9481,54510
AAM,20100129,10.0076,10.0076,9.5906,9.6800,11760
AAM,20100201,10.0076,10.0076,9.7693,9.8289,43470
AAM,20100202,9.8289,9.9778,9.8289,9.9778,58440
AAM,20100203,9.8587,9.9778,9.8289,9.9778,36080
AAM,20100204,10.0672,10.0672,9.8289,10.0076,28130
AAM,20100205,9.8587,9.8587,9.5906,9.5906,69600
AAM,20100208,9.5906,9.8289,9.5906,9.8289,27300
AAM,20100209,9.8289,9.8289,9.5609,9.5609,27190
AAM,20100210,9.8289,9.9481,9.6800,9.7991,23250
AAM,20100211,9.7991,9.8289,9.7991,9.8289,26120
AAM,20100212,9.8289,10.0672,9.7991,9.8587,78490
AAM,20100222,10.1565,10.1565,9.8587,9.9778,28190
AAM,20100223,9.5609,9.8587,9.5609,9.6800,16340
AAM,20100224,9.9481,9.9481,9.6502,9.6800,4660
AAM,20100225,9.9778,9.9778,9.6502,9.7098,5280
AAM,20100226,9.5906,9.7098,9.5906,9.7098,7210
AAM,20100301,9.7693,9.8289,9.7098,9.7693,11760
AAM,20100302,9.8885,9.8885,9.6800,9.7991,18320
AAM,20100303,9.8885,9.8885,9.6502,9.8885,35390
AAM,20100304,9.9778,9.9778,9.8289,9.8885,80200
AAM,20100305,9.7693,9.9183,9.7693,9.8885,34200
AAM,20100308,9.8885,10.2757,9.8885,10.2757,144360
