<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
AAV,20180625,15.8000,15.8000,15.8000,15.8000,362000
AAV,20180626,17.3000,17.3000,16.0000,17.3000,800200
AAV,20180627,19.0000,19.0000,16.5000,16.5000,532700
AAV,20180628,16.5000,16.8000,16.5000,16.6000,210300
AAV,20180629,16.6000,16.8000,16.5000,16.7000,108100
AAV,20180702,16.7000,16.8000,16.1000,16.7000,129000
AAV,20180703,16.6000,16.8000,16.5000,16.6000,98800
AAV,20180704,16.6000,16.7000,16.5000,16.5000,80500
AAV,20180705,16.5000,16.7000,16.4000,16.5000,144700
AAV,20180706,16.5000,16.8000,16.4000,16.7000,232100
AAV,20180709,16.7000,16.9000,16.5000,16.7000,248300
AAV,20180710,16.7000,16.8000,16.5000,16.6000,151100
AAV,20180711,16.6000,16.7000,16.3000,16.6000,82500
AAV,20180712,16.6000,18.2000,16.5000,18.2000,518100
AAV,20180713,18.2000,20.0000,18.2000,20.0000,482500
AAV,20180716,20.0000,22.0000,20.0000,22.0000,479500
AAV,20180717,22.1000,22.2000,21.5000,22.1000,103000
AAV,20180718,22.1000,22.6000,21.6000,22.6000,79800
AAV,20180719,22.7000,22.8000,22.4000,22.7000,64300
AAV,20180720,22.7000,22.7000,22.0000,22.2000,62800
AAV,20180723,22.3000,22.6000,22.0000,22.4000,61600
AAV,20180724,22.5000,22.5000,21.4000,21.4000,58400
AAV,20180725,21.5000,21.6000,21.0000,21.0000,68600
AAV,20180726,20.9000,21.2000,20.6000,21.1000,64000
AAV,20180727,21.0000,21.6000,21.0000,21.4000,67100
AAV,20180730,21.5000,21.6000,21.3000,21.3000,42100
AAV,20180731,21.4000,21.8000,21.3000,21.6000,50300
AAV,20180801,21.7000,21.9000,21.0000,21.0000,62700
AAV,20180802,21.1000,21.5000,20.4000,20.9000,140600
AAV,20180803,21.0000,22.0000,20.8000,21.9000,150400
AAV,20180806,21.5000,22.6000,20.7000,22.4000,176800
AAV,20180807,22.3000,22.7000,21.5000,22.6000,118000
AAV,20180808,22.6000,22.8000,22.0000,22.2000,98900
AAV,20180809,22.1000,24.4000,21.6000,24.4000,443400
AAV,20180810,26.4000,26.8000,26.4000,26.8000,216700
AAV,20180813,29.0000,29.4000,29.0000,29.4000,161900
AAV,20180814,29.9000,30.5000,26.5000,29.4000,397900
AAV,20180815,29.4000,32.3000,26.7000,32.3000,658500
AAV,20180816,33.0000,34.1000,29.1000,31.2000,777300
AAV,20180817,31.2000,32.0000,28.1000,30.2000,577000
