<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
ABI,20090717,7.6555,7.6555,5.0157,6.3356,1040
ABI,20090720,6.3092,6.3092,6.3092,6.3092,0
ABI,20090721,5.7020,5.7020,5.7020,5.7020,2000
ABI,20090722,5.7020,5.7020,5.7020,5.7020,0
ABI,20090723,6.2564,6.2564,5.2796,6.2564,60
ABI,20090724,6.5204,6.5204,6.5204,6.5204,110
ABI,20090727,7.1540,7.1540,5.8868,5.8868,5050
ABI,20090728,7.2859,7.2859,7.2859,7.2859,10
ABI,20090729,7.9987,7.9987,6.5995,7.9987,820
ABI,20090730,8.0251,8.0251,8.0251,8.0251,10
ABI,20090731,8.8171,8.8171,7.2331,7.2331,220
ABI,20090803,8.5530,8.5530,7.0219,8.5530,40
ABI,20090804,8.5530,8.5530,8.5530,8.5530,10
ABI,20090805,9.3977,9.3978,9.3977,9.3978,10
ABI,20090806,9.3978,9.3978,9.3978,9.3978,0
ABI,20090807,10.3217,10.3217,10.3217,10.3217,10
ABI,20090810,11.3512,11.3513,11.3512,11.3513,10
ABI,20090811,12.4864,12.4864,12.4864,12.4864,0
ABI,20090812,12.4864,12.4864,12.4864,12.4864,0
ABI,20090813,13.7271,13.7271,13.7271,13.7271,10
ABI,20090814,13.7271,13.7271,13.7271,13.7271,0
ABI,20090817,15.0998,15.0998,12.3544,12.3544,5010
ABI,20090818,11.1401,11.1401,11.1401,11.1401,1010
ABI,20090819,10.0314,10.0314,10.0313,10.0313,300
ABI,20090820,9.0282,9.0282,9.0282,9.0282,300
ABI,20090821,8.1307,8.1307,8.1307,8.1307,100
ABI,20090824,7.3387,7.3387,7.3387,7.3387,150
ABI,20090825,6.6259,6.6260,6.6259,6.6260,100
ABI,20090826,5.9660,5.9660,5.9660,5.9660,1420
ABI,20090827,5.3852,5.9660,5.3852,5.5436,3520
ABI,20090828,4.9892,5.4116,4.9892,4.9893,27460
ABI,20090831,4.5405,5.0157,4.5405,4.5405,162842
ABI,20090901,4.5405,4.5669,4.2237,4.5405,61420
