<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
ABS,20200318,9.2459,9.2459,9.2459,9.2459,9690
ABS,20200319,9.8885,9.8885,9.8885,9.8885,12840
ABS,20200320,10.5668,10.5668,10.5667,10.5667,10080
ABS,20200323,11.2807,11.2807,11.2807,11.2807,8110
ABS,20200324,12.0661,12.0661,12.0661,12.0661,210860
ABS,20200325,12.8872,12.8872,12.8871,12.8871,124850
ABS,20200326,13.7796,13.7796,13.7082,13.7796,198820
ABS,20200327,14.7435,14.7435,14.7435,14.7435,91940
ABS,20200330,15.7431,15.7431,15.7430,15.7430,96540
ABS,20200331,16.8140,16.8140,16.7426,16.8140,211060
ABS,20200401,17.9564,17.9564,17.9563,17.9563,99250
ABS,20200403,19.2057,19.2058,19.2057,19.2058,108670
ABS,20200406,20.5266,20.5266,20.5266,20.5266,98590
ABS,20200407,21.9545,21.9545,21.9545,21.9545,67880
ABS,20200408,23.4895,23.4896,23.4895,23.4896,89030
ABS,20200409,25.1317,25.1317,25.1317,25.1317,65630
ABS,20200410,26.8809,26.8809,23.3825,23.3825,311640
ABS,20200413,21.8475,21.8475,21.7761,21.7761,23580
ABS,20200414,20.2768,20.2768,20.2767,20.2767,2390
ABS,20200415,18.8845,18.8845,18.8845,18.8845,2760
ABS,20200416,17.5637,17.5637,17.5636,17.5636,1810
ABS,20200417,17.5636,17.5636,16.3499,16.3499,5300
ABS,20200420,15.2075,15.2075,15.2075,15.2075,2090
ABS,20200421,14.1722,14.1723,14.1722,14.1723,480
ABS,20200422,13.2084,13.2084,13.2084,13.2084,5910
ABS,20200423,12.3159,12.3160,12.3159,12.3160,5730
ABS,20200424,13.1728,13.1728,11.4592,13.1727,493220
ABS,20200427,14.0652,14.0652,12.9228,13.7082,349260
ABS,20200428,13.2084,13.5654,12.7800,12.7800,185300
ABS,20200429,11.8875,11.8876,11.8875,11.8876,141340
ABS,20200504,11.0665,11.0665,11.0665,11.0665,50130
ABS,20200505,10.3168,11.4235,10.3168,10.6381,347130
ABS,20200506,10.3168,11.3521,10.3168,11.3521,150420
ABS,20200507,11.4235,11.4235,10.7095,10.9237,109900
ABS,20200508,10.7095,10.9237,10.3525,10.9237,299560
ABS,20200511,10.6381,11.0665,10.3525,10.6381,230270
ABS,20200512,10.8880,11.0308,10.7095,11.0308,158790
ABS,20200513,10.8523,11.0308,10.4953,10.7095,169550
ABS,20200514,10.4953,10.7095,10.2811,10.3882,203350
ABS,20200515,10.3882,10.7095,10.2811,10.4953,254320
ABS,20200518,10.3525,10.5667,10.1383,10.2812,130190
ABS,20200519,10.2812,10.4954,10.2455,10.3525,227310
ABS,20200520,10.3525,10.4239,9.8884,9.8885,227880
ABS,20200521,9.8528,10.0670,9.8528,9.9956,222900
ABS,20200522,9.9956,10.1384,9.8171,10.1384,227050
ABS,20200525,9.9242,10.2098,9.9242,10.1384,156330
ABS,20200526,10.1384,10.1741,9.8885,10.1741,158340
ABS,20200527,10.1741,10.1741,9.8528,9.8885,111050
ABS,20200528,9.8885,9.9599,9.6386,9.9242,103110
ABS,20200529,9.9956,9.9956,9.7100,9.9956,113420
ABS,20200601,9.9956,10.0313,9.8171,10.0313,234490
ABS,20200602,10.0313,10.1741,9.8528,10.0670,100240
ABS,20200603,10.1384,10.1384,9.9956,10.1384,136950
ABS,20200604,10.1384,10.3526,9.9599,10.2098,142300
ABS,20200605,10.0313,10.2455,9.9956,10.2455,128550
ABS,20200608,10.2812,10.2812,10.0313,10.2812,160820
ABS,20200609,10.2812,10.3169,10.0670,10.3169,138840
ABS,20200610,10.3169,10.3906,9.9484,10.3164,275930
ABS,20200611,10.3164,10.3164,9.8357,9.8357,164310
ABS,20200612,9.8357,9.8357,9.1701,9.1702,230700
ABS,20200615,8.9853,8.9853,8.5416,8.5416,253110
ABS,20200616,8.0609,8.5416,7.9870,8.5046,257220
ABS,20200617,8.4306,8.5786,8.0609,8.5416,194510
ABS,20200618,8.4307,8.5786,8.0979,8.4306,157970
ABS,20200619,8.3566,8.5046,8.1348,8.5046,229110
ABS,20200622,8.4306,8.6155,8.2458,8.6155,256190
ABS,20200623,8.4306,9.2071,8.4306,9.2071,267450
ABS,20200624,9.8357,9.8357,9.3920,9.8357,154300
ABS,20200625,10.5013,10.5013,9.8357,10.2795,506250
ABS,20200626,9.9837,10.2795,9.5769,9.5769,178470
ABS,20200629,8.9483,9.2441,8.9113,8.9113,91770
