<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
ABT,20061225,9.9183,9.9183,9.9183,9.9183,9000
ABT,20061226,10.4142,10.4143,10.4142,10.4143,6000
ABT,20061227,10.9102,10.9102,10.9102,10.9102,1000
ABT,20061228,11.3510,11.3510,11.3510,11.3510,3800
ABT,20061229,11.9020,11.9020,11.5714,11.9020,51250
ABT,20070102,12.4530,12.4530,12.4530,12.4530,42030
ABT,20070103,13.0040,13.0040,12.7836,12.7836,111590
ABT,20070104,13.3346,13.3347,13.0040,13.3347,42780
ABT,20070105,13.3347,13.3347,13.0041,13.0041,25380
ABT,20070108,13.5551,13.5551,13.5551,13.5551,104230
ABT,20070109,14.1061,14.2163,13.9959,14.2163,30180
ABT,20070110,14.7673,14.8775,14.3265,14.3265,29720
ABT,20070111,14.3265,14.3265,14.1061,14.3265,17810
ABT,20070112,14.3265,14.6571,14.1061,14.6571,11170
ABT,20070115,15.3183,15.3183,15.0979,15.3183,25350
ABT,20070116,15.9795,15.9796,15.9795,15.9796,71080
ABT,20070117,16.7510,16.7510,15.2081,15.2081,56860
ABT,20070118,15.2081,15.4285,15.2081,15.4285,33560
ABT,20070119,15.8693,16.2000,15.8693,16.2000,23860
ABT,20070122,15.4286,15.4286,15.4285,15.4285,9140
ABT,20070123,14.8775,14.8775,14.6571,14.6571,22580
ABT,20070124,14.6571,14.6571,14.3265,14.3265,18640
ABT,20070125,13.9959,13.9959,13.6653,13.6653,6470
ABT,20070126,14.3265,14.3265,14.3265,14.3265,6670
ABT,20070129,14.9877,14.9877,14.1061,14.9877,12430
ABT,20070130,15.6489,15.6489,15.6489,15.6489,4230
ABT,20070131,15.9795,15.9795,15.2081,15.2081,28990
ABT,20070201,15.8693,15.8693,15.4285,15.4285,36750
ABT,20070202,15.4285,15.4285,15.4285,15.4285,21200
ABT,20070205,15.4285,15.4285,14.6571,15.4285,18120
ABT,20070206,15.4285,15.6489,15.0979,15.4285,16400
ABT,20070207,15.2081,15.2081,14.9877,15.2081,24170
ABT,20070208,14.5469,15.3183,14.5469,14.5469,17810
ABT,20070209,14.4367,14.5469,14.3265,14.4367,16100
ABT,20070212,14.8775,15.0979,14.8775,15.0979,34050
ABT,20070213,15.3183,15.4285,15.3183,15.3183,24030
ABT,20070214,15.3183,15.3183,14.6571,15.3183,27690
ABT,20070215,15.7591,15.7591,15.3183,15.7591,24660
ABT,20070226,16.5305,16.5306,16.5305,16.5306,24820
ABT,20070227,17.3020,17.3020,17.3020,17.3020,62370
ABT,20070228,16.5306,17.3020,16.5306,16.5306,51270
ABT,20070301,16.5306,16.5306,16.5306,16.5306,25310
ABT,20070302,16.5306,16.5306,16.5306,16.5306,18660
ABT,20070305,16.7510,16.8612,16.7510,16.7510,30440
ABT,20070306,16.2000,16.7510,16.2000,16.2000,34340
ABT,20070307,16.2000,16.2000,15.4285,15.4285,35570
ABT,20070308,16.1999,16.2000,16.1999,16.2000,27820
ABT,20070309,16.8612,16.8612,16.5306,16.5306,28380
ABT,20070312,16.7510,16.7510,16.2000,16.2000,19150
ABT,20070313,15.9796,16.2000,15.9796,15.9796,18310
ABT,20070314,15.9796,16.6408,15.9796,15.9796,42970
ABT,20070315,15.4286,15.4286,15.2081,15.2081,9550
ABT,20070316,15.4285,15.8694,15.2081,15.8694,18390
ABT,20070319,15.8694,15.8694,15.8694,15.8694,14640
ABT,20070320,15.8694,15.8694,15.4285,15.4285,19500
ABT,20070321,15.4285,15.4285,15.2081,15.2081,10390
ABT,20070322,15.2081,15.2081,14.5469,14.5469,45200
ABT,20070323,14.1061,14.3265,13.8857,13.8857,45920
ABT,20070326,14.5469,14.5469,13.8857,13.8857,26950
ABT,20070327,13.7755,13.8857,13.5551,13.5551,17780
ABT,20070328,12.8939,13.7755,12.8939,13.7755,28600
ABT,20070329,13.8857,14.3265,13.8857,14.3265,24420
ABT,20070330,14.1061,14.2163,14.1061,14.2163,17460
ABT,20070402,13.5551,13.5551,13.5551,13.5551,14510
ABT,20070403,13.5551,13.5551,13.5551,13.5551,55340
ABT,20070404,13.5551,13.6653,13.5551,13.6653,21900
ABT,20070405,13.6653,13.6653,13.3347,13.3347,12910
ABT,20070406,13.3347,13.3347,13.1143,13.1143,11980
ABT,20070409,13.0041,13.0041,12.7837,13.0041,17050
ABT,20070410,12.7837,13.0041,12.7837,13.0041,20720
