<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
ACG,20210806,118.0000,118.0000,114.5000,117.0000,155200
ACG,20210809,115.0000,116.0000,108.0000,111.4000,135600
ACG,20210810,111.2000,111.4000,108.1000,110.3000,133906
ACG,20210811,109.0000,114.9000,109.0000,113.3000,180500
ACG,20210812,113.0000,114.0000,110.0000,110.0000,115900
ACG,20210813,111.0000,116.9000,107.0000,108.7000,166700
ACG,20210816,112.9000,112.9000,106.5000,109.8000,45200
ACG,20210817,109.8000,110.5000,106.5000,109.6000,98500
ACG,20210818,108.0000,110.4000,106.5000,107.0000,32000
ACG,20210819,108.0000,108.8000,104.7000,106.5000,24700
ACG,20210820,106.5000,106.9000,101.0000,104.8000,20600
ACG,20210823,99.0000,108.9000,99.0000,104.4000,28302
ACG,20210824,107.8000,107.8000,100.0000,103.9000,17200
ACG,20210825,104.6000,104.9000,100.0000,103.0000,49600
ACG,20210826,103.5000,103.5000,99.9000,102.3000,20500
ACG,20210827,99.5000,102.0000,99.0000,102.0000,18900
ACG,20210830,101.0000,105.0000,101.0000,104.0000,47500
ACG,20210831,105.0000,106.0000,104.0000,106.0000,54600
ACG,20210901,105.0000,105.4000,104.8000,105.4000,77200
ACG,20210906,105.3000,105.5000,104.0000,105.3000,43800
ACG,20210907,106.0000,106.0000,104.5000,105.8000,34900
ACG,20210908,105.5000,106.8000,100.0000,106.5000,37500
ACG,20210909,106.5000,109.4000,106.0000,109.3000,101300
ACG,20210910,111.0000,114.9000,109.3000,114.0000,145500
ACG,20210913,114.0000,116.0000,113.0000,114.7000,96300
ACG,20210914,115.0000,116.5000,114.0000,115.9000,83200
ACG,20210915,115.5000,116.9000,112.0000,116.6000,127100
ACG,20210916,115.7000,117.8000,115.0000,116.3000,94900
ACG,20210917,117.0000,130.0000,116.0000,119.5000,113700
ACG,20210920,119.2000,120.5000,117.0000,117.0000,73800
ACG,20210921,119.0000,120.5000,118.0000,119.7000,55100
ACG,20210922,102.0000,125.4000,102.0000,118.1000,45900
ACG,20210923,116.0000,120.0000,116.0000,119.2000,79300
ACG,20210924,110.0000,120.5000,102.0000,118.9000,51206
ACG,20210927,119.0000,119.9000,118.0000,118.2000,67700
ACG,20210928,116.0000,120.0000,116.0000,117.9000,56600
ACG,20210929,116.5000,120.0000,116.5000,117.3000,66300
ACG,20210930,116.0000,120.0000,100.0000,117.9000,64710
ACG,20211001,118.0000,120.0000,116.0000,117.7000,55600
ACG,20211004,118.3000,120.0000,117.0000,118.1000,66500
ACG,20211005,118.0000,118.6000,101.0000,118.4000,63500
ACG,20211006,115.0000,118.5000,115.0000,116.7000,82200
ACG,20211007,116.0000,119.0000,116.0000,116.8000,89200
ACG,20211008,117.0000,117.4000,115.3000,116.0000,80200
ACG,20211011,116.0000,117.8000,115.5000,117.4000,78000
ACG,20211012,116.8000,117.6000,115.0000,115.7000,51400
ACG,20211013,116.0000,117.6000,115.0000,115.2000,53100
ACG,20211014,116.0000,117.0000,115.0000,115.7000,45700
ACG,20211015,115.5000,116.5000,113.0000,114.4000,52700
ACG,20211018,114.5000,115.0000,112.7000,112.7000,48400
ACG,20211019,113.0000,122.0000,112.0000,113.8000,74700
ACG,20211020,113.5000,114.4000,113.0000,114.0000,54600
ACG,20211021,113.8000,114.5000,112.0000,114.0000,86400
ACG,20211022,114.0000,114.0000,111.3000,111.8000,53700
ACG,20211025,111.3000,113.8000,111.0000,113.8000,91000
ACG,20211026,111.7000,115.0000,95.0000,114.8000,67807
ACG,20211027,114.6000,115.5000,113.8000,115.0000,51400
ACG,20211028,115.0000,117.0000,107.0000,116.9000,87700
ACG,20211029,116.4000,117.0000,116.0000,116.5000,65100
ACG,20211101,117.0000,117.3000,115.0000,116.4000,48500
ACG,20211102,116.0000,116.4000,111.9000,113.4000,70500
ACG,20211103,113.5000,113.5000,110.0000,112.6000,57800
ACG,20211104,112.0000,113.0000,111.0000,112.7000,64800
ACG,20211105,112.7000,113.2000,100.0000,113.0000,145400
ACG,20211108,112.2000,113.0000,111.0000,112.3000,58500
ACG,20211109,112.6000,113.9000,112.0000,113.6000,43000
ACG,20211110,113.4000,113.7000,113.0000,113.5000,54300
ACG,20211111,113.0000,113.6000,111.2000,112.4000,54100
ACG,20211112,112.6000,115.3000,112.3000,114.4000,177400
ACG,20211115,114.4000,115.0000,114.0000,114.7000,128800
ACG,20211116,114.7000,115.3000,111.1000,113.2000,108200
ACG,20211117,113.0000,114.1000,111.0000,111.0000,121300
ACG,20211118,113.0000,113.0000,111.0000,113.0000,68300
ACG,20211119,113.0000,113.0000,111.5000,111.5000,40000
ACG,20211122,112.5000,113.0000,111.5000,111.8000,52400
ACG,20211123,112.5000,113.8000,110.0000,112.4000,69200
ACG,20211124,112.0000,112.3000,110.0000,112.0000,38400
ACG,20211125,112.0000,112.5000,111.1000,111.9000,71701
ACG,20211126,111.8000,111.9000,110.0000,111.6000,75600
ACG,20211129,111.0000,111.3000,110.0000,110.9000,31900
ACG,20211130,111.0000,113.0000,110.8000,112.0000,114700
ACG,20211201,111.5000,112.5000,111.0000,111.0000,67600
ACG,20211202,111.5000,113.2000,96.0000,111.5000,86700
ACG,20211203,111.5000,112.8000,96.0000,112.3000,70800
