<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
AGF,20020502,30.0000,30.0000,30.0000,30.0000,116900
AGF,20020503,30.5000,30.5000,30.5000,30.5000,52800
AGF,20020506,31.1000,31.1000,31.1000,31.1000,77700
AGF,20020507,30.5000,30.5000,30.5000,30.5000,38600
AGF,20020508,30.1000,30.1000,30.1000,30.1000,53000
AGF,20020509,30.7000,30.7000,30.7000,30.7000,4500
AGF,20020510,31.3000,31.3000,31.3000,31.3000,23100
AGF,20020513,31.8000,31.8000,31.8000,31.8000,64000
AGF,20020514,31.8000,31.8000,31.8000,31.8000,44200
AGF,20020515,31.2000,31.2000,31.2000,31.2000,43700
AGF,20020516,31.0000,31.0000,31.0000,31.0000,34200
AGF,20020517,30.8000,30.8000,30.8000,30.8000,35700
AGF,20020520,30.7000,30.7000,30.7000,30.7000,17500
AGF,20020521,31.0000,31.0000,31.0000,31.0000,20700
AGF,20020522,31.3000,31.3000,31.3000,31.3000,41700
AGF,20020523,31.2000,31.2000,31.2000,31.2000,7900
AGF,20020524,31.4000,31.4000,31.4000,31.4000,30800
AGF,20020527,31.4000,31.4000,31.4000,31.4000,30100
AGF,20020528,31.4000,31.4000,31.4000,31.4000,5600
AGF,20020529,31.4000,31.4000,31.4000,31.4000,9400
AGF,20020530,31.4000,31.4000,31.4000,31.4000,15200
AGF,20020531,32.0000,32.0000,32.0000,32.0000,27500
AGF,20020603,32.0000,32.0000,32.0000,32.0000,16000
AGF,20020604,31.5000,31.5000,31.5000,31.5000,7500
AGF,20020605,31.5000,31.5000,31.5000,31.5000,11200
AGF,20020606,31.5000,31.5000,31.5000,31.5000,2500
AGF,20020607,31.5000,31.5000,31.5000,31.5000,5600
AGF,20020610,31.5000,31.5000,31.5000,31.5000,8500
AGF,20020611,31.5000,31.5000,31.5000,31.5000,4000
AGF,20020612,31.4000,31.4000,31.4000,31.4000,4000
AGF,20020613,31.2000,31.2000,31.2000,31.2000,2700
AGF,20020614,31.0000,31.0000,31.0000,31.0000,5500
AGF,20020617,30.4000,30.4000,30.4000,30.4000,5300
AGF,20020618,29.8000,29.8000,29.8000,29.8000,8900
AGF,20020619,29.3000,29.3000,29.3000,29.3000,4600
AGF,20020620,28.9000,28.9000,28.9000,28.9000,18700
AGF,20020621,29.4000,29.4000,29.4000,29.4000,200
AGF,20020624,29.9000,29.9000,29.9000,29.9000,100
AGF,20020625,30.4000,30.4000,30.4000,30.4000,4100
AGF,20020626,29.7000,29.7000,29.7000,29.7000,15900
AGF,20020627,29.5000,29.5000,29.5000,29.5000,300
AGF,20020628,29.8000,29.8000,29.8000,29.8000,2300
AGF,20020701,29.5000,29.5000,29.5000,29.5000,12200
AGF,20020702,29.5000,29.5000,29.5000,29.5000,30400
AGF,20020703,29.5000,29.5000,29.5000,29.5000,10200
AGF,20020704,29.3000,29.3000,29.3000,29.3000,15100
AGF,20020705,29.3000,29.3000,29.3000,29.3000,11100
AGF,20020708,29.3000,29.3000,29.3000,29.3000,13000
AGF,20020709,29.0000,29.0000,29.0000,29.0000,30700
AGF,20020710,28.6000,28.6000,28.6000,28.6000,16300
AGF,20020711,28.4000,28.4000,28.4000,28.4000,12700
AGF,20020712,28.6000,28.6000,28.6000,28.6000,9000
AGF,20020715,28.2000,28.2000,28.2000,28.2000,13700
AGF,20020716,28.2000,28.2000,28.2000,28.2000,2700
AGF,20020717,27.9000,27.9000,27.9000,27.9000,6200
AGF,20020718,27.4000,27.4000,27.4000,27.4000,5700
AGF,20020719,27.5000,27.5000,27.5000,27.5000,14900
AGF,20020722,27.6000,27.6000,27.6000,27.6000,7500
AGF,20020723,28.1000,28.1000,28.1000,28.1000,4400
AGF,20020724,28.6000,28.6000,28.6000,28.6000,6900
AGF,20020725,28.6000,28.6000,28.6000,28.6000,39400
AGF,20020726,28.8000,28.8000,28.8000,28.8000,28000
AGF,20020729,29.0000,29.0000,29.0000,29.0000,27700
AGF,20020730,29.5000,29.5000,29.5000,29.5000,10000
AGF,20020731,29.7000,29.7000,29.7000,29.7000,23200
AGF,20020801,29.4000,29.4000,29.4000,29.4000,600
AGF,20020802,29.1000,29.1000,29.1000,29.1000,500
AGF,20020805,28.7000,28.7000,28.7000,28.7000,4100
AGF,20020806,29.2000,29.2000,29.2000,29.2000,1600
AGF,20020807,29.0000,29.0000,29.0000,29.0000,2000
AGF,20020808,28.6000,28.6000,28.6000,28.6000,9200
AGF,20020809,28.0000,28.0000,28.0000,28.0000,20000
AGF,20020812,28.2000,28.2000,28.2000,28.2000,7200
AGF,20020813,28.1000,28.1000,28.1000,28.1000,12100
AGF,20020814,28.1000,28.1000,28.1000,28.1000,2200
AGF,20020815,28.2000,28.2000,28.2000,28.2000,1700
AGF,20020816,28.5000,28.5000,28.5000,28.5000,11000
AGF,20020819,28.8000,28.8000,28.8000,28.8000,4200
AGF,20020820,28.8000,28.8000,28.8000,28.8000,1100
AGF,20020821,28.8000,28.8000,28.8000,28.8000,5700
AGF,20020822,28.8000,28.8000,28.8000,28.8000,20800
AGF,20020823,28.7000,28.7000,28.7000,28.7000,13400
AGF,20020826,28.7000,28.7000,28.7000,28.7000,2800
AGF,20020827,28.5000,28.5000,28.5000,28.5000,7300
AGF,20020828,28.7000,28.7000,28.7000,28.7000,2200
AGF,20020829,28.8000,28.8000,28.8000,28.8000,14600
AGF,20020830,29.0000,29.0000,29.0000,29.0000,21900
AGF,20020903,28.9000,28.9000,28.9000,28.9000,5200
AGF,20020904,29.0000,29.0000,29.0000,29.0000,21600
AGF,20020905,29.0000,29.0000,29.0000,29.0000,500
AGF,20020906,28.8000,28.8000,28.8000,28.8000,5100
AGF,20020909,28.8000,28.8000,28.8000,28.8000,7300
AGF,20020910,28.8000,28.8000,28.8000,28.8000,5000
AGF,20020911,28.5000,28.5000,28.5000,28.5000,7900
AGF,20020912,28.5000,28.5000,28.5000,28.5000,3900
AGF,20020913,28.4000,28.4000,28.4000,28.4000,3100
AGF,20020916,28.5000,28.5000,28.5000,28.5000,13000
AGF,20020917,28.5000,28.5000,28.5000,28.5000,4500
AGF,20020918,28.0000,28.0000,28.0000,28.0000,13400
AGF,20020919,28.3000,28.3000,28.3000,28.3000,2000
AGF,20020920,28.8000,28.8000,28.8000,28.8000,100
AGF,20020923,28.8000,28.8000,28.8000,28.8000,100
AGF,20020924,28.2000,28.2000,28.2000,28.2000,300
AGF,20020925,28.5000,28.5000,28.5000,28.5000,1200
AGF,20020926,28.6000,28.6000,28.6000,28.6000,6300
AGF,20020927,28.5000,28.5000,28.5000,28.5000,13000
AGF,20020930,28.4000,28.4000,28.4000,28.4000,800
AGF,20021001,28.4000,28.4000,28.4000,28.4000,1100
AGF,20021002,28.4000,28.4000,28.4000,28.4000,7300
AGF,20021003,28.4000,28.4000,28.4000,28.4000,4700
AGF,20021004,28.4000,28.4000,28.4000,28.4000,3800
AGF,20021007,28.0000,28.0000,28.0000,28.0000,2100
AGF,20021008,27.8000,27.8000,27.8000,27.8000,4000
AGF,20021009,28.4000,28.4000,28.4000,28.4000,100
AGF,20021010,28.1000,28.1000,28.1000,28.1000,5100
AGF,20021011,28.0000,28.0000,28.0000,28.0000,3900
AGF,20021014,28.1000,28.1000,28.1000,28.1000,2100
AGF,20021015,28.2000,28.2000,28.2000,28.2000,9700
AGF,20021016,28.1000,28.1000,28.1000,28.1000,1000
AGF,20021017,28.0000,28.0000,28.0000,28.0000,3300
AGF,20021018,28.0000,28.0000,28.0000,28.0000,500
AGF,20021021,27.8000,27.8000,27.8000,27.8000,8700
AGF,20021022,27.7000,27.7000,27.7000,27.7000,9500
AGF,20021023,27.7000,27.7000,27.7000,27.7000,4100
AGF,20021024,27.6000,27.6000,27.6000,27.6000,4600
AGF,20021025,27.7000,27.7000,27.7000,27.7000,4400
AGF,20021028,28.0000,28.0000,28.0000,28.0000,7500
AGF,20021029,28.0000,28.0000,28.0000,28.0000,3000
AGF,20021030,28.0000,28.0000,28.0000,28.0000,3600
AGF,20021031,28.0000,28.0000,28.0000,28.0000,0
AGF,20021101,28.0000,28.0000,28.0000,28.0000,500
AGF,20021104,28.0000,28.0000,28.0000,28.0000,2700
AGF,20021105,27.8000,27.8000,27.8000,27.8000,2500
AGF,20021106,28.0000,28.0000,28.0000,28.0000,2300
AGF,20021107,27.4000,27.4000,27.4000,27.4000,1000
AGF,20021108,27.6000,27.6000,27.6000,27.6000,3100
AGF,20021111,27.9000,27.9000,27.9000,27.9000,4200
AGF,20021112,27.9000,27.9000,27.9000,27.9000,1200
AGF,20021113,27.6000,27.6000,27.6000,27.6000,10000
AGF,20021114,27.6000,27.6000,27.6000,27.6000,1600
AGF,20021115,27.6000,27.6000,27.6000,27.6000,4100
AGF,20021118,27.4000,27.4000,27.4000,27.4000,3100
AGF,20021119,27.4000,27.4000,27.4000,27.4000,1000
AGF,20021120,27.6000,27.6000,27.6000,27.6000,2000
AGF,20021121,27.6000,27.6000,27.6000,27.6000,700
AGF,20021122,27.5000,27.5000,27.5000,27.5000,4300
AGF,20021125,27.5000,27.5000,27.5000,27.5000,2500
AGF,20021126,27.5000,27.5000,27.5000,27.5000,4500
AGF,20021127,27.5000,27.5000,27.5000,27.5000,2000
AGF,20021128,27.5000,27.5000,27.5000,27.5000,3000
AGF,20021129,27.6000,27.6000,27.6000,27.6000,8800
AGF,20021202,28.0000,28.0000,28.0000,28.0000,7400
AGF,20021203,28.7000,28.7000,28.7000,28.7000,8900
AGF,20021204,29.0000,29.0000,29.0000,29.0000,18100
AGF,20021205,29.0000,29.0000,29.0000,29.0000,22000
AGF,20021206,29.0000,29.0000,29.0000,29.0000,29100
AGF,20021209,28.8000,28.8000,28.8000,28.8000,6900
AGF,20021210,29.0000,29.0000,29.0000,29.0000,6300
AGF,20021211,29.0000,29.0000,29.0000,29.0000,8200
AGF,20021212,29.0000,29.0000,29.0000,29.0000,5800
AGF,20021213,29.3000,29.3000,29.3000,29.3000,3000
AGF,20021216,29.5000,29.5000,29.5000,29.5000,4000
AGF,20021217,29.5000,29.5000,29.5000,29.5000,7600
AGF,20021218,29.5000,29.5000,29.5000,29.5000,3600
AGF,20021219,29.5000,29.5000,29.5000,29.5000,3700
AGF,20021220,29.5000,29.5000,29.5000,29.5000,1100
AGF,20021223,29.2000,29.2000,29.2000,29.2000,1100
AGF,20021224,29.1000,29.1000,29.1000,29.1000,2300
AGF,20021225,29.2000,29.2000,29.2000,29.2000,7000
AGF,20021226,29.1000,29.1000,29.1000,29.1000,9100
AGF,20021227,27.3000,27.3000,27.3000,27.3000,1000
AGF,20021230,28.0000,28.0000,28.0000,28.0000,300
AGF,20021231,28.0000,28.0000,28.0000,28.0000,100
AGF,20030102,28.0000,28.0000,28.0000,28.0000,1500
AGF,20030103,28.0000,28.0000,28.0000,28.0000,0
AGF,20030106,27.6000,27.6000,27.6000,27.6000,1100
AGF,20030107,27.5000,27.5000,27.5000,27.5000,1000
AGF,20030108,27.5000,27.5000,27.5000,27.5000,2000
AGF,20030109,27.4000,27.4000,27.4000,27.4000,1000
AGF,20030110,27.6000,27.6000,27.6000,27.6000,400
AGF,20030113,27.4000,27.4000,27.4000,27.4000,2200
AGF,20030114,27.4000,27.4000,27.4000,27.4000,200
AGF,20030115,27.3000,27.3000,27.3000,27.3000,4200
AGF,20030116,27.3000,27.3000,27.3000,27.3000,4900
AGF,20030117,27.1000,27.1000,27.1000,27.1000,1700
AGF,20030120,27.5000,27.5000,27.5000,27.5000,4400
AGF,20030121,27.3000,27.3000,27.3000,27.3000,1900
AGF,20030122,27.2000,27.2000,27.2000,27.2000,2200
AGF,20030123,27.2000,27.2000,27.2000,27.2000,3200
AGF,20030124,28.0000,28.0000,28.0000,28.0000,6100
AGF,20030127,28.4000,28.4000,28.4000,28.4000,9100
AGF,20030128,27.0000,27.0000,27.0000,27.0000,7200
AGF,20030210,25.7000,25.7000,25.7000,25.7000,2200
AGF,20030211,24.5000,24.5000,24.5000,24.5000,6600
AGF,20030212,23.3000,23.3000,23.3000,23.3000,48600
AGF,20030213,24.4000,24.4000,24.4000,24.4000,1600
AGF,20030214,25.6000,25.6000,25.6000,25.6000,3800
AGF,20030217,25.5000,25.5000,25.5000,25.5000,5700
AGF,20030218,25.5000,25.5000,25.5000,25.5000,10000
AGF,20030219,25.5000,25.5000,25.5000,25.5000,9900
AGF,20030220,24.9000,24.9000,24.9000,24.9000,5000
AGF,20030221,24.9000,24.9000,24.9000,24.9000,5300
AGF,20030224,24.9000,24.9000,24.9000,24.9000,0
AGF,20030225,24.8000,24.8000,24.8000,24.8000,3800
AGF,20030226,24.9000,24.9000,24.9000,24.9000,6200
AGF,20030227,24.9000,24.9000,24.9000,24.9000,6300
AGF,20030228,25.3000,25.3000,25.3000,25.3000,10400
AGF,20030303,26.5000,26.5000,26.5000,26.5000,10600
AGF,20030304,26.5000,26.5000,26.5000,26.5000,8100
AGF,20030305,25.6000,25.6000,25.6000,25.6000,5300
AGF,20030306,25.6000,25.6000,25.6000,25.6000,2400
AGF,20030307,26.0000,26.0000,26.0000,26.0000,4000
AGF,20030310,26.1000,26.1000,26.1000,26.1000,5000
AGF,20030311,26.1000,26.1000,26.1000,26.1000,6000
AGF,20030312,26.1000,26.1000,26.1000,26.1000,2600
AGF,20030313,26.1000,26.1000,26.1000,26.1000,3000
AGF,20030314,26.1000,26.1000,26.1000,26.1000,4100
AGF,20030317,26.1000,26.1000,26.1000,26.1000,3100
AGF,20030318,26.1000,26.1000,26.1000,26.1000,2700
AGF,20030319,26.1000,26.1000,26.1000,26.1000,3300
AGF,20030320,25.8000,25.8000,25.8000,25.8000,5800
AGF,20030321,25.8000,25.8000,25.8000,25.8000,5700
AGF,20030324,25.1000,25.1000,25.1000,25.1000,12500
AGF,20030325,25.3000,25.3000,25.3000,25.3000,3100
AGF,20030326,25.4000,25.4000,25.4000,25.4000,6800
AGF,20030327,25.3000,25.3000,25.3000,25.3000,4700
AGF,20030328,25.0000,25.0000,25.0000,25.0000,3600
AGF,20030331,24.1000,24.1000,24.1000,24.1000,5800
AGF,20030401,24.3000,24.3000,24.3000,24.3000,5800
AGF,20030402,25.3000,25.3000,25.3000,25.3000,1100
AGF,20030403,25.8000,25.8000,25.8000,25.8000,7100
AGF,20030404,25.8000,25.8000,25.8000,25.8000,3600
AGF,20030407,25.8000,25.8000,25.8000,25.8000,7700
AGF,20030408,25.6000,25.6000,25.6000,25.6000,3600
AGF,20030409,25.1000,25.1000,25.1000,25.1000,5900
AGF,20030410,25.1000,25.1000,25.1000,25.1000,1500
AGF,20030411,25.4000,25.4000,25.4000,25.4000,1100
AGF,20030414,25.4000,25.4000,25.4000,25.4000,3300
AGF,20030415,25.4000,25.4000,25.4000,25.4000,1500
AGF,20030416,25.4000,25.4000,25.4000,25.4000,1700
AGF,20030417,25.4000,25.4000,25.4000,25.4000,5400
AGF,20030418,26.0000,26.0000,26.0000,26.0000,1400
AGF,20030421,26.0000,26.0000,26.0000,26.0000,6700
AGF,20030422,26.0000,26.0000,26.0000,26.0000,6700
AGF,20030423,26.1000,26.1000,26.1000,26.1000,6900
AGF,20030424,26.3000,26.3000,26.3000,26.3000,2600
AGF,20030425,26.3000,26.3000,26.3000,26.3000,11300
AGF,20030428,26.3000,26.3000,26.3000,26.3000,6800
AGF,20030429,26.2000,26.2000,26.2000,26.2000,5000
AGF,20030505,26.4000,26.4000,26.4000,26.4000,9900
AGF,20030506,26.5000,26.5000,26.5000,26.5000,10100
AGF,20030507,26.7000,26.7000,26.7000,26.7000,3900
AGF,20030508,27.0000,27.0000,27.0000,27.0000,5900
AGF,20030509,27.5000,27.5000,27.5000,27.5000,4700
AGF,20030512,28.0000,28.0000,28.0000,28.0000,10900
AGF,20030513,28.0000,28.0000,28.0000,28.0000,5100
AGF,20030514,28.0000,28.0000,28.0000,28.0000,11900
AGF,20030515,27.7000,27.7000,27.7000,27.7000,18000
AGF,20030516,27.7000,27.7000,27.7000,27.7000,3200
AGF,20030519,27.5000,27.5000,27.5000,27.5000,4000
AGF,20030520,27.0000,27.0000,27.0000,27.0000,16400
AGF,20030521,27.0000,27.0000,26.6000,26.6000,7400
AGF,20030522,26.6000,27.0000,26.6000,27.0000,580
AGF,20030523,27.0000,27.0000,27.0000,27.0000,820
AGF,20030526,27.0000,27.0000,27.0000,27.0000,3630
AGF,20030527,27.0000,27.1000,27.0000,27.1000,3200
AGF,20030528,27.1000,27.3000,27.1000,27.3000,1240
AGF,20030529,27.3000,27.3000,27.3000,27.3000,9200
AGF,20030530,27.3000,27.3000,27.3000,27.3000,1200
AGF,20030602,27.3000,27.3000,27.1000,27.1000,2530
AGF,20030603,27.0000,27.1000,27.0000,27.1000,11600
AGF,20030604,27.1000,27.1000,27.0000,27.0000,2110
AGF,20030605,27.0000,27.1000,27.0000,27.1000,200
AGF,20030606,27.1000,27.1000,27.1000,27.1000,2000
AGF,20030609,27.1000,27.2000,27.1000,27.2000,5000
AGF,20030610,27.3000,27.3000,27.2000,27.2000,6200
AGF,20030611,27.2000,27.2000,27.2000,27.2000,4500
AGF,20030612,27.2000,27.2000,27.1000,27.1000,1420
AGF,20030613,27.1000,27.1000,27.1000,27.1000,4860
AGF,20030616,27.1000,27.1000,27.0000,27.0000,5900
AGF,20030617,27.0000,27.0000,27.0000,27.0000,10020
AGF,20030618,27.0000,27.0000,26.9000,26.9000,7910
AGF,20030619,26.9000,26.9000,26.5000,26.5000,5550
AGF,20030620,26.6000,26.7000,26.6000,26.7000,4200
AGF,20030623,26.7000,26.7000,26.6000,26.6000,8300
AGF,20030624,26.8000,26.8000,26.8000,26.8000,1100
AGF,20030625,26.8000,26.8000,26.8000,26.8000,10960
AGF,20030626,26.8000,26.8000,25.2000,25.2000,250
AGF,20030627,25.8000,25.8000,25.6000,25.6000,2210
AGF,20030630,25.6000,25.6000,25.6000,25.6000,500
AGF,20030701,25.6000,25.6000,25.6000,25.6000,0
AGF,20030702,25.6000,25.6000,25.6000,25.6000,4930
AGF,20030703,25.6000,25.6000,25.6000,25.6000,7500
AGF,20030704,25.6000,25.6000,25.6000,25.6000,830
AGF,20030707,25.6000,25.6000,25.5000,25.5000,100
AGF,20030708,25.5000,25.5000,25.5000,25.5000,0
AGF,20030709,25.5000,25.5000,25.4000,25.4000,2370
AGF,20030710,25.4000,25.4000,25.4000,25.4000,1150
AGF,20030711,25.4000,25.6000,25.4000,25.6000,10
AGF,20030714,25.6000,25.6000,25.4000,25.4000,10
AGF,20030715,25.4000,25.4000,25.4000,25.4000,500
AGF,20030716,25.4000,25.4000,25.4000,25.4000,100
AGF,20030717,25.4000,25.4000,25.2000,25.2000,450
AGF,20030718,25.2000,25.2000,25.0000,25.0000,590
AGF,20030721,25.0000,25.0000,25.0000,25.0000,2000
AGF,20030722,25.0000,25.0000,25.0000,25.0000,0
AGF,20030723,24.9000,24.9000,24.9000,24.9000,900
AGF,20030724,24.9000,24.9000,24.1000,24.1000,10
AGF,20030725,24.1000,24.1000,24.1000,24.1000,1200
AGF,20030728,23.5000,23.5000,23.5000,23.5000,3920
AGF,20030729,23.2000,23.2000,23.0000,23.0000,6710
AGF,20030730,23.0000,23.0000,23.0000,23.0000,1740
AGF,20030731,23.0000,23.0000,23.0000,23.0000,0
AGF,20030801,22.2000,23.2000,22.2000,23.2000,4770
AGF,20030804,23.2000,23.2000,23.2000,23.2000,1710
AGF,20030805,23.2000,23.2000,23.2000,23.2000,700
AGF,20030806,23.2000,23.2000,23.2000,23.2000,1200
AGF,20030807,23.2000,23.3000,23.2000,23.3000,1320
AGF,20030808,23.0000,23.2000,23.0000,23.2000,5530
AGF,20030811,23.2000,23.2000,23.2000,23.2000,4960
AGF,20030812,23.2000,23.2000,23.2000,23.2000,1850
AGF,20030813,23.2000,23.2000,23.2000,23.2000,1010
AGF,20030814,23.2000,23.2000,23.2000,23.2000,6400
AGF,20030815,23.2000,23.3000,23.2000,23.3000,1510
AGF,20030818,23.3000,23.3000,23.3000,23.3000,4090
AGF,20030819,23.3000,23.5000,23.3000,23.5000,310
AGF,20030820,23.2000,23.3000,23.2000,23.3000,1210
AGF,20030821,23.3000,23.3000,23.3000,23.3000,2080
AGF,20030822,23.3000,23.3000,23.3000,23.3000,0
AGF,20030825,23.3000,23.3000,23.3000,23.3000,650
AGF,20030826,23.3000,23.3000,23.3000,23.3000,1540
AGF,20030827,23.4000,23.4000,23.4000,23.4000,860
AGF,20030828,23.4000,23.5000,23.4000,23.5000,1000
AGF,20030829,23.5000,24.0000,23.5000,24.0000,10
AGF,20030903,24.0000,24.0000,23.6000,23.6000,1240
AGF,20030904,23.6000,23.6000,23.6000,23.6000,0
AGF,20030905,23.6000,23.6000,23.6000,23.6000,0
AGF,20030908,23.6000,23.6000,23.6000,23.6000,5710
AGF,20030909,23.6000,23.6000,23.6000,23.6000,2460
AGF,20030910,23.6000,23.7000,23.6000,23.7000,1300
AGF,20030911,23.7000,23.7000,23.7000,23.7000,240
AGF,20030912,23.7000,23.8000,23.7000,23.8000,3300
AGF,20030915,23.8000,24.0000,23.8000,24.0000,500
AGF,20030916,24.0000,24.0000,24.0000,24.0000,0
AGF,20030917,24.0000,24.0000,24.0000,24.0000,500
AGF,20030918,24.0000,24.0000,23.8000,23.8000,10
AGF,20030919,23.8000,23.8000,23.1000,23.1000,20
AGF,20030922,23.1000,23.4000,23.1000,23.4000,8000
AGF,20030923,23.4000,23.4000,23.4000,23.4000,7240
AGF,20030924,23.5000,23.5000,23.5000,23.5000,5050
AGF,20030925,24.0000,24.0000,23.6000,23.6000,1400
AGF,20030926,23.7000,23.7000,23.7000,23.7000,3440
AGF,20030929,23.7000,23.8000,23.7000,23.8000,3460
AGF,20030930,24.0000,24.0000,24.0000,24.0000,120
AGF,20031001,24.0000,24.0000,24.0000,24.0000,140
AGF,20031002,23.7000,24.0000,23.7000,24.0000,2540
AGF,20031003,24.2000,24.3000,24.2000,24.3000,2220
AGF,20031006,24.6000,24.6000,24.1000,24.1000,2070
AGF,20031007,24.3000,24.3000,24.1000,24.1000,9530
AGF,20031008,24.1000,24.1000,24.1000,24.1000,1000
AGF,20031009,24.1000,24.1000,24.1000,24.1000,8410
AGF,20031010,23.6000,24.0000,23.6000,24.0000,1370
AGF,20031013,24.0000,24.1000,24.0000,24.1000,10900
AGF,20031014,24.1000,24.1000,24.1000,24.1000,4930
AGF,20031015,24.1000,24.1000,24.1000,24.1000,13340
AGF,20031016,24.1000,24.1000,24.1000,24.1000,9900
AGF,20031017,23.7000,23.7000,23.6000,23.6000,220
