<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
AGM,20121214,9.0832,13.3977,9.0832,11.4675,3270
AGM,20121217,11.6378,11.9217,11.6378,11.6378,820
AGM,20121218,12.2055,12.2055,11.3540,11.6378,1130
AGM,20121219,11.6378,11.6378,11.6378,11.6378,100
AGM,20121220,11.6378,11.6378,11.3540,11.3540,1080
AGM,20121221,11.3540,11.3540,11.3540,11.3540,770
AGM,20121224,10.8998,11.6378,10.8998,11.6378,1730
AGM,20121225,11.9217,12.2055,11.9217,12.2055,20
AGM,20121226,12.2055,12.4894,11.6378,12.4894,2900
AGM,20121227,12.4894,13.0571,11.8649,13.0571,25020
AGM,20121228,12.4326,12.4894,12.4326,12.4894,1060
AGM,20130102,11.8649,12.4894,11.8649,12.4894,2540
AGM,20130103,11.8649,12.4894,11.8649,11.8649,1660
AGM,20130104,11.3540,11.9217,11.2972,11.9217,2430
AGM,20130107,11.3540,11.9217,11.3540,11.9217,1570
AGM,20130108,11.3540,11.6378,11.3540,11.6378,8680
AGM,20130109,11.0701,11.6378,11.0701,11.6378,590
AGM,20130110,11.0701,11.6378,11.0701,11.6378,380
AGM,20130111,11.1269,11.1837,11.0701,11.1837,1120
AGM,20130114,10.9566,11.3540,10.9566,11.3540,1100
AGM,20130115,11.3540,11.3540,11.3540,11.3540,0
AGM,20130116,10.5592,11.3540,10.5592,11.3540,550
AGM,20130117,10.6160,11.3540,10.6160,11.3540,2100
AGM,20130118,11.3540,11.3540,11.3540,11.3540,0
AGM,20130121,11.3540,11.3540,11.3540,11.3540,0
AGM,20130122,10.5592,11.3540,10.5592,11.3540,770
AGM,20130123,10.7863,11.3540,10.5592,10.5592,880
AGM,20130124,11.2972,11.2972,11.2972,11.2972,10
AGM,20130125,11.2972,11.3540,11.2972,11.3540,2090
AGM,20130128,11.3540,11.3540,11.3540,11.3540,0
AGM,20130129,10.7863,11.2972,10.7863,11.2972,590
AGM,20130130,11.2972,11.2972,11.2972,11.2972,10
AGM,20130131,11.2972,11.2972,11.2972,11.2972,300
AGM,20130201,11.2972,11.2972,11.2972,11.2972,400
AGM,20130204,11.2972,11.2972,11.2972,11.2972,30
AGM,20130205,11.2972,11.2972,11.2972,11.2972,30
AGM,20130206,10.5592,11.2972,10.5592,11.2972,1060
AGM,20130207,11.2972,11.2972,11.2972,11.2972,0
AGM,20130208,11.2972,11.2972,11.2972,11.2972,1380
AGM,20130218,10.7863,11.3540,10.7863,11.3540,130
AGM,20130219,11.2972,11.2972,10.7863,11.2972,700
AGM,20130220,10.7863,11.2972,10.7863,11.2972,20
AGM,20130221,10.7863,10.7863,10.7863,10.7863,350
AGM,20130222,10.7863,11.2972,10.7863,11.2972,360
AGM,20130225,11.2972,11.2972,11.2972,11.2972,0
AGM,20130226,11.2972,11.2972,11.2972,11.2972,0
AGM,20130227,10.7863,10.7863,10.7863,10.7863,30
AGM,20130228,10.5024,10.7863,10.5024,10.7863,480
AGM,20130301,10.7863,10.7863,10.7863,10.7863,0
AGM,20130304,10.5592,10.5592,10.0483,10.0483,210
AGM,20130305,10.7295,10.7295,10.7295,10.7295,10
AGM,20130306,10.2186,10.2186,10.2186,10.2186,900
AGM,20130307,10.5024,10.5024,10.5024,10.5024,10
AGM,20130308,10.5024,10.5024,10.5024,10.5024,0
AGM,20130311,10.5024,10.5024,10.5024,10.5024,0
AGM,20130312,9.8212,9.8212,9.8212,9.8212,10
AGM,20130313,10.5024,10.5024,10.5024,10.5024,70
AGM,20130314,9.8212,11.1837,9.8212,11.1837,2280
AGM,20130315,10.5024,11.2404,10.4456,11.2404,520
AGM,20130318,10.5024,11.0701,10.5024,11.0701,230
AGM,20130319,10.3321,10.3321,10.3321,10.3321,240
AGM,20130320,10.7863,10.7863,10.7863,10.7863,20
AGM,20130321,10.5592,10.5592,10.0483,10.5592,260
AGM,20130322,10.6727,10.6727,10.6727,10.6727,10
AGM,20130325,10.6727,10.6727,10.6727,10.6727,0
AGM,20130326,10.6727,10.6727,10.6727,10.6727,0
AGM,20130327,10.6727,10.6727,10.6727,10.6727,0
AGM,20130328,10.7863,10.7863,10.7863,10.7863,10
AGM,20130329,10.7863,10.7863,10.7863,10.7863,0
AGM,20130401,10.7863,10.7863,10.7863,10.7863,0
AGM,20130402,10.7863,10.7863,10.7863,10.7863,0
AGM,20130403,10.7863,10.7863,10.7863,10.7863,0
AGM,20130404,10.2186,10.5592,10.2186,10.5592,60
AGM,20130405,10.7863,10.7863,10.7863,10.7863,10
AGM,20130408,10.2186,10.5024,10.2186,10.5024,60
AGM,20130409,10.5024,10.5024,10.5024,10.5024,0
AGM,20130410,10.5024,10.5024,10.5024,10.5024,0
AGM,20130411,10.5024,10.5024,10.5024,10.5024,0
AGM,20130412,10.6727,10.6727,10.6727,10.6727,10
AGM,20130415,10.6727,10.6727,10.6727,10.6727,0
AGM,20130416,9.9347,10.6727,9.9347,10.6727,1010
AGM,20130417,10.6727,10.6727,10.6727,10.6727,0
AGM,20130418,10.6727,10.6727,10.6727,10.6727,0
AGM,20130422,10.6727,10.6727,10.6727,10.6727,0
AGM,20130423,10.6727,10.6727,10.6727,10.6727,0
AGM,20130424,10.6727,10.6727,10.6727,10.6727,0
AGM,20130425,10.6727,10.6727,10.6727,10.6727,0
AGM,20130426,10.6727,10.6727,10.6727,10.6727,0
AGM,20130502,10.6727,10.6727,10.6727,10.6727,0
AGM,20130503,9.9347,10.5024,9.9347,10.5024,20
AGM,20130506,10.7863,10.7863,10.7863,10.7863,20
AGM,20130507,10.7863,10.7863,10.7863,10.7863,0
AGM,20130508,10.7863,10.7863,10.7863,10.7863,0
AGM,20130509,10.7863,10.7863,10.1618,10.2186,860
AGM,20130510,9.9347,10.2186,9.9347,10.2186,20
AGM,20130513,10.2186,10.4456,10.2186,10.2186,760
AGM,20130514,10.4456,10.4456,10.2186,10.4456,520
AGM,20130515,10.6727,10.6727,10.6727,10.6727,10
AGM,20130516,10.2186,10.3889,10.2186,10.3889,20
AGM,20130517,10.2186,10.2186,10.2186,10.2186,100
AGM,20130520,10.5024,10.5024,10.5024,10.5024,10
AGM,20130521,10.8113,10.8113,9.8847,10.5024,300
AGM,20130522,9.8847,10.1936,9.8847,10.1936,860
AGM,20130523,10.5024,10.5024,10.5024,10.5024,10
AGM,20130524,10.0082,10.1936,10.0082,10.1936,240
AGM,20130527,10.5024,10.5024,9.8229,10.5024,2190
AGM,20130528,10.1936,10.1936,10.1936,10.1936,1200
AGM,20130529,10.1936,10.8731,9.8847,10.5024,10830
AGM,20130530,10.0700,10.0700,10.0700,10.0700,210
AGM,20130531,10.0700,10.4407,10.0082,10.4407,530
AGM,20130603,10.5024,10.5024,10.5024,10.5024,10
AGM,20130604,10.5024,10.5024,10.3789,10.3789,440
AGM,20130605,10.3789,10.3789,10.3789,10.3789,0
AGM,20130606,10.0082,10.4407,10.0082,10.4407,450
AGM,20130607,10.3789,10.3789,10.3789,10.3789,300
AGM,20130610,10.3789,10.3789,9.8847,9.8847,40
AGM,20130611,9.8847,9.8847,9.8847,9.8847,200
AGM,20130612,10.3789,10.3789,10.3789,10.3789,10
AGM,20130613,10.3789,10.3789,10.3789,10.3789,700
AGM,20130614,10.3789,10.3789,10.3789,10.3789,0
