<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
AGR,20091210,15.7282,17.8171,15.7282,15.7282,504100
AGR,20091211,14.9909,14.9910,14.9909,14.9910,58390
AGR,20091214,14.2537,15.2982,14.2537,14.2537,346050
AGR,20091215,13.7622,14.2537,13.5779,13.5779,134640
AGR,20091216,12.9021,12.9021,12.9021,12.9021,64820
AGR,20091217,12.2877,13.3936,12.2877,13.2093,336680
AGR,20091218,13.8237,13.8237,13.8237,13.8237,123610
AGR,20091221,14.4995,14.4995,14.4995,14.4995,10310
AGR,20091222,15.1753,15.1753,13.8851,15.1753,908170
AGR,20091223,14.8067,15.3596,14.7452,14.8067,214170
AGR,20091224,14.7453,15.5440,14.6224,15.4211,362380
AGR,20091225,15.9740,16.1584,15.4211,16.1583,395360
AGR,20091228,15.3596,16.2812,15.3596,15.4211,163320
AGR,20091229,14.7453,15.3597,14.6838,14.6838,156660
AGR,20091230,15.3596,15.3596,14.6838,14.7452,139110
AGR,20091231,15.2367,15.3596,14.6223,14.7452,207850
AGR,20100104,15.0524,15.4825,15.0524,15.4825,302470
AGR,20100105,16.1583,16.2198,15.4825,15.6054,528380
AGR,20100106,15.4211,16.3427,15.2368,16.3426,445200
AGR,20100107,17.1413,17.1413,16.3426,17.0799,582470
AGR,20100108,17.9400,17.9400,16.3426,16.3426,465330
AGR,20100111,16.8955,16.9570,15.9740,16.5884,284470
AGR,20100112,16.4655,17.0185,15.7897,15.7897,211180
AGR,20100113,15.7897,16.2198,15.0524,16.2198,216360
AGR,20100114,16.8342,16.8342,16.2812,16.3426,275580
AGR,20100115,16.2812,16.3426,15.8511,15.9740,200790
AGR,20100118,15.3596,15.5439,15.1753,15.1753,306720
AGR,20100119,14.4380,14.7452,14.4380,14.4380,974900
AGR,20100120,13.8851,14.4380,13.8851,14.0080,327050
AGR,20100121,14.0080,14.3766,13.8237,14.1308,201070
AGR,20100122,13.6393,14.1922,13.6393,14.1308,100710
AGR,20100125,13.8236,14.1308,13.7007,14.0694,72260
AGR,20100126,14.1308,14.6838,14.1308,14.6838,194690
AGR,20100127,14.1923,14.5609,14.0080,14.0080,95470
AGR,20100128,14.0080,14.0080,13.5779,13.5779,51400
AGR,20100129,13.5165,13.6393,13.0864,13.2707,99210
AGR,20100201,13.1478,13.3936,13.1478,13.2707,21410
AGR,20100202,13.2707,13.2707,13.0249,13.2093,115600
AGR,20100203,13.2093,13.5165,13.2093,13.5165,56860
AGR,20100204,13.5165,13.8237,13.2707,13.5165,23350
AGR,20100205,13.5165,13.5165,13.1478,13.1478,107160
AGR,20100208,13.4550,13.4550,13.0864,13.0864,24640
AGR,20100209,12.8406,13.1478,12.7792,12.7792,63980
AGR,20100210,13.2093,13.2707,13.0864,13.1478,13440
AGR,20100211,13.3936,13.3936,13.1478,13.2707,47720
AGR,20100212,13.2707,13.8236,13.2707,13.7622,61750
AGR,20100222,14.1308,14.1308,13.7622,13.8237,22350
AGR,20100223,13.5165,13.5779,13.3322,13.5165,13350
AGR,20100224,13.0250,13.3936,13.0250,13.3321,42360
AGR,20100225,13.4550,13.5779,13.2092,13.2707,34750
AGR,20100226,13.2707,13.3936,13.1478,13.3936,44840
AGR,20100301,13.1478,13.6394,13.1478,13.5165,64870
AGR,20100302,13.3322,13.5165,13.2093,13.2707,66750
AGR,20100303,13.5165,13.5165,13.0864,13.4550,27060
AGR,20100304,14.0694,14.0694,13.5164,14.0080,277580
AGR,20100305,14.0080,14.0080,13.8237,13.8237,58020
AGR,20100308,14.3766,14.4995,14.1309,14.3152,130550
AGR,20100309,14.0080,14.3152,14.0080,14.0694,45000
AGR,20100310,13.8851,14.0080,13.5165,13.5165,90200
AGR,20100311,13.6394,13.6394,13.3936,13.5165,65530
AGR,20100312,13.8237,13.8237,13.5165,13.5165,61910
AGR,20100315,13.5165,13.7008,13.3936,13.4550,98410
AGR,20100316,14.0694,14.0694,14.0079,14.0694,476510
AGR,20100317,14.4380,14.4995,13.6393,13.6393,107720
AGR,20100318,13.8236,13.8851,13.5779,13.8237,44240
AGR,20100319,13.8237,13.9466,13.5165,13.6393,93590
AGR,20100322,13.5779,13.6393,13.3935,13.3936,131010
AGR,20100323,13.5165,13.6394,13.0864,13.0864,54380
AGR,20100324,13.0864,13.4550,13.0864,13.4550,90790
AGR,20100325,13.3321,13.3936,12.8406,12.9021,125370
AGR,20100326,13.1479,13.1479,12.5949,12.7792,61700
AGR,20100329,13.2093,13.2093,12.8406,12.8406,41040
AGR,20100330,12.6563,12.7177,12.3491,12.3491,121040
AGR,20100331,12.3491,12.7177,12.3491,12.4720,42810
AGR,20100401,12.5949,12.9021,12.4720,12.7792,42620
AGR,20100402,12.9635,12.9635,12.7792,12.7792,39190
AGR,20100405,12.6563,12.9021,12.5949,12.7792,41930
AGR,20100406,12.9021,13.0250,12.7792,12.7792,83180
AGR,20100407,12.7178,12.9021,12.7178,12.9021,46610
AGR,20100408,12.7178,12.9021,12.5949,12.6563,131830
AGR,20100409,12.6563,12.8406,12.6563,12.7178,50660
AGR,20100412,12.7178,12.8407,12.6563,12.6563,67090
AGR,20100413,12.7177,12.7177,12.5949,12.5949,34570
AGR,20100414,12.5949,12.5949,12.2877,12.5334,33830
AGR,20100415,12.5334,12.5334,12.4105,12.5334,78230
AGR,20100416,12.6563,12.7792,12.5334,12.6563,43890
AGR,20100419,12.4720,12.5949,12.4105,12.4106,45600
AGR,20100420,12.4106,12.5949,12.4106,12.5949,74000
AGR,20100421,12.4720,12.5949,12.4106,12.4720,46090
AGR,20100422,12.8406,13.0864,12.5949,13.0864,173450
AGR,20100426,13.7008,13.7008,13.7008,13.7008,116180
AGR,20100427,14.3766,14.3766,14.3766,14.3766,77280
AGR,20100428,15.0524,15.0524,15.0524,15.0524,165070
AGR,20100429,15.7897,15.7897,15.0524,15.2367,789880
AGR,20100504,14.5609,14.9295,14.4994,14.6224,347950
AGR,20100505,14.4381,14.6838,14.1309,14.1923,282930
AGR,20100506,14.3152,14.8681,14.1923,14.8681,456270
AGR,20100507,16.0245,16.0245,15.8593,15.9906,576230
