<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
AIC,20210310,15.0000,15.4000,15.0000,15.1000,9900
AIC,20210311,15.2000,15.2000,14.9000,15.1000,6460
AIC,20210312,15.1000,15.1000,15.0000,15.1000,5900
AIC,20210315,15.1000,15.4000,15.0000,15.4000,8387
AIC,20210316,15.2000,15.5000,15.1000,15.4000,4900
AIC,20210317,15.2000,16.0000,15.2000,16.0000,11340
AIC,20210318,16.0000,17.8000,16.0000,17.7000,26371
AIC,20210319,17.5000,18.9000,17.5000,18.6000,24088
AIC,20210322,18.6000,18.7000,17.9000,18.1000,13540
AIC,20210323,18.0000,18.0000,16.5000,17.9000,13188
AIC,20210324,17.2000,17.2000,16.8000,17.0000,9027
AIC,20210325,17.3000,17.3000,16.5000,17.3000,6215
AIC,20210326,16.9000,16.9000,16.9000,16.9000,0
AIC,20210329,15.5000,16.0000,15.5000,16.0000,11606
AIC,20210330,15.9000,15.9000,15.8000,15.8000,8960
AIC,20210331,15.5000,16.0000,15.5000,16.0000,4460
AIC,20210401,16.0000,16.1000,16.0000,16.0000,6955
AIC,20210402,16.0000,16.0000,15.5000,15.8000,6077
AIC,20210405,15.8000,16.3000,15.7000,16.3000,15951
AIC,20210406,16.3000,16.3000,16.0000,16.2000,14200
AIC,20210407,16.1000,16.1000,15.9000,16.0000,8735
AIC,20210408,15.9000,16.0000,15.8000,15.8000,5530
AIC,20210409,15.8000,15.9000,15.8000,15.9000,7400
AIC,20210412,16.0000,16.0000,15.8000,15.9000,2500
AIC,20210413,16.0000,16.0000,15.8000,15.8000,10112
AIC,20210414,15.9000,15.9000,15.6000,15.8000,4500
AIC,20210415,15.7000,15.7000,15.5000,15.5000,12170
AIC,20210416,15.5000,15.5000,15.3000,15.3000,4554
AIC,20210419,15.0000,15.2000,14.4000,14.4000,19925
AIC,20210420,14.7000,14.7000,14.0000,14.3000,6150
AIC,20210422,14.2000,14.2000,13.2000,13.5000,13500
AIC,20210423,13.5000,15.3000,13.5000,15.0000,800
AIC,20210426,13.1000,15.3000,13.1000,15.3000,3780
AIC,20210427,15.2000,15.2000,15.2000,15.2000,12
AIC,20210428,13.3000,15.2000,13.2000,15.0000,2700
AIC,20210429,14.3000,14.3000,13.9000,13.9000,4600
AIC,20210504,13.9000,14.3000,13.3000,13.5000,5900
AIC,20210505,13.7000,13.7000,13.5000,13.5000,3308
AIC,20210506,13.4000,13.5000,13.1000,13.1000,7300
AIC,20210507,13.1000,13.2000,13.1000,13.1000,5200
AIC,20210510,13.1000,13.1000,11.5000,12.1000,2200
AIC,20210511,11.9000,13.1000,11.9000,13.1000,2600
AIC,20210512,13.2000,13.4000,13.2000,13.4000,5700
AIC,20210513,13.3000,13.7000,12.8000,13.7000,1615
AIC,20210514,13.4000,13.4000,13.0000,13.0000,2600
AIC,20210517,13.3000,13.3000,12.6000,13.3000,1370
AIC,20210518,13.3000,13.3000,13.0000,13.0000,3000
AIC,20210519,13.4000,13.4000,13.0000,13.0000,900
AIC,20210520,12.6000,13.1000,12.6000,13.1000,1900
AIC,20210521,13.7000,13.7000,13.0000,13.0000,1500
AIC,20210524,13.0000,13.0000,12.3000,12.7000,1780
