<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
ALV,20100917,35.9000,35.9000,29.4000,32.5000,117200
ALV,20100920,34.0000,34.1000,34.0000,34.1000,53600
ALV,20100921,36.4000,36.4000,34.1000,34.9000,39100
ALV,20100922,35.6000,35.9000,32.7000,32.7000,17000
ALV,20100923,31.4000,32.8000,31.4000,31.4000,76700
ALV,20100924,32.0000,32.0000,31.8000,31.8000,5500
ALV,20100927,33.0000,33.0000,29.7000,29.7000,75600
ALV,20100928,30.9000,30.9000,27.9000,28.0000,20800
ALV,20100929,29.9000,29.9000,28.5000,28.5000,400
ALV,20100930,28.0000,28.0000,27.5000,27.5000,29400
ALV,20101001,27.0000,28.0000,25.6000,25.7000,64600
ALV,20101004,27.4000,27.4000,24.4000,24.4000,24800
ALV,20101005,22.8000,24.7000,22.8000,24.5000,27400
ALV,20101006,25.9000,25.9000,25.0000,25.4000,2200
ALV,20101007,25.8000,25.8000,23.4000,24.0000,7200
ALV,20101008,23.5000,23.6000,23.5000,23.5000,3700
ALV,20101011,22.1000,22.4000,21.9000,22.0000,28100
ALV,20101012,23.0000,23.0000,20.7000,21.8000,4400
ALV,20101013,22.3000,22.3000,22.3000,22.3000,500
ALV,20101014,23.1000,23.1000,21.0000,21.1000,19700
ALV,20101015,21.9000,21.9000,21.0000,21.9000,2600
ALV,20101018,22.2000,22.2000,19.9000,21.4000,6900
ALV,20101019,19.5000,19.5000,19.5000,19.5000,9000
ALV,20101020,18.2000,19.9000,18.2000,18.2000,2800
ALV,20101021,17.3000,19.7000,17.3000,18.2000,2100
ALV,20101022,19.5000,19.9000,17.8000,17.8000,34100
ALV,20101025,18.7000,18.7000,16.9000,16.9000,18700
ALV,20101026,17.8000,18.2000,17.8000,18.2000,29700
ALV,20101027,18.6000,18.7000,17.5000,17.5000,15800
ALV,20101028,17.1000,17.1000,17.1000,17.1000,8600
ALV,20101029,18.2000,18.2000,16.0000,16.0000,12100
ALV,20101101,17.8000,17.8000,15.6000,15.6000,18700
ALV,20101102,14.8000,15.8000,14.7000,15.0000,31600
ALV,20101103,14.8000,14.8000,13.8000,14.7000,21100
ALV,20101104,14.9000,15.0000,14.8000,15.0000,18100
ALV,20101105,15.8000,15.9000,15.8000,15.9000,24200
ALV,20101108,16.7000,16.7000,14.8000,15.2000,10700
ALV,20101109,15.2000,15.2000,14.1000,14.2000,42100
ALV,20101110,14.7000,14.9000,14.5000,14.5000,3500
ALV,20101111,14.0000,14.5000,13.6000,13.6000,20400
ALV,20101112,14.2000,14.2000,12.9000,13.0000,10400
ALV,20101115,13.8000,13.8000,12.2000,13.0000,4300
ALV,20101116,12.7000,13.4000,12.5000,13.4000,1900
ALV,20101117,13.5000,13.6000,12.8000,13.0000,8200
ALV,20101118,13.4000,13.6000,13.2000,13.4000,12500
ALV,20101119,13.7000,13.7000,12.6000,12.8000,21000
ALV,20101122,12.8000,13.0000,12.0000,12.1000,5900
ALV,20101123,12.9000,13.0000,12.9000,13.0000,5800
ALV,20101124,12.3000,12.8000,12.2000,12.8000,9400
ALV,20101125,13.0000,13.2000,12.6000,13.2000,29200
ALV,20101126,13.1000,13.7000,12.5000,13.1000,17400
ALV,20101129,13.9000,14.0000,13.9000,14.0000,27900
ALV,20101130,14.5000,14.9000,14.5000,14.9000,23600
ALV,20101201,15.9000,15.9000,15.0000,15.0000,46000
ALV,20101202,15.9000,16.5000,14.7000,15.9000,15600
ALV,20101203,17.2000,17.2000,15.3000,15.5000,40600
ALV,20101206,15.7000,16.7000,15.7000,16.5000,40600
ALV,20101207,16.5000,17.0000,15.4000,15.4000,13900
ALV,20101208,14.6000,14.6000,14.6000,14.6000,10700
ALV,20101209,13.6000,15.1000,13.6000,14.8000,28500
ALV,20101210,14.8000,14.8000,14.8000,14.8000,16200
ALV,20101213,15.8000,15.8000,15.4000,15.7000,38500
ALV,20101214,15.0000,16.0000,14.9000,14.9000,20100
ALV,20101215,15.2000,15.2000,14.3000,15.2000,9600
ALV,20101216,13.6000,13.7000,13.6000,13.6000,25500
ALV,20101217,12.7000,13.7000,12.7000,13.7000,17100
ALV,20101220,13.9000,13.9000,13.4000,13.9000,20700
ALV,20101221,14.7000,14.7000,14.6000,14.7000,10300
ALV,20101222,15.7000,15.7000,15.7000,15.7000,36900
ALV,20101223,16.6000,16.6000,15.0000,15.0000,42300
ALV,20101224,15.8000,15.8000,14.5000,14.6000,13400
ALV,20101227,15.5000,15.5000,13.6000,14.0000,48700
ALV,20101228,14.0000,14.9000,14.0000,14.9000,4600
ALV,20101229,15.7000,15.7000,14.0000,14.0000,3600
ALV,20101230,15.1000,15.1000,15.1000,15.1000,300
ALV,20101231,15.0000,15.0000,14.1000,14.2000,7400
ALV,20110104,14.9000,14.9000,14.0000,14.0000,10300
ALV,20110105,14.1000,14.3000,13.7000,14.1000,3100
ALV,20110106,14.0000,14.0000,13.9000,13.9000,1900
ALV,20110107,14.5000,14.5000,13.5000,13.6000,7900
ALV,20110110,14.4000,14.7000,13.8000,13.9000,8500
ALV,20110111,14.1000,14.3000,14.0000,14.0000,10600
ALV,20110112,14.2000,14.3000,14.2000,14.3000,13000
ALV,20110113,14.5000,15.0000,14.5000,14.9000,2700
ALV,20110114,15.1000,15.8000,15.1000,15.8000,104400
ALV,20110117,16.9000,16.9000,16.9000,16.9000,18200
ALV,20110118,18.0000,18.0000,17.0000,18.0000,227400
ALV,20110119,17.9000,19.1000,17.9000,19.1000,58800
ALV,20110120,20.2000,20.2000,18.0000,18.5000,44500
ALV,20110121,20.1000,20.1000,17.7000,17.7000,57000
ALV,20110124,18.1000,19.2000,16.9000,16.9000,25300
ALV,20110125,16.1000,16.1000,16.1000,16.1000,43900
ALV,20110126,15.2000,16.1000,15.0000,16.0000,29200
ALV,20110127,15.8000,16.3000,15.8000,16.2000,11300
ALV,20110128,16.7000,16.8000,16.1000,16.1000,8800
ALV,20110208,17.3000,17.3000,15.4000,16.3000,16300
ALV,20110209,16.0000,16.4000,15.0000,15.1000,20300
ALV,20110210,14.7000,15.4000,14.6000,14.6000,18100
ALV,20110211,14.7000,15.4000,14.6000,14.6000,13800
ALV,20110214,16.0000,16.0000,14.8000,15.0000,25300
ALV,20110215,15.1000,15.1000,14.5000,14.6000,12100
ALV,20110216,15.6000,15.6000,14.2000,14.4000,22200
ALV,20110217,14.2000,14.2000,14.0000,14.2000,14800
ALV,20110218,14.3000,14.3000,13.8000,13.8000,14200
ALV,20110221,13.6000,13.6000,13.1000,13.1000,23100
ALV,20110222,12.3000,13.2000,12.2000,12.4000,35100
ALV,20110223,13.0000,13.0000,12.0000,12.8000,20100
ALV,20110224,12.3000,12.3000,11.7000,12.0000,15800
ALV,20110225,12.7000,12.8000,12.1000,12.8000,11500
ALV,20110228,13.3000,13.3000,12.6000,12.7000,8200
ALV,20110301,12.9000,12.9000,12.1000,12.7000,9500
ALV,20110302,11.9000,11.9000,11.5000,11.5000,22800
ALV,20110303,11.4000,11.4000,10.9000,10.9000,12700
ALV,20110304,11.6000,11.6000,11.0000,11.4000,3200
ALV,20110307,11.1000,11.1000,11.0000,11.0000,5100
ALV,20110308,11.5000,11.5000,11.0000,11.0000,4900
ALV,20110309,10.9000,10.9000,10.5000,10.5000,9300
