<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
ANT,20161222,16.1000,16.1000,16.1000,16.1000,11000
ANT,20161223,18.5000,18.5000,18.5000,18.5000,4700
ANT,20161226,20.0000,20.0000,20.0000,20.0000,3700
ANT,20161227,17.0000,17.0000,17.0000,17.0000,800
ANT,20161228,16.1000,16.1000,14.5000,16.0000,4400
ANT,20161229,15.0000,16.0000,15.0000,16.0000,600
ANT,20161230,16.0000,16.0000,16.0000,16.0000,1000
ANT,20170103,16.0000,16.0000,16.0000,16.0000,0
ANT,20170104,15.0000,15.0000,15.0000,15.0000,300
ANT,20170105,15.0000,15.0000,15.0000,15.0000,0
ANT,20170106,15.0000,15.0000,15.0000,15.0000,0
ANT,20170109,15.0000,15.0000,15.0000,15.0000,0
ANT,20170110,15.0000,15.0000,15.0000,15.0000,0
ANT,20170111,15.0000,15.0000,15.0000,15.0000,2000
ANT,20170112,15.0000,15.0000,15.0000,15.0000,0
ANT,20170113,15.0000,15.0000,15.0000,15.0000,0
ANT,20170116,15.0000,15.0000,15.0000,15.0000,0
ANT,20170117,15.0000,15.0000,15.0000,15.0000,0
ANT,20170118,15.0000,15.0000,15.0000,15.0000,0
ANT,20170119,15.0000,15.0000,15.0000,15.0000,0
ANT,20170120,15.0000,15.0000,15.0000,15.0000,0
ANT,20170123,15.0000,15.0000,15.0000,15.0000,0
ANT,20170124,15.0000,15.0000,15.0000,15.0000,0
ANT,20170125,14.5000,14.6000,14.5000,14.6000,8000
ANT,20170202,14.0000,14.0000,14.0000,14.0000,300
ANT,20170203,14.0000,14.0000,14.0000,14.0000,0
ANT,20170206,14.0000,15.0000,14.0000,15.0000,3000
ANT,20170207,14.0000,14.0000,14.0000,14.0000,200
ANT,20170208,14.0000,14.0000,14.0000,14.0000,0
ANT,20170209,14.0000,14.0000,14.0000,14.0000,0
ANT,20170210,13.5000,13.5000,13.5000,13.5000,500
ANT,20170213,13.5000,13.5000,13.5000,13.5000,0
ANT,20170214,13.5000,13.5000,13.5000,13.5000,0
ANT,20170215,13.5000,13.5000,13.5000,13.5000,0
ANT,20170216,13.5000,13.5000,13.5000,13.5000,0
ANT,20170217,13.5000,13.5000,13.5000,13.5000,200
ANT,20170220,14.0000,14.0000,14.0000,14.0000,5100
ANT,20170221,13.5000,13.5000,13.5000,13.5000,600
ANT,20170222,13.5000,13.5000,13.5000,13.5000,0
ANT,20170223,13.5000,13.5000,13.5000,13.5000,0
ANT,20170224,13.5000,13.5000,13.5000,13.5000,0
ANT,20170227,13.5000,13.5000,13.5000,13.5000,0
ANT,20170228,13.5000,13.5000,13.5000,13.5000,0
ANT,20170301,13.5000,13.5000,13.5000,13.5000,2100
ANT,20170302,13.5000,13.5000,13.5000,13.5000,0
ANT,20170303,13.4000,13.4000,13.4000,13.4000,4000
ANT,20170306,13.2000,13.2000,13.2000,13.2000,1200
ANT,20170307,13.4000,13.4000,13.4000,13.4000,2050
ANT,20170308,14.0000,14.0000,14.0000,14.0000,100
