<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
API,20091026,3.9350,4.1536,3.0606,3.9350,116960
API,20091027,3.9350,4.1973,3.8038,4.1099,26700
API,20091028,4.3285,4.3723,4.3285,4.3723,8300
API,20091029,4.8095,4.8095,4.5909,4.5909,6100
API,20091030,4.8095,5.1156,4.2411,4.2411,29410
API,20091102,4.1537,4.1537,4.0225,4.1537,10300
API,20091103,3.7602,4.0225,3.7601,3.7601,52900
API,20091104,3.9350,3.9350,3.9350,3.9350,20
API,20091105,3.9350,3.9350,3.9350,3.9350,15500
API,20091106,4.3285,4.3285,3.8913,3.8913,39800
API,20091109,3.9350,3.9350,3.8039,3.8476,17000
API,20091110,3.8476,3.9350,3.8476,3.9350,37000
API,20091111,3.8913,4.3285,3.5852,3.5853,9600
API,20091112,3.7165,3.8039,3.5853,3.8039,55000
API,20091113,3.6727,4.0225,3.5416,3.8913,0
API,20091116,3.8913,4.0662,3.8913,4.0662,100110
API,20091117,3.9350,3.9350,3.9350,3.9350,2000
API,20091118,3.8038,3.9350,3.7164,3.9350,22100
API,20091119,4.1099,4.1099,3.8913,4.1099,22500
API,20091120,3.9350,4.0225,3.8913,3.8913,3050
API,20091123,4.3722,4.3722,3.5852,3.5853,36900
API,20091124,4.2411,4.2411,3.5416,3.5853,7300
API,20091125,4.0225,4.0225,3.3229,3.3229,18335
API,20091126,3.1480,3.7601,3.1480,3.4541,31415
API,20091127,3.5415,3.5415,3.1043,3.1480,25890
API,20091130,3.2354,3.2354,3.1043,3.1918,3700
API,20091201,3.0606,3.4979,3.0606,3.1918,12370
API,20091202,3.1044,3.1481,2.9732,3.1043,34000
API,20091203,3.0606,3.4104,3.0606,3.4104,40170
API,20091204,3.3667,3.4541,3.3667,3.4541,1500
API,20091207,3.1043,3.3667,3.1043,3.3666,8300
API,20091208,3.1917,3.1918,3.1917,3.1918,30400
API,20091209,3.4979,3.4979,3.4978,3.4978,1500
API,20091210,3.8476,3.8476,3.1480,3.1480,3500
API,20091211,3.0606,3.3229,3.0606,3.3229,32400
API,20091214,3.1917,3.1918,3.1917,3.1918,0
API,20091215,3.3230,3.4104,3.1918,3.1918,11750
API,20091216,3.3230,3.3230,3.3229,3.3229,7200
API,20091217,3.6290,3.6290,3.6290,3.6290,500
API,20091218,3.9788,3.9788,3.2792,3.9788,4100
API,20091221,3.9788,3.9788,3.2792,3.2792,19220
API,20091222,3.5853,3.5853,3.2792,3.2792,9880
API,20091223,3.2792,3.2792,3.2792,3.2792,12000
API,20091224,3.5853,3.5853,3.2355,3.2792,3500
API,20091225,3.3229,3.3229,3.2792,3.3229,58300
API,20091228,3.2792,3.4541,3.2792,3.4104,21100
API,20091229,3.2792,3.2792,3.1918,3.2355,13000
API,20091230,3.5416,3.5416,3.4541,3.4541,7000
API,20091231,3.8476,3.8476,3.2792,3.3666,76900
API,20100104,3.4978,4.0225,3.4978,4.0225,78500
API,20100105,3.9351,4.0225,3.4978,3.4978,13050
API,20100106,3.4978,3.6727,3.3229,3.4104,17600
API,20100107,3.4104,3.4104,3.3229,3.3229,3200
API,20100108,3.4978,3.4978,3.2792,3.3666,41340
API,20100111,3.6727,3.6727,3.4978,3.4978,24060
API,20100112,3.8039,3.8476,3.1480,3.2792,19820
API,20100113,3.2792,3.4541,3.2792,3.4104,26000
API,20100114,3.6727,3.6727,3.0606,3.4978,77535
API,20100115,4.0225,4.0225,3.3229,4.0225,386415
API,20100118,3.7164,3.9351,3.7164,3.7601,43300
API,20100119,4.0224,4.0224,3.6727,3.9788,16900
API,20100120,3.9351,3.9351,3.6290,3.8039,13300
API,20100121,3.7165,3.8476,3.4978,3.5415,31500
API,20100122,3.4978,3.5415,3.4978,3.5415,17400
API,20100125,3.5415,3.5415,3.5415,3.5415,200
API,20100126,3.8913,3.8913,3.6289,3.6290,41300
API,20100127,3.8913,3.8913,3.4978,3.5415,10060
API,20100128,3.2792,3.8913,3.1917,3.2792,51000
API,20100129,3.1480,3.7601,3.1480,3.2792,64050
API,20100201,3.4978,3.7601,3.4104,3.7601,4000
API,20100202,3.4978,3.9787,3.2792,3.4541,87250
API,20100203,3.8913,3.8913,3.4104,3.4104,6000
API,20100204,3.5416,3.8914,3.2792,3.3666,6400
API,20100205,3.4978,3.6727,3.2354,3.2792,12530
API,20100208,3.1918,3.4541,3.1918,3.1918,70475
API,20100209,3.4979,3.4979,3.1918,3.2792,16100
API,20100210,3.3229,3.3229,3.2792,3.2792,1400
API,20100211,3.5853,3.5853,3.4104,3.4104,2010
API,20100212,3.3667,3.4104,3.3230,3.3666,15970
