<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
APL,20161014,18.0000,18.0000,18.0000,18.0000,0
APL,20161017,18.0000,18.0000,18.0000,18.0000,0
APL,20161018,18.0000,18.0000,18.0000,18.0000,0
APL,20161019,18.0000,18.0000,18.0000,18.0000,0
APL,20161020,18.0000,18.0000,18.0000,18.0000,0
APL,20161021,18.0000,18.0000,18.0000,18.0000,0
APL,20161024,18.0000,18.0000,18.0000,18.0000,0
APL,20161025,18.0000,18.0000,18.0000,18.0000,0
APL,20161026,18.0000,18.0000,18.0000,18.0000,0
APL,20161027,18.0000,18.0000,18.0000,18.0000,0
APL,20161028,18.0000,18.0000,18.0000,18.0000,0
APL,20161031,18.0000,18.0000,18.0000,18.0000,0
APL,20161101,18.0000,18.0000,18.0000,18.0000,0
APL,20161102,18.0000,18.0000,18.0000,18.0000,0
APL,20161103,18.0000,18.0000,18.0000,18.0000,0
APL,20161104,18.0000,18.0000,18.0000,18.0000,0
APL,20161107,18.0000,18.0000,18.0000,18.0000,0
APL,20161108,18.0000,18.0000,18.0000,18.0000,0
APL,20161109,18.0000,18.0000,18.0000,18.0000,0
APL,20161110,18.0000,18.0000,18.0000,18.0000,0
APL,20161111,18.0000,18.0000,18.0000,18.0000,0
APL,20161114,18.0000,18.0000,18.0000,18.0000,0
APL,20161115,18.0000,18.0000,18.0000,18.0000,0
APL,20161116,18.0000,18.0000,18.0000,18.0000,0
APL,20161117,18.0000,18.0000,18.0000,18.0000,0
APL,20161118,18.0000,18.0000,18.0000,18.0000,0
APL,20161121,18.0000,18.0000,18.0000,18.0000,0
APL,20161122,18.0000,18.0000,18.0000,18.0000,0
APL,20161123,18.0000,18.0000,18.0000,18.0000,0
APL,20161124,18.0000,18.0000,18.0000,18.0000,0
APL,20161125,18.0000,18.0000,18.0000,18.0000,0
APL,20161128,18.0000,18.0000,18.0000,18.0000,0
APL,20161129,18.0000,18.0000,18.0000,18.0000,0
APL,20161130,18.0000,18.0000,18.0000,18.0000,0
APL,20161201,18.0000,18.0000,18.0000,18.0000,0
APL,20161202,18.0000,18.0000,18.0000,18.0000,0
APL,20161205,18.0000,18.0000,18.0000,18.0000,0
APL,20161206,18.0000,18.0000,18.0000,18.0000,0
APL,20161207,18.0000,18.0000,18.0000,18.0000,0
APL,20161208,18.0000,18.0000,18.0000,18.0000,0
APL,20161209,18.0000,18.0000,18.0000,18.0000,0
APL,20161212,18.0000,18.0000,18.0000,18.0000,0
APL,20161213,18.0000,18.0000,18.0000,18.0000,0
APL,20161214,18.0000,18.0000,18.0000,18.0000,0
APL,20161215,18.0000,18.0000,18.0000,18.0000,0
APL,20161216,18.0000,18.0000,18.0000,18.0000,0
APL,20161219,18.0000,18.0000,18.0000,18.0000,0
APL,20161220,18.0000,18.0000,18.0000,18.0000,0
APL,20161221,18.0000,18.0000,18.0000,18.0000,0
APL,20161222,18.0000,18.0000,18.0000,18.0000,0
APL,20161223,18.0000,18.0000,18.0000,18.0000,0
APL,20161226,18.0000,18.0000,18.0000,18.0000,0
APL,20161227,18.0000,18.0000,18.0000,18.0000,0
APL,20161228,18.0000,18.0000,18.0000,18.0000,0
APL,20161229,18.0000,18.0000,18.0000,18.0000,0
APL,20161230,18.0000,18.0000,18.0000,18.0000,0
APL,20170103,18.0000,18.0000,18.0000,18.0000,0
APL,20170104,18.0000,18.0000,18.0000,18.0000,0
APL,20170105,18.0000,18.0000,18.0000,18.0000,0
APL,20170106,18.0000,18.0000,18.0000,18.0000,0
APL,20170109,18.0000,18.0000,18.0000,18.0000,0
APL,20170110,18.0000,18.0000,18.0000,18.0000,0
APL,20170111,18.0000,18.0000,18.0000,18.0000,0
APL,20170112,18.0000,18.0000,18.0000,18.0000,0
APL,20170113,18.0000,18.0000,18.0000,18.0000,0
APL,20170116,18.0000,18.0000,18.0000,18.0000,0
APL,20170117,18.0000,18.0000,18.0000,18.0000,0
APL,20170118,18.0000,18.0000,18.0000,18.0000,0
APL,20170119,18.0000,18.0000,18.0000,18.0000,0
APL,20170120,18.0000,18.0000,18.0000,18.0000,0
APL,20170123,18.0000,18.0000,18.0000,18.0000,0
APL,20170124,18.0000,18.0000,18.0000,18.0000,0
APL,20170125,18.0000,18.0000,18.0000,18.0000,0
APL,20170202,18.0000,18.0000,18.0000,18.0000,0
APL,20170203,18.0000,18.0000,18.0000,18.0000,0
APL,20170206,18.0000,18.0000,18.0000,18.0000,0
APL,20170207,18.0000,18.0000,18.0000,18.0000,0
APL,20170208,18.0000,18.0000,18.0000,18.0000,0
APL,20170209,18.0000,18.0000,18.0000,18.0000,0
APL,20170210,18.0000,18.0000,18.0000,18.0000,0
APL,20170213,18.0000,18.0000,18.0000,18.0000,0
APL,20170214,18.0000,18.0000,18.0000,18.0000,0
APL,20170215,18.0000,18.0000,18.0000,18.0000,0
APL,20170216,18.0000,18.0000,18.0000,18.0000,0
APL,20170217,18.0000,18.0000,18.0000,18.0000,0
APL,20170220,18.0000,18.0000,18.0000,18.0000,0
APL,20170221,18.0000,18.0000,18.0000,18.0000,0
APL,20170222,18.0000,18.0000,18.0000,18.0000,0
APL,20170223,18.0000,18.0000,18.0000,18.0000,0
APL,20170224,18.0000,18.0000,18.0000,18.0000,0
APL,20170227,18.0000,18.0000,18.0000,18.0000,0
APL,20170228,18.0000,18.0000,18.0000,18.0000,0
APL,20170301,18.0000,18.0000,18.0000,18.0000,0
APL,20170302,18.0000,18.0000,18.0000,18.0000,0
APL,20170303,18.0000,18.0000,18.0000,18.0000,0
APL,20170306,18.0000,18.0000,18.0000,18.0000,0
APL,20170307,18.0000,18.0000,18.0000,18.0000,0
APL,20170308,18.0000,18.0000,18.0000,18.0000,0
APL,20170309,18.0000,18.0000,18.0000,18.0000,0
APL,20170310,18.0000,18.0000,18.0000,18.0000,0
APL,20170313,18.0000,18.0000,18.0000,18.0000,0
APL,20170314,18.0000,18.0000,18.0000,18.0000,0
APL,20170315,18.0000,18.0000,18.0000,18.0000,0
APL,20170316,18.0000,18.0000,18.0000,18.0000,0
APL,20170317,18.0000,18.0000,18.0000,18.0000,0
APL,20170320,18.0000,18.0000,18.0000,18.0000,0
APL,20170321,18.0000,18.0000,18.0000,18.0000,0
APL,20170322,18.0000,18.0000,18.0000,18.0000,0
APL,20170323,18.0000,18.0000,18.0000,18.0000,0
APL,20170324,18.0000,18.0000,18.0000,18.0000,0
APL,20170327,18.0000,18.0000,18.0000,18.0000,0
APL,20170328,18.0000,18.0000,18.0000,18.0000,0
APL,20170329,18.0000,18.0000,18.0000,18.0000,0
APL,20170330,18.0000,18.0000,18.0000,18.0000,0
APL,20170331,18.0000,18.0000,18.0000,18.0000,0
APL,20170403,18.0000,18.0000,18.0000,18.0000,0
APL,20170404,18.0000,18.0000,18.0000,18.0000,0
APL,20170405,18.0000,18.0000,18.0000,18.0000,0
APL,20170407,18.0000,18.0000,18.0000,18.0000,0
APL,20170410,18.0000,18.0000,18.0000,18.0000,0
APL,20170411,18.0000,18.0000,18.0000,18.0000,0
APL,20170412,11.6819,11.6819,11.6819,11.6819,0
APL,20170413,11.6819,11.6819,11.6819,11.6819,0
APL,20170414,11.6819,11.6819,11.6819,11.6819,0
APL,20170417,11.6819,11.6819,11.6819,11.6819,0
APL,20170418,11.6819,11.6819,11.6819,11.6819,0
APL,20170419,11.6819,11.6819,11.6819,11.6819,0
APL,20170420,11.6819,11.6819,11.6819,11.6819,0
APL,20170421,11.6819,11.6819,11.6819,11.6819,0
APL,20170424,11.6819,11.6819,11.6819,11.6819,0
APL,20170425,11.6819,11.6819,11.6819,11.6819,0
APL,20170426,11.6819,11.6819,11.6819,11.6819,0
APL,20170427,11.6819,11.6819,11.6819,11.6819,0
APL,20170428,11.6819,11.6819,11.6819,11.6819,0
APL,20170503,11.6819,11.6819,11.6819,11.6819,0
APL,20170504,11.6819,11.6819,11.6819,11.6819,0
APL,20170505,11.6819,11.6819,11.6819,11.6819,0
APL,20170508,11.6819,11.6819,11.6819,11.6819,0
APL,20170509,11.6819,11.6819,11.6819,11.6819,0
APL,20170510,11.6819,11.6819,11.6819,11.6819,0
APL,20170511,11.6819,11.6819,11.6819,11.6819,0
APL,20170512,11.6819,11.6819,11.6819,11.6819,0
APL,20170515,11.6819,11.6819,11.6819,11.6819,0
APL,20170516,11.6819,11.6819,11.6819,11.6819,0
APL,20170517,11.6819,11.6819,11.6819,11.6819,0
APL,20170518,11.6819,11.6819,11.6819,11.6819,0
APL,20170519,11.6819,11.6819,11.6819,11.6819,0
APL,20170522,11.6819,11.6819,11.6819,11.6819,0
APL,20170523,11.6819,11.6819,11.6819,11.6819,0
APL,20170524,11.6819,11.6819,11.6819,11.6819,0
APL,20170525,11.6819,11.6819,11.6819,11.6819,0
APL,20170526,11.6819,11.6819,11.6819,11.6819,0
APL,20170529,11.6819,11.6819,11.6819,11.6819,0
APL,20170530,11.6819,11.6819,11.6819,11.6819,0
APL,20170531,11.6819,11.6819,11.6819,11.6819,0
APL,20170601,11.6819,11.6819,11.6819,11.6819,0
APL,20170602,11.6819,11.6819,11.6819,11.6819,0
APL,20170605,11.6819,11.6819,11.6819,11.6819,0
APL,20170606,11.6819,11.6819,11.6819,11.6819,0
APL,20170607,11.6819,11.6819,11.6819,11.6819,0
APL,20170608,11.6819,11.6819,11.6819,11.6819,0
APL,20170609,11.6819,11.6819,11.6819,11.6819,0
APL,20170612,11.6819,11.6819,11.6819,11.6819,0
APL,20170613,11.6819,11.6819,11.6819,11.6819,0
APL,20170614,11.6819,11.6819,11.6819,11.6819,0
APL,20170615,11.6819,11.6819,11.6819,11.6819,0
APL,20170616,11.6819,11.6819,11.6819,11.6819,0
APL,20170619,11.6819,11.6819,11.6819,11.6819,0
APL,20170620,11.6819,11.6819,11.6819,11.6819,0
APL,20170621,11.6819,11.6819,11.6819,11.6819,0
APL,20170622,11.6819,11.6819,11.6819,11.6819,0
APL,20170623,11.6819,11.6819,11.6819,11.6819,0
APL,20170626,11.6819,11.6819,11.6819,11.6819,0
APL,20170627,11.6819,11.6819,11.6819,11.6819,0
APL,20170628,11.6819,11.6819,11.6819,11.6819,0
APL,20170629,11.6819,11.6819,11.6819,11.6819,0
APL,20170630,11.6819,11.6819,11.6819,11.6819,0
APL,20170703,11.6819,11.6819,11.6819,11.6819,0
APL,20170704,11.6819,11.6819,11.6819,11.6819,0
APL,20170705,11.6819,11.6819,11.6819,11.6819,0
APL,20170706,11.6819,11.6819,11.6819,11.6819,0
APL,20170707,11.6819,11.6819,11.6819,11.6819,0
APL,20170710,11.6819,11.6819,11.6819,11.6819,0
APL,20170711,11.6819,11.6819,11.6819,11.6819,0
APL,20170712,11.6819,11.6819,11.6819,11.6819,0
APL,20170713,11.6819,11.6819,11.6819,11.6819,0
APL,20170714,11.6819,11.6819,11.6819,11.6819,0
APL,20170717,11.6819,11.6819,11.6819,11.6819,0
APL,20170718,11.6819,11.6819,11.6819,11.6819,0
APL,20170719,11.6819,11.6819,11.6819,11.6819,0
APL,20170720,11.6819,11.6819,11.6819,11.6819,0
APL,20170721,11.6819,11.6819,11.6819,11.6819,0
APL,20170724,11.6819,11.6819,11.6819,11.6819,0
APL,20170725,11.6819,11.6819,11.6819,11.6819,0
APL,20170726,11.6819,11.6819,11.6819,11.6819,0
APL,20170727,11.6819,11.6819,11.6819,11.6819,0
APL,20170728,11.6819,11.6819,11.6819,11.6819,0
APL,20170731,11.6819,11.6819,11.6819,11.6819,0
APL,20170801,11.6819,11.6819,11.6819,11.6819,0
APL,20170802,11.6819,11.6819,11.6819,11.6819,0
APL,20170803,11.6819,11.6819,11.6819,11.6819,0
APL,20170804,11.6819,11.6819,11.6819,11.6819,0
APL,20170807,11.6819,11.6819,11.6819,11.6819,0
APL,20170808,11.6819,11.6819,11.6819,11.6819,0
APL,20170809,11.6819,11.6819,11.6819,11.6819,0
APL,20170810,11.6819,11.6819,11.6819,11.6819,0
APL,20170811,11.6819,11.6819,11.6819,11.6819,0
APL,20170814,11.6819,11.6819,11.6819,11.6819,0
APL,20170815,11.6819,11.6819,11.6819,11.6819,0
APL,20170816,11.6819,11.6819,11.6819,11.6819,0
APL,20170817,11.6819,11.6819,11.6819,11.6819,0
APL,20170818,11.6819,11.6819,11.6819,11.6819,0
APL,20170821,11.6819,11.6819,11.6819,11.6819,0
APL,20170822,11.6819,11.6819,11.6819,11.6819,0
APL,20170823,11.6819,11.6819,11.6819,11.6819,0
APL,20170824,11.6819,11.6819,11.6819,11.6819,0
APL,20170825,11.6819,11.6819,11.6819,11.6819,0
APL,20170828,11.6819,11.6819,11.6819,11.6819,0
APL,20170829,11.6819,11.6819,11.6819,11.6819,0
APL,20170830,11.6819,11.6819,11.6819,11.6819,0
APL,20170831,11.6819,11.6819,11.6819,11.6819,0
APL,20170901,11.6819,11.6819,11.6819,11.6819,0
APL,20170905,11.6819,11.6819,11.6819,11.6819,0
APL,20170906,11.6819,11.6819,11.6819,11.6819,0
APL,20170907,11.6819,11.6819,11.6819,11.6819,0
APL,20170908,11.6819,11.6819,11.6819,11.6819,0
APL,20170911,11.6819,11.6819,11.6819,11.6819,0
APL,20170912,11.6819,11.6819,11.6819,11.6819,0
APL,20170913,11.6819,11.6819,11.6819,11.6819,0
APL,20170914,11.6819,11.6819,11.6819,11.6819,0
APL,20170915,11.6819,11.6819,11.6819,11.6819,0
APL,20170918,11.6819,11.6819,11.6819,11.6819,0
APL,20170919,11.6819,11.6819,11.6819,11.6819,0
APL,20170920,11.6819,11.6819,11.6819,11.6819,0
APL,20170921,11.6819,11.6819,11.6819,11.6819,0
APL,20170922,11.6819,11.6819,11.6819,11.6819,0
APL,20170925,11.6819,11.6819,11.6819,11.6819,0
APL,20170926,11.6819,11.6819,11.6819,11.6819,0
APL,20170927,11.6819,11.6819,11.6819,11.6819,0
APL,20170928,11.6819,11.6819,11.6819,11.6819,0
APL,20170929,11.6819,11.6819,11.6819,11.6819,0
APL,20171002,11.6819,11.6819,11.6819,11.6819,0
APL,20171003,11.6819,11.6819,11.6819,11.6819,0
APL,20171004,11.6819,11.6819,11.6819,11.6819,0
APL,20171005,11.6819,11.6819,11.6819,11.6819,0
APL,20171006,11.6819,11.6819,11.6819,11.6819,0
APL,20171009,11.6819,11.6819,11.6819,11.6819,0
APL,20171010,11.6819,11.6819,11.6819,11.6819,0
APL,20171011,11.6819,11.6819,11.6819,11.6819,0
APL,20171012,11.6819,11.6819,11.6819,11.6819,0
APL,20171013,11.6819,11.6819,11.6819,11.6819,0
APL,20171016,11.6819,11.6819,11.6819,11.6819,0
APL,20171017,11.6819,11.6819,11.6819,11.6819,0
APL,20171018,11.6819,11.6819,11.6819,11.6819,0
APL,20171019,11.6819,11.6819,11.6819,11.6819,0
APL,20171020,11.6819,11.6819,11.6819,11.6819,0
APL,20171023,11.6819,11.6819,11.6819,11.6819,0
APL,20171024,11.6819,11.6819,11.6819,11.6819,0
APL,20171025,11.6819,11.6819,11.6819,11.6819,0
APL,20171026,11.6819,11.6819,11.6819,11.6819,0
APL,20171027,11.6819,11.6819,11.6819,11.6819,0
APL,20171030,11.6819,11.6819,11.6819,11.6819,0
APL,20171031,11.6819,11.6819,11.6819,11.6819,0
APL,20171101,11.6819,11.6819,11.6819,11.6819,0
APL,20171102,11.6819,11.6819,11.6819,11.6819,0
APL,20171103,11.6819,11.6819,11.6819,11.6819,0
APL,20171106,11.6819,11.6819,11.6819,11.6819,0
APL,20171107,11.6819,11.6819,11.6819,11.6819,0
APL,20171108,11.6819,11.6819,11.6819,11.6819,0
APL,20171109,11.6819,11.6819,11.6819,11.6819,0
APL,20171110,11.6819,11.6819,11.6819,11.6819,0
APL,20171113,11.6819,11.6819,11.6819,11.6819,0
APL,20171114,11.6819,11.6819,11.6819,11.6819,0
APL,20171115,11.6819,11.6819,11.6819,11.6819,0
APL,20171116,11.6819,11.6819,11.6819,11.6819,0
APL,20171117,11.6819,11.6819,11.6819,11.6819,0
APL,20171120,11.6819,11.6819,11.6819,11.6819,0
APL,20171121,11.6819,11.6819,11.6819,11.6819,0
APL,20171122,11.6819,11.6819,11.6819,11.6819,0
APL,20171123,11.6819,11.6819,11.6819,11.6819,0
APL,20171124,11.6819,11.6819,11.6819,11.6819,0
APL,20171127,11.6819,11.6819,11.6819,11.6819,0
APL,20171128,11.6819,11.6819,11.6819,11.6819,0
APL,20171129,11.6819,11.6819,11.6819,11.6819,0
APL,20171130,11.6819,11.6819,11.6819,11.6819,0
APL,20171201,11.6819,11.6819,11.6819,11.6819,0
APL,20171204,11.6819,11.6819,11.6819,11.6819,0
APL,20171205,11.6819,11.6819,11.6819,11.6819,0
APL,20171206,11.6819,11.6819,11.6819,11.6819,0
APL,20171207,11.6819,11.6819,11.6819,11.6819,0
APL,20171208,11.6819,11.6819,11.6819,11.6819,0
APL,20171211,11.6819,11.6819,11.6819,11.6819,0
APL,20171212,11.6819,11.6819,11.6819,11.6819,0
APL,20171213,11.6819,11.6819,11.6819,11.6819,0
APL,20171214,11.6819,11.6819,11.6819,11.6819,0
APL,20171215,11.6819,11.6819,11.6819,11.6819,0
APL,20171218,11.6819,11.6819,11.6819,11.6819,0
APL,20171219,11.6819,11.6819,11.6819,11.6819,0
APL,20171220,11.6819,11.6819,11.6819,11.6819,0
APL,20171221,11.6819,11.6819,11.6819,11.6819,0
APL,20171222,11.6819,11.6819,11.6819,11.6819,0
APL,20171225,11.6819,11.6819,11.6819,11.6819,0
APL,20171226,11.6819,11.6819,11.6819,11.6819,0
APL,20171227,11.6819,11.6819,11.6819,11.6819,0
APL,20171228,11.6819,11.6819,11.6819,11.6819,0
APL,20171229,11.6819,11.6819,11.6819,11.6819,0
APL,20180102,11.6819,11.6819,11.6819,11.6819,0
APL,20180103,11.6819,11.6819,11.6819,11.6819,0
APL,20180104,11.6819,11.6819,11.6819,11.6819,0
APL,20180105,11.6819,11.6819,11.6819,11.6819,0
APL,20180108,11.6819,11.6819,11.6819,11.6819,0
APL,20180109,11.6819,11.6819,11.6819,11.6819,0
APL,20180110,11.6819,11.6819,11.6819,11.6819,0
APL,20180111,11.6819,11.6819,11.6819,11.6819,0
APL,20180112,11.6819,11.6819,11.6819,11.6819,0
APL,20180115,11.6819,11.6819,11.6819,11.6819,0
APL,20180116,11.6819,11.6819,11.6819,11.6819,0
APL,20180117,11.6819,11.6819,11.6819,11.6819,0
APL,20180118,11.6819,11.6819,11.6819,11.6819,0
APL,20180119,11.6819,11.6819,11.6819,11.6819,0
APL,20180122,11.6819,11.6819,11.6819,11.6819,0
APL,20180123,11.6819,11.6819,11.6819,11.6819,0
APL,20180124,11.6819,11.6819,11.6819,11.6819,0
APL,20180125,11.6819,11.6819,11.6819,11.6819,0
APL,20180126,11.6819,11.6819,11.6819,11.6819,0
APL,20180129,11.6819,11.6819,11.6819,11.6819,0
APL,20180130,11.6819,11.6819,11.6819,11.6819,0
APL,20180131,11.6819,11.6819,11.6819,11.6819,0
APL,20180201,11.6819,11.6819,11.6819,11.6819,0
APL,20180202,11.6819,11.6819,11.6819,11.6819,0
APL,20180205,11.6819,11.6819,11.6819,11.6819,0
APL,20180206,11.6819,11.6819,11.6819,11.6819,0
APL,20180207,11.6819,11.6819,11.6819,11.6819,0
APL,20180208,11.6819,11.6819,11.6819,11.6819,0
APL,20180209,11.6819,11.6819,11.6819,11.6819,0
APL,20180212,11.6819,11.6819,11.6819,11.6819,0
APL,20180213,11.6819,11.6819,11.6819,11.6819,0
APL,20180221,11.6819,11.6819,11.6819,11.6819,0
APL,20180222,11.6819,11.6819,11.6819,11.6819,0
APL,20180223,11.6819,11.6819,11.6819,11.6819,0
APL,20180226,11.6819,11.6819,11.6819,11.6819,0
APL,20180227,11.6819,11.6819,11.6819,11.6819,0
APL,20180228,11.6819,11.6819,11.6819,11.6819,0
APL,20180301,11.6819,11.6819,11.6819,11.6819,0
APL,20180302,11.6819,11.6819,11.6819,11.6819,0
APL,20180305,11.6819,11.6819,11.6819,11.6819,0
APL,20180306,11.6819,11.6819,11.6819,11.6819,0
APL,20180307,11.6819,11.6819,11.6819,11.6819,0
APL,20180308,11.6819,11.6819,11.6819,11.6819,0
APL,20180309,11.6819,11.6819,11.6819,11.6819,0
APL,20180312,11.6819,11.6819,11.6819,11.6819,0
APL,20180313,11.6819,11.6819,11.6819,11.6819,0
APL,20180314,11.6819,11.6819,11.6819,11.6819,0
APL,20180315,11.6819,11.6819,11.6819,11.6819,0
APL,20180316,11.6819,11.6819,11.6819,11.6819,0
APL,20180319,11.6819,11.6819,11.6819,11.6819,0
APL,20180320,11.6819,11.6819,11.6819,11.6819,0
APL,20180321,11.6819,11.6819,11.6819,11.6819,0
APL,20180322,11.6819,11.6819,11.6819,11.6819,0
APL,20180323,11.6819,11.6819,11.6819,11.6819,0
APL,20180326,11.6819,11.6819,11.6819,11.6819,0
APL,20180327,11.6819,11.6819,11.6819,11.6819,0
APL,20180328,11.6819,11.6819,11.6819,11.6819,0
APL,20180329,11.6819,11.6819,11.6819,11.6819,0
APL,20180330,11.6819,11.6819,11.6819,11.6819,0
APL,20180402,11.6819,11.6819,11.6819,11.6819,0
APL,20180403,11.6819,11.6819,11.6819,11.6819,0
APL,20180404,11.6819,11.6819,11.6819,11.6819,0
APL,20180405,11.6819,11.6819,11.6819,11.6819,0
APL,20180406,11.6819,11.6819,11.6819,11.6819,0
APL,20180409,11.6819,11.6819,11.6819,11.6819,0
APL,20180410,11.6819,11.6819,11.6819,11.6819,0
