<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
ARM,20101026,59.5000,59.5000,20.0000,21.5000,6100
ARM,20101027,24.0000,24.0000,24.0000,24.0000,21400
ARM,20101028,25.6000,25.6000,23.0000,23.0000,7400
ARM,20101029,23.1000,23.1000,23.1000,23.1000,300
ARM,20101101,21.5000,22.0000,21.5000,21.5000,700
ARM,20101102,20.4000,20.5000,20.4000,20.5000,200
ARM,20101103,19.1000,19.1000,19.1000,19.1000,500
ARM,20101104,17.8000,20.3000,17.8000,17.8000,4200
ARM,20101105,17.8000,17.9000,16.7000,17.9000,8800
ARM,20101108,17.5000,18.0000,17.5000,17.5000,3000
ARM,20101109,17.6000,17.6000,16.5000,16.5000,7700
ARM,20101110,17.2000,17.2000,16.0000,16.0000,2700
ARM,20101111,15.8000,15.8000,15.3000,15.3000,1300
ARM,20101112,14.7000,14.7000,14.7000,14.7000,3700
ARM,20101115,13.8000,13.8000,13.7000,13.7000,4000
ARM,20101116,13.0000,13.0000,12.9000,12.9000,3200
ARM,20101117,12.9000,12.9000,12.8000,12.8000,5800
ARM,20101118,13.2000,13.8000,13.2000,13.4000,2600
ARM,20101119,13.5000,13.5000,13.5000,13.5000,200
ARM,20101122,12.6000,12.6000,12.6000,12.6000,5000
ARM,20101123,13.0000,13.0000,13.0000,13.0000,100
ARM,20101124,13.9000,13.9000,13.8000,13.8000,800
ARM,20101125,14.4000,14.4000,14.4000,14.4000,100
ARM,20101126,14.4000,14.4000,13.4000,13.4000,3300
ARM,20101129,12.8000,14.4000,12.8000,14.4000,1300
ARM,20101130,14.1000,15.0000,14.0000,14.0000,5400
ARM,20101201,13.7000,14.1000,13.6000,13.6000,1900
ARM,20101202,14.5000,14.9000,14.2000,14.3000,6400
ARM,20101203,15.3000,15.3000,14.3000,14.3000,300
ARM,20101206,15.5000,15.5000,14.1000,14.1000,9000
ARM,20101207,14.0000,15.0000,14.0000,14.0000,8500
ARM,20101208,14.0000,14.5000,13.4000,13.4000,8700
ARM,20101209,13.0000,14.2000,13.0000,14.2000,400
ARM,20101210,13.4000,14.4000,13.3000,14.0000,5200
ARM,20101213,14.3000,14.5000,14.3000,14.5000,16100
ARM,20101214,15.0000,15.0000,14.0000,14.0000,3100
ARM,20101215,15.0000,15.0000,15.0000,15.0000,100
ARM,20101216,14.0000,14.0000,14.0000,14.0000,2100
ARM,20101217,14.4000,14.4000,14.4000,14.4000,300
ARM,20101220,13.7000,13.7000,13.7000,13.7000,100
ARM,20101221,13.7000,13.7000,13.7000,13.7000,0
ARM,20101222,14.5000,14.5000,14.5000,14.5000,100
ARM,20101223,14.5000,14.5000,14.5000,14.5000,0
ARM,20101224,13.5000,14.0000,13.5000,14.0000,700
ARM,20101227,14.0000,14.0000,14.0000,14.0000,200
ARM,20101228,13.3000,13.3000,13.3000,13.3000,300
ARM,20101229,13.5000,13.5000,13.5000,13.5000,2100
ARM,20101230,13.5000,13.5000,13.5000,13.5000,0
ARM,20101231,13.5000,13.5000,13.3000,13.5000,1600
ARM,20110104,13.5000,13.9000,13.5000,13.9000,1000
ARM,20110105,14.0000,14.2000,13.5000,13.5000,5500
ARM,20110106,13.3000,14.3000,13.3000,14.3000,2700
ARM,20110107,14.0000,14.0000,14.0000,14.0000,1800
ARM,20110110,13.4000,13.4000,13.4000,13.4000,100
ARM,20110111,12.7000,12.7000,12.7000,12.7000,100
ARM,20110112,13.5000,13.5000,13.5000,13.5000,4500
ARM,20110113,13.4000,14.4000,13.4000,14.4000,28400
ARM,20110114,14.4000,14.4000,14.0000,14.2000,2500
ARM,20110117,14.5000,14.5000,14.5000,14.5000,2000
ARM,20110118,14.0000,14.0000,14.0000,14.0000,900
ARM,20110119,13.2000,14.5000,13.2000,14.5000,1500
ARM,20110120,14.0000,14.0000,14.0000,14.0000,800
ARM,20110121,14.2000,14.2000,14.2000,14.2000,500
ARM,20110124,14.0000,14.0000,14.0000,14.0000,200
ARM,20110125,13.2000,13.2000,13.2000,13.2000,100
ARM,20110126,14.1000,14.1000,14.1000,14.1000,5900
ARM,20110127,13.6000,14.6000,13.6000,14.6000,2100
ARM,20110128,14.6000,14.6000,14.2000,14.2000,2200
ARM,20110208,13.6000,14.0000,13.6000,14.0000,1000
ARM,20110209,14.2000,14.2000,14.0000,14.0000,2100
ARM,20110210,13.3000,14.1000,13.3000,14.1000,600
ARM,20110211,13.8000,14.2000,13.8000,14.2000,1600
ARM,20110214,14.2000,14.4000,14.2000,14.4000,1800
ARM,20110215,13.8000,13.8000,13.8000,13.8000,100
ARM,20110216,13.1000,13.1000,13.1000,13.1000,100
ARM,20110217,13.1000,14.0000,13.1000,14.0000,2000
ARM,20110218,14.8000,14.8000,13.9000,13.9000,5100
ARM,20110221,13.5000,13.5000,13.3000,13.4000,17300
ARM,20110222,12.7000,13.4000,12.7000,13.4000,2100
ARM,20110223,13.3000,13.3000,13.2000,13.2000,1000
ARM,20110224,12.6000,12.6000,12.6000,12.6000,100
ARM,20110225,13.4000,13.4000,12.6000,12.6000,600
ARM,20110228,13.8000,13.8000,13.8000,13.8000,300
ARM,20110301,14.7000,14.7000,14.7000,14.7000,100
ARM,20110302,14.0000,14.0000,13.8000,13.8000,1500
ARM,20110303,14.8000,14.8000,13.0000,14.0000,1600
ARM,20110304,13.6000,13.6000,12.7000,12.7000,700
ARM,20110307,14.3000,14.3000,14.3000,14.3000,5100
ARM,20110308,15.2000,15.2000,15.2000,15.2000,100
ARM,20110309,15.9000,15.9000,15.9000,15.9000,600
ARM,20110310,14.8000,14.8000,14.8000,14.8000,2000
ARM,20110311,13.8000,13.8000,13.8000,13.8000,6000
ARM,20110314,13.9000,13.9000,13.9000,13.9000,200
ARM,20110315,14.8000,14.8000,14.8000,14.8000,100
ARM,20110316,14.8000,14.8000,14.8000,14.8000,0
ARM,20110317,13.8000,13.8000,13.8000,13.8000,4000
ARM,20110318,12.9000,14.6000,12.9000,13.8000,2800
ARM,20110321,14.0000,14.0000,13.5000,13.5000,3600
ARM,20110322,14.2000,14.2000,13.3000,13.3000,600
