<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
ASP,20080215,42.0000,45.0000,42.0000,43.5000,92490
ASP,20080218,41.4000,44.0000,41.4000,42.0000,36020
ASP,20080219,41.0000,41.0000,40.0000,40.0000,16420
ASP,20080220,38.0000,38.1000,38.0000,38.0000,27330
ASP,20080221,36.1000,36.1000,36.1000,36.1000,3310
ASP,20080222,34.3000,34.3000,34.3000,34.3000,3190
ASP,20080225,32.6000,35.3000,32.6000,34.4000,48910
ASP,20080226,32.7000,33.0000,32.7000,32.7000,24530
ASP,20080227,31.1000,32.0000,31.1000,31.1000,31630
ASP,20080228,29.6000,30.9000,29.6000,29.6000,29910
ASP,20080229,28.2000,28.2000,28.2000,28.2000,24940
ASP,20080303,26.8000,26.8000,26.8000,26.8000,7110
ASP,20080304,25.5000,25.5000,25.5000,25.5000,910
ASP,20080305,24.3000,24.3000,24.3000,24.3000,1600
ASP,20080306,25.5000,25.5000,25.5000,25.5000,40480
ASP,20080307,26.7000,26.7000,26.2000,26.7000,52860
ASP,20080310,28.0000,28.0000,27.1000,27.1000,57250
ASP,20080311,25.8000,26.9000,25.8000,26.8000,11000
ASP,20080312,26.0000,26.8000,25.5000,25.5000,34420
ASP,20080313,25.2000,25.5000,25.0000,25.5000,11920
ASP,20080314,25.5000,25.5000,24.6000,25.5000,6380
ASP,20080317,24.3000,24.3000,24.3000,24.3000,8280
ASP,20080318,23.1000,23.1000,23.1000,23.1000,4880
ASP,20080319,23.1000,23.2000,22.0000,22.0000,24050
ASP,20080320,20.9000,21.0000,20.9000,20.9000,9200
ASP,20080321,19.9000,20.1000,19.9000,19.9000,19490
ASP,20080324,19.0000,19.0000,19.0000,19.0000,11650
ASP,20080325,18.1000,18.1000,18.1000,18.1000,19920
ASP,20080326,17.2000,18.0000,17.2000,18.0000,30090
ASP,20080327,18.1000,18.1000,18.1000,18.1000,8910
ASP,20080328,18.2000,18.2000,18.2000,18.2000,5500
ASP,20080331,18.3000,18.3000,18.3000,18.3000,240
ASP,20080401,18.4000,18.4000,18.4000,18.4000,10
ASP,20080402,18.5000,18.5000,18.5000,18.5000,2020
ASP,20080403,18.6000,18.6000,18.6000,18.6000,10
ASP,20080404,18.7000,18.7000,18.7000,18.7000,1020
ASP,20080407,19.0000,19.0000,19.0000,19.0000,1000
ASP,20080408,19.3000,19.3000,18.8000,19.3000,39450
ASP,20080409,19.6000,19.6000,19.3000,19.5000,30280
ASP,20080410,19.2000,19.2000,19.2000,19.2000,12470
ASP,20080411,18.9000,18.9000,18.9000,18.9000,16440
ASP,20080416,18.6000,18.6000,18.6000,18.6000,950
ASP,20080417,18.9000,18.9000,18.9000,18.9000,52980
ASP,20080418,19.2000,19.2000,19.2000,19.2000,9850
ASP,20080421,19.5000,19.5000,19.5000,19.5000,2380
ASP,20080422,19.8000,19.8000,19.8000,19.8000,13170
ASP,20080423,20.0000,20.0000,19.5000,19.5000,97950
ASP,20080424,19.5000,19.6000,19.3000,19.3000,16210
ASP,20080425,5.3706,5.3706,5.1926,5.1926,29120
