<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
AUM,20160926,10.5186,10.5186,10.5186,10.5186,0
AUM,20160927,10.5186,10.5186,10.5186,10.5186,0
AUM,20160928,10.5186,10.5186,10.5186,10.5186,0
AUM,20160929,10.5186,10.5186,10.5186,10.5186,0
AUM,20160930,10.5186,10.5186,10.5186,10.5186,0
AUM,20161003,10.5186,10.5186,10.5186,10.5186,0
AUM,20161004,10.5186,10.5186,10.5186,10.5186,0
AUM,20161005,10.5186,10.5186,10.5186,10.5186,0
AUM,20161006,10.5186,10.5186,10.5186,10.5186,0
AUM,20161007,10.5186,10.5186,10.5186,10.5186,0
AUM,20161010,10.5186,10.5186,10.5186,10.5186,0
AUM,20161011,10.5186,10.5186,10.5186,10.5186,0
AUM,20161012,10.5186,10.5186,10.5186,10.5186,0
AUM,20161013,10.5186,10.5186,10.5186,10.5186,0
AUM,20161014,10.5186,10.5186,10.5186,10.5186,0
AUM,20161017,10.5186,10.5186,10.5186,10.5186,0
AUM,20161018,10.5186,10.5186,10.5186,10.5186,0
AUM,20161019,10.5186,10.5186,10.5186,10.5186,0
AUM,20161020,10.5186,10.5186,10.5186,10.5186,0
AUM,20161021,10.5186,10.5186,10.5186,10.5186,0
AUM,20161024,10.5186,10.5186,10.5186,10.5186,0
AUM,20161025,10.5186,10.5186,10.5186,10.5186,0
AUM,20161026,10.5186,10.5186,10.5186,10.5186,0
AUM,20161027,10.5186,10.5186,10.5186,10.5186,0
AUM,20161028,10.5186,10.5186,10.5186,10.5186,0
AUM,20161031,10.5186,10.5186,10.5186,10.5186,0
AUM,20161101,10.5186,10.5186,10.5186,10.5186,0
AUM,20161102,10.5186,10.5186,10.5186,10.5186,0
AUM,20161103,10.5186,10.5186,10.5186,10.5186,0
AUM,20161104,10.5186,10.5186,10.5186,10.5186,0
AUM,20161107,10.5186,10.5186,10.5186,10.5186,0
AUM,20161108,10.5186,10.5186,10.5186,10.5186,0
AUM,20161109,10.5186,10.5186,10.5186,10.5186,0
AUM,20161110,10.5186,10.5186,10.5186,10.5186,0
AUM,20161111,10.5186,10.5186,10.5186,10.5186,0
AUM,20161114,10.5186,10.5186,10.5186,10.5186,0
AUM,20161115,10.5186,10.5186,10.5186,10.5186,0
AUM,20161116,10.5186,10.5186,10.5186,10.5186,0
AUM,20161117,10.5186,10.5186,10.5186,10.5186,0
AUM,20161118,10.5186,10.5186,10.5186,10.5186,0
