<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
AVC,20180108,21.0309,24.2943,21.0309,24.2943,500
AVC,20180109,23.6416,23.6416,23.6416,23.6416,0
AVC,20180110,21.7561,21.7561,21.7560,21.7560,1500
AVC,20180111,20.7407,20.7407,20.5957,20.5957,3520
AVC,20180112,21.0308,21.0308,21.0308,21.0308,2700
AVC,20180115,21.0308,21.0308,21.0308,21.0308,0
AVC,20180116,21.0308,21.0308,21.0308,21.0308,3100
AVC,20180117,21.0308,21.0308,21.0308,21.0308,4600
AVC,20180118,21.0308,21.0308,21.0308,21.0308,151
AVC,20180119,21.0308,21.0308,21.0308,21.0308,0
AVC,20180122,21.0308,21.0308,21.0308,21.0308,2000
AVC,20180123,21.3934,21.3934,21.0308,21.0308,1179
AVC,20180124,20.5232,21.0308,20.5232,21.0308,2400
AVC,20180125,20.7407,20.7408,20.7407,20.7408,0
AVC,20180126,20.4507,20.4507,20.4507,20.4507,100
AVC,20180129,20.4507,20.4507,20.4507,20.4507,0
AVC,20180130,20.4507,20.4507,20.4507,20.4507,0
AVC,20180131,20.4507,20.4507,20.4507,20.4507,0
AVC,20180201,20.4507,20.4507,20.4507,20.4507,0
AVC,20180202,20.4507,20.4507,20.4507,20.4507,0
AVC,20180205,21.0309,21.0309,20.5232,20.6682,3400
AVC,20180206,20.4506,20.4507,20.3056,20.4507,2200
AVC,20180207,20.3782,20.3782,20.3782,20.3782,0
AVC,20180208,20.3782,20.3782,20.3782,20.3782,0
AVC,20180209,20.6683,20.6683,20.6682,20.6682,800
AVC,20180212,20.6682,20.6682,20.6682,20.6682,0
AVC,20180213,20.6682,20.6682,20.6682,20.6682,0
AVC,20180221,20.6682,20.6682,20.6682,20.6682,0
AVC,20180222,21.7560,22.4812,21.7560,22.4812,339
AVC,20180223,18.8552,22.1186,18.8552,21.7560,3800
AVC,20180226,17.9850,21.7560,17.9850,21.7560,1100
AVC,20180227,18.0575,21.0308,18.0575,21.0308,298
AVC,20180228,21.0308,21.7560,21.0308,21.7560,1100
AVC,20180301,21.5384,21.5385,21.5384,21.5385,0
AVC,20180302,20.6683,20.6683,20.6682,20.6682,100
AVC,20180305,21.7560,21.7560,21.7560,21.7560,1100
AVC,20180306,21.7560,21.7560,21.7560,21.7560,0
AVC,20180307,21.7560,21.7560,21.7560,21.7560,0
AVC,20180308,21.0308,21.0308,20.6682,20.6682,4000
AVC,20180309,20.7407,20.7408,20.7407,20.7408,0
AVC,20180312,20.7408,20.7408,20.7408,20.7408,0
AVC,20180313,20.7408,20.7408,20.7408,20.7408,1000
AVC,20180314,20.8858,20.8858,20.8858,20.8858,1000
AVC,20180315,21.0308,21.0308,21.0308,21.0308,4400
AVC,20180316,21.0308,21.0308,21.0308,21.0308,0
AVC,20180319,20.3056,20.3056,20.3056,20.3056,2800
AVC,20180320,20.3056,20.3056,20.3056,20.3056,0
AVC,20180321,20.3056,20.3056,20.3056,20.3056,0
AVC,20180322,20.3056,20.3056,20.3056,20.3056,0
AVC,20180323,20.3056,20.3056,20.3056,20.3056,0
AVC,20180326,20.3056,20.3056,20.3056,20.3056,0
AVC,20180327,20.6682,20.6682,19.5804,19.5804,4900
AVC,20180328,19.2178,19.2178,19.2178,19.2178,3900
AVC,20180329,21.7560,21.7560,21.7560,21.7560,100
AVC,20180330,21.7560,21.7560,21.7560,21.7560,0
AVC,20180402,21.7560,21.7560,21.7560,21.7560,0
AVC,20180403,18.8552,20.9583,18.8552,20.9583,500
AVC,20180404,19.5804,19.5804,19.5804,19.5804,100
AVC,20180405,19.5804,19.7255,19.5804,19.7255,1000
AVC,20180406,19.7255,19.7255,19.7255,19.7255,0
AVC,20180409,20.1606,20.1606,19.9430,19.9430,5600
AVC,20180410,21.0308,21.0308,19.9430,19.9430,2100
AVC,20180411,19.5804,19.5804,19.5804,19.5804,3000
AVC,20180412,19.5804,19.5804,19.5804,19.5804,0
AVC,20180413,19.5804,19.5804,19.5804,19.5804,0
AVC,20180416,19.2178,19.2178,18.7827,19.2178,5000
AVC,20180417,18.8552,19.2178,18.8552,19.0003,4520
AVC,20180418,18.2751,19.2179,18.2751,18.8552,2500
AVC,20180419,19.2178,19.2178,19.2178,19.2178,100
AVC,20180420,18.8552,19.2178,18.8552,19.2178,1700
AVC,20180423,19.2178,19.2178,19.2178,19.2178,500
AVC,20180424,19.0002,19.1453,18.7102,18.8552,2000
AVC,20180426,18.9277,18.9278,18.9277,18.9278,0
AVC,20180427,18.4927,18.4927,18.4926,18.4926,500
AVC,20180502,18.8552,19.9430,18.8552,18.8552,10000
AVC,20180503,19.9430,19.9430,19.5804,19.5804,1006
AVC,20180504,19.9430,19.9430,19.9430,19.9430,200
AVC,20180507,19.9430,19.9430,19.9430,19.9430,18
AVC,20180508,19.9430,19.9430,19.9430,19.9430,0
AVC,20180509,21.0308,21.0308,19.9430,19.9430,5500
AVC,20180510,18.9277,20.7407,18.9277,19.0003,2100
AVC,20180511,19.9431,19.9431,19.9430,19.9430,310
AVC,20180514,21.9071,21.9071,19.7164,19.7170,7398
AVC,20180515,21.9078,21.9078,21.9078,21.9078,0
AVC,20180516,21.9078,21.9078,21.9078,21.9078,6100
AVC,20180517,21.9078,21.9078,21.9078,21.9078,100
AVC,20180518,21.9078,21.9078,21.9078,21.9078,0
AVC,20180521,21.9078,21.9078,21.9078,21.9078,1300
AVC,20180522,21.9078,21.9078,21.9078,21.9078,500
AVC,20180523,21.9078,21.9078,21.9078,21.9078,0
AVC,20180524,21.9078,21.9834,21.9078,21.9834,700
AVC,20180525,21.9834,21.9834,21.9834,21.9834,0
AVC,20180528,21.9079,22.8899,20.3970,20.4725,9014
AVC,20180529,21.0769,21.0769,21.0768,21.0768,4000
AVC,20180530,20.3969,21.0768,20.3969,21.0768,1500
AVC,20180531,20.6235,20.6236,20.6235,20.6236,0
AVC,20180601,19.5660,20.6236,19.5660,20.6236,1500
AVC,20180604,20.3970,20.3970,20.3969,20.3969,400
AVC,20180605,20.3969,20.3969,20.3969,20.3969,68
AVC,20180606,20.3969,20.3969,20.3969,20.3969,0
AVC,20180607,22.2855,22.2855,21.9078,21.9078,600
AVC,20180608,22.2100,22.2100,22.2100,22.2100,0
AVC,20180611,22.2100,22.2100,22.2100,22.2100,0
AVC,20180612,22.2100,22.2100,22.2100,22.2100,0
AVC,20180613,22.2100,22.2100,22.2100,22.2100,0
AVC,20180614,22.2100,22.2100,22.2100,22.2100,0
AVC,20180615,22.2100,22.2100,22.2100,22.2100,30
AVC,20180618,22.2100,22.2100,22.2100,22.2100,0
AVC,20180619,22.2100,22.2100,22.2100,22.2100,0
AVC,20180620,20.4725,20.4725,20.3969,20.3969,23900
AVC,20180621,20.3969,20.3969,20.3969,20.3969,13300
AVC,20180622,20.3969,20.3969,20.3969,20.3969,0
AVC,20180625,20.3969,20.3969,20.3969,20.3969,1100
AVC,20180626,20.3969,20.3969,20.3969,20.3969,0
AVC,20180627,20.0192,20.0192,19.6415,19.6415,4800
AVC,20180628,19.7926,19.7926,19.7926,19.7926,0
AVC,20180629,21.1524,21.5301,21.1524,21.1524,2400
AVC,20180702,21.3035,21.3035,21.3035,21.3035,0
AVC,20180703,21.3035,21.3035,21.3035,21.3035,0
AVC,20180704,21.3035,21.3035,21.3035,21.3035,0
AVC,20180705,21.3035,21.3035,21.3035,21.3035,0
AVC,20180706,21.3035,21.3035,21.3035,21.3035,0
AVC,20180709,20.3970,20.3970,20.3969,20.3969,500
AVC,20180710,20.3969,20.3969,20.3969,20.3969,3900
AVC,20180711,20.3969,20.3969,20.3969,20.3969,0
AVC,20180712,20.3969,20.3969,20.3969,20.3969,0
AVC,20180713,20.3969,20.3969,20.3969,20.3969,0
AVC,20180716,20.3969,20.3969,20.3969,20.3969,0
AVC,20180717,20.3969,20.3969,20.3969,20.3969,0
AVC,20180718,21.1523,21.1524,21.1523,21.1524,1000
AVC,20180719,21.5301,21.5301,21.2279,21.2279,1100
AVC,20180720,21.5301,21.5301,21.5301,21.5301,98
AVC,20180723,21.5301,21.5301,21.5301,21.5301,0
AVC,20180724,21.5301,21.5301,21.5301,21.5301,0
AVC,20180725,21.5301,21.5301,21.5301,21.5301,0
AVC,20180726,20.3969,20.3969,20.3969,20.3969,900
AVC,20180727,20.3969,20.3969,20.3969,20.3969,0
AVC,20180730,20.3969,20.3969,20.3969,20.3969,0
AVC,20180731,22.2855,22.2856,22.2855,22.2856,100
AVC,20180801,22.2856,22.2856,22.2856,22.2856,0
AVC,20180802,22.2856,22.2856,22.2856,22.2856,0
AVC,20180803,22.2856,22.2856,22.2856,22.2856,0
AVC,20180806,22.2856,22.2856,22.2856,22.2856,0
AVC,20180807,20.3970,20.3970,20.3969,20.3969,4600
AVC,20180808,20.3969,20.3969,20.3969,20.3969,0
AVC,20180809,20.7746,20.7746,20.3969,20.3969,605
AVC,20180810,20.6991,20.6991,20.6991,20.6991,17
AVC,20180813,20.6991,20.6991,20.6991,20.6991,0
AVC,20180814,21.5301,21.9078,21.5301,21.9078,5000
AVC,20180815,21.9078,21.9078,21.9078,21.9078,1000
AVC,20180816,21.1524,21.3035,21.1524,21.3035,2600
AVC,20180817,21.1524,21.1524,21.1524,21.1524,0
AVC,20180820,21.1524,21.1524,21.1524,21.1524,0
AVC,20180821,20.7747,20.7747,20.7747,20.7747,1000
AVC,20180822,20.7747,20.7747,20.3969,20.3969,1100
AVC,20180823,21.1523,21.1524,21.1523,21.1524,8200
AVC,20180824,21.1524,21.1524,21.1524,21.1524,300
AVC,20180827,21.1524,21.1524,21.1524,21.1524,10
AVC,20180828,20.4725,20.4725,20.4725,20.4725,100
AVC,20180829,21.5301,21.5301,20.5480,20.5480,1100
AVC,20180830,20.5480,20.5480,20.5480,20.5480,500
AVC,20180831,20.5480,20.5480,20.5480,20.5480,0
AVC,20180904,20.5480,20.5480,20.5480,20.5480,0
AVC,20180905,20.5480,20.5480,20.5480,20.5480,0
AVC,20180906,20.9257,20.9258,20.9257,20.9258,200
AVC,20180907,20.9258,20.9258,20.9258,20.9258,0
AVC,20180910,20.9258,20.9258,20.9258,20.9258,28
AVC,20180911,20.9258,20.9258,20.9258,20.9258,0
AVC,20180912,20.9258,20.9258,20.9258,20.9258,0
AVC,20180913,20.9258,20.9258,20.9258,20.9258,0
AVC,20180914,20.9258,20.9258,20.9258,20.9258,500
AVC,20180917,20.9258,20.9258,20.9258,20.9258,0
