<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
BCV,20210413,21.5000,21.5000,21.5000,21.5000,0
BCV,20210414,21.5000,21.5000,21.5000,21.5000,0
BCV,20210415,21.5000,21.5000,21.5000,21.5000,0
BCV,20210416,21.5000,21.5000,21.5000,21.5000,0
BCV,20210419,21.5000,21.5000,21.5000,21.5000,0
BCV,20210420,21.5000,21.5000,21.5000,21.5000,0
BCV,20210422,21.5000,21.5000,21.5000,21.5000,0
BCV,20210423,21.5000,21.5000,21.5000,21.5000,0
BCV,20210426,21.5000,21.5000,21.5000,21.5000,0
BCV,20210427,21.5000,21.5000,21.5000,21.5000,0
BCV,20210428,21.5000,21.5000,21.5000,21.5000,0
BCV,20210429,21.5000,21.5000,21.5000,21.5000,0
BCV,20210504,21.5000,21.5000,21.5000,21.5000,0
BCV,20210505,21.5000,21.5000,21.5000,21.5000,0
BCV,20210506,21.5000,21.5000,21.5000,21.5000,0
BCV,20210507,21.5000,21.5000,21.5000,21.5000,0
BCV,20210510,21.5000,21.5000,21.5000,21.5000,0
BCV,20210511,21.5000,21.5000,21.5000,21.5000,0
BCV,20210512,21.5000,21.5000,21.5000,21.5000,0
BCV,20210513,21.5000,21.5000,21.5000,21.5000,0
BCV,20210514,21.5000,21.5000,21.5000,21.5000,0
BCV,20210517,21.5000,21.5000,21.5000,21.5000,0
BCV,20210518,21.5000,21.5000,21.5000,21.5000,0
BCV,20210519,21.5000,21.5000,21.5000,21.5000,0
BCV,20210520,21.5000,21.5000,21.5000,21.5000,0
BCV,20210521,21.5000,21.5000,21.5000,21.5000,0
BCV,20210524,21.5000,21.5000,21.5000,21.5000,0
BCV,20210525,21.5000,21.5000,21.5000,21.5000,0
BCV,20210526,21.5000,21.5000,21.5000,21.5000,0
BCV,20210527,21.5000,21.5000,21.5000,21.5000,0
BCV,20210528,21.5000,21.5000,21.5000,21.5000,0
BCV,20210531,21.5000,21.5000,21.5000,21.5000,0
BCV,20210601,21.5000,21.5000,21.5000,21.5000,0
BCV,20210602,21.5000,21.5000,21.5000,21.5000,0
BCV,20210603,21.5000,21.5000,21.5000,21.5000,0
BCV,20210604,21.5000,21.5000,21.5000,21.5000,0
BCV,20210607,21.5000,21.5000,21.5000,21.5000,0
BCV,20210608,21.5000,21.5000,21.5000,21.5000,0
BCV,20210609,21.5000,21.5000,21.5000,21.5000,0
BCV,20210610,21.5000,21.5000,21.5000,21.5000,0
BCV,20210611,21.5000,21.5000,21.5000,21.5000,0
BCV,20210614,21.5000,21.5000,21.5000,21.5000,0
BCV,20210615,21.5000,21.5000,21.5000,21.5000,0
BCV,20210616,21.5000,21.5000,21.5000,21.5000,0
BCV,20210617,21.5000,21.5000,21.5000,21.5000,0
BCV,20210618,21.5000,21.5000,21.5000,21.5000,0
BCV,20210621,21.5000,21.5000,21.5000,21.5000,0
BCV,20210622,21.5000,21.5000,21.5000,21.5000,0
BCV,20210623,21.5000,21.5000,21.5000,21.5000,0
BCV,20210624,21.5000,21.5000,21.5000,21.5000,0
BCV,20210625,21.5000,21.5000,21.5000,21.5000,0
BCV,20210628,21.5000,21.5000,21.5000,21.5000,0
BCV,20210629,21.5000,21.5000,21.5000,21.5000,0
BCV,20210630,21.5000,21.5000,21.5000,21.5000,0
BCV,20210701,21.5000,21.5000,21.5000,21.5000,0
BCV,20210702,21.5000,21.5000,21.5000,21.5000,0
BCV,20210705,21.5000,21.5000,21.5000,21.5000,0
BCV,20210706,21.5000,21.5000,21.5000,21.5000,0
BCV,20210707,21.5000,21.5000,21.5000,21.5000,0
BCV,20210708,21.5000,21.5000,21.5000,21.5000,0
BCV,20210709,21.5000,21.5000,21.5000,21.5000,0
BCV,20210712,21.5000,21.5000,21.5000,21.5000,0
BCV,20210713,21.5000,21.5000,21.5000,21.5000,0
BCV,20210714,21.5000,21.5000,21.5000,21.5000,0
BCV,20210715,21.5000,21.5000,21.5000,21.5000,0
BCV,20210716,21.5000,21.5000,21.5000,21.5000,0
BCV,20210719,21.5000,21.5000,21.5000,21.5000,0
BCV,20210720,21.5000,21.5000,21.5000,21.5000,0
BCV,20210721,21.5000,21.5000,21.5000,21.5000,0
BCV,20210722,21.5000,21.5000,21.5000,21.5000,0
BCV,20210723,21.5000,21.5000,21.5000,21.5000,0
BCV,20210726,21.5000,21.5000,21.5000,21.5000,0
BCV,20210727,21.5000,21.5000,21.5000,21.5000,0
BCV,20210728,21.5000,21.5000,21.5000,21.5000,0
BCV,20210729,21.5000,21.5000,21.5000,21.5000,0
BCV,20210730,21.5000,21.5000,21.5000,21.5000,0
BCV,20210802,21.5000,21.5000,21.5000,21.5000,0
BCV,20210803,21.5000,21.5000,21.5000,21.5000,0
BCV,20210804,21.5000,21.5000,21.5000,21.5000,0
BCV,20210805,21.5000,21.5000,21.5000,21.5000,0
BCV,20210806,21.5000,21.5000,21.5000,21.5000,0
BCV,20210809,21.5000,21.5000,21.5000,21.5000,0
BCV,20210810,21.5000,21.5000,21.5000,21.5000,0
BCV,20210811,21.5000,21.5000,21.5000,21.5000,0
BCV,20210812,21.5000,21.5000,21.5000,21.5000,0
BCV,20210813,21.5000,21.5000,21.5000,21.5000,0
BCV,20210816,21.5000,21.5000,21.5000,21.5000,0
BCV,20210817,21.5000,21.5000,21.5000,21.5000,0
BCV,20210818,21.5000,21.5000,21.5000,21.5000,0
BCV,20210819,21.5000,21.5000,21.5000,21.5000,0
BCV,20210820,21.5000,21.5000,21.5000,21.5000,0
BCV,20210823,21.5000,21.5000,21.5000,21.5000,0
BCV,20210824,21.5000,21.5000,21.5000,21.5000,0
BCV,20210825,21.5000,21.5000,21.5000,21.5000,0
BCV,20210826,21.5000,21.5000,21.5000,21.5000,0
BCV,20210827,21.5000,21.5000,21.5000,21.5000,0
BCV,20210830,21.5000,21.5000,21.5000,21.5000,0
BCV,20210831,21.5000,21.5000,21.5000,21.5000,0
BCV,20210901,21.5000,21.5000,21.5000,21.5000,0
BCV,20210906,21.5000,21.5000,21.5000,21.5000,0
BCV,20210907,21.5000,21.5000,21.5000,21.5000,0
BCV,20210908,21.5000,21.5000,21.5000,21.5000,0
BCV,20210909,21.5000,21.5000,21.5000,21.5000,0
BCV,20210910,21.5000,21.5000,21.5000,21.5000,0
BCV,20210913,21.5000,21.5000,21.5000,21.5000,0
BCV,20210914,21.5000,21.5000,21.5000,21.5000,0
BCV,20210915,21.5000,21.5000,21.5000,21.5000,0
BCV,20210916,21.5000,21.5000,21.5000,21.5000,0
BCV,20210917,21.5000,21.5000,21.5000,21.5000,0
BCV,20210920,21.5000,21.5000,21.5000,21.5000,0
BCV,20210921,21.5000,21.5000,21.5000,21.5000,0
BCV,20210922,21.5000,21.5000,21.5000,21.5000,0
BCV,20210923,21.5000,21.5000,21.5000,21.5000,0
BCV,20210924,21.5000,21.5000,21.5000,21.5000,0
BCV,20210927,21.5000,21.5000,21.5000,21.5000,0
BCV,20210928,21.5000,21.5000,21.5000,21.5000,0
BCV,20210929,21.5000,21.5000,21.5000,21.5000,0
BCV,20210930,21.5000,21.5000,21.5000,21.5000,0
BCV,20211001,21.5000,21.5000,21.5000,21.5000,0
BCV,20211004,21.5000,21.5000,21.5000,21.5000,0
BCV,20211005,21.5000,21.5000,21.5000,21.5000,0
BCV,20211006,21.5000,21.5000,21.5000,21.5000,0
BCV,20211007,21.5000,21.5000,21.5000,21.5000,0
BCV,20211008,21.5000,21.5000,21.5000,21.5000,0
BCV,20211011,21.5000,21.5000,21.5000,21.5000,0
BCV,20211012,21.5000,21.5000,21.5000,21.5000,0
BCV,20211013,21.5000,21.5000,21.5000,21.5000,0
BCV,20211014,21.5000,21.5000,21.5000,21.5000,0
BCV,20211015,21.5000,21.5000,21.5000,21.5000,0
BCV,20211018,21.5000,21.5000,21.5000,21.5000,0
BCV,20211019,21.5000,21.5000,21.5000,21.5000,0
BCV,20211020,21.5000,21.5000,21.5000,21.5000,0
BCV,20211021,21.5000,21.5000,21.5000,21.5000,0
BCV,20211022,21.5000,21.5000,21.5000,21.5000,0
BCV,20211025,21.5000,21.5000,21.5000,21.5000,0
BCV,20211026,21.5000,21.5000,21.5000,21.5000,0
BCV,20211027,21.5000,21.5000,21.5000,21.5000,0
BCV,20211028,21.5000,21.5000,21.5000,21.5000,0
BCV,20211029,21.5000,21.5000,21.5000,21.5000,0
BCV,20211101,21.5000,21.5000,21.5000,21.5000,0
BCV,20211102,21.5000,21.5000,21.5000,21.5000,0
BCV,20211103,21.5000,21.5000,21.5000,21.5000,0
BCV,20211104,21.5000,21.5000,21.5000,21.5000,0
BCV,20211105,21.5000,21.5000,21.5000,21.5000,0
BCV,20211108,21.5000,21.5000,21.5000,21.5000,0
BCV,20211109,21.5000,21.5000,21.5000,21.5000,0
BCV,20211110,21.5000,21.5000,21.5000,21.5000,0
BCV,20211111,21.5000,21.5000,21.5000,21.5000,0
BCV,20211112,21.5000,21.5000,21.5000,21.5000,0
BCV,20211115,21.5000,21.5000,21.5000,21.5000,0
BCV,20211116,21.5000,21.5000,21.5000,21.5000,0
BCV,20211117,21.5000,21.5000,21.5000,21.5000,0
BCV,20211118,21.5000,21.5000,21.5000,21.5000,0
BCV,20211119,21.5000,21.5000,21.5000,21.5000,0
BCV,20211122,21.5000,21.5000,21.5000,21.5000,0
BCV,20211123,21.5000,21.5000,21.5000,21.5000,0
BCV,20211124,21.5000,21.5000,21.5000,21.5000,0
BCV,20211125,21.5000,21.5000,21.5000,21.5000,0
BCV,20211126,21.5000,21.5000,21.5000,21.5000,0
BCV,20211129,21.5000,21.5000,21.5000,21.5000,0
BCV,20211130,21.5000,21.5000,21.5000,21.5000,0
BCV,20211201,21.5000,21.5000,21.5000,21.5000,0
BCV,20211202,21.5000,21.5000,21.5000,21.5000,0
BCV,20211203,21.5000,21.5000,21.5000,21.5000,1800
BCV,20211206,21.5000,21.5000,21.5000,21.5000,0
BCV,20211207,21.5000,21.5000,21.5000,21.5000,0
BCV,20211208,21.5000,21.5000,21.5000,21.5000,0
BCV,20211209,21.5000,21.5000,21.5000,21.5000,0
BCV,20211210,21.5000,21.5000,21.5000,21.5000,0
BCV,20211213,21.5000,21.5000,21.5000,21.5000,0
BCV,20211214,21.5000,21.5000,21.5000,21.5000,0
BCV,20211215,21.5000,21.5000,21.5000,21.5000,0
BCV,20211216,21.5000,21.5000,21.5000,21.5000,0
BCV,20211217,21.5000,21.5000,21.5000,21.5000,0
BCV,20211220,21.5000,21.5000,21.5000,21.5000,0
BCV,20211221,21.5000,21.5000,21.5000,21.5000,0
BCV,20211222,21.5000,21.5000,21.5000,21.5000,0
BCV,20211223,21.5000,21.5000,21.5000,21.5000,0
BCV,20211224,21.5000,21.5000,21.5000,21.5000,0
BCV,20211227,21.5000,21.5000,21.5000,21.5000,0
BCV,20211228,21.5000,21.5000,21.5000,21.5000,0
BCV,20211229,21.5000,21.5000,21.5000,21.5000,0
BCV,20211230,21.5000,21.5000,21.5000,21.5000,0
BCV,20211231,21.5000,21.5000,21.5000,21.5000,0
BCV,20220104,21.5000,21.5000,21.5000,21.5000,0
