<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
BDC,20180913,25.2642,25.2642,25.2642,25.2642,0
BDC,20180914,25.2642,25.2642,25.2642,25.2642,0
BDC,20180917,25.2642,25.2642,25.2642,25.2642,0
BDC,20180918,25.2642,25.2642,25.2642,25.2642,0
BDC,20180919,35.3507,35.3507,35.3506,35.3506,2700
BDC,20180920,35.3506,35.3506,35.3506,35.3506,0
BDC,20180921,35.3506,35.3506,35.3506,35.3506,0
BDC,20180924,35.0624,35.0624,35.0624,35.0624,1000
BDC,20180925,35.0624,35.0624,35.0624,35.0624,0
BDC,20180926,29.8751,29.8751,29.8751,29.8751,1000
BDC,20180927,25.4563,25.4563,25.4563,25.4563,1500
BDC,20180928,21.7099,21.7099,21.7099,21.7099,100
BDC,20181001,18.5399,18.5399,18.5399,18.5399,2300
BDC,20181002,18.5399,18.5399,18.5399,18.5399,0
BDC,20181003,18.5399,18.5399,18.5399,18.5399,0
BDC,20181004,18.4438,18.4438,15.8501,15.8501,1700
BDC,20181005,14.2171,14.2171,14.2171,14.2171,1300
BDC,20181008,12.1037,12.1037,12.1037,12.1037,2000
BDC,20181009,10.3746,10.3746,10.3746,10.3746,3600
BDC,20181010,8.8376,8.8377,8.8376,8.8377,1100
BDC,20181011,7.5889,7.5889,7.5889,7.5889,300
BDC,20181012,7.5889,7.5889,7.5889,7.5889,0
BDC,20181015,8.6456,8.6456,8.6455,8.6455,100
BDC,20181016,9.8943,9.8943,9.8943,9.8943,800
BDC,20181017,11.3352,11.3353,11.3352,11.3353,1600
BDC,20181018,12.9684,12.9684,12.9683,12.9683,6000
BDC,20181019,14.8895,14.8895,14.8895,14.8895,1500
BDC,20181022,16.8107,16.8107,12.9683,13.1604,1400
BDC,20181023,13.4486,13.4486,13.4486,13.4486,0
BDC,20181024,11.4313,13.4486,11.4313,13.4486,3300
BDC,20181025,11.5274,11.5274,11.5274,11.5274,0
BDC,20181026,9.9904,9.9904,9.9904,9.9904,200
BDC,20181029,9.9904,10.0865,9.9904,10.0865,500
BDC,20181030,10.0865,10.5668,10.0865,10.5668,300
BDC,20181031,11.5274,11.5274,11.5274,11.5274,100
BDC,20181101,10.0865,10.0865,10.0865,10.0865,500
BDC,20181102,10.0865,10.0865,10.0865,10.0865,0
BDC,20181105,10.0865,10.5668,10.0865,10.5668,600
BDC,20181106,8.8377,8.8377,8.8377,8.8377,100
BDC,20181107,10.0865,10.0865,10.0865,10.0865,1600
BDC,20181108,8.7416,8.7416,8.7416,8.7416,100
BDC,20181109,9.9904,9.9904,9.9904,9.9904,600
BDC,20181112,11.3353,11.3353,11.3353,11.3353,500
BDC,20181113,9.7983,9.7983,9.7983,9.7983,100
BDC,20181114,8.7416,8.7416,8.7416,8.7416,100
BDC,20181115,7.7810,9.9904,7.6849,9.9904,400
BDC,20181116,9.4140,9.4140,9.4140,9.4140,100
BDC,20181119,9.6061,9.6061,9.6061,9.6061,400
BDC,20181120,9.6061,9.6061,9.6061,9.6061,300
BDC,20181121,10.0864,10.0865,10.0864,10.0865,100
BDC,20181122,10.0865,10.0865,10.0865,10.0865,0
BDC,20181123,9.9904,9.9904,9.1258,9.1258,1000
BDC,20181126,9.2219,9.2219,9.2219,9.2219,0
BDC,20181127,9.2219,9.2219,9.2219,9.2219,0
BDC,20181128,8.7416,8.7416,8.7416,8.7416,200
BDC,20181129,7.9731,7.9731,7.9731,7.9731,100
BDC,20181130,9.1258,9.1258,7.3967,7.3967,200
BDC,20181203,9.4140,9.4140,7.8770,7.8770,400
BDC,20181204,9.4140,9.4140,9.4140,9.4140,100
BDC,20181205,10.7589,10.7589,10.6628,10.7589,10500
BDC,20181206,12.2959,12.2959,12.2959,12.2959,2200
BDC,20181207,12.2959,12.2959,12.2959,12.2959,0
BDC,20181210,12.8723,12.8723,12.3920,12.4880,1500
BDC,20181211,11.0471,11.0471,11.0471,11.0471,2000
BDC,20181212,10.9510,10.9510,10.7589,10.7589,4400
BDC,20181213,10.6628,10.6628,10.0865,10.0865,1100
BDC,20181214,11.0471,11.0471,11.0471,11.0471,700
BDC,20181217,11.0471,11.0471,11.0471,11.0471,0
BDC,20181218,10.5668,10.5668,10.5668,10.5668,2000
BDC,20181219,10.5668,10.5668,10.5668,10.5668,0
BDC,20181220,10.5668,10.5668,10.5668,10.5668,0
BDC,20181221,9.0298,9.9904,9.0298,9.9904,200
BDC,20181224,9.5101,9.5101,9.5101,9.5101,0
BDC,20181225,9.5101,9.5101,9.5101,9.5101,0
BDC,20181226,9.5101,9.5101,9.5101,9.5101,0
BDC,20181227,9.8943,9.8943,9.8943,9.8943,100
BDC,20181228,9.8943,9.8943,9.8943,9.8943,0
BDC,20190102,9.8943,9.8943,9.8943,9.8943,0
BDC,20190103,9.8943,9.8943,9.8943,9.8943,0
BDC,20190104,9.8943,9.8943,9.8943,9.8943,0
BDC,20190107,9.8943,9.8943,9.8943,9.8943,0
BDC,20190108,9.8943,9.8943,9.8943,9.8943,0
BDC,20190109,9.7022,9.7022,9.7022,9.7022,400
BDC,20190110,9.7022,9.7022,9.7022,9.7022,300
BDC,20190111,9.7022,9.7983,9.7022,9.7022,1100
BDC,20190114,9.2219,9.2219,9.2219,9.2219,500
BDC,20190115,9.2219,9.2219,9.2219,9.2219,900
BDC,20190116,9.2219,9.2219,9.2219,9.2219,0
BDC,20190117,9.2219,9.2219,9.2219,9.2219,0
BDC,20190118,9.2219,9.2219,9.2219,9.2219,0
BDC,20190121,9.2219,9.2219,9.2219,9.2219,0
BDC,20190122,9.2219,9.2219,9.2219,9.2219,0
BDC,20190123,9.2219,9.2219,9.2219,9.2219,0
BDC,20190124,9.2219,9.2219,9.2219,9.2219,0
BDC,20190125,9.2219,9.2219,9.2219,9.2219,0
BDC,20190128,9.2219,9.2219,9.2219,9.2219,0
BDC,20190129,9.2219,9.2219,9.2219,9.2219,0
BDC,20190130,9.2219,9.2219,9.2219,9.2219,0
BDC,20190131,9.2219,9.2219,9.2219,9.2219,0
BDC,20190201,10.0865,10.0865,10.0865,10.0865,100
BDC,20190211,10.0865,10.0865,10.0865,10.0865,0
BDC,20190212,10.0865,10.0865,10.0865,10.0865,0
BDC,20190213,8.6456,8.8377,8.6456,8.8377,4200
BDC,20190214,8.7416,8.7416,8.7416,8.7416,0
BDC,20190215,8.7416,8.7416,8.7416,8.7416,0
BDC,20190218,8.7416,8.7416,8.7416,8.7416,0
BDC,20190219,8.7416,8.7416,8.7416,8.7416,0
