<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
BDF,20170106,21.9872,21.9872,21.9872,21.9872,0
BDF,20170109,21.9872,21.9872,21.9872,21.9872,0
BDF,20170110,21.9872,21.9872,21.9872,21.9872,0
BDF,20170111,21.9872,21.9872,21.9872,21.9872,0
BDF,20170112,21.9872,21.9872,21.9872,21.9872,0
BDF,20170113,21.9872,21.9872,21.9872,21.9872,0
BDF,20170116,21.9872,21.9872,21.9872,21.9872,0
BDF,20170117,21.9872,21.9872,21.9872,21.9872,0
BDF,20170118,21.9872,21.9872,21.9872,21.9872,0
BDF,20170119,21.9872,21.9872,21.9872,21.9872,0
BDF,20170120,21.9872,21.9872,21.9872,21.9872,0
BDF,20170123,21.9872,21.9872,21.9872,21.9872,0
BDF,20170124,21.9872,21.9872,21.9872,21.9872,0
BDF,20170125,21.9872,21.9872,21.9872,21.9872,0
BDF,20170202,21.9872,21.9872,21.9872,21.9872,0
BDF,20170203,21.9872,21.9872,21.9872,21.9872,0
BDF,20170206,21.9872,21.9872,21.9872,21.9872,0
BDF,20170207,21.9872,21.9872,21.9872,21.9872,0
BDF,20170208,21.9872,21.9872,21.9872,21.9872,0
BDF,20170209,21.9872,21.9872,21.9872,21.9872,0
BDF,20170210,21.9872,21.9872,21.9872,21.9872,0
BDF,20170213,21.9872,21.9872,21.9872,21.9872,0
BDF,20170214,21.9872,21.9872,21.9872,21.9872,0
BDF,20170215,21.9872,21.9872,21.9872,21.9872,0
BDF,20170216,21.9872,21.9872,21.9872,21.9872,0
BDF,20170217,21.9872,21.9872,21.9872,21.9872,0
BDF,20170220,21.9872,21.9872,21.9872,21.9872,0
BDF,20170221,21.9872,21.9872,21.9872,21.9872,0
BDF,20170222,21.9872,21.9872,21.9872,21.9872,0
BDF,20170223,21.9872,21.9872,21.9872,21.9872,0
BDF,20170224,21.9872,21.9872,21.9872,21.9872,0
BDF,20170227,21.9872,21.9872,21.9872,21.9872,0
BDF,20170228,21.9872,21.9872,21.9872,21.9872,0
BDF,20170301,21.9872,21.9872,21.9872,21.9872,0
BDF,20170302,21.9872,21.9872,21.9872,21.9872,0
BDF,20170303,21.9872,21.9872,21.9872,21.9872,0
BDF,20170306,21.9872,21.9872,21.9872,21.9872,0
BDF,20170307,21.9872,21.9872,21.9872,21.9872,0
BDF,20170308,21.9872,21.9872,21.9872,21.9872,0
BDF,20170309,21.9872,21.9872,21.9872,21.9872,0
BDF,20170310,21.9872,21.9872,21.9872,21.9872,0
BDF,20170313,21.9872,21.9872,21.9872,21.9872,0
BDF,20170314,21.9872,21.9872,21.9872,21.9872,0
BDF,20170315,21.9872,21.9872,21.9872,21.9872,0
BDF,20170316,21.9872,21.9872,21.9872,21.9872,0
BDF,20170317,21.9872,21.9872,21.9872,21.9872,0
BDF,20170320,21.9872,21.9872,21.9872,21.9872,0
BDF,20170321,21.9872,21.9872,21.9872,21.9872,0
BDF,20170322,21.9872,21.9872,21.9872,21.9872,0
BDF,20170323,21.9872,21.9872,21.9872,21.9872,0
BDF,20170324,21.9872,21.9872,21.9872,21.9872,0
BDF,20170327,21.9872,21.9872,21.9872,21.9872,0
BDF,20170328,21.9872,21.9872,21.9872,21.9872,0
BDF,20170329,21.9872,21.9872,21.9872,21.9872,0
BDF,20170330,21.9872,21.9872,21.9872,21.9872,0
