<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
BDT,20170906,14.8000,14.8000,14.8000,14.8000,4100
BDT,20170907,16.0000,17.0000,16.0000,17.0000,2100
BDT,20170908,16.6000,16.6000,16.6000,16.6000,0
BDT,20170911,16.6000,16.6000,16.6000,16.6000,0
BDT,20170912,15.0000,15.0000,15.0000,15.0000,33900
BDT,20170913,15.0000,15.0000,15.0000,15.0000,0
BDT,20170914,15.0000,15.0000,15.0000,15.0000,0
BDT,20170915,15.0000,15.0000,15.0000,15.0000,0
BDT,20170918,12.8000,12.8000,12.8000,12.8000,100
BDT,20170919,12.8000,12.8000,12.8000,12.8000,0
BDT,20170920,12.8000,12.8000,12.8000,12.8000,0
BDT,20170921,13.0000,13.0000,12.5000,12.5000,200
BDT,20170922,12.8000,12.8000,12.8000,12.8000,0
BDT,20170925,12.8000,12.8000,12.8000,12.8000,0
BDT,20170926,12.5000,12.5000,12.5000,12.5000,100
BDT,20170927,12.5000,12.5000,12.5000,12.5000,0
BDT,20170928,12.5000,12.5000,12.0000,12.0000,1100
BDT,20170929,10.7000,10.7000,10.7000,10.7000,100
BDT,20171002,10.7000,10.7000,10.7000,10.7000,0
BDT,20171003,11.5000,11.5000,11.5000,11.5000,1100
BDT,20171004,11.5000,11.5000,11.5000,11.5000,0
BDT,20171005,11.5000,11.5000,11.5000,11.5000,0
BDT,20171006,12.5000,12.5000,12.5000,12.5000,100
BDT,20171009,11.5000,13.5000,11.5000,11.5000,1100
BDT,20171010,11.7000,11.7000,11.7000,11.7000,0
BDT,20171011,11.7000,11.7000,11.7000,11.7000,0
BDT,20171012,11.7000,11.7000,11.7000,11.7000,0
BDT,20171013,10.0000,10.0000,10.0000,10.0000,1700
BDT,20171016,10.0000,10.0000,10.0000,10.0000,0
BDT,20171017,10.0000,10.0000,10.0000,10.0000,0
BDT,20171018,9.0000,10.5000,9.0000,10.5000,400
BDT,20171019,10.8000,10.8000,10.8000,10.8000,100
BDT,20171020,10.8000,10.8000,10.8000,10.8000,0
BDT,20171023,10.8000,10.8000,10.8000,10.8000,0
BDT,20171024,10.8000,10.8000,10.8000,10.8000,0
BDT,20171025,10.8000,10.8000,10.8000,10.8000,0
BDT,20171026,10.8000,10.8000,10.8000,10.8000,0
BDT,20171027,10.8000,10.8000,10.8000,10.8000,0
BDT,20171030,10.8000,10.8000,10.8000,10.8000,0
BDT,20171031,10.8000,10.8000,10.8000,10.8000,0
BDT,20171101,10.8000,10.8000,10.8000,10.8000,0
BDT,20171102,10.8000,10.8000,10.8000,10.8000,0
BDT,20171103,10.8000,10.8000,10.8000,10.8000,0
BDT,20171106,10.8000,10.8000,10.8000,10.8000,0
BDT,20171107,10.8000,10.8000,10.8000,10.8000,0
BDT,20171108,10.8000,10.8000,10.8000,10.8000,0
BDT,20171109,11.5000,11.5000,11.5000,11.5000,500
BDT,20171110,11.5000,11.5000,11.5000,11.5000,0
BDT,20171113,11.5000,11.5000,11.5000,11.5000,0
BDT,20171114,11.5000,11.5000,11.5000,11.5000,700
BDT,20171115,11.5000,11.5000,11.5000,11.5000,0
BDT,20171116,11.5000,11.5000,11.5000,11.5000,0
BDT,20171117,11.5000,11.5000,11.5000,11.5000,0
BDT,20171120,11.5000,11.5000,11.5000,11.5000,0
BDT,20171121,11.5000,11.5000,11.5000,11.5000,0
BDT,20171122,11.5000,11.5000,11.5000,11.5000,0
BDT,20171123,11.5000,11.5000,11.5000,11.5000,0
BDT,20171124,11.5000,11.5000,11.5000,11.5000,0
BDT,20171127,11.5000,11.5000,11.5000,11.5000,0
BDT,20171128,11.5000,11.5000,11.5000,11.5000,0
BDT,20171129,11.5000,11.5000,11.5000,11.5000,2100
BDT,20171130,11.5000,11.5000,11.5000,11.5000,0
BDT,20171201,11.5000,11.5000,11.5000,11.5000,0
BDT,20171204,12.5000,12.5000,12.5000,12.5000,100
BDT,20171205,12.5000,12.5000,12.5000,12.5000,0
BDT,20171206,12.5000,12.5000,12.5000,12.5000,0
BDT,20171207,12.5000,12.5000,12.5000,12.5000,0
BDT,20171208,12.5000,12.5000,12.5000,12.5000,0
BDT,20171211,12.5000,12.5000,12.5000,12.5000,0
BDT,20171212,13.5000,13.5000,13.5000,13.5000,100
BDT,20171213,13.5000,13.5000,13.5000,13.5000,0
BDT,20171214,13.5000,13.5000,13.5000,13.5000,0
BDT,20171215,13.5000,13.5000,13.5000,13.5000,0
BDT,20171218,13.5000,13.5000,13.5000,13.5000,0
BDT,20171219,13.5000,13.5000,13.5000,13.5000,0
BDT,20171220,13.5000,13.5000,13.5000,13.5000,0
BDT,20171221,13.5000,13.5000,13.5000,13.5000,0
BDT,20171222,13.5000,13.5000,13.5000,13.5000,0
BDT,20171225,14.8000,14.8000,14.8000,14.8000,100
BDT,20171226,14.8000,14.8000,14.8000,14.8000,0
BDT,20171227,14.8000,14.8000,14.8000,14.8000,0
BDT,20171228,15.5000,15.5000,15.5000,15.5000,700
BDT,20171229,15.5000,15.5000,15.5000,15.5000,0
BDT,20180102,15.5000,15.5000,15.5000,15.5000,0
BDT,20180103,15.5000,15.5000,15.5000,15.5000,0
BDT,20180104,15.5000,15.5000,15.5000,15.5000,0
BDT,20180105,15.5000,15.5000,15.5000,15.5000,0
BDT,20180108,15.5000,15.5000,15.5000,15.5000,0
BDT,20180109,15.5000,15.5000,15.5000,15.5000,0
BDT,20180110,15.5000,15.5000,15.5000,15.5000,0
BDT,20180111,15.5000,15.5000,15.5000,15.5000,100
BDT,20180112,15.5000,15.5000,15.5000,15.5000,0
BDT,20180115,15.5000,15.5000,15.5000,15.5000,0
BDT,20180116,15.5000,15.5000,15.5000,15.5000,0
BDT,20180117,15.5000,15.5000,15.5000,15.5000,0
BDT,20180118,15.5000,15.5000,15.5000,15.5000,0
BDT,20180119,15.5000,15.5000,15.5000,15.5000,0
BDT,20180122,13.5000,13.5000,13.5000,13.5000,1000
BDT,20180123,15.5000,15.5000,15.5000,15.5000,1000
BDT,20180124,15.5000,15.5000,15.5000,15.5000,0
BDT,20180125,15.5000,15.5000,15.5000,15.5000,0
BDT,20180126,14.0000,14.0000,14.0000,14.0000,100
BDT,20180129,14.0000,14.0000,14.0000,14.0000,0
BDT,20180130,14.0000,14.0000,14.0000,14.0000,0
BDT,20180131,14.0000,14.0000,14.0000,14.0000,0
BDT,20180201,14.0000,14.0000,14.0000,14.0000,0
BDT,20180202,14.0000,14.0000,14.0000,14.0000,0
BDT,20180205,14.0000,14.0000,14.0000,14.0000,0
BDT,20180206,14.0000,14.0000,14.0000,14.0000,0
BDT,20180207,14.0000,14.0000,14.0000,14.0000,0
BDT,20180208,13.0000,13.0000,11.9000,11.9000,3900
BDT,20180209,12.1000,12.1000,12.1000,12.1000,0
BDT,20180212,12.1000,12.1000,12.1000,12.1000,0
BDT,20180213,12.1000,12.1000,12.1000,12.1000,0
BDT,20180221,12.1000,12.1000,12.1000,12.1000,0
BDT,20180222,12.1000,12.1000,12.1000,12.1000,0
BDT,20180223,12.1000,12.1000,12.0000,12.0000,1100
BDT,20180226,12.0000,12.0000,12.0000,12.0000,1100
BDT,20180227,12.0000,12.0000,12.0000,12.0000,0
BDT,20180228,12.0000,12.0000,12.0000,12.0000,0
BDT,20180301,12.0000,12.0000,12.0000,12.0000,0
BDT,20180302,11.0000,11.0000,11.0000,11.0000,2000
BDT,20180305,11.0000,11.0000,11.0000,11.0000,0
BDT,20180306,11.0000,11.0000,11.0000,11.0000,0
BDT,20180307,11.0000,11.0000,11.0000,11.0000,0
BDT,20180308,11.0000,11.0000,11.0000,11.0000,0
BDT,20180309,12.6000,12.6000,12.6000,12.6000,200
BDT,20180312,12.6000,12.6000,12.6000,12.6000,0
BDT,20180313,12.6000,12.6000,12.6000,12.6000,0
BDT,20180314,13.0000,13.0000,13.0000,13.0000,500
BDT,20180315,13.0000,13.0000,13.0000,13.0000,0
BDT,20180316,13.0000,13.0000,13.0000,13.0000,500
BDT,20180319,13.0000,13.0000,13.0000,13.0000,0
BDT,20180320,13.1000,14.0000,13.1000,14.0000,200
BDT,20180321,14.5000,14.5000,14.5000,14.5000,100
BDT,20180322,14.5000,14.5000,14.5000,14.5000,0
BDT,20180323,14.5000,14.5000,14.5000,14.5000,0
BDT,20180326,14.5000,14.5000,14.5000,14.5000,0
BDT,20180327,14.5000,14.5000,14.5000,14.5000,0
BDT,20180328,14.5000,14.5000,14.5000,14.5000,0
BDT,20180329,13.0000,13.0000,12.4000,12.4000,4100
BDT,20180330,12.7000,12.7000,12.7000,12.7000,0
BDT,20180402,12.7000,12.7000,12.7000,12.7000,0
BDT,20180403,12.7000,12.7000,12.7000,12.7000,0
BDT,20180404,12.7000,12.7000,12.7000,12.7000,0
BDT,20180405,12.7000,12.7000,12.7000,12.7000,0
BDT,20180406,14.6000,14.6000,14.6000,14.6000,1900
BDT,20180409,14.6000,14.6000,14.6000,14.6000,0
BDT,20180410,14.6000,14.6000,14.6000,14.6000,0
BDT,20180411,13.5000,15.0000,13.5000,15.0000,7000
BDT,20180412,14.6000,14.6000,14.6000,14.6000,0
BDT,20180413,14.6000,14.6000,14.6000,14.6000,0
BDT,20180416,14.0000,14.0000,14.0000,14.0000,800
BDT,20180417,14.0000,14.0000,14.0000,14.0000,0
BDT,20180418,14.0000,14.0000,14.0000,14.0000,0
BDT,20180419,14.0000,14.0000,14.0000,14.0000,0
BDT,20180420,14.0000,14.0000,14.0000,14.0000,0
BDT,20180423,14.0000,14.0000,14.0000,14.0000,0
BDT,20180424,14.0000,14.0000,14.0000,14.0000,0
BDT,20180426,12.5000,12.5000,12.5000,12.5000,1000
BDT,20180427,12.5000,12.5000,12.5000,12.5000,0
BDT,20180502,12.5000,12.5000,12.5000,12.5000,0
BDT,20180503,10.7000,10.7000,10.7000,10.7000,100
BDT,20180504,10.7000,10.7000,10.7000,10.7000,20
BDT,20180507,12.0000,12.3000,12.0000,12.3000,600
BDT,20180508,12.1000,12.1000,12.1000,12.1000,100
BDT,20180509,12.1000,12.1000,12.1000,12.1000,0
BDT,20180510,12.1000,12.1000,12.1000,12.1000,100
BDT,20180511,12.1000,12.1000,12.1000,12.1000,0
BDT,20180514,12.1000,12.1000,12.1000,12.1000,0
BDT,20180515,11.5000,11.5000,11.5000,11.5000,100
BDT,20180516,11.5000,11.5000,11.5000,11.5000,300
BDT,20180517,9.8000,9.8000,9.8000,9.8000,100
BDT,20180518,9.5000,9.5000,9.5000,9.5000,700
BDT,20180521,9.5000,9.5000,9.5000,9.5000,0
BDT,20180522,9.5000,9.5000,9.5000,9.5000,0
BDT,20180523,9.5000,9.5000,9.5000,9.5000,0
BDT,20180524,9.5000,9.5000,9.5000,9.5000,0
BDT,20180525,6.0720,6.0720,6.0720,6.0720,0
BDT,20180528,6.0720,6.0720,6.0720,6.0720,0
BDT,20180529,6.0720,6.0720,6.0720,6.0720,0
BDT,20180530,6.0720,6.0720,6.0720,6.0720,0
BDT,20180531,6.0720,6.0720,6.0720,6.0720,0
BDT,20180601,6.0720,6.0720,6.0720,6.0720,0
BDT,20180604,6.0720,6.0720,6.0720,6.0720,0
BDT,20180605,6.0720,6.0720,6.0720,6.0720,0
BDT,20180606,6.0720,6.0720,6.0720,6.0720,0
BDT,20180607,5.4136,6.9499,5.4136,6.9499,1100
BDT,20180608,6.5110,6.5110,6.5110,6.5110,0
BDT,20180611,6.5110,6.5110,6.5110,6.5110,0
BDT,20180612,7.4620,7.4620,7.4620,7.4620,100
BDT,20180613,8.4131,8.4131,8.4131,8.4131,2100
BDT,20180614,8.4131,8.4131,8.4131,8.4131,0
BDT,20180615,8.4131,8.4131,8.4131,8.4131,0
BDT,20180618,8.4131,8.4131,8.4131,8.4131,0
BDT,20180619,8.4131,8.4131,8.4131,8.4131,0
BDT,20180620,8.4131,8.4131,8.4131,8.4131,0
BDT,20180621,8.0473,8.0473,7.6815,7.6815,1700
BDT,20180622,7.6815,7.6815,7.6815,7.6815,1500
BDT,20180625,7.6815,7.6815,7.6815,7.6815,0
BDT,20180626,7.6815,7.6815,7.6815,7.6815,0
BDT,20180627,7.6815,7.6815,7.6815,7.6815,0
BDT,20180628,7.6815,7.6815,7.6815,7.6815,0
BDT,20180629,7.6815,7.6815,7.6815,7.6815,0
BDT,20180702,7.6815,7.6815,7.6815,7.6815,0
BDT,20180703,7.6815,7.6815,7.6815,7.6815,2700
BDT,20180704,7.6815,8.0473,7.6815,8.0473,700
BDT,20180705,7.7547,7.7547,7.7547,7.7547,0
BDT,20180706,7.6815,7.6815,7.6815,7.6815,1000
BDT,20180709,7.8278,7.8278,7.8278,7.8278,100
BDT,20180710,7.8278,7.8278,7.8278,7.8278,0
BDT,20180711,7.8278,7.8278,7.8278,7.8278,0
BDT,20180712,7.8278,7.8278,7.8278,7.8278,0
BDT,20180713,7.8278,7.8278,7.8278,7.8278,0
BDT,20180716,7.8278,7.8278,7.8278,7.8278,0
BDT,20180717,7.8278,7.8278,7.8278,7.8278,0
BDT,20180718,7.6815,7.6815,7.6815,7.6815,1000
BDT,20180719,7.6815,7.6815,7.6815,7.6815,0
BDT,20180720,7.6815,7.6815,7.6815,7.6815,0
BDT,20180723,7.6815,7.6815,7.6815,7.6815,0
BDT,20180724,7.6815,7.6815,7.6815,7.6815,0
BDT,20180725,7.6815,7.6815,7.6815,7.6815,0
BDT,20180726,7.6815,7.6815,7.6815,7.6815,0
BDT,20180727,7.6815,7.6815,7.6815,7.6815,0
BDT,20180730,7.6815,7.6815,7.6815,7.6815,0
BDT,20180731,7.3157,7.3157,7.3157,7.3157,3800
BDT,20180801,7.9741,8.1936,7.6815,7.6815,5400
BDT,20180802,7.3157,7.3157,7.3157,7.3157,400
BDT,20180803,7.6815,8.4131,7.6815,7.6815,5100
BDT,20180806,8.1936,8.1936,8.1936,8.1936,1000
BDT,20180807,8.4131,8.4131,8.4131,8.4131,100
BDT,20180808,8.4131,8.4131,8.4131,8.4131,0
BDT,20180809,8.4131,8.4131,8.4131,8.4131,0
BDT,20180810,8.4131,8.4131,8.4131,8.4131,0
BDT,20180813,7.6815,7.8278,7.6815,7.8278,2100
BDT,20180814,7.7547,7.7547,7.7547,7.7547,0
BDT,20180815,7.7547,7.7547,7.7547,7.7547,0
BDT,20180816,7.7547,7.7547,7.7547,7.7547,0
BDT,20180817,7.7547,7.7547,7.7547,7.7547,0
BDT,20180820,7.7547,7.7547,7.7547,7.7547,0
BDT,20180821,7.7547,7.7547,7.7547,7.7547,0
BDT,20180822,7.7547,7.7547,7.7547,7.7547,0
BDT,20180823,7.7547,7.7547,7.7547,7.7547,0
BDT,20180824,7.7547,7.7547,7.7547,7.7547,0
BDT,20180827,7.7547,7.7547,7.7547,7.7547,0
BDT,20180828,7.6815,7.6815,7.6815,7.6815,100
BDT,20180829,7.6815,7.6815,7.6815,7.6815,500
BDT,20180830,7.6815,7.6815,7.6815,7.6815,4800
BDT,20180831,6.8036,6.8036,6.8036,6.8036,800
BDT,20180904,7.1694,7.1694,7.1694,7.1694,3700
BDT,20180905,7.1694,7.1694,7.1694,7.1694,0
BDT,20180906,7.1694,7.1694,7.1694,7.1694,0
BDT,20180907,7.6815,7.6815,7.6815,7.6815,100
BDT,20180910,7.6815,7.6815,7.6815,7.6815,0
BDT,20180911,7.6815,7.6815,7.6815,7.6815,0
BDT,20180912,7.6815,7.6815,7.6815,7.6815,100
BDT,20180913,7.6815,7.6815,7.6815,7.6815,0
