<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
BEL,20160712,5.1000,5.1000,5.1000,5.1000,360500
BEL,20160713,5.1000,5.1000,5.1000,5.1000,0
BEL,20160714,5.1000,5.1000,5.1000,5.1000,0
BEL,20160715,5.1000,5.1000,5.1000,5.1000,0
BEL,20160718,5.1000,5.1000,5.1000,5.1000,0
BEL,20160719,5.1000,5.1000,5.1000,5.1000,0
BEL,20160720,5.1000,5.1000,5.1000,5.1000,0
BEL,20160721,5.1000,5.1000,5.1000,5.1000,0
BEL,20160722,5.1000,5.1000,5.1000,5.1000,0
BEL,20160725,5.1000,5.1000,5.1000,5.1000,0
BEL,20160726,5.1000,5.1000,5.1000,5.1000,0
BEL,20160727,5.8000,5.8000,5.8000,5.8000,500
BEL,20160728,5.8000,5.8000,5.8000,5.8000,0
BEL,20160729,5.8000,5.8000,5.8000,5.8000,0
BEL,20160801,6.0000,6.0000,6.0000,6.0000,1000
BEL,20160802,6.0000,6.0000,6.0000,6.0000,2000
BEL,20160803,6.0000,6.0000,6.0000,6.0000,0
BEL,20160804,6.0000,6.0000,6.0000,6.0000,1500
BEL,20160805,6.0000,6.0000,6.0000,6.0000,0
BEL,20160808,6.0000,6.0000,6.0000,6.0000,0
BEL,20160809,6.0000,6.0000,6.0000,6.0000,0
BEL,20160810,6.0000,6.0000,6.0000,6.0000,0
BEL,20160811,6.0000,6.0000,6.0000,6.0000,0
BEL,20160812,6.0000,6.0000,6.0000,6.0000,0
BEL,20160815,6.0000,6.0000,6.0000,6.0000,0
BEL,20160816,6.0000,6.0000,6.0000,6.0000,0
BEL,20160817,6.0000,6.0000,6.0000,6.0000,0
BEL,20160818,6.0000,6.0000,6.0000,6.0000,0
BEL,20160819,6.0000,6.0000,6.0000,6.0000,0
BEL,20160822,6.0000,6.0000,6.0000,6.0000,0
BEL,20160823,6.0000,6.0000,6.0000,6.0000,0
BEL,20160824,6.0000,6.0000,6.0000,6.0000,0
BEL,20160825,6.0000,6.0000,6.0000,6.0000,0
BEL,20160826,6.0000,6.0000,6.0000,6.0000,0
BEL,20160829,6.0000,6.0000,6.0000,6.0000,28000
BEL,20160830,6.0000,6.0000,6.0000,6.0000,0
BEL,20160831,6.0000,6.0000,6.0000,6.0000,0
BEL,20160901,6.0000,6.0000,6.0000,6.0000,0
BEL,20160905,6.0000,6.0000,6.0000,6.0000,0
BEL,20160906,6.0000,6.0000,6.0000,6.0000,0
BEL,20160907,6.0000,6.0000,6.0000,6.0000,0
BEL,20160908,6.0000,6.0000,6.0000,6.0000,0
BEL,20160909,6.0000,6.0000,6.0000,6.0000,15000
BEL,20160912,6.0000,6.0000,6.0000,6.0000,0
BEL,20160913,6.0000,6.0000,6.0000,6.0000,0
BEL,20160914,6.0000,6.0000,6.0000,6.0000,0
