<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
BFC,20151007,10.3420,12.4966,10.3420,11.0746,150100
BFC,20151008,11.2039,11.2039,10.7730,10.9453,30370
BFC,20151009,10.9453,10.9453,10.6867,10.9022,40730
BFC,20151012,10.6867,10.6867,10.1696,10.1696,119300
BFC,20151013,9.4801,9.9111,9.4801,9.6525,215830
BFC,20151014,9.8249,10.2127,9.8249,10.2127,8450
BFC,20151015,10.1265,10.3420,9.9972,10.2989,43830
BFC,20151016,10.3420,10.3851,10.3420,10.3420,54700
BFC,20151019,10.3420,10.3851,10.3420,10.3420,24740
BFC,20151020,10.3420,10.5575,10.3420,10.5575,25700
BFC,20151021,10.4713,10.5144,10.3851,10.3851,11660
BFC,20151022,10.3851,10.4713,10.3851,10.4282,19700
BFC,20151023,10.4282,10.8160,10.4282,10.8160,116390
BFC,20151026,10.7729,10.9022,10.7298,10.7298,21810
BFC,20151027,10.7729,11.1177,10.7729,11.1177,84070
BFC,20151028,11.1177,11.6348,11.1177,11.5486,126370
BFC,20151029,11.7210,12.3243,11.7210,12.3242,289240
BFC,20151030,12.9275,12.9275,12.3242,12.3242,105240
BFC,20151102,12.5827,12.5827,11.5055,11.6348,33880
BFC,20151103,11.6779,11.8934,11.2039,11.8933,16800
BFC,20151104,11.8933,11.8933,11.2900,11.3762,40300
BFC,20151105,11.2900,11.5486,11.2900,11.3762,46210
BFC,20151106,11.4624,11.8502,11.4624,11.6348,91190
BFC,20151109,11.7641,11.7641,11.4193,11.4193,33090
BFC,20151110,11.3762,11.5055,11.3331,11.3331,57090
BFC,20151111,11.4193,11.4193,11.2900,11.2900,15240
BFC,20151112,11.2469,11.4193,11.2038,11.2900,65860
BFC,20151113,11.2900,11.6779,11.2900,11.6779,58580
BFC,20151116,11.6348,11.6779,11.4193,11.6779,25360
BFC,20151117,11.7210,11.7210,11.6348,11.6348,49190
BFC,20151118,11.6779,11.6779,11.3762,11.4193,8730
BFC,20151119,11.4193,11.4193,11.2038,11.4193,21590
BFC,20151120,11.4193,11.8071,11.4193,11.4624,49640
