<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
BHC,20090515,25.0000,25.0000,13.5000,19.5000,147700
BHC,20090518,17.6000,17.6000,17.6000,17.6000,91100
BHC,20090519,18.8000,18.8000,18.8000,18.8000,40000
BHC,20090520,20.1000,20.1000,17.5000,18.1000,138100
BHC,20090521,18.0000,18.0000,16.9000,17.0000,118900
BHC,20090522,16.5000,16.6000,16.0000,16.0000,55600
BHC,20090525,16.0000,17.2000,16.0000,17.2000,26700
BHC,20090526,18.0000,18.2000,17.0000,17.2000,40600
BHC,20090527,17.3000,17.3000,16.6000,16.6000,41000
BHC,20090528,16.5000,16.5000,16.0000,16.0000,14300
BHC,20090529,16.2000,16.2000,15.6000,15.8000,14000
BHC,20090601,16.4000,16.9000,16.4000,16.9000,38800
BHC,20090602,17.5000,17.5000,16.8000,16.9000,63400
BHC,20090603,17.0000,17.1000,16.5000,16.6000,37500
BHC,20090604,17.5000,17.5000,16.5000,17.0000,144700
BHC,20090605,17.0000,17.9000,17.0000,17.9000,229100
BHC,20090608,19.1000,19.1000,19.1000,19.1000,72100
BHC,20090609,20.4000,20.4000,19.5000,20.4000,317000
BHC,20090610,21.7000,21.7000,18.9000,20.2000,126600
BHC,20090611,21.0000,21.5000,21.0000,21.5000,80800
BHC,20090612,23.0000,23.0000,23.0000,23.0000,151100
BHC,20090615,24.5000,24.6000,21.4000,21.8000,202400
BHC,20090616,21.2000,21.2000,21.2000,21.2000,7600
BHC,20090617,19.8000,21.0000,19.8000,21.0000,74300
BHC,20090618,18.6000,21.0000,18.6000,19.0000,71400
BHC,20090619,17.6000,19.5000,17.6000,18.0000,79700
BHC,20090622,17.9000,17.9000,16.7000,16.7000,49500
BHC,20090623,15.7000,16.1000,15.7000,15.7000,87600
BHC,20090624,14.8000,16.9000,14.8000,16.9000,40500
BHC,20090625,17.6000,17.6000,16.0000,16.4000,16900
BHC,20090626,16.4000,17.0000,16.2000,16.8000,17200
BHC,20090629,16.2000,16.2000,15.7000,15.7000,15100
BHC,20090630,16.4000,16.4000,14.8000,15.1000,25800
BHC,20090701,14.5000,15.0000,14.3000,14.4000,25600
BHC,20090702,15.0000,15.0000,14.2000,14.9000,17100
BHC,20090703,14.9000,15.4000,14.7000,15.4000,10600
BHC,20090706,15.9000,16.0000,15.8000,16.0000,12800
BHC,20090707,16.8000,17.0000,16.0000,16.1000,10000
BHC,20090708,16.3000,16.3000,16.2000,16.2000,1100
BHC,20090709,15.5000,16.4000,15.4000,15.5000,16000
BHC,20090710,15.2000,15.9000,14.7000,15.0000,11600
BHC,20090713,14.4000,15.8000,13.9000,14.0000,23000
BHC,20090714,14.5000,14.8000,14.3000,14.6000,13000
BHC,20090715,15.0000,15.3000,14.6000,15.3000,12400
BHC,20090716,15.9000,15.9000,14.6000,15.5000,21200
BHC,20090717,15.0000,15.0000,14.5000,14.9000,7700
BHC,20090720,14.0000,15.0000,14.0000,14.1000,5400
BHC,20090721,14.6000,14.6000,14.2000,14.3000,2000
BHC,20090722,13.9000,14.4000,13.9000,14.0000,1400
BHC,20090723,14.0000,15.0000,14.0000,15.0000,6200
BHC,20090724,15.2000,15.4000,15.2000,15.4000,9800
BHC,20090727,16.4000,16.4000,15.5000,16.0000,7400
BHC,20090728,15.5000,15.5000,15.1000,15.1000,11500
