<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
BHP,20130121,17.5000,17.5000,17.5000,17.5000,13200
BHP,20130122,17.5000,17.5000,17.5000,17.5000,0
BHP,20130123,17.5000,17.5000,17.5000,17.5000,0
BHP,20130124,17.5000,17.5000,17.5000,17.5000,0
BHP,20130125,17.5000,17.5000,17.5000,17.5000,0
BHP,20130128,17.5000,17.5000,17.5000,17.5000,0
BHP,20130129,17.5000,17.5000,17.5000,17.5000,0
BHP,20130130,17.5000,17.5000,17.5000,17.5000,0
BHP,20130131,17.5000,17.5000,17.5000,17.5000,0
BHP,20130201,17.5000,17.5000,17.5000,17.5000,0
BHP,20130204,17.5000,17.5000,17.5000,17.5000,0
BHP,20130205,17.5000,17.5000,17.5000,17.5000,0
BHP,20130206,17.5000,17.5000,17.5000,17.5000,0
BHP,20130207,10.4587,10.4587,10.4587,10.4587,0
BHP,20130208,10.4587,10.4587,10.4587,10.4587,0
BHP,20130218,10.4587,10.4587,10.4587,10.4587,0
BHP,20130219,10.4587,10.4587,10.4587,10.4587,0
BHP,20130220,10.4587,10.4587,10.4587,10.4587,0
BHP,20130221,10.4587,10.4587,10.4587,10.4587,0
BHP,20130222,10.4587,10.4587,10.4587,10.4587,0
BHP,20130225,10.4587,10.4587,10.4587,10.4587,0
BHP,20130226,10.4587,10.4587,10.4587,10.4587,0
BHP,20130227,10.4587,10.4587,10.4587,10.4587,0
BHP,20130228,10.4587,10.4587,10.4587,10.4587,0
BHP,20130301,10.4587,10.4587,10.4587,10.4587,0
BHP,20130304,10.4587,10.4587,10.4587,10.4587,0
BHP,20130305,10.4587,10.4587,10.4587,10.4587,0
BHP,20130306,10.4587,10.4587,10.4587,10.4587,0
BHP,20130307,10.4587,10.4587,10.4587,10.4587,0
BHP,20130308,10.4587,10.4587,10.4587,10.4587,0
BHP,20130311,10.4587,10.4587,10.4587,10.4587,0
BHP,20130312,10.4587,10.4587,10.4587,10.4587,0
BHP,20130313,10.4587,10.4587,10.4587,10.4587,0
BHP,20130314,10.4587,10.4587,10.4587,10.4587,0
BHP,20130315,10.4587,10.4587,10.4587,10.4587,0
BHP,20130318,10.4587,10.4587,10.4587,10.4587,0
BHP,20130319,10.4587,10.4587,10.4587,10.4587,0
BHP,20130320,10.4587,10.4587,10.4587,10.4587,0
BHP,20130321,10.4587,10.4587,10.4587,10.4587,0
BHP,20130322,10.4587,10.4587,10.4587,10.4587,0
BHP,20130325,10.4587,10.4587,10.4587,10.4587,0
BHP,20130326,10.4587,10.4587,10.4587,10.4587,0
BHP,20130327,10.4587,10.4587,10.4587,10.4587,0
BHP,20130328,10.4587,10.4587,10.4587,10.4587,0
BHP,20130329,10.4587,10.4587,10.4587,10.4587,0
BHP,20130401,10.4587,10.4587,10.4587,10.4587,0
BHP,20130402,10.4587,10.4587,10.4587,10.4587,0
BHP,20130403,10.4587,10.4587,10.4587,10.4587,0
BHP,20130404,10.4587,10.4587,10.4587,10.4587,0
BHP,20130405,10.4587,10.4587,10.4587,10.4587,0
BHP,20130408,10.4587,10.4587,10.4587,10.4587,0
BHP,20130409,10.4587,10.4587,10.4587,10.4587,0
BHP,20130410,10.4587,10.4587,10.4587,10.4587,0
BHP,20130411,10.4587,10.4587,10.4587,10.4587,0
BHP,20130412,10.4587,10.4587,10.4587,10.4587,0
BHP,20130415,10.4587,10.4587,10.4587,10.4587,0
BHP,20130416,10.4587,10.4587,10.4587,10.4587,0
BHP,20130417,10.4587,10.4587,10.4587,10.4587,0
BHP,20130418,10.4587,10.4587,10.4587,10.4587,0
BHP,20130422,10.4587,10.4587,10.4587,10.4587,0
BHP,20130423,10.4587,10.4587,10.4587,10.4587,0
BHP,20130424,10.4587,10.4587,10.4587,10.4587,0
BHP,20130425,10.4587,10.4587,10.4587,10.4587,0
BHP,20130426,10.4587,10.4587,10.4587,10.4587,0
BHP,20130502,10.4587,10.4587,10.4587,10.4587,0
BHP,20130503,10.4587,10.4587,10.4587,10.4587,0
BHP,20130506,10.4587,10.4587,10.4587,10.4587,0
BHP,20130507,10.4587,10.4587,10.4587,10.4587,0
BHP,20130508,10.4587,10.4587,10.4587,10.4587,0
BHP,20130509,10.4587,10.4587,10.4587,10.4587,0
BHP,20130510,10.4587,10.4587,10.4587,10.4587,0
BHP,20130513,10.4587,10.4587,10.4587,10.4587,0
BHP,20130514,10.4587,10.4587,10.4587,10.4587,0
BHP,20130515,10.4587,10.4587,10.4587,10.4587,0
BHP,20130516,10.4587,10.4587,10.4587,10.4587,0
BHP,20130517,6.3012,6.3012,6.3012,6.3012,3000
BHP,20130520,6.3012,6.3012,6.3012,6.3012,0
BHP,20130521,6.3012,6.3012,6.3012,6.3012,0
BHP,20130522,6.3012,6.3012,6.3012,6.3012,0
BHP,20130523,6.3012,6.3012,6.3012,6.3012,0
BHP,20130524,6.3012,6.3012,6.3012,6.3012,0
BHP,20130527,6.3012,6.3012,6.3012,6.3012,0
BHP,20130528,6.8858,6.8858,6.8858,6.8858,1000
BHP,20130529,6.8858,6.8858,6.8858,6.8858,0
BHP,20130530,7.5355,7.5355,7.5355,7.5355,100
BHP,20130531,7.5355,7.5355,7.5355,7.5355,0
BHP,20130603,7.5355,7.5355,7.5355,7.5355,0
BHP,20130604,7.5355,7.5355,7.5355,7.5355,0
BHP,20130605,7.5355,7.5355,7.5355,7.5355,0
BHP,20130606,7.5355,7.5355,7.5355,7.5355,0
BHP,20130607,7.5355,7.5355,7.5355,7.5355,0
BHP,20130610,7.5355,7.5355,7.5355,7.5355,0
BHP,20130611,7.5355,7.5355,7.5355,7.5355,0
BHP,20130612,7.5355,7.5355,7.5355,7.5355,0
BHP,20130613,7.5355,7.5355,7.5355,7.5355,0
BHP,20130614,7.5355,7.5355,7.5355,7.5355,0
BHP,20130617,7.5355,7.5355,7.5355,7.5355,0
BHP,20130618,7.5355,7.5355,7.5355,7.5355,0
BHP,20130619,7.5355,7.5355,7.5355,7.5355,0
BHP,20130620,7.5355,7.5355,7.5355,7.5355,0
BHP,20130621,7.5355,7.5355,7.5355,7.5355,0
BHP,20130624,7.5355,7.5355,7.5355,7.5355,0
BHP,20130625,7.5355,7.5355,7.5355,7.5355,0
BHP,20130626,7.5355,7.5355,7.5355,7.5355,0
BHP,20130627,7.5355,7.5355,7.5355,7.5355,0
BHP,20130628,7.5355,7.5355,7.5355,7.5355,0
BHP,20130701,7.5355,7.5355,7.5355,7.5355,0
BHP,20130702,7.5355,7.5355,7.5355,7.5355,0
BHP,20130703,7.5355,7.5355,7.5355,7.5355,0
BHP,20130704,7.5355,7.5355,7.5355,7.5355,0
BHP,20130705,7.5355,7.5355,7.5355,7.5355,0
BHP,20130708,7.5355,7.5355,7.5355,7.5355,0
BHP,20130709,7.5355,7.5355,7.5355,7.5355,0
BHP,20130710,7.5355,7.5355,7.5355,7.5355,0
BHP,20130711,7.5355,7.5355,7.5355,7.5355,0
BHP,20130712,7.5355,7.5355,7.5355,7.5355,0
BHP,20130715,7.5355,7.5355,7.5355,7.5355,0
BHP,20130716,7.5355,7.5355,7.5355,7.5355,0
BHP,20130717,7.5355,7.5355,7.5355,7.5355,0
BHP,20130718,7.5355,7.5355,7.5355,7.5355,0
BHP,20130719,7.5355,7.5355,7.5355,7.5355,0
BHP,20130722,7.5355,7.5355,7.5355,7.5355,0
BHP,20130723,7.5355,7.5355,7.5355,7.5355,0
BHP,20130724,7.5355,7.5355,7.5355,7.5355,4900
BHP,20130725,7.5355,7.5355,7.5355,7.5355,0
BHP,20130726,7.5355,7.5355,7.5355,7.5355,0
BHP,20130729,7.5355,7.5355,7.5355,7.5355,0
BHP,20130730,7.5355,7.5355,7.5355,7.5355,0
BHP,20130731,7.5355,7.5355,7.5355,7.5355,0
BHP,20130801,7.5355,7.5355,7.5355,7.5355,0
BHP,20130802,7.5355,7.5355,7.5355,7.5355,0
BHP,20130805,7.5355,7.5355,7.5355,7.5355,0
BHP,20130806,7.5355,7.5355,7.5355,7.5355,0
BHP,20130807,7.5355,7.5355,7.5355,7.5355,0
BHP,20130808,7.5355,7.5355,7.5355,7.5355,0
BHP,20130809,7.5355,7.5355,7.5355,7.5355,0
BHP,20130812,7.6004,7.6004,7.6004,7.6004,0
BHP,20130813,7.6004,7.6004,7.6004,7.6004,0
BHP,20130814,7.6004,7.6004,7.6004,7.6004,0
BHP,20130815,7.6004,7.6004,7.6004,7.6004,0
BHP,20130816,7.6004,7.6004,7.6004,7.6004,0
BHP,20130819,7.6004,7.6004,7.6004,7.6004,0
BHP,20130820,7.6004,7.6004,7.6004,7.6004,0
BHP,20130821,7.6004,7.6004,7.6004,7.6004,0
BHP,20130822,7.6004,7.6004,7.6004,7.6004,0
BHP,20130823,7.6004,7.6004,7.6004,7.6004,0
BHP,20130826,7.6004,7.6004,7.6004,7.6004,0
BHP,20130827,7.6004,7.6004,7.6004,7.6004,0
BHP,20130828,7.6004,7.6004,7.6004,7.6004,0
BHP,20130829,7.6004,7.6004,7.6004,7.6004,0
BHP,20130830,7.6004,7.6004,7.6004,7.6004,0
BHP,20130903,7.6004,7.6004,7.6004,7.6004,0
