<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
BMG,20181225,24.4000,24.4000,24.4000,24.4000,0
BMG,20181226,24.4000,24.4000,24.4000,24.4000,0
BMG,20181227,24.4000,24.4000,24.4000,24.4000,0
BMG,20181228,24.4000,24.4000,24.4000,24.4000,0
BMG,20190102,24.4000,24.4000,24.4000,24.4000,0
BMG,20190103,24.4000,24.4000,24.4000,24.4000,0
BMG,20190104,24.4000,24.4000,24.4000,24.4000,0
BMG,20190107,24.4000,24.4000,24.4000,24.4000,0
BMG,20190108,14.7000,14.7000,14.7000,14.7000,58000
BMG,20190109,14.7000,14.7000,14.7000,14.7000,0
BMG,20190110,14.7000,14.7000,14.7000,14.7000,0
BMG,20190111,14.7000,14.7000,14.7000,14.7000,0
BMG,20190114,14.7000,14.7000,14.7000,14.7000,0
BMG,20190115,14.7000,14.7000,14.7000,14.7000,0
BMG,20190116,14.7000,14.7000,14.7000,14.7000,0
BMG,20190117,14.7000,14.7000,14.7000,14.7000,0
BMG,20190118,14.7000,14.7000,14.7000,14.7000,0
BMG,20190121,14.7000,14.7000,14.7000,14.7000,0
BMG,20190122,14.7000,14.7000,14.7000,14.7000,0
BMG,20190123,14.7000,14.7000,14.7000,14.7000,0
BMG,20190124,14.7000,14.7000,14.7000,14.7000,0
BMG,20190125,14.7000,14.7000,14.7000,14.7000,0
BMG,20190128,14.7000,14.7000,14.7000,14.7000,0
BMG,20190129,14.7000,14.7000,14.7000,14.7000,0
BMG,20190130,14.7000,14.7000,14.7000,14.7000,0
BMG,20190131,14.7000,14.7000,14.7000,14.7000,0
BMG,20190201,14.7000,14.7000,14.7000,14.7000,0
BMG,20190211,14.7000,14.7000,14.7000,14.7000,0
BMG,20190212,14.7000,14.7000,14.7000,14.7000,0
BMG,20190213,14.7000,14.7000,14.7000,14.7000,0
BMG,20190214,14.7000,14.7000,14.7000,14.7000,0
BMG,20190215,14.7000,14.7000,14.7000,14.7000,0
BMG,20190218,14.7000,14.7000,14.7000,14.7000,0
BMG,20190219,14.7000,14.7000,14.7000,14.7000,0
BMG,20190220,14.7000,14.7000,14.7000,14.7000,0
BMG,20190221,14.7000,14.7000,14.7000,14.7000,0
BMG,20190222,14.7000,14.7000,14.7000,14.7000,0
BMG,20190225,20.5000,20.5000,20.5000,20.5000,100
BMG,20190226,20.5000,20.5000,20.5000,20.5000,0
BMG,20190227,20.5000,20.5000,20.5000,20.5000,0
BMG,20190228,20.5000,20.5000,20.5000,20.5000,0
BMG,20190301,20.5000,20.5000,20.5000,20.5000,0
BMG,20190304,20.5000,20.5000,20.5000,20.5000,0
BMG,20190305,20.5000,20.5000,20.5000,20.5000,0
BMG,20190306,20.5000,20.5000,20.5000,20.5000,0
BMG,20190307,20.5000,20.5000,20.5000,20.5000,0
BMG,20190308,20.5000,20.5000,20.5000,20.5000,0
BMG,20190311,20.5000,20.5000,20.5000,20.5000,0
BMG,20190312,20.5000,20.5000,20.5000,20.5000,0
BMG,20190313,20.5000,20.5000,20.5000,20.5000,0
BMG,20190314,20.5000,20.5000,20.5000,20.5000,0
BMG,20190315,20.5000,20.5000,20.5000,20.5000,0
BMG,20190318,20.5000,20.5000,20.5000,20.5000,0
BMG,20190319,20.5000,20.5000,20.5000,20.5000,0
BMG,20190320,20.5000,20.5000,20.5000,20.5000,0
BMG,20190321,20.5000,20.5000,20.5000,20.5000,0
BMG,20190322,20.5000,20.5000,20.5000,20.5000,0
BMG,20190325,20.5000,20.5000,20.5000,20.5000,0
BMG,20190326,20.5000,20.5000,20.5000,20.5000,0
BMG,20190327,20.5000,20.5000,20.5000,20.5000,0
BMG,20190328,20.5000,20.5000,20.5000,20.5000,0
BMG,20190329,20.5000,20.5000,20.5000,20.5000,0
BMG,20190401,20.5000,20.5000,20.5000,20.5000,0
BMG,20190402,20.5000,20.5000,20.5000,20.5000,0
BMG,20190403,20.5000,20.5000,20.5000,20.5000,0
BMG,20190404,20.5000,20.5000,20.5000,20.5000,0
BMG,20190405,20.5000,20.5000,20.5000,20.5000,0
BMG,20190408,20.5000,20.5000,20.5000,20.5000,0
BMG,20190409,20.5000,20.5000,20.5000,20.5000,0
BMG,20190410,20.5000,20.5000,20.5000,20.5000,0
BMG,20190411,25.0000,25.0000,25.0000,25.0000,2900
BMG,20190412,25.0000,25.0000,25.0000,25.0000,0
BMG,20190416,25.0000,25.0000,25.0000,25.0000,0
BMG,20190417,25.0000,25.0000,25.0000,25.0000,0
BMG,20190418,25.0000,25.0000,25.0000,25.0000,0
BMG,20190419,25.0000,25.0000,25.0000,25.0000,0
BMG,20190422,25.0000,25.0000,25.0000,25.0000,0
BMG,20190423,25.0000,25.0000,25.0000,25.0000,0
BMG,20190424,25.0000,25.0000,25.0000,25.0000,0
BMG,20190425,25.0000,25.0000,25.0000,25.0000,0
BMG,20190426,25.0000,25.0000,25.0000,25.0000,0
BMG,20190502,25.0000,25.0000,25.0000,25.0000,0
BMG,20190503,25.0000,25.0000,25.0000,25.0000,0
BMG,20190506,25.0000,25.0000,25.0000,25.0000,0
BMG,20190507,25.0000,25.0000,25.0000,25.0000,0
BMG,20190508,25.0000,25.0000,25.0000,25.0000,0
BMG,20190509,25.0000,25.0000,25.0000,25.0000,0
BMG,20190510,25.0000,25.0000,25.0000,25.0000,0
BMG,20190513,25.0000,25.0000,25.0000,25.0000,0
BMG,20190514,19.5436,19.5436,19.5436,19.5436,0
BMG,20190515,19.5436,19.5436,19.5436,19.5436,0
BMG,20190516,19.5436,19.5436,19.5436,19.5436,0
BMG,20190517,19.5436,19.5436,19.5436,19.5436,0
BMG,20190520,19.5436,19.5436,19.5436,19.5436,0
BMG,20190521,19.5436,19.5436,19.5436,19.5436,0
BMG,20190522,19.5436,19.5436,19.5436,19.5436,0
BMG,20190523,19.5436,19.5436,19.5436,19.5436,0
BMG,20190524,19.5436,19.5436,19.5436,19.5436,0
BMG,20190527,19.5436,19.5436,19.5436,19.5436,0
BMG,20190528,19.5436,19.5436,19.5436,19.5436,0
BMG,20190529,19.5436,19.5436,19.5436,19.5436,0
BMG,20190530,19.5436,19.5436,19.5436,19.5436,0
BMG,20190531,19.5436,19.5436,19.5436,19.5436,0
BMG,20190603,19.5436,19.5436,19.5436,19.5436,0
BMG,20190604,19.5436,19.5436,19.5436,19.5436,6
BMG,20190605,19.5436,19.5436,19.5436,19.5436,0
BMG,20190606,19.5436,19.5436,19.5436,19.5436,0
BMG,20190607,19.5436,19.5436,19.5436,19.5436,0
BMG,20190610,19.5436,19.5436,19.5436,19.5436,0
BMG,20190611,19.5436,19.5436,19.5436,19.5436,0
BMG,20190612,19.5436,19.5436,19.5436,19.5436,0
BMG,20190613,19.5436,19.5436,19.5436,19.5436,0
BMG,20190614,19.5436,19.5436,19.5436,19.5436,0
BMG,20190617,19.5436,19.5436,19.5436,19.5436,0
BMG,20190618,19.5436,19.5436,19.5436,19.5436,0
BMG,20190619,19.5436,19.5436,19.5436,19.5436,0
BMG,20190620,19.5436,19.5436,19.5436,19.5436,0
BMG,20190621,19.5436,19.5436,19.5436,19.5436,0
BMG,20190624,19.5436,19.5436,19.5436,19.5436,0
BMG,20190625,19.5436,19.5436,19.5436,19.5436,0
BMG,20190626,19.5436,19.5436,19.5436,19.5436,0
BMG,20190627,19.5436,19.5436,19.5436,19.5436,0
BMG,20190628,19.5436,19.5436,19.5436,19.5436,0
BMG,20190701,19.5436,19.5436,19.5436,19.5436,0
BMG,20190702,19.5436,19.5436,19.5436,19.5436,0
BMG,20190703,19.5436,19.5436,19.5436,19.5436,0
BMG,20190704,19.5436,19.5436,19.5436,19.5436,0
