<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
BNA,20201013,28.6000,28.6000,28.6000,28.6000,128000
BNA,20201014,31.4000,31.4000,28.0000,28.0000,202600
BNA,20201015,26.5000,26.5000,25.5000,26.0000,130727
BNA,20201016,25.9000,26.0000,24.3000,24.8000,99900
BNA,20201019,24.8000,24.9000,23.8000,23.8000,90800
BNA,20201020,23.8000,23.8000,23.1000,23.6000,145900
BNA,20201021,23.6000,24.1000,23.5000,23.9000,132800
BNA,20201022,23.9000,24.2000,23.7000,23.9000,97500
BNA,20201023,23.9000,24.3000,23.8000,24.2000,129920
BNA,20201026,24.2000,24.5000,24.2000,24.5000,99930
BNA,20201027,24.5000,24.8000,24.2000,24.7000,123600
BNA,20201028,24.5000,24.6000,24.0000,24.0000,119900
BNA,20201029,24.0000,24.0000,23.4000,23.6000,99900
BNA,20201030,23.5000,23.7000,23.3000,23.6000,89900
BNA,20201102,23.7000,23.9000,23.4000,23.5000,98800
BNA,20201103,23.5000,23.8000,23.0000,23.7000,145100
BNA,20201104,23.6000,25.0000,23.1000,25.0000,204801
BNA,20201105,25.2000,26.4000,24.9000,26.3000,249900
BNA,20201106,26.4000,27.9000,26.4000,27.7000,270631
BNA,20201109,28.0000,28.0000,27.3000,27.6000,210115
BNA,20201110,28.0000,29.0000,27.6000,29.0000,190100
BNA,20201111,29.3000,29.3000,28.6000,28.7000,161130
BNA,20201112,28.9000,29.0000,28.4000,28.7000,204600
BNA,20201113,28.9000,29.7000,28.6000,29.6000,228800
BNA,20201116,29.7000,30.6000,29.5000,30.4000,252400
BNA,20201117,30.8000,31.4000,30.4000,31.3000,199900
BNA,20201118,31.5000,31.9000,31.2000,31.6000,207723
BNA,20201119,31.6000,31.7000,31.3000,31.3000,168800
BNA,20201120,31.4000,31.5000,31.1000,31.4000,235000
BNA,20201123,31.5000,31.6000,31.0000,31.1000,222335
BNA,20201124,31.0000,31.3000,30.7000,30.8000,166600
BNA,20201125,30.6000,31.0000,30.6000,30.9000,143800
BNA,20201126,30.6000,31.0000,30.3000,30.4000,119900
BNA,20201127,30.4000,31.4000,30.1000,31.3000,266300
BNA,20201130,31.4000,31.8000,31.3000,31.7000,240900
BNA,20201201,31.7000,32.2000,31.4000,32.2000,211279
BNA,20201202,32.2000,32.4000,32.2000,32.4000,184700
BNA,20201203,32.4000,33.0000,31.5000,33.0000,228500
BNA,20201204,33.0000,33.2000,32.8000,32.8000,231700
BNA,20201207,32.8000,33.5000,32.6000,33.4000,258915
BNA,20201208,33.4000,33.5000,33.1000,33.1000,90310
BNA,20201209,33.1000,33.4000,32.9000,33.3000,100800
BNA,20201210,19.3006,19.3594,19.1829,19.3006,107700
BNA,20201211,19.3006,20.9482,19.3006,19.7125,333315
BNA,20201214,19.7125,19.7713,19.6536,19.7125,66634
BNA,20201215,19.7125,19.8302,19.6536,19.6536,69900
BNA,20201216,19.5948,19.7125,19.5360,19.7125,51500
BNA,20201217,19.7125,19.8302,19.6536,19.7713,79000
BNA,20201218,19.7713,20.1244,19.7713,20.1244,107205
BNA,20201221,20.1244,20.2421,19.8890,20.2421,132700
BNA,20201222,20.2421,20.3009,19.7713,19.7713,200000
BNA,20201223,19.7713,19.9479,19.7713,19.8890,107220
BNA,20201224,19.8302,19.8890,19.7125,19.7713,104000
BNA,20201225,19.7713,19.9479,19.7713,19.9479,59200
BNA,20201228,19.9479,19.9479,19.8302,19.8890,31105
