<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
BPW,20171220,10.0000,10.0000,10.0000,10.0000,0
BPW,20171221,10.0000,10.0000,10.0000,10.0000,0
BPW,20171222,10.0000,10.0000,10.0000,10.0000,0
BPW,20171225,10.0000,10.0000,10.0000,10.0000,0
BPW,20171226,10.0000,10.0000,10.0000,10.0000,0
BPW,20171227,10.0000,10.0000,10.0000,10.0000,0
BPW,20171228,10.0000,10.0000,10.0000,10.0000,0
BPW,20171229,10.0000,10.0000,10.0000,10.0000,0
BPW,20180102,10.0000,10.0000,10.0000,10.0000,0
BPW,20180103,10.0000,10.0000,10.0000,10.0000,0
BPW,20180104,10.0000,10.0000,10.0000,10.0000,0
BPW,20180105,10.0000,10.0000,10.0000,10.0000,0
BPW,20180108,10.0000,10.0000,10.0000,10.0000,0
BPW,20180109,10.0000,10.0000,10.0000,10.0000,0
BPW,20180110,10.0000,10.0000,10.0000,10.0000,0
BPW,20180111,10.0000,10.0000,10.0000,10.0000,0
BPW,20180112,10.0000,10.0000,10.0000,10.0000,0
BPW,20180115,10.0000,10.0000,10.0000,10.0000,0
BPW,20180116,10.0000,10.0000,10.0000,10.0000,0
BPW,20180117,10.0000,10.0000,10.0000,10.0000,0
BPW,20180118,10.0000,10.0000,10.0000,10.0000,0
BPW,20180119,10.0000,10.0000,10.0000,10.0000,0
BPW,20180122,10.0000,10.0000,10.0000,10.0000,0
BPW,20180123,10.0000,10.0000,10.0000,10.0000,0
BPW,20180124,10.0000,10.0000,10.0000,10.0000,0
BPW,20180125,10.0000,10.0000,10.0000,10.0000,0
BPW,20180126,10.0000,10.0000,10.0000,10.0000,0
BPW,20180129,10.0000,10.0000,10.0000,10.0000,0
BPW,20180130,10.0000,10.0000,10.0000,10.0000,0
BPW,20180131,10.0000,10.0000,10.0000,10.0000,0
BPW,20180201,10.0000,10.0000,10.0000,10.0000,0
BPW,20180202,10.0000,10.0000,10.0000,10.0000,0
BPW,20180205,10.0000,10.0000,10.0000,10.0000,0
BPW,20180206,10.0000,10.0000,10.0000,10.0000,0
BPW,20180207,10.0000,10.0000,10.0000,10.0000,0
BPW,20180208,10.0000,10.0000,10.0000,10.0000,0
BPW,20180209,10.0000,10.0000,10.0000,10.0000,0
BPW,20180212,10.0000,10.0000,10.0000,10.0000,0
BPW,20180213,10.0000,10.0000,10.0000,10.0000,0
BPW,20180221,10.0000,10.0000,10.0000,10.0000,0
BPW,20180222,10.0000,10.0000,10.0000,10.0000,0
BPW,20180223,10.0000,10.0000,10.0000,10.0000,0
BPW,20180226,10.0000,10.0000,10.0000,10.0000,0
BPW,20180227,10.0000,10.0000,10.0000,10.0000,0
BPW,20180228,10.0000,10.0000,10.0000,10.0000,0
BPW,20180301,10.0000,10.0000,10.0000,10.0000,0
BPW,20180302,10.0000,10.0000,10.0000,10.0000,0
BPW,20180305,10.0000,10.0000,10.0000,10.0000,0
BPW,20180306,10.0000,10.0000,10.0000,10.0000,0
BPW,20180307,10.0000,10.0000,10.0000,10.0000,0
BPW,20180308,10.0000,10.0000,10.0000,10.0000,0
BPW,20180309,10.0000,10.0000,10.0000,10.0000,0
BPW,20180312,10.0000,10.0000,10.0000,10.0000,0
BPW,20180313,10.0000,10.0000,10.0000,10.0000,0
BPW,20180314,10.0000,10.0000,10.0000,10.0000,0
BPW,20180315,10.0000,10.0000,10.0000,10.0000,0
BPW,20180316,10.0000,10.0000,10.0000,10.0000,0
BPW,20180319,10.0000,10.0000,10.0000,10.0000,0
BPW,20180320,10.0000,10.0000,10.0000,10.0000,0
BPW,20180321,10.0000,10.0000,10.0000,10.0000,0
BPW,20180322,10.0000,10.0000,10.0000,10.0000,0
