<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
BRL-X,20031201,2.9460,2.9460,2.9230,2.9230,0
BRL-X,20031202,2.9230,2.9310,2.9230,2.9310,0
BRL-X,20031203,2.9310,2.9360,2.9260,2.9310,0
BRL-X,20031204,2.9310,2.9430,2.9310,2.9430,0
BRL-X,20031205,2.9430,2.9480,2.9340,2.9340,0
BRL-X,20031208,2.9340,2.9430,2.9340,2.9400,0
BRL-X,20031209,2.9400,2.9400,2.9310,2.9330,0
BRL-X,20031210,2.9330,2.9440,2.9330,2.9420,0
BRL-X,20031211,2.9420,2.9450,2.9360,2.9360,0
BRL-X,20031212,2.9360,2.9430,2.9350,2.9350,0
BRL-X,20031215,2.9350,2.9360,2.9180,2.9190,0
BRL-X,20031216,2.9190,2.9360,2.9190,2.9360,0
BRL-X,20031217,2.9360,2.9430,2.9300,2.9300,0
BRL-X,20031218,2.9300,2.9360,2.9280,2.9320,0
BRL-X,20031219,2.9320,2.9320,2.9220,2.9230,0
BRL-X,20031222,2.9230,2.9280,2.9150,2.9190,0
BRL-X,20031223,2.9190,2.9230,2.8050,2.9070,0
BRL-X,20031224,2.9070,2.9080,2.9060,2.9070,0
BRL-X,20031225,2.9070,2.9070,2.9070,2.9070,0
BRL-X,20031226,2.9070,2.9070,2.8950,2.9010,0
BRL-X,20031229,2.9010,2.9010,2.8600,2.8600,0
BRL-X,20031230,2.8600,2.9080,2.8600,2.9010,0
BRL-X,20031231,2.9010,2.9010,2.9010,2.9010,0
BRL-X,20040101,2.9010,2.9010,2.9010,2.9010,0
BRL-X,20040102,2.9010,2.9010,2.8760,2.8760,0
BRL-X,20040105,2.8760,2.8760,2.8530,2.8530,0
BRL-X,20040106,2.8530,2.8660,2.8400,2.8660,0
BRL-X,20040107,2.8660,2.8800,2.8580,2.8580,0
BRL-X,20040108,2.8580,2.8670,2.8440,2.8540,0
BRL-X,20040109,2.8540,2.8540,2.8300,2.8300,0
BRL-X,20040112,2.8300,2.8330,2.7880,2.7900,0
BRL-X,20040113,2.7900,2.8120,2.7740,2.8050,0
BRL-X,20040114,2.8050,2.9070,2.8050,2.8180,0
BRL-X,20040115,2.8180,2.8180,2.8040,2.8130,0
BRL-X,20040116,2.8130,2.8270,2.8130,2.8270,0
BRL-X,20040119,2.8270,2.8470,2.8270,2.8380,0
BRL-X,20040120,2.8380,2.8420,2.8330,2.8380,0
BRL-X,20040121,2.8380,2.8450,2.8350,2.8430,0
BRL-X,20040122,2.8430,2.8430,2.8280,2.8280,0
BRL-X,20040123,2.8370,2.8450,2.8370,2.8400,0
BRL-X,20040126,2.8400,2.8440,2.8280,2.8440,0
BRL-X,20040127,2.8440,2.8690,2.8440,2.8680,0
BRL-X,20040128,2.8680,2.8940,2.8680,2.8940,0
BRL-X,20040129,2.8940,2.9500,2.8940,2.9300,0
BRL-X,20040130,2.9300,2.9480,2.9160,2.9320,0
BRL-X,20040202,2.9320,2.9550,2.9320,2.9410,0
BRL-X,20040203,2.9180,2.9180,2.9020,2.9160,0
BRL-X,20040204,2.9160,2.9180,2.9020,2.9180,0
BRL-X,20040205,2.9180,2.9410,2.9180,2.9300,0
BRL-X,20040206,2.9300,2.9580,2.9300,2.9320,0
BRL-X,20040209,2.9320,2.9410,2.9220,2.9240,0
