<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
BRS,20170124,6.6202,6.6202,6.6202,6.6202,0
BRS,20170125,6.6202,6.6202,6.6202,6.6202,0
BRS,20170202,6.6202,6.6202,6.6202,6.6202,0
BRS,20170203,6.6202,6.6202,6.6202,6.6202,0
BRS,20170206,6.6202,6.6202,6.6202,6.6202,0
BRS,20170207,6.6202,6.6202,6.6202,6.6202,0
BRS,20170208,6.6202,6.6202,6.6202,6.6202,0
BRS,20170209,6.6202,6.6202,6.6202,6.6202,0
BRS,20170210,6.6202,6.6202,6.6202,6.6202,0
BRS,20170213,6.6202,6.6202,6.6202,6.6202,0
BRS,20170214,6.6202,6.6202,6.6202,6.6202,0
BRS,20170215,6.6202,6.6202,6.6202,6.6202,0
BRS,20170216,6.6202,6.6202,6.6202,6.6202,0
BRS,20170217,6.6202,6.6202,6.6202,6.6202,0
BRS,20170220,6.6202,6.6202,6.6202,6.6202,0
BRS,20170221,6.6202,6.6202,6.6202,6.6202,0
BRS,20170222,6.6202,6.6202,6.6202,6.6202,0
BRS,20170223,6.6202,6.6202,6.6202,6.6202,0
BRS,20170224,6.6202,6.6202,6.6202,6.6202,0
BRS,20170227,6.6202,6.6202,6.6202,6.6202,0
BRS,20170228,6.6202,6.6202,6.6202,6.6202,0
BRS,20170301,6.6202,6.6202,6.6202,6.6202,0
BRS,20170302,6.6202,6.6202,6.6202,6.6202,0
BRS,20170303,6.6202,6.6202,6.6202,6.6202,0
BRS,20170306,6.6202,6.6202,6.6202,6.6202,0
BRS,20170307,6.6202,6.6202,6.6202,6.6202,0
BRS,20170308,6.6202,6.6202,6.6202,6.6202,0
BRS,20170309,6.6202,6.6202,6.6202,6.6202,0
BRS,20170310,6.6202,6.6202,6.6202,6.6202,0
BRS,20170313,6.6202,6.6202,6.6202,6.6202,0
BRS,20170314,6.6202,6.6202,6.6202,6.6202,0
BRS,20170315,6.6202,6.6202,6.6202,6.6202,0
BRS,20170316,6.6202,6.6202,6.6202,6.6202,0
BRS,20170317,6.6202,6.6202,6.6202,6.6202,0
BRS,20170320,6.6202,6.6202,6.6202,6.6202,0
BRS,20170321,6.6202,6.6202,6.6202,6.6202,0
BRS,20170322,6.6202,6.6202,6.6202,6.6202,0
BRS,20170323,6.6202,6.6202,6.6202,6.6202,0
BRS,20170324,6.6202,6.6202,6.6202,6.6202,0
BRS,20170327,6.6202,6.6202,6.6202,6.6202,0
BRS,20170328,6.6202,6.6202,6.6202,6.6202,0
BRS,20170329,6.6202,6.6202,6.6202,6.6202,0
BRS,20170330,6.6202,6.6202,6.6202,6.6202,0
BRS,20170331,6.6202,6.6202,6.6202,6.6202,0
BRS,20170403,6.6202,6.6202,6.6202,6.6202,0
