<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
BSP,20160810,16.6000,16.6000,16.6000,16.6000,0
BSP,20160811,16.6000,16.6000,16.6000,16.6000,0
BSP,20160812,23.2000,23.2000,23.2000,23.2000,5000
BSP,20160815,26.6000,26.6000,26.6000,26.6000,1100
BSP,20160816,26.6000,26.6000,26.6000,26.6000,0
BSP,20160817,30.0000,30.0000,30.0000,30.0000,200
BSP,20160818,30.0000,30.0000,30.0000,30.0000,0
BSP,20160819,30.0000,30.0000,30.0000,30.0000,0
BSP,20160822,30.0000,30.0000,30.0000,30.0000,0
BSP,20160823,30.0000,30.0000,30.0000,30.0000,0
BSP,20160824,25.5000,25.5000,25.5000,25.5000,400
BSP,20160825,23.0000,23.0000,21.7000,21.7000,5000
BSP,20160826,22.0000,22.0000,22.0000,22.0000,0
BSP,20160829,21.0000,21.0000,21.0000,21.0000,2600
BSP,20160830,21.0000,21.0000,21.0000,21.0000,2900
BSP,20160831,21.0000,21.0000,21.0000,21.0000,0
BSP,20160901,23.0000,23.0000,21.1000,21.1000,5900
BSP,20160905,21.7000,21.7000,21.5000,21.5000,5500
BSP,20160906,21.6000,21.6000,21.6000,21.6000,0
BSP,20160907,21.1000,21.7000,21.1000,21.7000,14200
BSP,20160908,21.7000,23.0000,21.7000,23.0000,7500
BSP,20160909,22.5000,22.5000,21.6000,21.6000,4000
BSP,20160912,21.9000,21.9000,21.9000,21.9000,2000
BSP,20160913,21.9000,21.9000,21.9000,21.9000,0
BSP,20160914,22.8000,22.8000,22.8000,22.8000,100
BSP,20160915,22.8000,22.8000,22.8000,22.8000,0
BSP,20160916,24.9000,25.0000,24.9000,25.0000,3100
BSP,20160919,28.7000,28.7000,25.0000,25.0000,600
BSP,20160920,29.4000,29.4000,29.0000,29.4000,1800
BSP,20160921,33.6000,33.6000,33.6000,33.6000,5900
BSP,20160922,38.6000,38.6000,38.0000,38.5000,3310
BSP,20160923,38.5000,39.0000,35.0000,36.0000,3200
BSP,20160926,36.0000,36.0000,35.0000,35.0000,1500
BSP,20160927,34.9000,34.9000,33.0000,33.0000,4300
BSP,20160928,28.7000,34.5000,28.7000,34.5000,600
BSP,20160929,29.7000,29.7000,29.7000,29.7000,0
BSP,20160930,29.7000,29.7000,29.7000,29.7000,0
BSP,20161003,30.0000,30.0000,29.7000,29.7000,3300
BSP,20161004,29.8000,29.8000,29.8000,29.8000,0
BSP,20161005,29.8000,29.8000,29.8000,29.8000,0
BSP,20161006,29.8000,29.8000,29.8000,29.8000,500
BSP,20161007,29.8000,29.8000,29.8000,29.8000,0
BSP,20161010,29.1000,29.5000,29.1000,29.5000,2000
BSP,20161011,29.3000,29.3000,29.3000,29.3000,0
BSP,20161012,28.5000,28.5000,28.5000,28.5000,700
BSP,20161013,28.0000,28.5000,28.0000,28.5000,10600
BSP,20161014,28.4000,28.4000,28.4000,28.4000,0
BSP,20161017,27.5000,27.5000,27.0000,27.0000,2600
BSP,20161018,25.6000,25.6000,25.0000,25.0000,2500
BSP,20161019,25.3000,25.3000,25.3000,25.3000,0
BSP,20161020,25.3000,25.3000,25.3000,25.3000,0
BSP,20161021,26.0000,27.0000,25.0000,25.0000,3100
BSP,20161024,25.0000,25.0000,25.0000,25.0000,700
BSP,20161025,28.6000,28.6000,28.6000,28.6000,500
BSP,20161026,28.6000,28.6000,26.1000,26.1000,4200
BSP,20161027,23.9000,31.7000,23.9000,31.0000,3700
BSP,20161028,32.5000,33.3000,30.5000,33.3000,7800
BSP,20161031,35.0000,36.0000,33.0000,34.5000,13100
BSP,20161101,35.0000,35.1000,35.0000,35.0000,3700
BSP,20161102,36.0000,36.0000,32.0000,32.5000,7400
BSP,20161103,33.0000,33.0000,30.1000,30.1000,5200
BSP,20161104,30.0000,33.0000,28.6000,32.0000,1200
BSP,20161107,33.3000,35.7000,33.3000,35.7000,8700
BSP,20161108,36.0000,39.4000,36.0000,39.4000,84500
BSP,20161109,44.8000,44.8000,39.0000,44.0000,41600
BSP,20161110,46.0000,48.5000,46.0000,48.5000,47710
BSP,20161111,50.0000,52.0000,41.0000,41.2000,38300
BSP,20161114,41.2000,49.9000,38.5000,45.0000,27491
BSP,20161115,46.0000,48.5000,46.0000,46.9000,14020
BSP,20161116,47.9000,47.9000,42.5000,42.5000,7700
BSP,20161117,43.9000,43.9000,40.0000,42.0000,8130
BSP,20161118,44.9000,44.9000,41.0000,42.3000,8800
BSP,20161121,45.8000,45.8000,37.6000,42.6000,17900
BSP,20161122,43.3000,43.3000,41.2000,42.4000,18500
BSP,20161123,42.9000,42.9000,40.5000,41.9000,14900
BSP,20161124,41.0000,43.7000,39.5000,40.5000,11400
BSP,20161125,42.4000,42.4000,38.5000,38.7000,5428
BSP,20161128,42.9000,45.0000,42.5000,43.0000,19730
BSP,20161129,44.8000,44.8000,40.7000,43.1000,19200
BSP,20161130,43.8000,43.8000,42.5000,43.5000,9410
BSP,20161201,42.0000,43.0000,42.0000,43.0000,8300
BSP,20161202,44.9000,44.9000,41.5000,42.5000,11190
BSP,20161205,42.5000,44.5000,42.5000,43.5000,18200
BSP,20161206,44.4000,44.4000,36.9000,36.9000,29830
BSP,20161207,36.0000,37.9000,32.1000,36.9000,15040
BSP,20161208,35.0000,35.0000,33.5000,34.9000,2610
BSP,20161209,34.0000,34.0000,29.9000,29.9000,11965
BSP,20161212,29.0000,29.0000,26.5000,27.0000,10500
BSP,20161213,29.9000,31.0000,29.9000,31.0000,23702
BSP,20161214,34.0000,34.2000,33.0000,33.0000,13400
BSP,20161215,30.1000,32.9000,30.0000,31.0000,12770
BSP,20161216,31.0000,31.0000,29.1000,31.0000,6525
BSP,20161219,30.5000,30.5000,28.7000,29.0000,4100
BSP,20161220,29.9000,29.9000,28.0000,28.8000,7000
BSP,20161221,28.3000,29.9000,28.3000,29.3000,6300
BSP,20161222,29.0000,30.9000,29.0000,30.7000,6300
BSP,20161223,29.0000,29.9000,29.0000,29.4000,2900
BSP,20161226,33.7000,33.7000,29.3000,29.3000,5300
BSP,20161227,32.9000,32.9000,28.6000,28.6000,20501
BSP,20161228,28.5000,29.7000,28.5000,28.8000,3010
BSP,20161229,31.9000,31.9000,29.0000,29.1000,3500
BSP,20161230,28.6000,28.6000,27.5000,28.0000,3900
BSP,20170103,30.8000,30.8000,30.8000,30.8000,300
BSP,20170104,27.8000,27.8000,27.5000,27.5000,2141
BSP,20170105,28.8000,29.1000,28.2000,29.0000,6709
BSP,20170106,29.1000,29.1000,29.0000,29.0000,500
BSP,20170109,28.0000,28.5000,28.0000,28.5000,6282
BSP,20170110,28.0000,28.0000,28.0000,28.0000,1600
BSP,20170111,28.7000,28.7000,28.1000,28.4000,2200
BSP,20170112,29.5000,29.5000,28.0000,28.0000,1400
BSP,20170113,32.3000,32.3000,32.3000,32.3000,100
BSP,20170116,28.8000,29.0000,28.6000,28.8000,2500
BSP,20170117,24.5000,31.0000,24.5000,29.0000,7710
BSP,20170118,24.4000,30.0000,24.4000,29.8000,1410
BSP,20170119,30.2000,30.2000,27.3000,27.3000,600
BSP,20170120,26.6000,28.9000,26.6000,28.9000,200
BSP,20170123,29.7000,29.7000,27.8000,27.9000,2100
BSP,20170124,29.5000,29.5000,24.1000,28.5000,1600
BSP,20170125,29.3000,29.3000,29.3000,29.3000,117
BSP,20170202,27.0000,28.0000,27.0000,28.0000,1900
BSP,20170203,23.8000,29.2000,23.8000,28.5000,5333
BSP,20170206,29.4000,29.4000,28.7000,29.0000,6400
BSP,20170207,28.0000,28.9000,28.0000,28.9000,2100
BSP,20170208,28.8000,29.0000,28.8000,29.0000,6400
BSP,20170209,29.0000,29.0000,29.0000,29.0000,4110
BSP,20170210,29.0000,29.0000,29.0000,29.0000,4800
BSP,20170213,29.0000,29.0000,29.0000,29.0000,0
BSP,20170214,30.0000,30.0000,25.0000,29.6000,1618
BSP,20170215,30.0000,30.0000,30.0000,30.0000,100
BSP,20170216,34.4000,34.4000,26.0000,29.0000,1600
BSP,20170217,28.5000,28.5000,28.5000,28.5000,2400
BSP,20170220,29.0000,29.0000,29.0000,29.0000,300
BSP,20170221,27.7000,28.9000,27.7000,28.9000,1100
BSP,20170222,27.7000,27.7000,27.6000,27.6000,1000
BSP,20170223,27.5000,27.5000,27.5000,27.5000,128
BSP,20170224,27.0000,27.0000,27.0000,27.0000,200
BSP,20170227,27.0000,27.0000,26.8000,26.8000,3450
BSP,20170228,29.0000,29.0000,29.0000,29.0000,100
BSP,20170301,25.1000,29.0000,25.1000,28.0000,3000
BSP,20170302,28.0000,28.0000,28.0000,28.0000,4200
BSP,20170303,28.0000,28.0000,28.0000,28.0000,2000
BSP,20170306,28.0000,28.0000,28.0000,28.0000,0
BSP,20170307,26.1000,28.0000,26.1000,28.0000,1200
BSP,20170308,27.1000,27.1000,27.0000,27.0000,2720
BSP,20170309,27.1000,27.1000,27.1000,27.1000,0
BSP,20170310,27.1000,27.2000,26.0000,26.0000,1400
BSP,20170313,26.8000,26.8000,26.8000,26.8000,1000
BSP,20170314,26.8000,26.8000,26.8000,26.8000,0
BSP,20170315,26.8000,26.8000,26.8000,26.8000,0
BSP,20170316,27.0000,27.0000,25.0000,25.0000,1100
BSP,20170317,26.2000,26.2000,26.2000,26.2000,3000
BSP,20170320,26.3000,26.3000,26.2000,26.2000,4000
BSP,20170321,26.2000,26.2000,26.2000,26.2000,200
BSP,20170322,26.2000,26.2000,26.2000,26.2000,0
BSP,20170323,26.2000,26.2000,26.2000,26.2000,0
BSP,20170324,26.2000,26.2000,26.2000,26.2000,0
BSP,20170327,26.5000,26.5000,26.5000,26.5000,200
BSP,20170328,22.6000,26.5000,22.6000,26.5000,300
BSP,20170329,25.2000,25.2000,25.2000,25.2000,0
BSP,20170330,26.3000,26.3000,26.3000,26.3000,100
BSP,20170331,26.3000,26.3000,26.3000,26.3000,0
BSP,20170403,22.4000,23.4000,22.4000,23.2000,4100
BSP,20170404,23.1000,23.1000,22.8000,22.8000,5500
BSP,20170405,26.2000,26.2000,26.2000,26.2000,100
BSP,20170407,26.1000,28.0000,22.3000,23.2000,600
BSP,20170410,25.2000,25.2000,25.2000,25.2000,1800
BSP,20170411,25.2000,25.2000,25.2000,25.2000,300
BSP,20170412,21.5000,21.8000,21.5000,21.8000,400
BSP,20170413,23.0000,23.0000,22.6000,23.0000,2300
BSP,20170414,25.3000,25.3000,25.3000,25.3000,200
BSP,20170417,25.0000,25.0000,25.0000,25.0000,500
BSP,20170418,25.9000,25.9000,25.9000,25.9000,600
BSP,20170419,25.0000,25.1000,25.0000,25.1000,4000
BSP,20170420,25.0000,25.0000,25.0000,25.0000,0
BSP,20170421,25.0000,25.0000,25.0000,25.0000,0
BSP,20170424,25.1000,25.1000,25.1000,25.1000,600
BSP,20170425,25.1000,25.1000,25.1000,25.1000,1400
BSP,20170426,27.4000,27.4000,22.0000,27.3000,4200
BSP,20170427,28.5000,28.5000,25.0000,25.0000,1100
BSP,20170428,24.6000,24.6000,24.6000,24.6000,1500
BSP,20170503,23.5000,25.0000,23.5000,25.0000,1300
BSP,20170504,25.2000,25.6000,25.2000,25.6000,2300
BSP,20170505,26.0000,26.0000,26.0000,26.0000,1400
BSP,20170508,26.0000,26.0000,26.0000,26.0000,0
BSP,20170509,26.0000,26.0000,26.0000,26.0000,100
BSP,20170510,26.0000,26.0000,25.5000,25.5000,4820
BSP,20170511,25.5000,25.5000,25.5000,25.5000,0
BSP,20170512,24.5000,24.5000,23.0000,23.0000,2800
BSP,20170515,26.0000,26.0000,26.0000,26.0000,2950
BSP,20170516,26.2000,26.2000,26.0000,26.0000,2600
BSP,20170517,26.0000,26.0000,26.0000,26.0000,0
BSP,20170518,26.6000,26.6000,26.6000,26.6000,100
BSP,20170519,26.7000,26.9000,26.5000,26.9000,1700
BSP,20170522,27.0000,27.0000,27.0000,27.0000,2400
BSP,20170523,27.0000,27.0000,27.0000,27.0000,100
BSP,20170524,29.0000,29.0000,26.5000,26.5000,5210
BSP,20170525,27.0000,27.0000,26.5000,26.7000,3400
BSP,20170526,27.0000,27.0000,26.0000,26.0000,1900
BSP,20170529,26.3000,26.3000,26.3000,26.3000,0
BSP,20170530,26.0000,26.1000,26.0000,26.0000,1800
BSP,20170531,27.0000,27.0000,27.0000,27.0000,300
BSP,20170601,27.0000,27.0000,27.0000,27.0000,8900
BSP,20170602,27.1000,27.9000,27.0000,27.0000,5600
BSP,20170605,27.2000,27.2000,27.2000,27.2000,5100
BSP,20170606,27.3000,27.3000,27.3000,27.3000,1300
BSP,20170607,27.5000,27.7000,27.4000,27.5000,30900
BSP,20170608,28.3000,28.5000,28.3000,28.4000,1600
BSP,20170609,28.1000,28.1000,28.0000,28.0000,4000
BSP,20170612,28.0000,28.0000,28.0000,28.0000,3000
BSP,20170613,28.0000,28.3000,28.0000,28.3000,2900
