<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
BTB,20170112,11.0000,11.0000,11.0000,11.0000,0
BTB,20170113,15.4000,15.4000,15.4000,15.4000,100
BTB,20170116,15.4000,15.4000,15.4000,15.4000,0
BTB,20170117,17.7000,17.7000,17.7000,17.7000,4200
BTB,20170118,20.3000,20.3000,20.3000,20.3000,3500
BTB,20170119,17.3000,18.0000,17.3000,18.0000,210
BTB,20170120,15.1000,16.0000,15.1000,16.0000,600
BTB,20170123,13.2000,14.0000,13.2000,13.9000,2900
BTB,20170124,12.4000,13.5000,12.2000,13.5000,1100
BTB,20170125,12.4000,12.4000,12.4000,12.4000,0
BTB,20170202,13.2000,13.3000,13.2000,13.3000,810
BTB,20170203,13.8000,14.2000,13.6000,13.6000,700
BTB,20170206,14.4000,14.4000,14.4000,14.4000,1100
BTB,20170207,14.4000,14.4000,14.4000,14.4000,0
BTB,20170208,13.5000,13.5000,13.5000,13.5000,500
BTB,20170209,13.5000,13.5000,13.5000,13.5000,0
BTB,20170210,14.5000,14.5000,14.5000,14.5000,100
BTB,20170213,15.0000,15.0000,15.0000,15.0000,100
BTB,20170214,15.0000,15.0000,15.0000,15.0000,0
BTB,20170215,15.0000,15.0000,15.0000,15.0000,0
BTB,20170216,15.0000,15.0000,15.0000,15.0000,0
BTB,20170217,15.0000,15.0000,15.0000,15.0000,0
BTB,20170220,12.8000,12.8000,12.8000,12.8000,800
BTB,20170221,12.0000,12.0000,12.0000,12.0000,200
BTB,20170222,10.3000,10.4000,10.2000,10.4000,7700
BTB,20170223,10.4000,10.4000,9.0000,9.0000,1400
BTB,20170224,10.0000,10.0000,10.0000,10.0000,300
BTB,20170227,10.0000,10.0000,10.0000,10.0000,300
BTB,20170228,10.0000,10.0000,10.0000,10.0000,2000
BTB,20170301,10.0000,10.0000,10.0000,10.0000,3000
BTB,20170302,10.0000,10.0000,10.0000,10.0000,0
BTB,20170303,10.0000,10.0000,10.0000,10.0000,0
BTB,20170306,10.0000,10.0000,10.0000,10.0000,600
BTB,20170307,10.0000,10.0000,10.0000,10.0000,0
BTB,20170308,10.0000,10.0000,10.0000,10.0000,300
BTB,20170309,9.5000,9.5000,9.5000,9.5000,100
BTB,20170310,10.0000,10.0000,9.6000,9.6000,14800
BTB,20170313,10.0000,10.0000,10.0000,10.0000,100
BTB,20170314,10.0000,10.0000,10.0000,10.0000,200
BTB,20170315,10.0000,10.0000,10.0000,10.0000,0
BTB,20170316,10.0000,10.0000,10.0000,10.0000,100
BTB,20170317,11.5000,11.5000,11.5000,11.5000,100
BTB,20170320,11.5000,11.5000,11.5000,11.5000,0
BTB,20170321,11.5000,11.5000,11.5000,11.5000,0
BTB,20170322,11.5000,11.5000,11.5000,11.5000,0
BTB,20170323,9.8000,10.0000,9.8000,10.0000,2100
BTB,20170324,9.8000,9.8000,9.8000,9.8000,0
BTB,20170327,9.8000,9.8000,9.8000,9.8000,0
BTB,20170328,9.8000,9.8000,9.8000,9.8000,0
BTB,20170329,9.8000,9.8000,9.8000,9.8000,0
BTB,20170330,9.8000,9.8000,9.8000,9.8000,0
BTB,20170331,9.8000,9.8000,9.8000,9.8000,0
BTB,20170403,9.8000,9.8000,9.8000,9.8000,0
BTB,20170404,9.8000,9.8000,9.8000,9.8000,0
BTB,20170405,9.5000,9.5000,9.5000,9.5000,600
BTB,20170407,8.6000,8.6000,8.6000,8.6000,800
BTB,20170410,9.3000,9.3000,9.2000,9.2000,500
BTB,20170411,9.3000,9.3000,9.3000,9.3000,0
BTB,20170412,8.0000,8.0000,8.0000,8.0000,100
BTB,20170413,8.0000,8.0000,8.0000,8.0000,0
BTB,20170414,8.0000,8.0000,8.0000,8.0000,0
BTB,20170417,9.0000,9.0000,9.0000,9.0000,100
