<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
BTD,20170302,16.4560,16.4560,13.2914,13.4813,20000
BTD,20170303,17.0889,17.0889,17.0889,17.0889,100
BTD,20170306,19.6206,19.6206,19.6206,19.6206,700
BTD,20170307,16.7092,16.7092,16.7092,16.7092,1000
BTD,20170308,14.2408,14.2408,14.2408,14.2408,100
BTD,20170309,12.1521,12.1521,12.1521,12.1521,5100
BTD,20170310,13.9243,13.9243,13.9243,13.9243,100
BTD,20170313,14.2408,14.5572,14.2408,14.5572,900
BTD,20170314,14.3674,14.3674,14.3674,14.3674,0
BTD,20170315,12.3420,12.3420,12.3420,12.3420,1000
BTD,20170316,10.7597,10.7597,10.5698,10.7597,5500
BTD,20170317,12.1521,12.1521,11.5192,12.1521,15047
BTD,20170320,12.0888,12.0888,12.0888,12.0888,0
BTD,20170321,12.0888,12.0888,12.0888,12.0888,0
BTD,20170322,12.1521,12.1521,12.0888,12.0888,738
BTD,20170323,12.1521,12.1521,12.1521,12.1521,0
BTD,20170324,12.1521,12.1521,12.1521,12.1521,1500
BTD,20170327,12.1521,12.1521,12.1521,12.1521,0
BTD,20170328,11.3926,11.3926,11.3926,11.3926,300
BTD,20170329,11.4559,11.4559,11.4559,11.4559,200
BTD,20170330,11.7091,11.7091,11.5192,11.7091,14000
BTD,20170331,12.0255,12.0255,12.0255,12.0255,2000
BTD,20170403,12.0255,12.0255,12.0255,12.0255,0
BTD,20170404,11.8357,11.8357,11.8357,11.8357,3000
BTD,20170405,11.7724,11.7724,11.7724,11.7724,100
BTD,20170407,10.1268,11.7091,10.1268,11.7091,200
BTD,20170410,11.0129,11.3926,11.0129,11.3926,2000
BTD,20170411,11.7724,11.7724,11.7724,11.7724,1000
BTD,20170412,11.7724,12.3420,11.7724,12.1521,19734
BTD,20170413,12.1521,12.3420,11.9623,11.9623,9300
BTD,20170414,11.8357,11.8357,11.8357,11.8357,1000
BTD,20170417,11.9623,12.3420,11.9623,12.2787,19100
BTD,20170418,12.0888,12.0888,12.0888,12.0888,265
BTD,20170419,11.5825,11.5825,11.5825,11.5825,11100
BTD,20170420,11.5825,11.5825,11.5825,11.5825,0
BTD,20170421,11.4559,11.5825,11.4559,11.5825,6201
BTD,20170424,11.5825,11.7091,11.4559,11.5192,3000
BTD,20170425,11.3926,11.3926,11.3926,11.3926,1134
BTD,20170426,11.3293,11.3926,11.2660,11.3293,11116
BTD,20170427,11.1395,11.2027,11.1395,11.2027,2500
BTD,20170428,11.1395,11.1395,11.0762,11.0762,1400
BTD,20170503,11.1395,11.1395,11.1395,11.1395,0
BTD,20170504,9.5571,11.2660,9.5571,11.2660,5300
BTD,20170505,11.2660,11.2660,11.2027,11.2027,5100
BTD,20170508,11.3926,11.3926,11.3926,11.3926,100
BTD,20170509,9.8103,11.3926,9.8103,11.3926,3300
BTD,20170510,11.7091,11.7091,9.0508,11.2027,500
BTD,20170511,9.1141,11.2660,9.1141,9.4939,5400
BTD,20170512,9.6837,9.6837,9.6837,9.6837,5000
BTD,20170515,9.6837,9.6837,9.4939,9.4939,7000
BTD,20170516,8.9242,9.4939,8.9242,9.4939,2700
BTD,20170517,10.1268,10.1268,9.1141,9.1141,2400
BTD,20170518,9.1774,9.1774,9.1774,9.1774,4400
BTD,20170519,9.4939,9.4939,9.2407,9.2407,500
BTD,20170522,9.4306,9.4306,9.4306,9.4306,5300
BTD,20170523,9.2407,9.3040,9.1141,9.2407,2100
BTD,20170524,9.1774,9.1774,9.0508,9.0508,6000
BTD,20170525,9.1774,9.2407,9.1774,9.2407,8400
BTD,20170526,9.1774,9.2407,9.1774,9.2407,7000
BTD,20170529,9.1774,10.5065,9.1774,10.5065,12800
BTD,20170530,10.1268,10.1268,10.1268,10.1268,2000
BTD,20170531,10.1268,10.1268,10.1268,10.1268,100
BTD,20170601,9.5571,9.5571,9.4939,9.5571,5500
BTD,20170602,9.6837,9.6837,9.6837,9.6837,2430
BTD,20170605,10.1268,10.4432,10.1268,10.1268,4500
BTD,20170606,10.3799,10.3799,10.3799,10.3799,1000
BTD,20170607,10.4432,10.4432,10.1268,10.1268,2700
BTD,20170608,10.1268,10.3167,10.1268,10.1268,3700
BTD,20170609,10.4432,10.4432,10.4432,10.4432,200
BTD,20170612,10.7597,10.7597,10.4432,10.4432,5600
BTD,20170613,10.5698,10.5698,10.5698,10.5698,1593
BTD,20170614,10.5698,10.5698,10.5698,10.5698,24
BTD,20170615,10.2534,10.2534,10.2534,10.2534,1020
BTD,20170616,10.6964,10.8230,10.6964,10.8230,3100
BTD,20170619,9.4939,10.7597,9.4939,9.6204,9800
BTD,20170620,10.7597,10.7597,10.7597,10.7597,100
BTD,20170621,10.7597,10.7597,10.7597,10.7597,100
BTD,20170622,11.0762,11.0762,9.4939,9.4939,45015
BTD,20170623,9.6837,9.6837,9.6837,9.6837,100
BTD,20170626,9.6837,9.6837,9.5571,9.6837,7000
BTD,20170627,9.8103,9.8103,9.4939,9.4939,93000
BTD,20170628,9.4939,10.3167,9.4939,10.3167,26300
BTD,20170629,9.8736,10.0635,9.8736,10.0635,1900
BTD,20170630,10.4432,11.3926,10.1268,10.1268,400
BTD,20170703,10.3167,10.3167,10.1268,10.1268,11700
BTD,20170704,10.1268,10.1268,10.1268,10.1268,2600
BTD,20170705,10.1268,10.1268,10.1268,10.1268,2500
BTD,20170706,10.1268,10.1268,10.1268,10.1268,500
BTD,20170707,10.1268,10.1268,10.1268,10.1268,17000
BTD,20170710,9.8103,9.8103,9.5571,9.5571,8600
BTD,20170711,10.0002,10.0002,10.0002,10.0002,100
BTD,20170712,9.4306,9.9369,9.4306,9.9369,15100
BTD,20170713,10.1268,10.1268,10.1268,10.1268,100
BTD,20170714,9.8103,9.8736,9.8103,9.8103,1200
BTD,20170717,9.8103,9.8736,9.8103,9.8736,4200
BTD,20170718,9.4939,9.5571,9.4939,9.5571,19800
BTD,20170719,9.4939,9.4939,9.4939,9.4939,400
BTD,20170720,9.5571,9.6204,9.5571,9.6204,300
BTD,20170721,9.4939,9.8103,9.4939,9.4939,2600
BTD,20170724,9.5571,9.5571,9.5571,9.5571,0
BTD,20170725,9.7470,9.8103,9.7470,9.8103,4100
BTD,20170726,9.8103,9.8103,9.8103,9.8103,100
BTD,20170727,9.8103,9.8103,9.8103,9.8103,0
BTD,20170728,9.3673,9.5571,9.3673,9.4306,9600
BTD,20170731,9.3673,9.4939,9.3673,9.4939,10400
BTD,20170801,9.4939,9.4939,9.4939,9.4939,0
BTD,20170802,9.4939,9.5571,9.3040,9.4939,14800
BTD,20170803,9.4306,10.0635,9.4306,10.0635,31300
BTD,20170804,10.8863,10.8863,9.4939,9.4939,200
BTD,20170807,10.0635,10.0635,10.0635,10.0635,200
BTD,20170808,9.9369,9.9369,9.7470,9.7470,600
BTD,20170809,9.5571,9.5571,9.3040,9.3040,9400
BTD,20170810,9.7470,9.7470,9.7470,9.7470,4330
BTD,20170811,9.6204,10.4432,9.4939,10.4432,74900
BTD,20170814,10.0635,11.2027,10.0002,10.4432,69000
BTD,20170815,11.2660,11.2660,10.1901,10.4432,18700
BTD,20170816,11.0762,11.8357,10.4432,10.5698,38700
BTD,20170817,10.9496,10.9496,10.1901,10.1901,30200
BTD,20170818,11.1045,11.1045,10.1900,10.8432,2350
BTD,20170821,11.0392,11.0392,10.4513,10.4513,200
BTD,20170822,11.1045,11.1045,10.4513,10.7779,10500
BTD,20170823,8.8836,10.2553,8.8836,10.2553,19200
BTD,20170824,10.7779,10.7779,9.7981,10.1247,25100
