<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
BTG,20100715,5.5495,5.5495,5.5495,5.5495,100
BTG,20100716,6.1044,6.1044,6.1044,6.1044,80
BTG,20100719,6.1044,6.1044,6.1044,6.1044,0
BTG,20100720,6.2733,6.2733,6.2733,6.2733,100
BTG,20100721,6.3939,6.3939,6.3939,6.3939,100
BTG,20100722,6.3939,6.3939,6.3939,6.3939,0
BTG,20100723,6.3939,6.3939,6.3939,6.3939,100
BTG,20100726,6.3939,6.3939,6.3939,6.3939,0
BTG,20100727,6.3939,6.3939,6.3939,6.3939,0
BTG,20100728,6.3939,6.3939,6.3939,6.3939,0
BTG,20100729,6.3939,6.3939,6.3939,6.3939,0
BTG,20100730,5.7907,5.7907,5.7907,5.7907,100
BTG,20100802,5.2117,5.2117,5.2117,5.2117,100
BTG,20100803,5.2117,5.2117,5.2117,5.2117,0
BTG,20100804,5.2117,5.2117,5.2117,5.2117,0
BTG,20100805,5.2117,5.2117,5.2117,5.2117,0
BTG,20100806,5.2117,5.2117,5.2117,5.2117,0
BTG,20100809,5.2117,5.2117,5.2117,5.2117,0
BTG,20100810,5.2117,5.2117,5.2117,5.2117,0
BTG,20100811,4.7050,4.7050,4.7050,4.7050,100
BTG,20100812,4.7050,4.7050,4.7050,4.7050,0
BTG,20100813,4.7050,4.7050,4.7050,4.7050,0
BTG,20100816,4.7050,4.7050,4.7050,4.7050,0
BTG,20100817,4.7050,4.7050,4.7050,4.7050,0
BTG,20100818,4.7050,4.7050,4.7050,4.7050,0
BTG,20100819,4.7050,4.7050,4.7050,4.7050,0
BTG,20100820,4.7050,4.7050,4.7050,4.7050,0
BTG,20100823,4.7050,4.7050,4.7050,4.7050,0
BTG,20100824,4.7050,4.7050,4.7050,4.7050,0
BTG,20100825,4.7050,4.7050,4.7050,4.7050,0
BTG,20100826,4.7050,4.7050,4.7050,4.7050,0
BTG,20100827,4.7050,4.7050,4.7050,4.7050,0
BTG,20100830,4.7050,4.7050,4.7050,4.7050,0
BTG,20100831,4.7050,4.7050,4.7050,4.7050,0
BTG,20100901,4.7050,4.7050,4.7050,4.7050,0
BTG,20100906,4.7050,4.7050,4.7050,4.7050,0
BTG,20100907,4.7050,4.7050,4.7050,4.7050,0
BTG,20100908,4.7050,4.7050,4.7050,4.7050,0
BTG,20100909,4.7050,4.7050,4.7050,4.7050,0
BTG,20100910,4.7050,4.7050,4.7050,4.7050,0
BTG,20100913,4.7050,4.7050,4.7050,4.7050,0
BTG,20100914,4.7050,4.7050,4.7050,4.7050,0
BTG,20100915,4.7050,4.7050,4.7050,4.7050,0
BTG,20100916,4.7050,4.7050,4.7050,4.7050,0
BTG,20100917,4.7050,4.7050,4.7050,4.7050,0
BTG,20100920,4.7050,4.7050,4.7050,4.7050,0
BTG,20100921,4.7050,4.7050,4.7050,4.7050,0
BTG,20100922,4.7050,4.7050,4.7050,4.7050,0
BTG,20100923,4.7050,4.7050,4.7050,4.7050,0
BTG,20100924,4.7050,4.7050,4.7050,4.7050,0
BTG,20100927,4.7050,4.7050,4.7050,4.7050,0
BTG,20100928,4.7050,4.7050,4.7050,4.7050,0
BTG,20100929,4.7050,4.7050,4.7050,4.7050,0
BTG,20100930,4.7050,4.7050,4.7050,4.7050,0
BTG,20101001,4.7050,4.7050,4.7050,4.7050,0
BTG,20101004,4.7050,4.7050,4.7050,4.7050,0
BTG,20101005,4.7050,4.7050,4.7050,4.7050,0
BTG,20101006,4.7050,4.7050,4.7050,4.7050,0
BTG,20101007,4.3431,4.3431,4.3431,4.3431,2700
BTG,20101008,4.3431,4.3431,4.3431,4.3431,0
BTG,20101011,4.3431,4.3431,4.3431,4.3431,0
BTG,20101012,4.3431,4.3431,4.3431,4.3431,0
BTG,20101013,4.3431,4.3431,4.3431,4.3431,0
BTG,20101014,4.3431,4.3431,4.3431,4.3431,0
BTG,20101015,4.3431,4.3431,4.3431,4.3431,0
BTG,20101018,4.3431,4.3431,4.3431,4.3431,0
BTG,20101019,4.3431,4.3431,4.3431,4.3431,0
BTG,20101020,4.3431,4.3431,4.3431,4.3431,0
BTG,20101021,4.3431,4.3431,4.3431,4.3431,0
BTG,20101022,4.3431,4.3431,4.3431,4.3431,0
BTG,20101025,4.3431,4.3431,4.3431,4.3431,0
BTG,20101026,4.3431,4.3431,4.3431,4.3431,0
BTG,20101027,4.3431,4.3431,4.3431,4.3431,0
