<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
BTN,20180105,25.1000,30.8000,25.1000,30.8000,300
BTN,20180108,25.0000,25.0000,25.0000,25.0000,200
BTN,20180109,25.0000,25.0000,25.0000,25.0000,0
BTN,20180110,25.0000,25.0000,25.0000,25.0000,100
BTN,20180111,25.0000,25.0000,25.0000,25.0000,0
BTN,20180112,15.7131,15.7131,15.7131,15.7131,0
BTN,20180115,14.4252,14.4252,14.4252,14.4252,200
BTN,20180116,12.5576,12.5576,12.5576,12.5576,100
BTN,20180117,10.9477,12.2356,10.9477,12.2356,200
BTN,20180118,11.5917,11.5917,11.5917,11.5917,0
BTN,20180119,11.5917,11.5917,11.5917,11.5917,0
BTN,20180122,9.8529,9.8529,9.8529,9.8529,100
BTN,20180123,9.8529,9.8529,9.8529,9.8529,0
BTN,20180124,9.8529,9.8529,9.8529,9.8529,0
BTN,20180125,9.8529,9.8529,9.8529,9.8529,10
BTN,20180126,8.4362,9.8529,8.4362,9.8529,200
BTN,20180129,9.1445,9.1445,9.1445,9.1445,0
BTN,20180130,9.1445,9.1445,9.1445,9.1445,0
BTN,20180131,9.1445,9.1445,9.1445,9.1445,0
BTN,20180201,9.1445,9.1445,9.1445,9.1445,0
BTN,20180202,9.1445,9.1445,9.1445,9.1445,0
BTN,20180205,9.1445,9.1445,9.1445,9.1445,0
BTN,20180206,7.7922,7.7922,7.7922,7.7922,100
BTN,20180207,7.7922,7.7922,7.7922,7.7922,10
BTN,20180208,7.7922,7.7922,7.7922,7.7922,0
BTN,20180209,7.7922,7.7922,7.7922,7.7922,0
BTN,20180212,7.7922,7.7922,7.7922,7.7922,0
BTN,20180213,7.7922,7.7922,7.7922,7.7922,0
BTN,20180221,7.7922,7.7922,7.7922,7.7922,0
BTN,20180222,7.7922,7.7922,7.7922,7.7922,0
BTN,20180223,7.7922,7.7922,7.7922,7.7922,0
BTN,20180226,7.7922,7.7922,7.7922,7.7922,0
BTN,20180227,7.7922,7.7922,7.7922,7.7922,0
BTN,20180228,7.7922,7.7922,7.7922,7.7922,10
BTN,20180301,7.7922,7.7922,7.7922,7.7922,0
BTN,20180302,7.7922,7.7922,7.7922,7.7922,0
BTN,20180305,7.7922,7.7922,7.7922,7.7922,0
BTN,20180306,7.7922,7.7922,7.7922,7.7922,0
BTN,20180307,7.7922,7.7922,7.7922,7.7922,0
BTN,20180308,7.7922,7.7922,7.7922,7.7922,0
BTN,20180309,7.7922,7.7922,7.7922,7.7922,0
BTN,20180312,7.7922,7.7922,7.7922,7.7922,0
BTN,20180313,7.7922,7.7922,7.7922,7.7922,0
BTN,20180314,7.7922,7.7922,7.7922,7.7922,0
BTN,20180315,7.7922,7.7922,7.7922,7.7922,0
BTN,20180316,7.7922,7.7922,7.7922,7.7922,0
BTN,20180319,7.7922,7.7922,7.7922,7.7922,0
BTN,20180320,7.7922,7.7922,7.7922,7.7922,0
BTN,20180321,7.7922,7.7922,7.7922,7.7922,0
BTN,20180322,7.7922,7.7922,7.7922,7.7922,0
BTN,20180323,7.7922,7.7922,7.7922,7.7922,0
BTN,20180326,7.7922,7.7922,7.7922,7.7922,0
BTN,20180327,7.7922,7.7922,7.7922,7.7922,0
BTN,20180328,7.7922,7.7922,7.7922,7.7922,0
BTN,20180329,7.7922,7.7922,7.7922,7.7922,0
BTN,20180330,7.7922,7.7922,7.7922,7.7922,0
BTN,20180402,7.7922,7.7922,7.7922,7.7922,0
BTN,20180403,7.7922,7.7922,7.7922,7.7922,0
BTN,20180404,7.7922,7.7922,7.7922,7.7922,0
BTN,20180405,7.7922,7.7922,7.7922,7.7922,0
BTN,20180406,7.7922,7.7922,7.7922,7.7922,0
BTN,20180409,7.7922,7.7922,7.7922,7.7922,0
BTN,20180410,7.7922,7.7922,7.7922,7.7922,0
BTN,20180411,7.7922,7.7922,7.7922,7.7922,0
BTN,20180412,7.7922,7.7922,7.7922,7.7922,0
BTN,20180413,7.7922,7.7922,7.7922,7.7922,0
BTN,20180416,7.7922,7.7922,7.7922,7.7922,0
BTN,20180417,7.7922,7.7922,7.7922,7.7922,0
BTN,20180418,7.7922,7.7922,7.7922,7.7922,0
BTN,20180419,7.7922,7.7922,7.7922,7.7922,0
BTN,20180420,7.7922,7.7922,7.7922,7.7922,0
BTN,20180423,7.7922,7.7922,7.7922,7.7922,0
BTN,20180424,7.7922,7.7922,7.7922,7.7922,0
BTN,20180426,7.7922,7.7922,7.7922,7.7922,0
BTN,20180427,7.7922,7.7922,7.7922,7.7922,0
BTN,20180502,7.7922,7.7922,7.7922,7.7922,0
BTN,20180503,7.7922,7.7922,7.7922,7.7922,0
BTN,20180504,7.7278,7.7278,7.7278,7.7278,21000
BTN,20180507,7.7278,7.7278,7.7278,7.7278,0
BTN,20180508,7.7278,7.7278,7.7278,7.7278,0
BTN,20180509,7.7278,7.7278,7.7278,7.7278,0
BTN,20180510,7.7278,7.7278,7.7278,7.7278,0
BTN,20180511,7.7278,7.7278,7.7278,7.7278,0
BTN,20180514,7.7278,7.7278,7.7278,7.7278,0
BTN,20180515,7.7278,7.7278,7.7278,7.7278,0
BTN,20180516,7.7278,7.7278,7.7278,7.7278,0
BTN,20180517,7.7278,7.7278,7.7278,7.7278,0
BTN,20180518,7.7278,7.7278,7.7278,7.7278,0
BTN,20180521,7.7278,7.7278,7.7278,7.7278,0
BTN,20180522,7.7278,7.7278,7.7278,7.7278,0
BTN,20180523,7.7278,7.7278,7.7278,7.7278,0
BTN,20180524,7.7278,7.7278,7.7278,7.7278,0
BTN,20180525,7.7278,7.7278,7.7278,7.7278,0
BTN,20180528,7.7278,7.7278,7.7278,7.7278,0
BTN,20180529,7.7278,7.7278,7.7278,7.7278,0
BTN,20180530,7.7278,7.7278,7.7278,7.7278,0
BTN,20180531,7.7278,7.7278,7.7278,7.7278,0
BTN,20180601,6.7618,7.4058,6.7618,7.4058,3900
BTN,20180604,7.0838,7.0838,7.0838,7.0838,200
BTN,20180605,6.9550,6.9550,6.9550,6.9550,11400
