<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
BTR,20160826,10.0000,10.0000,10.0000,10.0000,0
BTR,20160829,10.0000,10.0000,10.0000,10.0000,0
BTR,20160830,10.0000,10.0000,10.0000,10.0000,0
BTR,20160831,10.0000,10.0000,10.0000,10.0000,0
BTR,20160901,10.0000,10.0000,10.0000,10.0000,0
BTR,20160905,10.0000,10.0000,10.0000,10.0000,0
BTR,20160906,10.0000,10.0000,10.0000,10.0000,0
BTR,20160907,10.0000,10.0000,10.0000,10.0000,0
BTR,20160908,10.0000,10.0000,10.0000,10.0000,0
BTR,20160909,10.0000,10.0000,10.0000,10.0000,0
BTR,20160912,10.0000,10.0000,10.0000,10.0000,0
BTR,20160913,10.0000,10.0000,10.0000,10.0000,0
BTR,20160914,10.0000,10.0000,10.0000,10.0000,0
BTR,20160915,10.0000,10.0000,10.0000,10.0000,0
BTR,20160916,10.0000,10.0000,10.0000,10.0000,0
BTR,20160919,10.0000,10.0000,10.0000,10.0000,0
BTR,20160920,10.0000,10.0000,10.0000,10.0000,0
BTR,20160921,10.0000,10.0000,10.0000,10.0000,0
BTR,20160922,10.0000,10.0000,10.0000,10.0000,0
BTR,20160923,10.0000,10.0000,10.0000,10.0000,0
BTR,20160926,10.0000,10.0000,10.0000,10.0000,0
BTR,20160927,10.0000,10.0000,10.0000,10.0000,0
BTR,20160928,10.0000,10.0000,10.0000,10.0000,0
BTR,20160929,10.0000,10.0000,10.0000,10.0000,0
BTR,20160930,10.0000,10.0000,10.0000,10.0000,0
BTR,20161003,10.0000,10.0000,10.0000,10.0000,0
BTR,20161004,10.0000,10.0000,10.0000,10.0000,0
BTR,20161005,10.0000,10.0000,10.0000,10.0000,0
BTR,20161006,10.0000,10.0000,10.0000,10.0000,0
BTR,20161007,10.0000,10.0000,10.0000,10.0000,0
BTR,20161010,10.0000,10.0000,10.0000,10.0000,0
BTR,20161011,10.0000,10.0000,10.0000,10.0000,0
BTR,20161012,10.0000,10.0000,10.0000,10.0000,0
