<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
BTU,20160311,10.5000,10.5000,10.5000,10.5000,0
BTU,20160314,5.2708,5.2708,5.2708,5.2708,0
BTU,20160315,5.2708,5.2708,5.2708,5.2708,0
BTU,20160316,5.2708,5.2708,5.2708,5.2708,0
BTU,20160317,5.2708,5.2708,5.2708,5.2708,0
BTU,20160318,5.2708,5.2708,5.2708,5.2708,0
BTU,20160321,5.2708,5.2708,5.2708,5.2708,0
BTU,20160322,5.2708,5.2708,5.2708,5.2708,0
BTU,20160323,5.2708,5.2708,5.2708,5.2708,0
BTU,20160324,5.2708,5.2708,5.2708,5.2708,0
BTU,20160325,5.2708,5.2708,5.2708,5.2708,0
BTU,20160328,5.2708,5.2708,5.2708,5.2708,0
BTU,20160329,5.2708,5.2708,5.2708,5.2708,0
BTU,20160330,5.2708,5.2708,5.2708,5.2708,0
BTU,20160331,5.2708,5.2708,5.2708,5.2708,0
BTU,20160401,5.2708,5.2708,5.2708,5.2708,0
BTU,20160404,5.2708,5.2708,5.2708,5.2708,0
BTU,20160405,5.2708,5.2708,5.2708,5.2708,0
BTU,20160406,5.2708,5.2708,5.2708,5.2708,0
BTU,20160407,5.2708,5.2708,5.2708,5.2708,0
BTU,20160408,5.2708,5.2708,5.2708,5.2708,0
BTU,20160411,5.2708,5.2708,5.2708,5.2708,0
BTU,20160412,5.2708,5.2708,5.2708,5.2708,0
BTU,20160413,5.2708,5.2708,5.2708,5.2708,0
BTU,20160414,5.2708,5.2708,5.2708,5.2708,0
BTU,20160415,5.2708,5.2708,5.2708,5.2708,0
BTU,20160419,5.2708,5.2708,5.2708,5.2708,0
BTU,20160420,5.2708,5.2708,5.2708,5.2708,0
BTU,20160421,5.2708,5.2708,5.2708,5.2708,0
BTU,20160422,5.2708,5.2708,5.2708,5.2708,0
BTU,20160425,5.2708,5.2708,5.2708,5.2708,0
BTU,20160426,5.2708,5.2708,5.2708,5.2708,0
BTU,20160427,5.2708,5.2708,5.2708,5.2708,0
BTU,20160428,5.2708,5.2708,5.2708,5.2708,0
BTU,20160429,5.2708,5.2708,5.2708,5.2708,0
BTU,20160504,5.2708,5.2708,5.2708,5.2708,0
BTU,20160505,5.2708,5.2708,5.2708,5.2708,0
BTU,20160506,5.2708,5.2708,5.2708,5.2708,0
BTU,20160509,5.2708,5.2708,5.2708,5.2708,0
BTU,20160510,5.2708,5.2708,5.2708,5.2708,0
BTU,20160511,5.2708,5.2708,5.2708,5.2708,0
BTU,20160512,5.2708,5.2708,5.2708,5.2708,0
BTU,20160513,5.2708,5.2708,5.2708,5.2708,0
BTU,20160516,5.2708,5.2708,5.2708,5.2708,0
BTU,20160517,5.2776,5.2776,5.2776,5.2776,0
BTU,20160518,5.2776,5.2776,5.2776,5.2776,0
BTU,20160519,5.2776,5.2776,5.2776,5.2776,0
BTU,20160520,5.2776,5.2776,5.2776,5.2776,0
BTU,20160523,5.2776,5.2776,5.2776,5.2776,0
BTU,20160524,5.2776,5.2776,5.2776,5.2776,0
BTU,20160525,5.2776,5.2776,5.2776,5.2776,0
BTU,20160526,5.2776,5.2776,5.2776,5.2776,0
BTU,20160527,5.2776,5.2776,5.2776,5.2776,0
BTU,20160530,5.2776,5.2776,5.2776,5.2776,0
BTU,20160531,5.2776,5.2776,5.2776,5.2776,0
BTU,20160601,5.2776,5.2776,5.2776,5.2776,0
BTU,20160602,5.2776,5.2776,5.2776,5.2776,0
BTU,20160603,5.2776,5.2776,5.2776,5.2776,0
BTU,20160606,5.2776,5.2776,5.2776,5.2776,0
BTU,20160607,5.2776,5.2776,5.2776,5.2776,0
BTU,20160608,5.2776,5.2776,5.2776,5.2776,0
BTU,20160609,5.2776,5.2776,5.2776,5.2776,0
BTU,20160610,5.2776,5.2776,5.2776,5.2776,0
BTU,20160613,5.2776,5.2776,5.2776,5.2776,0
BTU,20160614,5.2776,5.2776,5.2776,5.2776,0
BTU,20160615,5.2776,5.2776,5.2776,5.2776,0
BTU,20160616,5.2776,5.2776,5.2776,5.2776,0
BTU,20160617,5.2776,5.2776,5.2776,5.2776,0
BTU,20160620,5.2776,5.2776,5.2776,5.2776,0
BTU,20160621,5.2776,5.2776,5.2776,5.2776,0
BTU,20160622,5.2776,5.2776,5.2776,5.2776,0
BTU,20160623,5.2776,5.2776,5.2776,5.2776,0
BTU,20160624,5.2776,5.2776,5.2776,5.2776,0
BTU,20160627,5.2776,5.2776,5.2776,5.2776,0
BTU,20160628,5.2776,5.2776,5.2776,5.2776,0
BTU,20160629,5.2776,5.2776,5.2776,5.2776,0
BTU,20160630,5.2776,5.2776,5.2776,5.2776,0
BTU,20160701,5.2776,5.2776,5.2776,5.2776,0
BTU,20160704,5.2776,5.2776,5.2776,5.2776,0
BTU,20160705,5.2776,5.2776,5.2776,5.2776,0
BTU,20160706,5.2776,5.2776,5.2776,5.2776,0
BTU,20160707,5.2776,5.2776,5.2776,5.2776,0
BTU,20160708,5.2776,5.2776,5.2776,5.2776,0
BTU,20160711,5.2776,5.2776,5.2776,5.2776,0
