<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
BVL,20210617,25.0000,25.0000,25.0000,25.0000,4300
BVL,20210618,28.7000,28.7000,28.7000,28.7000,5600
BVL,20210621,33.0000,33.0000,33.0000,33.0000,20600
BVL,20210622,37.9000,37.9000,37.8000,37.8000,60400
BVL,20210623,37.9000,43.5000,37.9000,43.1000,28400
BVL,20210624,45.0000,45.0000,36.7000,39.5000,20400
BVL,20210625,32.5000,32.5000,32.5000,32.5000,8200
BVL,20210628,27.7000,27.7000,27.7000,27.7000,9400
BVL,20210629,23.6000,23.6000,23.6000,23.6000,8900
BVL,20210630,20.1000,27.1000,20.1000,27.1000,15800
BVL,20210701,25.1000,25.1000,25.1000,25.1000,3300
BVL,20210702,28.8000,28.8000,28.8000,28.8000,4800
BVL,20210705,33.1000,33.1000,25.0000,28.4000,12700
BVL,20210706,24.0000,27.9000,24.0000,24.1000,1600
BVL,20210707,23.4000,23.6000,23.4000,23.5000,700
BVL,20210708,25.5000,25.5000,24.4000,25.0000,3400
BVL,20210709,25.0000,25.0000,21.2000,24.8000,1200
BVL,20210712,25.0000,25.0000,25.0000,25.0000,500
BVL,20210713,24.9000,24.9000,21.3000,21.3000,2100
BVL,20210714,20.0000,24.6000,20.0000,24.0000,4700
BVL,20210715,23.0000,24.0000,21.2000,24.0000,2700
BVL,20210716,22.0000,25.3000,22.0000,25.0000,3200
BVL,20210719,21.3000,23.7000,21.2000,23.7000,600
BVL,20210720,20.5000,22.8000,20.5000,22.8000,2000
BVL,20210721,22.8000,23.0000,22.6000,22.6000,500
BVL,20210722,22.8000,24.0000,22.5000,24.0000,2000
BVL,20210723,23.0000,23.9000,23.0000,23.9000,2100
BVL,20210726,22.9000,23.0000,22.9000,23.0000,500
BVL,20210727,24.4000,24.5000,20.0000,23.9000,4400
BVL,20210728,23.9000,23.9000,21.2000,23.9000,1400
BVL,20210729,22.0000,25.0000,22.0000,25.0000,1700
BVL,20210730,22.9000,24.6000,22.9000,24.6000,2800
BVL,20210802,24.6000,24.6000,23.4000,23.4000,0
BVL,20210803,23.4000,23.4000,23.4000,23.4000,0
BVL,20210804,20.6000,24.9000,20.6000,23.8000,3200
BVL,20210805,22.2000,24.0000,22.2000,22.2000,2100
BVL,20210806,20.1000,23.9000,20.1000,23.9000,800
BVL,20210809,21.7000,21.8000,21.7000,21.7000,600
BVL,20210810,21.5000,21.7000,21.5000,21.7000,200
BVL,20210811,23.8000,23.9000,23.8000,23.9000,300
BVL,20210812,23.9000,23.9000,23.9000,23.9000,0
BVL,20210813,23.2000,23.2000,21.9000,22.2000,700
BVL,20210816,20.2000,22.8000,20.2000,22.8000,2600
BVL,20210817,22.8000,22.8000,22.6000,22.6000,0
BVL,20210818,22.6000,22.6000,22.6000,22.6000,0
BVL,20210819,22.5000,22.5000,22.5000,22.5000,100
BVL,20210820,22.5000,22.5000,20.2000,20.6000,1400
BVL,20210823,18.2000,23.0000,18.1000,22.8000,1300
BVL,20210824,22.8000,22.8000,22.8000,22.8000,1700
BVL,20210825,22.8000,22.8000,22.8000,22.8000,0
BVL,20210826,22.8000,22.8000,19.4000,22.0000,1800
BVL,20210827,23.5000,23.5000,23.2000,23.2000,500
BVL,20210830,22.0000,23.2000,21.0000,23.2000,500
BVL,20210831,22.9000,22.9000,22.9000,22.9000,100
BVL,20210901,22.9000,22.9000,22.9000,22.9000,0
BVL,20210906,22.9000,22.9000,22.4000,22.4000,100
BVL,20210907,22.4000,22.4000,22.4000,22.4000,200
BVL,20210908,24.5000,24.5000,23.8000,23.8000,600
BVL,20210909,23.9000,24.0000,23.9000,24.0000,600
BVL,20210910,23.9000,23.9000,23.9000,23.9000,0
BVL,20210913,23.9000,23.9000,23.9000,23.9000,0
BVL,20210914,20.4000,23.0000,20.4000,22.9000,1100
BVL,20210915,24.5000,24.5000,23.5000,23.5000,600
BVL,20210916,23.3000,23.3000,23.3000,23.3000,100
BVL,20210917,23.3000,23.3000,23.3000,23.3000,0
BVL,20210920,21.0000,22.0000,20.1000,22.0000,2100
BVL,20210921,20.8000,20.8000,20.8000,20.8000,300
BVL,20210922,20.8000,20.8000,20.0000,20.0000,1400
BVL,20210923,22.0000,22.0000,20.0000,21.1000,1600
BVL,20210924,21.0000,22.0000,20.9000,22.0000,4300
BVL,20210927,21.2000,22.5000,21.2000,22.5000,3800
BVL,20210928,22.6000,22.6000,20.1000,20.1000,1500
BVL,20210929,21.5000,21.5000,20.0000,20.1000,1800
BVL,20210930,20.9000,20.9000,20.9000,20.9000,0
BVL,20211001,20.9000,20.9000,20.9000,20.9000,0
BVL,20211004,20.7000,20.8000,20.7000,20.8000,2100
BVL,20211005,20.8000,20.8000,20.7000,20.7000,1300
BVL,20211006,20.1000,20.5000,20.0000,20.0000,4200
BVL,20211007,20.0000,22.5000,20.0000,22.0000,8100
BVL,20211008,20.5000,20.5000,20.5000,20.5000,800
BVL,20211011,20.5000,20.8000,20.5000,20.8000,200
BVL,20211012,20.7000,20.7000,20.7000,20.7000,1500
BVL,20211013,20.5000,20.7000,18.4000,20.7000,700
BVL,20211014,20.2000,21.8000,20.2000,21.8000,1300
BVL,20211015,22.2000,22.2000,21.5000,21.5000,1800
BVL,20211018,21.5000,21.5000,20.5000,20.6000,2300
BVL,20211019,20.6000,21.9000,20.1000,21.9000,3600
BVL,20211020,21.5000,21.5000,21.5000,21.5000,100
BVL,20211021,20.8000,20.8000,19.4000,20.0000,2100
BVL,20211022,20.0000,20.0000,19.7000,19.7000,1400
BVL,20211025,19.7000,19.7000,19.6000,19.7000,2100
BVL,20211026,19.6000,20.0000,19.6000,20.0000,7700
BVL,20211027,19.5000,20.0000,19.5000,20.0000,4000
BVL,20211028,20.0000,20.8000,20.0000,20.1000,1400
BVL,20211029,20.9000,20.9000,20.8000,20.8000,500
BVL,20211101,20.5000,21.2000,20.0000,21.0000,6000
BVL,20211102,21.2000,22.0000,21.0000,22.0000,5300
BVL,20211103,21.7000,24.0000,21.7000,24.0000,2900
BVL,20211104,22.3000,23.0000,22.3000,23.0000,900
BVL,20211105,22.5000,23.0000,22.5000,23.0000,1400
BVL,20211108,22.4000,22.5000,22.0000,22.0000,2000
BVL,20211109,22.0000,22.0000,22.0000,22.0000,2500
