<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
C12,20161226,20.0000,20.0000,20.0000,20.0000,0
C12,20161227,20.0000,20.0000,20.0000,20.0000,0
C12,20161228,20.0000,20.0000,20.0000,20.0000,0
C12,20161229,20.0000,20.0000,20.0000,20.0000,0
C12,20161230,20.0000,20.0000,20.0000,20.0000,0
C12,20170103,20.0000,20.0000,20.0000,20.0000,0
C12,20170104,20.0000,20.0000,20.0000,20.0000,0
C12,20170105,20.0000,20.0000,20.0000,20.0000,0
C12,20170106,20.0000,20.0000,20.0000,20.0000,0
C12,20170109,20.0000,20.0000,20.0000,20.0000,0
C12,20170110,20.0000,20.0000,20.0000,20.0000,0
C12,20170111,20.0000,20.0000,20.0000,20.0000,0
C12,20170112,20.0000,20.0000,20.0000,20.0000,0
C12,20170113,20.0000,20.0000,20.0000,20.0000,0
C12,20170116,20.0000,20.0000,20.0000,20.0000,0
C12,20170117,20.0000,20.0000,20.0000,20.0000,0
C12,20170118,20.0000,20.0000,20.0000,20.0000,0
C12,20170119,20.0000,20.0000,20.0000,20.0000,0
C12,20170120,20.0000,20.0000,20.0000,20.0000,0
C12,20170123,20.0000,20.0000,20.0000,20.0000,0
C12,20170124,20.0000,20.0000,20.0000,20.0000,0
C12,20170125,20.0000,20.0000,20.0000,20.0000,0
C12,20170202,20.0000,20.0000,20.0000,20.0000,0
C12,20170203,20.0000,20.0000,20.0000,20.0000,0
C12,20170206,20.0000,20.0000,20.0000,20.0000,0
C12,20170207,20.0000,20.0000,20.0000,20.0000,0
C12,20170208,20.0000,20.0000,20.0000,20.0000,0
C12,20170209,20.0000,20.0000,20.0000,20.0000,0
C12,20170210,20.0000,20.0000,20.0000,20.0000,0
C12,20170213,20.0000,20.0000,20.0000,20.0000,0
C12,20170214,20.0000,20.0000,20.0000,20.0000,0
C12,20170215,20.0000,20.0000,20.0000,20.0000,0
C12,20170216,20.0000,20.0000,20.0000,20.0000,0
C12,20170217,20.0000,20.0000,20.0000,20.0000,0
C12,20170220,20.0000,20.0000,20.0000,20.0000,0
C12,20170221,20.0000,20.0000,20.0000,20.0000,0
C12,20170222,20.0000,20.0000,20.0000,20.0000,0
C12,20170223,20.0000,20.0000,20.0000,20.0000,0
C12,20170224,20.0000,20.0000,20.0000,20.0000,0
C12,20170227,20.0000,20.0000,20.0000,20.0000,0
C12,20170228,20.0000,20.0000,20.0000,20.0000,0
C12,20170301,20.0000,20.0000,20.0000,20.0000,0
C12,20170302,20.0000,20.0000,20.0000,20.0000,0
C12,20170303,20.0000,20.0000,20.0000,20.0000,0
C12,20170306,20.0000,20.0000,20.0000,20.0000,0
C12,20170307,20.0000,20.0000,20.0000,20.0000,0
C12,20170308,20.0000,20.0000,20.0000,20.0000,0
C12,20170309,20.0000,20.0000,20.0000,20.0000,0
C12,20170310,20.0000,20.0000,20.0000,20.0000,0
C12,20170313,20.0000,20.0000,20.0000,20.0000,0
C12,20170314,20.0000,20.0000,20.0000,20.0000,0
C12,20170315,20.0000,20.0000,20.0000,20.0000,0
C12,20170316,20.0000,20.0000,20.0000,20.0000,0
C12,20170317,20.0000,20.0000,20.0000,20.0000,0
C12,20170320,20.0000,20.0000,20.0000,20.0000,0
C12,20170321,20.0000,20.0000,20.0000,20.0000,0
C12,20170322,20.0000,20.0000,20.0000,20.0000,0
C12,20170323,20.0000,20.0000,20.0000,20.0000,0
C12,20170324,15.1000,15.1000,15.1000,15.1000,100
C12,20170327,15.3000,15.3000,15.3000,15.3000,100
C12,20170328,16.0000,16.0000,16.0000,16.0000,100
C12,20170329,16.0000,16.0000,16.0000,16.0000,0
C12,20170330,15.6000,15.6000,15.6000,15.6000,100
C12,20170331,15.6000,15.6000,15.6000,15.6000,100
C12,20170403,15.6000,15.6000,15.6000,15.6000,0
C12,20170404,15.6000,15.6000,15.6000,15.6000,0
C12,20170405,15.6000,15.6000,15.6000,15.6000,0
C12,20170407,15.6000,15.6000,15.6000,15.6000,0
C12,20170410,15.6000,15.6000,15.6000,15.6000,0
C12,20170411,15.6000,15.6000,15.6000,15.6000,0
C12,20170412,15.6000,15.6000,15.6000,15.6000,0
C12,20170413,15.6000,15.6000,15.6000,15.6000,0
C12,20170414,15.6000,15.6000,15.6000,15.6000,0
C12,20170417,15.6000,15.6000,15.6000,15.6000,0
C12,20170418,15.6000,15.6000,15.6000,15.6000,0
C12,20170419,15.6000,15.6000,15.6000,15.6000,0
C12,20170420,15.6000,15.6000,15.6000,15.6000,0
C12,20170421,15.6000,15.6000,15.6000,15.6000,0
C12,20170424,15.6000,15.6000,15.6000,15.6000,0
C12,20170425,15.6000,15.6000,15.6000,15.6000,0
C12,20170426,15.6000,15.6000,15.6000,15.6000,0
C12,20170427,15.6000,15.6000,15.6000,15.6000,0
C12,20170428,15.6000,15.6000,15.6000,15.6000,0
