<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
CAB,20190906,140.9000,140.9000,140.9000,140.9000,0
CAB,20190909,140.9000,140.9000,140.9000,140.9000,0
CAB,20190910,140.9000,140.9000,140.9000,140.9000,0
CAB,20190911,140.9000,140.9000,140.9000,140.9000,0
CAB,20190912,140.9000,140.9000,140.9000,140.9000,0
CAB,20190913,140.9000,140.9000,140.9000,140.9000,0
CAB,20190916,140.9000,140.9000,140.9000,140.9000,0
CAB,20190917,140.9000,140.9000,140.9000,140.9000,0
CAB,20190918,140.9000,140.9000,140.9000,140.9000,0
CAB,20190919,140.9000,140.9000,140.9000,140.9000,0
CAB,20190920,140.9000,140.9000,140.9000,140.9000,0
CAB,20190923,140.9000,140.9000,140.9000,140.9000,0
CAB,20190924,140.9000,140.9000,140.9000,140.9000,0
CAB,20190925,140.9000,140.9000,140.9000,140.9000,0
CAB,20190926,140.9000,140.9000,140.9000,140.9000,0
CAB,20190927,140.9000,140.9000,140.9000,140.9000,0
CAB,20190930,140.9000,140.9000,140.9000,140.9000,0
CAB,20191001,140.9000,140.9000,140.9000,140.9000,0
CAB,20191002,140.9000,140.9000,140.9000,140.9000,0
CAB,20191003,140.9000,140.9000,140.9000,140.9000,0
CAB,20191004,140.9000,140.9000,140.9000,140.9000,0
CAB,20191007,140.9000,140.9000,140.9000,140.9000,0
CAB,20191008,140.9000,140.9000,140.9000,140.9000,0
CAB,20191009,140.9000,140.9000,140.9000,140.9000,0
CAB,20191010,140.9000,140.9000,140.9000,140.9000,0
CAB,20191011,140.9000,140.9000,140.9000,140.9000,0
CAB,20191014,140.9000,140.9000,140.9000,140.9000,0
CAB,20191015,140.9000,140.9000,140.9000,140.9000,0
CAB,20191016,140.9000,140.9000,140.9000,140.9000,0
CAB,20191017,140.9000,140.9000,140.9000,140.9000,0
CAB,20191018,140.9000,140.9000,140.9000,140.9000,0
CAB,20191021,140.9000,140.9000,140.9000,140.9000,0
CAB,20191022,140.9000,140.9000,140.9000,140.9000,0
CAB,20191023,140.9000,140.9000,140.9000,140.9000,0
CAB,20191024,140.9000,140.9000,140.9000,140.9000,0
CAB,20191025,140.9000,140.9000,140.9000,140.9000,0
CAB,20191028,140.9000,140.9000,140.9000,140.9000,0
CAB,20191029,140.9000,140.9000,140.9000,140.9000,0
CAB,20191030,140.9000,140.9000,140.9000,140.9000,0
CAB,20191031,140.9000,140.9000,140.9000,140.9000,0
CAB,20191101,140.9000,140.9000,140.9000,140.9000,0
CAB,20191104,140.9000,140.9000,140.9000,140.9000,0
CAB,20191105,140.9000,140.9000,140.9000,140.9000,0
CAB,20191106,140.9000,140.9000,140.9000,140.9000,0
CAB,20191107,140.9000,140.9000,140.9000,140.9000,0
CAB,20191108,140.9000,140.9000,140.9000,140.9000,0
CAB,20191111,140.9000,140.9000,140.9000,140.9000,0
CAB,20191112,140.9000,140.9000,140.9000,140.9000,0
CAB,20191113,140.9000,140.9000,140.9000,140.9000,0
CAB,20191114,140.9000,140.9000,140.9000,140.9000,0
CAB,20191115,140.9000,140.9000,140.9000,140.9000,0
CAB,20191118,140.9000,140.9000,140.9000,140.9000,0
CAB,20191119,140.9000,140.9000,140.9000,140.9000,0
CAB,20191120,140.9000,140.9000,140.9000,140.9000,0
CAB,20191121,140.9000,140.9000,140.9000,140.9000,0
CAB,20191122,140.9000,140.9000,140.9000,140.9000,0
CAB,20191125,140.9000,140.9000,140.9000,140.9000,0
CAB,20191126,140.9000,140.9000,140.9000,140.9000,0
CAB,20191127,140.9000,140.9000,140.9000,140.9000,0
CAB,20191128,140.9000,140.9000,140.9000,140.9000,0
CAB,20191129,140.9000,140.9000,140.9000,140.9000,0
CAB,20191202,140.9000,140.9000,140.9000,140.9000,0
CAB,20191203,140.9000,140.9000,140.9000,140.9000,0
CAB,20191204,140.9000,140.9000,140.9000,140.9000,0
CAB,20191205,140.9000,140.9000,140.9000,140.9000,0
CAB,20191206,140.9000,140.9000,140.9000,140.9000,0
CAB,20191209,140.9000,140.9000,140.9000,140.9000,0
CAB,20191210,140.9000,140.9000,140.9000,140.9000,0
CAB,20191211,140.9000,140.9000,140.9000,140.9000,0
CAB,20191212,140.9000,140.9000,140.9000,140.9000,0
CAB,20191213,140.9000,140.9000,140.9000,140.9000,0
CAB,20191216,140.9000,140.9000,140.9000,140.9000,0
CAB,20191217,140.9000,140.9000,140.9000,140.9000,0
CAB,20191218,140.9000,140.9000,140.9000,140.9000,0
CAB,20191219,140.9000,140.9000,140.9000,140.9000,0
CAB,20191220,140.9000,140.9000,140.9000,140.9000,0
CAB,20191223,140.9000,140.9000,140.9000,140.9000,0
CAB,20191224,140.9000,140.9000,140.9000,140.9000,0
CAB,20191225,140.9000,140.9000,140.9000,140.9000,0
CAB,20191226,140.9000,140.9000,140.9000,140.9000,0
CAB,20191227,140.9000,140.9000,140.9000,140.9000,0
CAB,20191230,140.9000,140.9000,140.9000,140.9000,0
CAB,20191231,140.9000,140.9000,140.9000,140.9000,0
CAB,20200102,140.9000,140.9000,140.9000,140.9000,0
CAB,20200103,140.9000,140.9000,140.9000,140.9000,0
CAB,20200106,140.9000,140.9000,140.9000,140.9000,0
CAB,20200107,140.9000,140.9000,140.9000,140.9000,0
CAB,20200108,140.9000,140.9000,140.9000,140.9000,0
CAB,20200109,140.9000,140.9000,140.9000,140.9000,0
CAB,20200110,140.9000,140.9000,140.9000,140.9000,0
CAB,20200113,140.9000,140.9000,140.9000,140.9000,0
CAB,20200114,140.9000,140.9000,140.9000,140.9000,0
CAB,20200115,140.9000,140.9000,140.9000,140.9000,0
CAB,20200116,140.9000,140.9000,140.9000,140.9000,0
CAB,20200117,140.9000,140.9000,140.9000,140.9000,0
CAB,20200120,140.9000,140.9000,140.9000,140.9000,0
CAB,20200121,140.9000,140.9000,140.9000,140.9000,0
CAB,20200122,140.9000,140.9000,140.9000,140.9000,0
CAB,20200130,140.9000,140.9000,140.9000,140.9000,0
CAB,20200131,140.9000,140.9000,140.9000,140.9000,0
CAB,20200203,140.9000,140.9000,140.9000,140.9000,0
CAB,20200204,140.9000,140.9000,140.9000,140.9000,0
CAB,20200205,140.9000,140.9000,140.9000,140.9000,0
CAB,20200206,140.9000,140.9000,140.9000,140.9000,0
CAB,20200207,140.9000,140.9000,140.9000,140.9000,0
CAB,20200210,140.9000,140.9000,140.9000,140.9000,0
CAB,20200211,140.9000,140.9000,140.9000,140.9000,0
CAB,20200212,140.9000,140.9000,140.9000,140.9000,0
CAB,20200213,140.9000,140.9000,140.9000,140.9000,0
CAB,20200214,140.9000,140.9000,140.9000,140.9000,0
CAB,20200217,140.9000,140.9000,140.9000,140.9000,0
CAB,20200218,140.9000,140.9000,140.9000,140.9000,0
CAB,20200219,140.9000,140.9000,140.9000,140.9000,0
CAB,20200220,140.9000,140.9000,140.9000,140.9000,0
CAB,20200221,140.9000,140.9000,140.9000,140.9000,0
CAB,20200224,140.9000,140.9000,140.9000,140.9000,0
CAB,20200225,140.9000,140.9000,140.9000,140.9000,0
CAB,20200226,140.9000,140.9000,140.9000,140.9000,0
CAB,20200227,140.9000,140.9000,140.9000,140.9000,0
CAB,20200228,140.9000,140.9000,140.9000,140.9000,0
CAB,20200302,140.9000,140.9000,140.9000,140.9000,0
CAB,20200303,140.9000,140.9000,140.9000,140.9000,0
CAB,20200304,140.9000,140.9000,140.9000,140.9000,0
CAB,20200305,140.9000,140.9000,140.9000,140.9000,0
CAB,20200306,140.9000,140.9000,140.9000,140.9000,0
CAB,20200309,140.9000,140.9000,140.9000,140.9000,0
CAB,20200310,140.9000,140.9000,140.9000,140.9000,0
CAB,20200311,140.9000,140.9000,140.9000,140.9000,0
CAB,20200312,140.9000,140.9000,140.9000,140.9000,0
CAB,20200313,140.9000,140.9000,140.9000,140.9000,0
CAB,20200316,140.9000,140.9000,140.9000,140.9000,0
CAB,20200317,140.9000,140.9000,140.9000,140.9000,0
CAB,20200318,140.9000,140.9000,140.9000,140.9000,0
CAB,20200319,140.9000,140.9000,140.9000,140.9000,0
CAB,20200320,140.9000,140.9000,140.9000,140.9000,0
CAB,20200323,140.9000,140.9000,140.9000,140.9000,0
CAB,20200324,140.9000,140.9000,140.9000,140.9000,0
CAB,20200325,140.9000,140.9000,140.9000,140.9000,0
CAB,20200326,140.9000,140.9000,140.9000,140.9000,0
CAB,20200327,140.9000,140.9000,140.9000,140.9000,0
CAB,20200330,140.9000,140.9000,140.9000,140.9000,0
CAB,20200331,140.9000,140.9000,140.9000,140.9000,0
CAB,20200401,140.9000,140.9000,140.9000,140.9000,0
CAB,20200403,140.9000,140.9000,140.9000,140.9000,0
CAB,20200406,140.9000,140.9000,140.9000,140.9000,0
CAB,20200407,140.9000,140.9000,140.9000,140.9000,0
CAB,20200408,140.9000,140.9000,140.9000,140.9000,0
CAB,20200409,140.9000,140.9000,140.9000,140.9000,0
CAB,20200410,140.9000,140.9000,140.9000,140.9000,0
CAB,20200413,140.9000,140.9000,140.9000,140.9000,0
CAB,20200414,140.9000,140.9000,140.9000,140.9000,0
CAB,20200415,140.9000,140.9000,140.9000,140.9000,0
CAB,20200416,140.9000,140.9000,140.9000,140.9000,0
CAB,20200417,140.9000,140.9000,140.9000,140.9000,0
CAB,20200420,140.9000,140.9000,140.9000,140.9000,0
CAB,20200421,140.9000,140.9000,140.9000,140.9000,0
CAB,20200422,140.9000,140.9000,140.9000,140.9000,0
CAB,20200423,140.9000,140.9000,140.9000,140.9000,0
CAB,20200424,140.9000,140.9000,140.9000,140.9000,0
CAB,20200427,140.9000,140.9000,140.9000,140.9000,0
CAB,20200428,140.9000,140.9000,140.9000,140.9000,0
CAB,20200429,140.9000,140.9000,140.9000,140.9000,0
CAB,20200504,140.9000,140.9000,140.9000,140.9000,0
CAB,20200505,140.9000,140.9000,140.9000,140.9000,0
CAB,20200506,140.9000,140.9000,140.9000,140.9000,0
CAB,20200507,140.9000,140.9000,140.9000,140.9000,0
CAB,20200508,140.9000,140.9000,140.9000,140.9000,0
CAB,20200511,140.9000,140.9000,140.9000,140.9000,0
CAB,20200512,140.9000,140.9000,140.9000,140.9000,0
CAB,20200513,140.9000,140.9000,140.9000,140.9000,0
CAB,20200514,140.9000,140.9000,140.9000,140.9000,0
CAB,20200515,140.9000,140.9000,140.9000,140.9000,0
CAB,20200518,140.9000,140.9000,140.9000,140.9000,0
CAB,20200519,140.9000,140.9000,140.9000,140.9000,0
CAB,20200520,140.9000,140.9000,140.9000,140.9000,0
CAB,20200521,140.9000,140.9000,140.9000,140.9000,0
CAB,20200522,140.9000,140.9000,140.9000,140.9000,0
CAB,20200525,140.9000,140.9000,140.9000,140.9000,0
CAB,20200526,140.9000,140.9000,140.9000,140.9000,0
CAB,20200527,140.9000,140.9000,140.9000,140.9000,0
CAB,20200528,140.9000,140.9000,140.9000,140.9000,0
CAB,20200529,140.9000,140.9000,140.9000,140.9000,0
CAB,20200601,140.9000,140.9000,140.9000,140.9000,0
CAB,20200602,140.9000,140.9000,140.9000,140.9000,0
CAB,20200603,140.9000,140.9000,140.9000,140.9000,0
CAB,20200604,140.9000,140.9000,140.9000,140.9000,0
CAB,20200605,140.9000,140.9000,140.9000,140.9000,0
CAB,20200608,140.9000,140.9000,140.9000,140.9000,0
CAB,20200609,140.9000,140.9000,140.9000,140.9000,0
CAB,20200610,140.9000,140.9000,140.9000,140.9000,0
CAB,20200611,140.9000,140.9000,140.9000,140.9000,0
CAB,20200612,140.9000,140.9000,140.9000,140.9000,0
CAB,20200615,140.9000,140.9000,140.9000,140.9000,0
CAB,20200616,140.9000,140.9000,140.9000,140.9000,0
CAB,20200617,140.9000,140.9000,140.9000,140.9000,0
CAB,20200618,140.9000,140.9000,140.9000,140.9000,0
CAB,20200619,140.9000,140.9000,140.9000,140.9000,0
CAB,20200622,140.9000,140.9000,140.9000,140.9000,0
CAB,20200623,140.9000,140.9000,140.9000,140.9000,0
CAB,20200624,140.9000,140.9000,140.9000,140.9000,0
CAB,20200625,140.9000,140.9000,140.9000,140.9000,0
CAB,20200626,140.9000,140.9000,140.9000,140.9000,0
CAB,20200629,140.9000,140.9000,140.9000,140.9000,0
CAB,20200630,140.9000,140.9000,140.9000,140.9000,0
CAB,20200701,140.9000,140.9000,140.9000,140.9000,0
CAB,20200702,140.9000,140.9000,140.9000,140.9000,0
CAB,20200703,140.9000,140.9000,140.9000,140.9000,0
CAB,20200706,140.9000,140.9000,140.9000,140.9000,0
CAB,20200707,140.9000,140.9000,140.9000,140.9000,0
CAB,20200708,140.9000,140.9000,140.9000,140.9000,0
CAB,20200709,140.9000,140.9000,140.9000,140.9000,0
CAB,20200710,140.9000,140.9000,140.9000,140.9000,0
CAB,20200713,140.9000,140.9000,140.9000,140.9000,0
CAB,20200714,140.9000,140.9000,140.9000,140.9000,0
CAB,20200715,140.9000,140.9000,140.9000,140.9000,0
CAB,20200716,140.9000,140.9000,140.9000,140.9000,0
CAB,20200717,140.9000,140.9000,140.9000,140.9000,0
CAB,20200720,140.9000,140.9000,140.9000,140.9000,0
CAB,20200721,140.9000,140.9000,140.9000,140.9000,0
CAB,20200722,140.9000,140.9000,140.9000,140.9000,0
CAB,20200723,140.9000,140.9000,140.9000,140.9000,0
CAB,20200724,140.9000,140.9000,140.9000,140.9000,0
CAB,20200727,140.9000,140.9000,140.9000,140.9000,0
CAB,20200728,140.9000,140.9000,140.9000,140.9000,0
