<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
CAD,20090105,20.0000,20.0000,20.0000,20.0000,110
CAD,20090106,20.0000,20.0000,20.0000,20.0000,10
CAD,20090107,19.0000,19.0000,19.0000,19.0000,370
CAD,20090108,18.1000,18.1000,18.1000,18.1000,10
CAD,20090109,17.2000,17.2000,17.2000,17.2000,10
CAD,20090112,16.4000,16.4000,16.4000,16.4000,10
CAD,20090113,15.6000,15.6000,15.6000,15.6000,10
CAD,20090114,14.9000,14.9000,14.9000,14.9000,11320
CAD,20090115,14.2000,14.2000,14.2000,14.2000,130
CAD,20090116,13.5000,13.5000,13.5000,13.5000,3200
CAD,20090119,12.9000,12.9000,12.9000,12.9000,100
CAD,20090120,12.3000,12.3000,12.3000,12.3000,100
CAD,20090121,11.7000,11.7000,11.7000,11.7000,1560
CAD,20090122,11.2000,11.2000,11.2000,11.2000,3970
CAD,20090123,10.7000,10.7000,10.7000,10.7000,30
CAD,20090202,10.2000,10.2000,10.2000,10.2000,570
CAD,20090203,9.7000,9.7000,9.7000,9.7000,1510
CAD,20090204,9.3000,9.3000,9.3000,9.3000,510
CAD,20090205,8.9000,8.9000,8.9000,8.9000,110
CAD,20090206,8.5000,8.5000,8.5000,8.5000,2860
CAD,20090209,8.1000,8.1000,8.1000,8.1000,1140
CAD,20090210,7.7000,7.7000,7.7000,7.7000,1820
CAD,20090211,7.4000,7.4000,7.4000,7.4000,8320
CAD,20090212,7.1000,7.1000,7.1000,7.1000,1700
CAD,20090213,6.8000,7.4000,6.8000,7.4000,17330
CAD,20090216,7.5000,7.6000,7.4000,7.4000,11990
CAD,20090217,7.6000,7.6000,7.1000,7.1000,13140
CAD,20090218,7.1000,7.2000,6.9000,7.1000,1820
CAD,20090219,6.8000,7.3000,6.8000,6.8000,3840
CAD,20090220,7.0000,7.1000,6.8000,7.1000,7090
CAD,20090223,7.1000,7.1000,6.8000,6.9000,20420
CAD,20090224,7.0000,7.0000,6.6000,6.6000,24720
CAD,20090225,6.8000,6.9000,6.8000,6.9000,2000
CAD,20090226,6.9000,6.9000,6.7000,6.9000,5310
CAD,20090227,6.6000,7.0000,6.6000,6.9000,9300
CAD,20090302,6.8000,6.8000,6.8000,6.8000,1000
CAD,20090303,6.6000,7.1000,6.6000,7.1000,31800
CAD,20090304,7.1000,7.4000,7.1000,7.4000,41360
CAD,20090305,7.5000,7.7000,7.5000,7.7000,56460
CAD,20090306,7.4000,8.0000,7.4000,7.4000,9440
CAD,20090309,7.4000,7.7000,7.4000,7.7000,20890
CAD,20090310,7.9000,7.9000,7.8000,7.8000,3650
CAD,20090311,7.8000,8.0000,7.8000,7.9000,9890
CAD,20090312,8.0000,8.0000,7.7000,7.9000,10420
CAD,20090313,7.9000,7.9000,7.7000,7.7000,10590
CAD,20090316,8.0000,8.0000,7.9000,8.0000,22200
CAD,20090317,8.2000,8.4000,8.2000,8.4000,15120
CAD,20090318,8.8000,8.8000,8.8000,8.8000,7670
CAD,20090319,9.1000,9.2000,8.7000,8.9000,24710
CAD,20090320,8.6000,8.6000,8.5000,8.5000,14230
CAD,20090323,8.2000,8.5000,8.2000,8.2000,6110
CAD,20090324,8.6000,8.6000,8.3000,8.4000,11110
CAD,20090325,8.4000,8.7000,8.0000,8.5000,11020
CAD,20090326,8.3000,8.4000,8.2000,8.2000,15750
CAD,20090327,8.3000,8.3000,7.8000,8.0000,23830
CAD,20090330,8.1000,8.3000,8.0000,8.0000,9820
CAD,20090331,8.0000,8.2000,8.0000,8.2000,11500
CAD,20090401,8.4000,8.5000,8.4000,8.4000,8000
CAD,20090402,8.6000,8.8000,8.4000,8.6000,23540
CAD,20090403,9.0000,9.0000,9.0000,9.0000,77360
CAD,20090407,9.4000,9.4000,9.0000,9.4000,16580
CAD,20090408,9.0000,9.4000,9.0000,9.0000,31980
CAD,20090409,8.9000,8.9000,8.6000,8.7000,18610
CAD,20090410,8.7000,9.0000,8.7000,9.0000,23430
CAD,20090413,9.4000,9.4000,9.0000,9.0000,118010
CAD,20090414,9.1000,9.1000,8.8000,8.9000,50260
CAD,20090415,8.6000,8.9000,8.5000,8.5000,64330
CAD,20090416,8.3000,8.7000,8.3000,8.7000,52220
CAD,20090417,8.7000,8.7000,8.3000,8.3000,43710
CAD,20090420,8.1000,8.2000,8.0000,8.0000,30360
CAD,20090421,8.0000,8.4000,7.8000,8.4000,34720
CAD,20090422,8.8000,8.8000,8.5000,8.8000,53310
CAD,20090423,8.5000,8.9000,8.5000,8.6000,16100
CAD,20090424,8.3000,8.5000,8.2000,8.2000,29760
CAD,20090427,8.4000,8.4000,8.1000,8.2000,40680
CAD,20090428,7.9000,8.3000,7.9000,8.3000,45790
CAD,20090429,8.4000,8.5000,8.3000,8.4000,76170
CAD,20090504,8.8000,8.8000,8.8000,8.8000,142540
CAD,20090505,9.2000,9.2000,9.1000,9.2000,236560
CAD,20090506,9.2000,9.2000,8.8000,8.8000,187500
CAD,20090507,8.8000,9.0000,8.8000,9.0000,46280
CAD,20090508,8.7000,9.0000,8.6000,8.8000,51850
CAD,20090511,8.7000,8.8000,8.4000,8.6000,122810
CAD,20090512,8.6000,8.7000,8.5000,8.6000,130380
CAD,20090513,9.0000,9.0000,9.0000,9.0000,298380
CAD,20090514,9.3000,9.3000,8.8000,8.9000,98770
CAD,20090515,9.1000,9.3000,9.0000,9.3000,274820
CAD,20090518,9.7000,9.7000,9.7000,9.7000,292160
CAD,20090519,10.1000,10.1000,10.1000,10.1000,127020
CAD,20090520,10.6000,10.6000,10.6000,10.6000,4300
CAD,20090521,11.1000,11.1000,11.1000,11.1000,22310
CAD,20090522,11.6000,11.6000,10.8000,11.6000,781640
CAD,20090525,12.1000,12.1000,12.0000,12.1000,464500
CAD,20090526,12.7000,12.7000,11.8000,12.7000,445800
CAD,20090527,13.2000,13.3000,13.0000,13.3000,317230
CAD,20090528,13.0000,13.1000,12.7000,12.7000,317420
CAD,20090529,12.5000,12.7000,12.1000,12.1000,362240
CAD,20090601,12.5000,12.7000,12.3000,12.7000,221590
CAD,20090602,13.3000,13.3000,13.3000,13.3000,171530
CAD,20090603,13.6000,13.8000,13.3000,13.8000,435660
CAD,20090604,14.4000,14.4000,14.3000,14.4000,336500
CAD,20090605,15.1000,15.1000,15.1000,15.1000,24880
CAD,20090608,15.8000,15.8000,15.8000,15.8000,7650
CAD,20090609,16.4000,16.5000,15.5000,16.5000,611680
CAD,20090610,15.7000,16.0000,15.7000,15.7000,141440
CAD,20090611,15.0000,16.4000,15.0000,16.0000,443830
CAD,20090612,16.8000,16.8000,15.2000,15.5000,314360
CAD,20090615,14.8000,14.8000,14.8000,14.8000,85670
CAD,20090616,14.1000,14.1000,14.1000,14.1000,47860
CAD,20090617,13.4000,13.4000,13.4000,13.4000,52500
CAD,20090618,13.2000,14.0000,12.9000,13.0000,285390
CAD,20090619,13.5000,13.5000,12.8000,12.9000,119420
CAD,20090622,12.3000,12.5000,12.3000,12.3000,105850
CAD,20090623,11.7000,11.7000,11.7000,11.7000,51490
CAD,20090624,11.3000,12.2000,11.3000,12.2000,207750
CAD,20090625,12.7000,12.7000,11.6000,11.7000,111270
CAD,20090626,11.7000,12.0000,11.5000,11.8000,79760
CAD,20090629,11.5000,11.9000,11.4000,11.5000,70170
CAD,20090630,11.8000,11.8000,11.0000,11.1000,92950
CAD,20090701,10.6000,11.0000,10.6000,10.6000,128710
CAD,20090702,10.9000,11.1000,10.6000,11.1000,120670
CAD,20090703,10.7000,11.6000,10.7000,11.6000,96970
CAD,20090706,12.1000,12.1000,12.1000,12.1000,56550
CAD,20090707,12.1000,12.7000,12.1000,12.2000,148110
CAD,20090708,11.7000,12.5000,11.7000,11.9000,50960
CAD,20090709,11.9000,12.3000,11.7000,11.8000,59080
CAD,20090710,11.9000,11.9000,11.4000,11.4000,129800
CAD,20090713,11.4000,11.8000,11.2000,11.2000,41530
CAD,20090714,11.1000,11.7000,10.8000,11.5000,84770
CAD,20090715,11.8000,11.8000,11.2000,11.7000,76450
CAD,20090716,11.8000,11.9000,11.3000,11.5000,102090
CAD,20090717,11.4000,11.5000,11.4000,11.4000,28930
CAD,20090720,11.4000,11.4000,10.9000,11.0000,38210
CAD,20090721,11.0000,11.3000,10.9000,11.3000,50560
CAD,20090722,11.3000,11.3000,10.9000,11.0000,66480
CAD,20090723,10.9000,11.2000,10.9000,11.2000,53550
CAD,20090724,11.7000,11.7000,11.7000,11.7000,47690
CAD,20090727,12.0000,12.0000,11.6000,11.8000,127670
CAD,20090728,11.6000,11.7000,11.3000,11.5000,80510
CAD,20090729,11.5000,11.8000,11.4000,11.5000,55360
CAD,20090730,11.4000,11.5000,11.3000,11.3000,77070
CAD,20090731,11.3000,11.6000,11.3000,11.4000,85900
CAD,20090803,11.8000,11.9000,11.5000,11.9000,381320
CAD,20090804,12.4000,12.4000,12.4000,12.4000,19260
CAD,20090805,13.0000,13.0000,13.0000,13.0000,93630
CAD,20090806,13.6000,13.6000,13.3000,13.3000,765830
CAD,20090807,12.8000,13.0000,12.7000,12.7000,364080
CAD,20090810,12.9000,13.3000,12.7000,13.3000,163220
CAD,20090811,13.4000,13.5000,13.1000,13.4000,239270
CAD,20090812,13.2000,13.4000,12.9000,12.9000,173510
CAD,20090813,13.1000,13.1000,12.9000,13.0000,177900
CAD,20090814,13.0000,13.0000,12.8000,13.0000,91330
CAD,20090817,13.0000,13.2000,12.9000,12.9000,152870
CAD,20090818,12.8000,13.1000,12.8000,13.1000,214220
CAD,20090819,13.2000,13.4000,13.0000,13.4000,200200
CAD,20090820,13.2000,13.6000,13.2000,13.6000,254440
CAD,20090821,14.2000,14.2000,13.6000,14.0000,556930
CAD,20090824,14.5000,14.6000,14.2000,14.6000,410240
CAD,20090825,14.1000,14.5000,14.1000,14.4000,212460
CAD,20090826,14.4000,14.5000,14.1000,14.3000,130130
CAD,20090827,14.2000,15.0000,14.0000,15.0000,498970
CAD,20090828,15.7000,15.7000,15.7000,15.7000,395240
CAD,20090831,16.4000,16.4000,16.4000,16.4000,81830
CAD,20090901,17.2000,17.2000,17.0000,17.2000,754330
CAD,20090902,17.2000,17.2000,17.2000,17.2000,0
CAD,20090903,18.0000,18.0000,16.4000,18.0000,937580
CAD,20090904,18.9000,18.9000,17.1000,17.1000,765200
CAD,20090907,16.4000,17.0000,16.3000,16.5000,490200
CAD,20090908,17.0000,17.0000,16.3000,16.8000,177320
CAD,20090909,16.9000,16.9000,16.5000,16.7000,138000
CAD,20090910,16.3000,16.7000,15.9000,16.1000,294280
CAD,20090911,16.5000,16.8000,16.0000,16.8000,259410
CAD,20090914,16.0000,16.0000,16.0000,16.0000,90180
CAD,20090915,15.2000,16.7000,15.2000,16.0000,451170
CAD,20090916,16.5000,16.5000,15.7000,15.7000,160990
CAD,20090917,16.0000,16.0000,15.5000,15.6000,219960
CAD,20090918,15.6000,16.0000,15.2000,15.6000,267580
CAD,20090921,15.9000,16.3000,15.8000,16.3000,251860
CAD,20090922,16.6000,17.1000,16.0000,17.1000,638970
CAD,20090923,17.9000,17.9000,17.2000,17.9000,452610
CAD,20090924,17.5000,18.0000,17.1000,17.1000,298510
CAD,20090925,17.1000,17.1000,16.6000,16.6000,265040
CAD,20090928,17.1000,17.4000,16.8000,17.4000,435350
CAD,20090929,18.1000,18.2000,17.5000,18.2000,751690
CAD,20090930,19.0000,19.0000,17.3000,18.2000,328150
CAD,20091001,17.8000,18.2000,17.3000,17.3000,367100
CAD,20091002,16.8000,17.2000,16.5000,16.9000,224040
CAD,20091005,16.6000,17.0000,16.2000,16.2000,208900
CAD,20091006,16.2000,16.9000,16.1000,16.4000,221910
CAD,20091007,16.8000,16.9000,16.6000,16.7000,117800
CAD,20091008,16.7000,17.5000,16.7000,17.5000,313350
CAD,20091009,18.3000,18.3000,18.0000,18.1000,504990
CAD,20091012,18.4000,18.4000,17.6000,17.9000,458830
CAD,20091013,17.9000,17.9000,17.3000,17.5000,274480
CAD,20091014,17.5000,18.3000,17.3000,18.3000,548010
CAD,20091015,19.2000,19.2000,18.3000,18.5000,598270
CAD,20091016,18.3000,18.6000,18.1000,18.3000,408090
CAD,20091019,18.6000,19.2000,18.3000,19.2000,701540
CAD,20091020,20.1000,20.1000,20.1000,20.1000,100660
CAD,20091021,21.1000,21.1000,20.5000,21.1000,552580
CAD,20091022,21.1000,21.5000,20.1000,20.2000,842400
CAD,20091023,20.0000,20.0000,19.2000,19.2000,873800
CAD,20091026,19.2000,19.2000,18.3000,18.3000,417320
CAD,20091027,17.5000,18.0000,17.4000,17.8000,332790
CAD,20091028,17.5000,18.6000,17.5000,18.2000,240580
CAD,20091029,17.5000,17.8000,17.3000,17.4000,355610
CAD,20091030,18.2000,18.2000,16.6000,18.1000,309660
CAD,20091102,17.2000,17.2000,17.2000,17.2000,74720
CAD,20091103,16.4000,16.8000,16.4000,16.4000,174970
CAD,20091104,16.0000,16.8000,15.9000,16.0000,163900
CAD,20091105,16.3000,16.8000,16.0000,16.8000,172390
CAD,20091106,17.6000,17.6000,16.8000,16.8000,197360
CAD,20091109,16.8000,16.8000,16.0000,16.0000,76800
CAD,20091110,16.0000,16.1000,15.2000,15.2000,333580
CAD,20091111,15.2000,15.6000,15.0000,15.6000,115500
CAD,20091112,16.0000,16.3000,15.9000,16.1000,119290
CAD,20091113,15.7000,16.2000,15.6000,16.0000,108060
CAD,20091116,16.0000,16.5000,16.0000,16.4000,142440
CAD,20091117,16.5000,17.2000,16.3000,17.0000,289530
CAD,20091118,16.8000,17.0000,16.4000,16.7000,65610
CAD,20091119,16.5000,17.5000,16.5000,17.3000,216010
CAD,20091120,16.7000,17.3000,16.7000,16.9000,120020
CAD,20091123,16.5000,16.8000,16.1000,16.1000,169820
CAD,20091124,16.1000,16.4000,15.6000,15.6000,70200
CAD,20091125,15.3000,15.6000,14.9000,14.9000,210180
CAD,20091126,14.2000,14.2000,14.2000,14.2000,45460
CAD,20091127,13.5000,14.9000,13.5000,14.5000,152520
CAD,20091130,14.7000,14.8000,14.4000,14.4000,69320
CAD,20091201,14.6000,15.1000,14.4000,15.0000,183110
CAD,20091202,14.3000,15.0000,14.3000,14.4000,59090
CAD,20091203,14.4000,14.6000,13.9000,14.6000,87120
CAD,20091204,14.9000,14.9000,14.2000,14.5000,31650
CAD,20091207,14.1000,14.6000,14.1000,14.4000,48940
CAD,20091208,14.2000,14.4000,13.7000,13.7000,78970
CAD,20091209,13.3000,13.3000,13.1000,13.1000,85330
CAD,20091210,13.0000,13.1000,12.5000,12.5000,58350
CAD,20091211,12.3000,12.3000,11.9000,11.9000,100160
CAD,20091214,11.9000,12.4000,11.9000,12.2000,69240
CAD,20091215,12.2000,12.2000,12.0000,12.0000,70480
CAD,20091216,12.1000,12.1000,11.6000,11.6000,80730
CAD,20091217,11.6000,11.9000,11.5000,11.8000,60320
