<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
CCP,20170316,12.0000,12.0000,11.9000,11.9000,2700
CCP,20170317,10.2000,10.2000,10.2000,10.2000,500
CCP,20170320,10.0000,10.0000,10.0000,10.0000,600
CCP,20170321,11.4000,11.4000,11.4000,11.4000,100
CCP,20170322,9.7000,9.7000,9.7000,9.7000,200
CCP,20170323,8.3000,11.1000,8.3000,11.1000,6000
CCP,20170324,11.5000,11.5000,11.5000,11.5000,100
CCP,20170327,11.5000,11.5000,11.5000,11.5000,0
CCP,20170328,9.8000,13.1000,9.8000,13.1000,3100
CCP,20170329,12.5000,12.5000,12.5000,12.5000,100
CCP,20170330,12.9000,12.9000,12.9000,12.9000,100
CCP,20170331,12.9000,12.9000,12.9000,12.9000,100
CCP,20170403,12.9000,12.9000,12.9000,12.9000,0
CCP,20170404,12.9000,12.9000,12.9000,12.9000,0
CCP,20170405,12.9000,12.9000,12.9000,12.9000,0
CCP,20170407,12.9000,12.9000,12.9000,12.9000,0
CCP,20170410,12.9000,12.9000,12.9000,12.9000,0
CCP,20170411,12.9000,12.9000,12.9000,12.9000,0
CCP,20170412,12.9000,12.9000,12.9000,12.9000,0
CCP,20170413,12.9000,12.9000,12.9000,12.9000,0
CCP,20170414,12.9000,12.9000,12.9000,12.9000,0
CCP,20170417,12.9000,12.9000,12.9000,12.9000,0
CCP,20170418,12.9000,12.9000,12.9000,12.9000,0
CCP,20170419,12.9000,12.9000,12.9000,12.9000,0
CCP,20170420,14.1000,14.1000,11.0000,12.9000,400
CCP,20170421,12.3000,12.3000,12.3000,12.3000,0
CCP,20170424,10.5000,10.5000,10.5000,10.5000,600
CCP,20170425,12.0000,12.0000,12.0000,12.0000,100
CCP,20170426,12.0000,12.0000,12.0000,12.0000,0
CCP,20170427,12.7000,12.7000,12.7000,12.7000,100
CCP,20170428,10.8000,12.4000,10.8000,12.4000,1500
CCP,20170503,11.9000,11.9000,11.9000,11.9000,0
CCP,20170504,11.9000,11.9000,11.9000,11.9000,0
CCP,20170505,11.9000,11.9000,11.9000,11.9000,0
CCP,20170508,12.7000,12.7000,12.7000,12.7000,100
CCP,20170509,12.7000,12.7000,12.7000,12.7000,0
CCP,20170510,12.7000,12.7000,12.7000,12.7000,0
CCP,20170511,12.7000,12.7000,12.7000,12.7000,0
CCP,20170512,13.5000,13.5000,13.5000,13.5000,100
CCP,20170515,13.5000,13.5000,13.5000,13.5000,0
CCP,20170516,13.5000,13.5000,13.5000,13.5000,0
CCP,20170517,13.5000,13.5000,13.5000,13.5000,0
CCP,20170518,13.5000,13.5000,13.5000,13.5000,0
CCP,20170519,13.5000,13.5000,13.5000,13.5000,0
CCP,20170522,13.5000,13.5000,13.5000,13.5000,0
CCP,20170523,13.5000,13.5000,13.5000,13.5000,0
CCP,20170524,13.5000,13.5000,13.5000,13.5000,0
CCP,20170525,13.1773,13.1773,13.1773,13.1773,100
CCP,20170526,11.2251,11.2251,11.2251,11.2251,500
CCP,20170529,12.6892,12.6892,12.6892,12.6892,100
CCP,20170530,12.6892,12.6892,12.6892,12.6892,0
CCP,20170531,13.1773,13.1773,13.1773,13.1773,100
CCP,20170601,13.1773,13.1773,13.1773,13.1773,0
CCP,20170602,13.1773,13.1773,13.1773,13.1773,0
CCP,20170605,13.6653,13.6653,13.6653,13.6653,100
CCP,20170606,13.7629,13.7629,13.7629,13.7629,600
CCP,20170607,13.7629,13.7629,13.7629,13.7629,0
CCP,20170608,14.1534,14.1534,14.1534,14.1534,100
