<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
CCT,20170630,10.0000,10.0000,10.0000,10.0000,0
CCT,20170703,10.0000,10.0000,10.0000,10.0000,0
CCT,20170704,10.0000,10.0000,10.0000,10.0000,0
CCT,20170705,10.0000,10.0000,10.0000,10.0000,0
CCT,20170706,10.0000,10.0000,10.0000,10.0000,0
CCT,20170707,10.0000,10.0000,10.0000,10.0000,0
CCT,20170710,10.0000,10.0000,10.0000,10.0000,0
CCT,20170711,10.0000,10.0000,10.0000,10.0000,0
CCT,20170712,10.0000,10.0000,10.0000,10.0000,0
CCT,20170713,10.0000,10.0000,10.0000,10.0000,0
CCT,20170714,10.0000,10.0000,10.0000,10.0000,0
CCT,20170717,10.0000,10.0000,10.0000,10.0000,0
CCT,20170718,10.0000,10.0000,10.0000,10.0000,0
CCT,20170719,10.0000,10.0000,10.0000,10.0000,0
CCT,20170720,10.0000,10.0000,10.0000,10.0000,0
CCT,20170721,10.0000,10.0000,10.0000,10.0000,0
CCT,20170724,10.0000,10.0000,10.0000,10.0000,0
CCT,20170725,10.0000,10.0000,10.0000,10.0000,0
CCT,20170726,10.0000,10.0000,10.0000,10.0000,0
CCT,20170727,10.0000,10.0000,10.0000,10.0000,0
CCT,20170728,10.0000,10.0000,10.0000,10.0000,0
CCT,20170731,10.0000,10.0000,10.0000,10.0000,0
CCT,20170801,10.0000,10.0000,10.0000,10.0000,0
CCT,20170802,10.0000,10.0000,10.0000,10.0000,0
CCT,20170803,10.0000,10.0000,10.0000,10.0000,0
CCT,20170804,10.0000,10.0000,10.0000,10.0000,0
CCT,20170807,10.0000,10.0000,10.0000,10.0000,0
CCT,20170808,10.0000,10.0000,10.0000,10.0000,0
CCT,20170809,10.0000,10.0000,10.0000,10.0000,0
CCT,20170810,10.0000,10.0000,10.0000,10.0000,0
CCT,20170811,10.0000,10.0000,10.0000,10.0000,0
CCT,20170814,10.0000,10.0000,10.0000,10.0000,0
CCT,20170815,10.0000,10.0000,10.0000,10.0000,0
CCT,20170816,10.0000,10.0000,10.0000,10.0000,0
CCT,20170817,10.0000,10.0000,10.0000,10.0000,0
CCT,20170818,10.0000,10.0000,10.0000,10.0000,0
CCT,20170821,10.0000,10.0000,10.0000,10.0000,0
CCT,20170822,10.0000,10.0000,10.0000,10.0000,0
CCT,20170823,10.0000,10.0000,10.0000,10.0000,0
CCT,20170824,10.0000,10.0000,10.0000,10.0000,0
CCT,20170825,10.0000,10.0000,10.0000,10.0000,0
CCT,20170828,10.0000,10.0000,10.0000,10.0000,0
CCT,20170829,10.0000,10.0000,10.0000,10.0000,0
CCT,20170830,10.0000,10.0000,10.0000,10.0000,0
CCT,20170831,10.0000,10.0000,10.0000,10.0000,0
CCT,20170901,10.0000,10.0000,10.0000,10.0000,0
CCT,20170905,10.0000,10.0000,10.0000,10.0000,0
CCT,20170906,10.0000,10.0000,10.0000,10.0000,0
CCT,20170907,10.0000,10.0000,10.0000,10.0000,0
CCT,20170908,10.0000,10.0000,10.0000,10.0000,0
CCT,20170911,10.0000,10.0000,10.0000,10.0000,0
CCT,20170912,10.0000,10.0000,10.0000,10.0000,0
CCT,20170913,10.0000,10.0000,10.0000,10.0000,0
CCT,20170914,10.0000,10.0000,10.0000,10.0000,0
CCT,20170915,10.0000,10.0000,10.0000,10.0000,0
CCT,20170918,10.0000,10.0000,10.0000,10.0000,0
CCT,20170919,10.0000,10.0000,10.0000,10.0000,0
CCT,20170920,10.0000,10.0000,10.0000,10.0000,0
CCT,20170921,10.0000,10.0000,10.0000,10.0000,0
CCT,20170922,10.0000,10.0000,10.0000,10.0000,0
