<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
CDH,20160623,10.0000,10.0000,10.0000,10.0000,0
CDH,20160624,10.0000,10.0000,10.0000,10.0000,0
CDH,20160627,10.0000,10.0000,10.0000,10.0000,0
CDH,20160628,10.0000,10.0000,10.0000,10.0000,0
CDH,20160629,10.0000,10.0000,10.0000,10.0000,0
CDH,20160630,10.0000,10.0000,10.0000,10.0000,0
CDH,20160701,10.0000,10.0000,10.0000,10.0000,0
CDH,20160704,10.0000,10.0000,10.0000,10.0000,0
CDH,20160705,10.0000,10.0000,10.0000,10.0000,0
CDH,20160706,10.0000,10.0000,10.0000,10.0000,0
CDH,20160707,10.0000,10.0000,10.0000,10.0000,0
CDH,20160708,10.0000,10.0000,10.0000,10.0000,0
CDH,20160711,10.0000,10.0000,10.0000,10.0000,0
CDH,20160712,10.0000,10.0000,10.0000,10.0000,0
CDH,20160713,10.0000,10.0000,10.0000,10.0000,0
CDH,20160714,10.0000,10.0000,10.0000,10.0000,0
CDH,20160715,10.0000,10.0000,10.0000,10.0000,0
CDH,20160718,10.0000,10.0000,10.0000,10.0000,0
CDH,20160719,10.0000,10.0000,10.0000,10.0000,0
CDH,20160720,10.0000,10.0000,10.0000,10.0000,0
CDH,20160721,10.0000,10.0000,10.0000,10.0000,0
CDH,20160722,10.0000,10.0000,10.0000,10.0000,0
CDH,20160725,10.0000,10.0000,10.0000,10.0000,0
CDH,20160726,10.0000,10.0000,10.0000,10.0000,0
CDH,20160727,10.0000,10.0000,10.0000,10.0000,0
CDH,20160728,10.0000,10.0000,10.0000,10.0000,0
CDH,20160729,10.0000,10.0000,10.0000,10.0000,0
CDH,20160801,10.0000,10.0000,10.0000,10.0000,0
CDH,20160802,10.0000,10.0000,10.0000,10.0000,0
CDH,20160803,10.0000,10.0000,10.0000,10.0000,0
CDH,20160804,10.0000,10.0000,10.0000,10.0000,0
CDH,20160805,10.0000,10.0000,10.0000,10.0000,0
CDH,20160808,10.0000,10.0000,10.0000,10.0000,0
CDH,20160809,10.0000,10.0000,10.0000,10.0000,0
CDH,20160810,10.0000,10.0000,10.0000,10.0000,0
CDH,20160811,10.0000,10.0000,10.0000,10.0000,0
CDH,20160812,10.0000,10.0000,10.0000,10.0000,0
CDH,20160815,10.0000,10.0000,10.0000,10.0000,0
CDH,20160816,10.0000,10.0000,10.0000,10.0000,0
CDH,20160817,10.0000,10.0000,10.0000,10.0000,0
CDH,20160818,10.0000,10.0000,10.0000,10.0000,0
CDH,20160819,10.0000,10.0000,10.0000,10.0000,0
CDH,20160822,10.0000,10.0000,10.0000,10.0000,0
CDH,20160823,10.0000,10.0000,10.0000,10.0000,0
CDH,20160824,10.0000,10.0000,10.0000,10.0000,0
CDH,20160825,10.0000,10.0000,10.0000,10.0000,0
CDH,20160826,10.0000,10.0000,10.0000,10.0000,0
CDH,20160829,10.0000,10.0000,10.0000,10.0000,0
CDH,20160830,10.0000,10.0000,10.0000,10.0000,0
CDH,20160831,10.0000,10.0000,10.0000,10.0000,0
CDH,20160901,10.0000,10.0000,10.0000,10.0000,0
CDH,20160905,10.0000,10.0000,10.0000,10.0000,0
CDH,20160906,10.0000,10.0000,10.0000,10.0000,0
CDH,20160907,10.0000,10.0000,10.0000,10.0000,0
CDH,20160908,10.0000,10.0000,10.0000,10.0000,0
CDH,20160909,10.0000,10.0000,10.0000,10.0000,0
CDH,20160912,10.0000,10.0000,10.0000,10.0000,0
CDH,20160913,10.0000,10.0000,10.0000,10.0000,0
CDH,20160914,10.0000,10.0000,10.0000,10.0000,0
CDH,20160915,10.0000,10.0000,10.0000,10.0000,0
CDH,20160916,10.0000,10.0000,10.0000,10.0000,0
CDH,20160919,10.0000,10.0000,10.0000,10.0000,0
CDH,20160920,10.0000,10.0000,10.0000,10.0000,0
CDH,20160921,10.0000,10.0000,10.0000,10.0000,0
CDH,20160922,10.0000,10.0000,10.0000,10.0000,0
CDH,20160923,10.0000,10.0000,10.0000,10.0000,0
CDH,20160926,10.0000,10.0000,10.0000,10.0000,0
CDH,20160927,10.0000,10.0000,10.0000,10.0000,0
CDH,20160928,10.0000,10.0000,10.0000,10.0000,0
CDH,20160929,10.0000,10.0000,10.0000,10.0000,0
CDH,20160930,10.0000,10.0000,10.0000,10.0000,0
CDH,20161003,10.0000,10.0000,10.0000,10.0000,0
CDH,20161004,10.0000,10.0000,10.0000,10.0000,0
CDH,20161005,10.0000,10.0000,10.0000,10.0000,0
CDH,20161006,10.0000,10.0000,10.0000,10.0000,0
CDH,20161007,10.0000,10.0000,10.0000,10.0000,0
CDH,20161010,10.0000,10.0000,10.0000,10.0000,0
CDH,20161011,10.0000,10.0000,10.0000,10.0000,0
CDH,20161012,10.0000,10.0000,10.0000,10.0000,0
CDH,20161013,10.0000,10.0000,10.0000,10.0000,0
CDH,20161014,10.0000,10.0000,10.0000,10.0000,0
CDH,20161017,10.0000,10.0000,10.0000,10.0000,0
CDH,20161018,10.0000,10.0000,10.0000,10.0000,0
CDH,20161019,10.0000,10.0000,10.0000,10.0000,0
CDH,20161020,10.0000,10.0000,10.0000,10.0000,0
CDH,20161021,10.0000,10.0000,10.0000,10.0000,0
CDH,20161024,10.0000,10.0000,10.0000,10.0000,0
CDH,20161025,10.0000,10.0000,10.0000,10.0000,0
CDH,20161026,10.0000,10.0000,10.0000,10.0000,0
CDH,20161027,10.0000,10.0000,10.0000,10.0000,0
CDH,20161028,10.0000,10.0000,10.0000,10.0000,0
CDH,20161031,10.0000,10.0000,10.0000,10.0000,0
CDH,20161101,10.0000,10.0000,10.0000,10.0000,0
CDH,20161102,10.0000,10.0000,10.0000,10.0000,0
CDH,20161103,10.0000,10.0000,10.0000,10.0000,0
CDH,20161104,10.0000,10.0000,10.0000,10.0000,0
CDH,20161107,10.0000,10.0000,10.0000,10.0000,0
CDH,20161108,10.0000,10.0000,10.0000,10.0000,0
CDH,20161109,10.0000,10.0000,10.0000,10.0000,0
CDH,20161110,10.0000,10.0000,10.0000,10.0000,0
CDH,20161111,10.0000,10.0000,10.0000,10.0000,0
CDH,20161114,10.0000,10.0000,10.0000,10.0000,0
CDH,20161115,10.0000,10.0000,10.0000,10.0000,0
CDH,20161116,10.0000,10.0000,10.0000,10.0000,0
CDH,20161117,10.0000,10.0000,10.0000,10.0000,0
CDH,20161118,10.0000,10.0000,10.0000,10.0000,0
CDH,20161121,10.0000,10.0000,10.0000,10.0000,0
CDH,20161122,10.0000,10.0000,10.0000,10.0000,0
CDH,20161123,10.0000,10.0000,10.0000,10.0000,0
CDH,20161124,10.0000,10.0000,10.0000,10.0000,0
CDH,20161125,10.0000,10.0000,10.0000,10.0000,0
CDH,20161128,10.0000,10.0000,10.0000,10.0000,0
CDH,20161129,10.0000,10.0000,10.0000,10.0000,0
CDH,20161130,10.0000,10.0000,10.0000,10.0000,0
CDH,20161201,10.0000,10.0000,10.0000,10.0000,0
CDH,20161202,10.0000,10.0000,10.0000,10.0000,0
CDH,20161205,10.0000,10.0000,10.0000,10.0000,0
CDH,20161206,10.0000,10.0000,10.0000,10.0000,0
CDH,20161207,10.0000,10.0000,10.0000,10.0000,0
CDH,20161208,10.0000,10.0000,10.0000,10.0000,0
CDH,20161209,10.0000,10.0000,10.0000,10.0000,0
CDH,20161212,10.0000,10.0000,10.0000,10.0000,0
CDH,20161213,10.0000,10.0000,10.0000,10.0000,0
CDH,20161214,10.0000,10.0000,10.0000,10.0000,0
CDH,20161215,10.0000,10.0000,10.0000,10.0000,0
CDH,20161216,10.0000,10.0000,10.0000,10.0000,0
CDH,20161219,10.0000,10.0000,10.0000,10.0000,0
CDH,20161220,10.0000,10.0000,10.0000,10.0000,0
CDH,20161221,10.0000,10.0000,10.0000,10.0000,0
CDH,20161222,10.0000,10.0000,10.0000,10.0000,0
CDH,20161223,10.0000,10.0000,10.0000,10.0000,0
CDH,20161226,10.0000,10.0000,10.0000,10.0000,0
CDH,20161227,10.0000,10.0000,10.0000,10.0000,0
CDH,20161228,10.0000,10.0000,10.0000,10.0000,0
CDH,20161229,10.0000,10.0000,10.0000,10.0000,0
CDH,20161230,10.0000,10.0000,10.0000,10.0000,0
CDH,20170103,10.0000,10.0000,10.0000,10.0000,0
CDH,20170104,10.0000,10.0000,10.0000,10.0000,0
CDH,20170105,10.0000,10.0000,10.0000,10.0000,0
CDH,20170106,10.0000,10.0000,10.0000,10.0000,0
CDH,20170109,10.0000,10.0000,10.0000,10.0000,0
CDH,20170110,10.0000,10.0000,10.0000,10.0000,0
CDH,20170111,10.0000,10.0000,10.0000,10.0000,0
CDH,20170112,10.0000,10.0000,10.0000,10.0000,0
CDH,20170113,10.0000,10.0000,10.0000,10.0000,0
CDH,20170116,10.0000,10.0000,10.0000,10.0000,0
CDH,20170117,10.0000,10.0000,10.0000,10.0000,0
CDH,20170118,10.0000,10.0000,10.0000,10.0000,0
CDH,20170119,10.0000,10.0000,10.0000,10.0000,0
CDH,20170120,10.0000,10.0000,10.0000,10.0000,0
CDH,20170123,10.0000,10.0000,10.0000,10.0000,0
CDH,20170124,10.0000,10.0000,10.0000,10.0000,0
CDH,20170125,10.0000,10.0000,10.0000,10.0000,0
CDH,20170202,10.0000,10.0000,10.0000,10.0000,0
CDH,20170203,10.0000,10.0000,10.0000,10.0000,0
CDH,20170206,10.0000,10.0000,10.0000,10.0000,0
CDH,20170207,10.0000,10.0000,10.0000,10.0000,0
CDH,20170208,10.0000,10.0000,10.0000,10.0000,0
CDH,20170209,10.0000,10.0000,10.0000,10.0000,0
CDH,20170210,10.0000,10.0000,10.0000,10.0000,0
CDH,20170213,10.0000,10.0000,10.0000,10.0000,0
CDH,20170214,10.0000,10.0000,10.0000,10.0000,0
CDH,20170215,10.0000,10.0000,10.0000,10.0000,0
CDH,20170216,10.0000,10.0000,10.0000,10.0000,0
CDH,20170217,10.0000,10.0000,10.0000,10.0000,0
CDH,20170220,10.0000,10.0000,10.0000,10.0000,0
CDH,20170221,10.0000,10.0000,10.0000,10.0000,0
CDH,20170222,10.0000,10.0000,10.0000,10.0000,0
CDH,20170223,10.0000,10.0000,10.0000,10.0000,0
CDH,20170224,10.0000,10.0000,10.0000,10.0000,0
CDH,20170227,10.0000,10.0000,10.0000,10.0000,0
CDH,20170228,10.0000,10.0000,10.0000,10.0000,0
CDH,20170301,10.0000,10.0000,10.0000,10.0000,0
CDH,20170302,10.0000,10.0000,10.0000,10.0000,0
CDH,20170303,10.0000,10.0000,10.0000,10.0000,0
CDH,20170306,10.0000,10.0000,10.0000,10.0000,0
CDH,20170307,10.0000,10.0000,10.0000,10.0000,0
CDH,20170308,10.0000,10.0000,10.0000,10.0000,0
CDH,20170309,10.0000,10.0000,10.0000,10.0000,0
CDH,20170310,10.0000,10.0000,10.0000,10.0000,0
CDH,20170313,10.0000,10.0000,10.0000,10.0000,0
CDH,20170314,10.0000,10.0000,10.0000,10.0000,0
CDH,20170315,10.0000,10.0000,10.0000,10.0000,0
CDH,20170316,10.0000,10.0000,10.0000,10.0000,0
CDH,20170317,10.0000,10.0000,10.0000,10.0000,0
CDH,20170320,10.0000,10.0000,10.0000,10.0000,0
CDH,20170321,10.0000,10.0000,10.0000,10.0000,0
CDH,20170322,10.0000,10.0000,10.0000,10.0000,0
CDH,20170323,10.0000,10.0000,10.0000,10.0000,0
CDH,20170324,10.0000,10.0000,10.0000,10.0000,0
CDH,20170327,10.0000,10.0000,10.0000,10.0000,0
