<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
CE1,20170410,14.4000,14.4000,14.4000,14.4000,0
CE1,20170411,14.4000,14.4000,14.4000,14.4000,0
CE1,20170412,14.4000,14.4000,14.4000,14.4000,0
CE1,20170413,14.4000,14.4000,14.4000,14.4000,0
CE1,20170414,14.4000,14.4000,14.4000,14.4000,0
CE1,20170417,14.4000,14.4000,14.4000,14.4000,0
CE1,20170418,14.4000,14.4000,14.4000,14.4000,0
CE1,20170419,14.4000,14.4000,14.4000,14.4000,0
CE1,20170420,14.4000,14.4000,14.4000,14.4000,0
CE1,20170421,14.4000,14.4000,14.4000,14.4000,0
CE1,20170424,14.4000,14.4000,14.4000,14.4000,0
CE1,20170425,14.4000,14.4000,14.4000,14.4000,0
CE1,20170426,14.4000,14.4000,14.4000,14.4000,0
CE1,20170427,14.4000,14.4000,14.4000,14.4000,0
CE1,20170428,14.4000,14.4000,14.4000,14.4000,0
CE1,20170503,14.4000,14.4000,14.4000,14.4000,0
CE1,20170504,14.4000,14.4000,14.4000,14.4000,0
CE1,20170505,14.4000,14.4000,14.4000,14.4000,0
CE1,20170508,14.4000,14.4000,14.4000,14.4000,0
CE1,20170509,14.4000,14.4000,14.4000,14.4000,0
CE1,20170510,14.4000,14.4000,14.4000,14.4000,0
CE1,20170511,10.7081,10.7081,10.7081,10.7081,0
CE1,20170512,10.7081,10.7081,10.7081,10.7081,0
CE1,20170515,10.7081,10.7081,10.7081,10.7081,0
CE1,20170516,10.7081,10.7081,10.7081,10.7081,0
CE1,20170517,10.7081,10.7081,10.7081,10.7081,0
CE1,20170518,10.7081,10.7081,10.7081,10.7081,0
CE1,20170519,10.7081,10.7081,10.7081,10.7081,0
CE1,20170522,10.7081,10.7081,10.7081,10.7081,0
CE1,20170523,10.7081,10.7081,10.7081,10.7081,0
CE1,20170524,10.7081,10.7081,10.7081,10.7081,0
CE1,20170525,10.7081,10.7081,10.7081,10.7081,0
CE1,20170526,10.7081,10.7081,10.7081,10.7081,0
CE1,20170529,10.7081,10.7081,10.7081,10.7081,0
CE1,20170530,10.7081,10.7081,10.7081,10.7081,0
CE1,20170531,10.7081,10.7081,10.7081,10.7081,0
CE1,20170601,10.7081,10.7081,10.7081,10.7081,0
CE1,20170602,10.7081,10.7081,10.7081,10.7081,0
CE1,20170605,10.7081,10.7081,10.7081,10.7081,0
CE1,20170606,10.7081,10.7081,10.7081,10.7081,0
CE1,20170607,10.7081,10.7081,10.7081,10.7081,0
CE1,20170608,10.7081,10.7081,10.7081,10.7081,0
CE1,20170609,10.7081,10.7081,10.7081,10.7081,0
CE1,20170612,10.7081,10.7081,10.7081,10.7081,0
CE1,20170613,10.7081,10.7081,10.7081,10.7081,0
CE1,20170614,10.7081,10.7081,10.7081,10.7081,0
CE1,20170615,10.7081,10.7081,10.7081,10.7081,0
CE1,20170616,10.7081,10.7081,10.7081,10.7081,0
CE1,20170619,10.7081,10.7081,10.7081,10.7081,0
CE1,20170620,10.7081,10.7081,10.7081,10.7081,0
CE1,20170621,10.7081,10.7081,10.7081,10.7081,0
CE1,20170622,10.7081,10.7081,10.7081,10.7081,0
CE1,20170623,10.7081,10.7081,10.7081,10.7081,0
CE1,20170626,10.7081,10.7081,10.7081,10.7081,0
CE1,20170627,10.7081,10.7081,10.7081,10.7081,0
CE1,20170628,10.7081,10.7081,10.7081,10.7081,0
CE1,20170629,10.7081,10.7081,10.7081,10.7081,0
CE1,20170630,10.7081,10.7081,10.7081,10.7081,0
CE1,20170703,10.7081,10.7081,10.7081,10.7081,0
CE1,20170704,10.7081,10.7081,10.7081,10.7081,0
CE1,20170705,10.7081,10.7081,10.7081,10.7081,0
CE1,20170706,10.7081,10.7081,10.7081,10.7081,0
CE1,20170707,10.7081,10.7081,10.7081,10.7081,0
CE1,20170710,10.7081,10.7081,10.7081,10.7081,0
CE1,20170711,10.7081,10.7081,10.7081,10.7081,0
CE1,20170712,10.7852,10.7852,10.7852,10.7852,13000
CE1,20170713,10.7852,10.7852,10.7852,10.7852,0
CE1,20170714,10.7852,10.7852,10.7852,10.7852,0
CE1,20170717,10.7852,10.7852,10.7852,10.7852,0
CE1,20170718,10.7852,10.7852,10.7852,10.7852,0
CE1,20170719,10.7852,10.7852,10.7852,10.7852,0
CE1,20170720,10.7852,10.7852,10.7852,10.7852,0
CE1,20170721,10.7852,10.7852,10.7852,10.7852,0
CE1,20170724,10.7852,10.7852,10.7852,10.7852,0
CE1,20170725,10.7852,10.7852,10.7852,10.7852,0
CE1,20170726,10.7852,10.7852,10.7852,10.7852,0
CE1,20170727,10.7852,10.7852,10.7852,10.7852,0
CE1,20170728,10.7852,10.7852,10.7852,10.7852,0
CE1,20170731,10.7852,10.7852,10.7852,10.7852,0
CE1,20170801,10.7852,10.7852,10.7852,10.7852,0
CE1,20170802,10.7852,10.7852,10.7852,10.7852,0
CE1,20170803,10.7852,10.7852,10.7852,10.7852,0
CE1,20170804,10.7852,10.7852,10.7852,10.7852,0
CE1,20170807,10.7852,10.7852,10.7852,10.7852,0
CE1,20170808,10.7852,10.7852,10.7852,10.7852,0
CE1,20170809,10.7852,10.7852,10.7852,10.7852,0
