<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
CEC,20140313,12.0000,12.0000,12.0000,12.0000,0
CEC,20140314,12.0000,12.0000,12.0000,12.0000,0
CEC,20140317,12.0000,12.0000,12.0000,12.0000,0
CEC,20140318,12.0000,12.0000,12.0000,12.0000,0
CEC,20140319,12.0000,12.0000,12.0000,12.0000,0
CEC,20140320,12.0000,12.0000,12.0000,12.0000,0
CEC,20140321,12.0000,12.0000,12.0000,12.0000,0
CEC,20140324,12.0000,12.0000,12.0000,12.0000,0
CEC,20140325,12.0000,12.0000,12.0000,12.0000,0
CEC,20140326,12.0000,12.0000,12.0000,12.0000,0
CEC,20140327,12.0000,12.0000,12.0000,12.0000,0
CEC,20140328,12.0000,12.0000,12.0000,12.0000,0
CEC,20140331,12.0000,12.0000,12.0000,12.0000,0
CEC,20140401,12.0000,12.0000,12.0000,12.0000,0
CEC,20140402,12.0000,12.0000,12.0000,12.0000,0
CEC,20140403,12.0000,12.0000,12.0000,12.0000,0
CEC,20140404,12.0000,12.0000,12.0000,12.0000,0
CEC,20140407,12.0000,12.0000,12.0000,12.0000,0
CEC,20140408,12.0000,12.0000,12.0000,12.0000,0
CEC,20140410,12.0000,12.0000,12.0000,12.0000,0
CEC,20140411,12.0000,12.0000,12.0000,12.0000,0
CEC,20140414,12.0000,12.0000,12.0000,12.0000,0
CEC,20140415,12.0000,12.0000,12.0000,12.0000,0
CEC,20140416,12.0000,12.0000,12.0000,12.0000,0
CEC,20140417,12.0000,12.0000,12.0000,12.0000,0
CEC,20140418,12.0000,12.0000,12.0000,12.0000,0
CEC,20140421,12.0000,12.0000,12.0000,12.0000,0
CEC,20140422,12.0000,12.0000,12.0000,12.0000,0
CEC,20140423,12.0000,12.0000,12.0000,12.0000,0
CEC,20140424,12.0000,12.0000,12.0000,12.0000,0
CEC,20140425,12.0000,12.0000,12.0000,12.0000,0
CEC,20140428,12.0000,12.0000,12.0000,12.0000,0
CEC,20140429,12.0000,12.0000,12.0000,12.0000,0
CEC,20140505,12.0000,12.0000,12.0000,12.0000,0
CEC,20140506,12.0000,12.0000,12.0000,12.0000,0
CEC,20140507,12.0000,12.0000,12.0000,12.0000,0
CEC,20140508,12.0000,12.0000,12.0000,12.0000,0
CEC,20140509,12.0000,12.0000,12.0000,12.0000,0
CEC,20140512,12.0000,12.0000,12.0000,12.0000,0
CEC,20140513,12.0000,12.0000,12.0000,12.0000,0
CEC,20140514,12.0000,12.0000,12.0000,12.0000,0
CEC,20140515,3.8259,3.8259,3.8259,3.8259,0
CEC,20140516,3.8259,3.8259,3.8259,3.8259,0
CEC,20140519,3.8259,3.8259,3.8259,3.8259,0
CEC,20140520,3.8259,3.8259,3.8259,3.8259,0
CEC,20140521,3.8259,3.8259,3.8259,3.8259,0
CEC,20140522,3.8259,3.8259,3.8259,3.8259,0
CEC,20140523,3.8259,3.8259,3.8259,3.8259,0
CEC,20140526,3.8259,3.8259,3.8259,3.8259,0
CEC,20140527,3.8259,3.8259,3.8259,3.8259,0
CEC,20140528,3.8259,3.8259,3.8259,3.8259,0
CEC,20140529,3.8259,3.8259,3.8259,3.8259,0
CEC,20140530,3.8259,3.8259,3.8259,3.8259,0
CEC,20140602,3.8259,3.8259,3.8259,3.8259,0
CEC,20140603,3.8259,3.8259,3.8259,3.8259,0
CEC,20140604,3.8259,3.8259,3.8259,3.8259,0
CEC,20140605,3.8259,3.8259,3.8259,3.8259,0
CEC,20140606,3.8259,3.8259,3.8259,3.8259,0
CEC,20140609,3.8259,3.8259,3.8259,3.8259,0
CEC,20140610,3.8259,3.8259,3.8259,3.8259,0
CEC,20140611,3.8259,3.8259,3.8259,3.8259,0
CEC,20140612,3.8259,3.8259,3.8259,3.8259,0
CEC,20140613,3.8259,3.8259,3.8259,3.8259,0
CEC,20140616,3.8259,3.8259,3.8259,3.8259,0
CEC,20140617,3.8259,3.8259,3.8259,3.8259,0
CEC,20140618,3.8259,3.8259,3.8259,3.8259,0
CEC,20140619,3.8259,3.8259,3.8259,3.8259,0
CEC,20140620,3.8259,3.8259,3.8259,3.8259,0
CEC,20140623,3.8259,3.8259,3.8259,3.8259,0
CEC,20140624,3.8259,3.8259,3.8259,3.8259,0
CEC,20140625,3.8259,3.8259,3.8259,3.8259,0
CEC,20140626,3.8259,3.8259,3.8259,3.8259,0
CEC,20140627,3.8259,3.8259,3.8259,3.8259,0
CEC,20140630,3.8259,3.8259,3.8259,3.8259,0
CEC,20140701,3.8259,3.8259,3.8259,3.8259,0
CEC,20140702,3.8259,3.8259,3.8259,3.8259,0
CEC,20140703,3.8259,3.8259,3.8259,3.8259,0
CEC,20140704,3.8259,3.8259,3.8259,3.8259,0
CEC,20140707,3.8259,3.8259,3.8259,3.8259,0
CEC,20140708,3.8259,3.8259,3.8259,3.8259,0
CEC,20140709,3.8259,3.8259,3.8259,3.8259,0
CEC,20140710,3.8259,3.8259,3.8259,3.8259,0
CEC,20140711,3.8259,3.8259,3.8259,3.8259,0
CEC,20140714,3.8259,3.8259,3.8259,3.8259,0
CEC,20140715,3.8259,3.8259,3.8259,3.8259,0
CEC,20140716,3.8259,3.8259,3.8259,3.8259,0
CEC,20140717,3.8259,3.8259,3.8259,3.8259,0
CEC,20140718,3.8259,3.8259,3.8259,3.8259,0
CEC,20140721,3.8259,3.8259,3.8259,3.8259,0
CEC,20140722,3.8259,3.8259,3.8259,3.8259,0
CEC,20140723,3.8259,3.8259,3.8259,3.8259,0
CEC,20140724,3.8259,3.8259,3.8259,3.8259,0
CEC,20140725,3.8259,3.8259,3.8259,3.8259,0
CEC,20140728,3.8259,3.8259,3.8259,3.8259,0
CEC,20140729,3.8259,3.8259,3.8259,3.8259,0
CEC,20140730,3.8259,3.8259,3.8259,3.8259,0
CEC,20140731,3.8259,3.8259,3.8259,3.8259,0
CEC,20140801,3.8259,3.8259,3.8259,3.8259,0
CEC,20140804,3.8259,3.8259,3.8259,3.8259,0
CEC,20140805,3.8259,3.8259,3.8259,3.8259,0
CEC,20140806,3.8259,3.8259,3.8259,3.8259,0
CEC,20140807,3.8259,3.8259,3.8259,3.8259,0
CEC,20140808,3.8259,3.8259,3.8259,3.8259,0
CEC,20140811,3.8259,3.8259,3.8259,3.8259,0
CEC,20140812,3.8259,3.8259,3.8259,3.8259,0
CEC,20140813,3.8259,3.8259,3.8259,3.8259,0
CEC,20140814,3.8259,3.8259,3.8259,3.8259,0
CEC,20140815,3.8259,3.8259,3.8259,3.8259,0
CEC,20140818,3.8259,3.8259,3.8259,3.8259,0
CEC,20140819,3.8259,3.8259,3.8259,3.8259,0
CEC,20140820,3.8259,3.8259,3.8259,3.8259,0
CEC,20140821,3.8259,3.8259,3.8259,3.8259,0
CEC,20140822,3.8259,3.8259,3.8259,3.8259,0
CEC,20140825,3.8259,3.8259,3.8259,3.8259,0
CEC,20140826,3.8259,3.8259,3.8259,3.8259,0
CEC,20140827,3.8259,3.8259,3.8259,3.8259,0
CEC,20140828,3.8259,3.8259,3.8259,3.8259,0
CEC,20140829,3.8259,3.8259,3.8259,3.8259,0
CEC,20140903,3.8259,3.8259,3.8259,3.8259,0
CEC,20140904,3.8259,3.8259,3.8259,3.8259,0
CEC,20140905,3.8259,3.8259,3.8259,3.8259,0
CEC,20140908,3.8259,3.8259,3.8259,3.8259,0
CEC,20140909,3.8259,3.8259,3.8259,3.8259,0
CEC,20140910,3.8259,3.8259,3.8259,3.8259,0
CEC,20140911,3.8259,3.8259,3.8259,3.8259,0
CEC,20140912,3.8259,3.8259,3.8259,3.8259,0
CEC,20140915,3.8259,3.8259,3.8259,3.8259,0
CEC,20140916,3.8259,3.8259,3.8259,3.8259,0
CEC,20140917,3.8259,3.8259,3.8259,3.8259,0
CEC,20140918,3.8259,3.8259,3.8259,3.8259,0
CEC,20140919,3.8259,3.8259,3.8259,3.8259,0
CEC,20140922,3.8259,3.8259,3.8259,3.8259,0
CEC,20140923,3.8259,3.8259,3.8259,3.8259,0
CEC,20140924,3.8259,3.8259,3.8259,3.8259,0
CEC,20140925,3.8259,3.8259,3.8259,3.8259,0
CEC,20140926,3.8259,3.8259,3.8259,3.8259,0
CEC,20140929,3.8259,3.8259,3.8259,3.8259,0
CEC,20140930,3.8259,3.8259,3.8259,3.8259,0
CEC,20141001,3.8259,3.8259,3.8259,3.8259,0
CEC,20141002,3.8259,3.8259,3.8259,3.8259,0
CEC,20141003,3.8259,3.8259,3.8259,3.8259,0
CEC,20141006,3.8259,3.8259,3.8259,3.8259,0
CEC,20141007,3.8259,3.8259,3.8259,3.8259,0
CEC,20141008,3.8259,3.8259,3.8259,3.8259,0
CEC,20141009,3.8259,3.8259,3.8259,3.8259,0
CEC,20141010,3.8259,3.8259,3.8259,3.8259,0
CEC,20141013,3.8259,3.8259,3.8259,3.8259,0
CEC,20141014,3.8259,3.8259,3.8259,3.8259,0
CEC,20141015,3.8259,3.8259,3.8259,3.8259,0
CEC,20141016,3.8259,3.8259,3.8259,3.8259,0
CEC,20141017,3.8259,3.8259,3.8259,3.8259,0
CEC,20141020,3.8259,3.8259,3.8259,3.8259,0
CEC,20141021,3.8259,3.8259,3.8259,3.8259,0
CEC,20141022,3.8259,3.8259,3.8259,3.8259,0
CEC,20141023,3.8259,3.8259,3.8259,3.8259,0
CEC,20141024,3.8259,3.8259,3.8259,3.8259,0
CEC,20141027,3.8259,3.8259,3.8259,3.8259,0
CEC,20141028,3.8259,3.8259,3.8259,3.8259,0
CEC,20141029,3.8259,3.8259,3.8259,3.8259,0
CEC,20141030,3.8259,3.8259,3.8259,3.8259,0
CEC,20141031,3.8259,3.8259,3.8259,3.8259,0
CEC,20141103,3.8259,3.8259,3.8259,3.8259,0
CEC,20141104,3.8259,3.8259,3.8259,3.8259,0
CEC,20141105,3.8259,3.8259,3.8259,3.8259,0
CEC,20141106,3.8259,3.8259,3.8259,3.8259,0
CEC,20141107,3.8259,3.8259,3.8259,3.8259,0
CEC,20141110,3.8259,3.8259,3.8259,3.8259,0
CEC,20141111,3.8259,3.8259,3.8259,3.8259,0
