<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
CFC,20090706,50.0000,60.0000,50.0000,60.0000,200
CFC,20090707,55.0000,55.0000,55.0000,55.0000,0
CFC,20090708,55.0000,55.0000,55.0000,55.0000,0
CFC,20090709,55.0000,55.0000,55.0000,55.0000,0
CFC,20090710,55.0000,55.0000,55.0000,55.0000,0
CFC,20090713,55.0000,55.0000,55.0000,55.0000,0
CFC,20090714,55.0000,55.0000,55.0000,55.0000,0
CFC,20090715,55.0000,55.0000,55.0000,55.0000,0
CFC,20090716,55.0000,55.0000,55.0000,55.0000,0
CFC,20090717,55.0000,55.0000,55.0000,55.0000,0
CFC,20090720,55.0000,55.0000,55.0000,55.0000,0
CFC,20090721,55.0000,55.0000,55.0000,55.0000,0
CFC,20090722,49.5000,49.5000,49.5000,49.5000,10
CFC,20090723,44.6000,44.6000,44.6000,44.6000,10
CFC,20090724,40.2000,40.2000,40.2000,40.2000,660
CFC,20090727,36.8000,36.8000,36.8000,36.8000,350
CFC,20090728,36.8000,36.8000,36.8000,36.8000,0
CFC,20090729,36.8000,36.8000,36.8000,36.8000,0
CFC,20090730,36.8000,36.8000,36.8000,36.8000,0
CFC,20090731,36.8000,36.8000,36.8000,36.8000,0
CFC,20090803,33.2000,33.2000,33.2000,33.2000,10
CFC,20090804,29.9000,29.9000,29.9000,29.9000,10
CFC,20090805,27.0000,27.0000,27.0000,27.0000,1510
CFC,20090806,27.0000,27.0000,24.3000,24.3000,2630
CFC,20090807,22.3000,22.3000,22.3000,22.3000,2310
CFC,20090810,20.1000,22.3000,20.1000,22.3000,2030
CFC,20090811,21.2000,21.2000,21.2000,21.2000,4600
CFC,20090812,21.0000,21.0000,21.0000,21.0000,500
CFC,20090813,19.1000,23.0000,19.1000,23.0000,1100
CFC,20090814,22.6000,22.6000,22.6000,22.6000,0
CFC,20090817,21.5000,21.5000,21.5000,21.5000,200
CFC,20090818,21.5000,21.5000,21.5000,21.5000,0
CFC,20090819,23.0000,23.0000,23.0000,23.0000,400
CFC,20090820,23.0000,23.0000,23.0000,23.0000,0
CFC,20090821,23.0000,23.0000,23.0000,23.0000,0
CFC,20090824,21.2000,23.0000,21.2000,23.0000,2600
CFC,20090825,23.0000,23.0000,23.0000,23.0000,600
CFC,20090826,23.0000,23.0000,23.0000,23.0000,0
CFC,20090827,23.0000,24.0000,23.0000,24.0000,1200
CFC,20090828,24.0000,24.0000,24.0000,24.0000,2500
CFC,20090831,26.0000,26.0000,26.0000,26.0000,500
CFC,20090901,26.0000,26.0000,26.0000,26.0000,0
CFC,20090903,27.5000,27.5000,27.5000,27.5000,30
CFC,20090904,27.5000,27.5000,27.5000,27.5000,0
