<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
CFPT2007,20200715,1.7700,1.7700,1.7300,1.7300,57720
CFPT2007,20200716,1.7300,1.7300,1.7000,1.7000,57100
CFPT2007,20200717,1.7100,1.7100,1.6700,1.6900,50540
CFPT2007,20200720,1.6200,1.6300,1.5800,1.5800,47940
CFPT2007,20200721,1.5200,1.5700,1.5200,1.5400,56600
CFPT2007,20200722,1.6000,1.6000,1.5000,1.5000,73040
CFPT2007,20200723,1.5100,1.5100,1.4800,1.5100,46720
CFPT2007,20200724,1.5000,1.5000,1.3500,1.3500,62140
CFPT2007,20200727,1.1800,1.2000,1.1000,1.1000,64560
CFPT2007,20200728,1.0700,1.1500,1.0700,1.1500,44410
CFPT2007,20200729,1.1000,1.1000,1.0100,1.0300,50780
CFPT2007,20200730,1.0800,1.1300,1.0600,1.1300,56000
CFPT2007,20200731,1.0100,1.1400,1.0100,1.0600,181490
CFPT2007,20200803,1.0300,1.1000,1.0300,1.1000,152120
CFPT2007,20200804,1.1700,1.2200,1.1700,1.2000,121910
CFPT2007,20200805,1.2000,1.2900,1.2000,1.2700,134200
CFPT2007,20200806,1.2600,1.2600,1.2200,1.2400,211250
CFPT2007,20200807,1.2400,1.3200,1.2400,1.2700,323270
CFPT2007,20200810,1.2800,1.3000,1.2600,1.2600,170380
CFPT2007,20200811,1.1500,1.2600,1.1500,1.2500,188780
CFPT2007,20200812,1.2900,1.2900,1.2000,1.2900,375560
CFPT2007,20200813,1.2900,1.3500,1.2900,1.3300,177300
CFPT2007,20200814,1.3700,1.3700,1.3000,1.3200,91830
CFPT2007,20200817,1.2400,1.3100,1.2200,1.2800,70230
CFPT2007,20200818,1.3000,1.3300,1.2800,1.3000,131380
CFPT2007,20200819,1.3000,1.3400,1.2900,1.3000,85840
CFPT2007,20200820,1.3000,1.3500,1.3000,1.3100,111420
CFPT2007,20200821,1.3400,1.3500,1.3100,1.3500,167820
CFPT2007,20200824,1.3800,1.5200,1.3800,1.5200,153980
CFPT2007,20200825,1.5500,1.5900,1.5200,1.5200,183920
CFPT2007,20200826,1.5500,1.5500,1.4900,1.5200,202270
CFPT2007,20200827,1.5200,1.7200,1.5000,1.7200,226690
CFPT2007,20200828,1.8000,1.9200,1.8000,1.8200,444100
CFPT2007,20200831,1.9200,1.9200,1.6700,1.6700,226470
CFPT2007,20200901,1.6700,1.8100,1.6500,1.8000,68750
CFPT2007,20200903,1.8000,1.8400,1.7300,1.7500,160040
CFPT2007,20200904,1.7300,1.7300,1.6600,1.6800,68170
CFPT2007,20200907,1.6900,1.7000,1.6000,1.6000,73440
CFPT2007,20200908,1.5700,1.5800,1.4500,1.5800,287690
CFPT2007,20200909,1.4700,1.5800,1.4600,1.5800,113010
CFPT2007,20200910,1.6400,1.6400,1.5500,1.5500,69350
CFPT2007,20200911,1.5500,1.5500,1.4500,1.5000,106920
CFPT2007,20200914,1.5000,1.5400,1.5000,1.5400,84610
CFPT2007,20200915,1.5600,1.6100,1.5600,1.6100,28360
CFPT2007,20200916,1.6400,1.7500,1.6400,1.6800,52800
CFPT2007,20200917,1.6800,1.6800,1.6000,1.6800,32290
CFPT2007,20200918,1.6700,1.9000,1.6000,1.8200,108880
CFPT2007,20200921,1.8200,1.8500,1.8000,1.8000,129730
CFPT2007,20200922,1.8200,1.8200,1.7500,1.8000,53150
CFPT2007,20200923,1.8700,1.8700,1.7600,1.8000,37030
CFPT2007,20200924,1.7500,1.7500,1.7000,1.7500,38010
CFPT2007,20200925,1.7000,1.7500,1.7000,1.7500,15100
CFPT2007,20200928,1.7500,1.7700,1.7000,1.7700,46480
CFPT2007,20200929,1.7800,1.7800,1.6500,1.6700,61810
CFPT2007,20200930,1.6700,1.6700,1.6100,1.6500,6100
CFPT2007,20201001,1.6700,1.6800,1.6000,1.6400,49800
CFPT2007,20201002,1.7000,1.7600,1.6400,1.6400,62310
CFPT2007,20201005,1.6600,1.6600,1.6000,1.6500,24240
CFPT2007,20201006,1.6500,1.6800,1.6000,1.6800,15320
CFPT2007,20201007,1.6100,1.6500,1.6100,1.6500,12290
CFPT2007,20201008,1.7200,1.8000,1.6000,1.8000,74050
CFPT2007,20201009,1.7100,1.7300,1.7100,1.7100,9550
CFPT2007,20201012,1.8300,1.8300,1.6900,1.6900,4800
CFPT2007,20201013,1.7500,1.7500,1.6700,1.6700,10750
CFPT2007,20201014,1.7100,1.7100,1.6600,1.7000,70480
CFPT2007,20201015,1.8000,1.8000,1.7000,1.7000,13840
CFPT2007,20201016,1.7500,2.1000,1.7500,2.1000,49870
CFPT2007,20201019,2.7900,2.7900,2.1500,2.1500,16600
CFPT2007,20201020,2.2000,2.6500,2.1000,2.1400,35070
CFPT2007,20201021,2.0000,2.1500,2.0000,2.0500,6510
CFPT2007,20201022,2.1400,2.1400,2.1400,2.1400,0
CFPT2007,20201023,2.1400,2.1400,2.1400,2.1400,0
CFPT2007,20201026,2.1400,2.1400,2.1400,2.1400,0
CFPT2007,20201027,2.1400,2.1400,2.1400,2.1400,0
CFPT2007,20201028,2.1400,2.1400,2.1400,2.1400,0
CFPT2007,20201029,2.1400,2.1400,2.1400,2.1400,0
CFPT2007,20201030,2.1400,2.1400,2.1400,2.1400,0
CFPT2007,20201102,2.1400,2.1400,2.1400,2.1400,0
