<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
CH5,20170614,19.1885,19.1885,19.1885,19.1885,0
CH5,20170615,19.1885,19.1885,19.1885,19.1885,0
CH5,20170616,19.1885,19.1885,19.1885,19.1885,0
CH5,20170619,19.1885,19.1885,19.1885,19.1885,0
CH5,20170620,19.1885,19.1885,19.1885,19.1885,0
CH5,20170621,19.1885,19.1885,19.1885,19.1885,0
CH5,20170622,19.1885,19.1885,19.1885,19.1885,0
CH5,20170623,19.1885,19.1885,19.1885,19.1885,0
CH5,20170626,19.1885,19.1885,19.1885,19.1885,0
CH5,20170627,19.1885,19.1885,19.1885,19.1885,0
CH5,20170628,19.1885,19.1885,19.1885,19.1885,0
CH5,20170629,19.1885,19.1885,19.1885,19.1885,0
CH5,20170630,19.1885,19.1885,19.1885,19.1885,0
CH5,20170703,19.1885,19.1885,19.1885,19.1885,0
CH5,20170704,19.1885,19.1885,19.1885,19.1885,0
CH5,20170705,19.1885,19.1885,19.1885,19.1885,0
CH5,20170706,19.1885,19.1885,19.1885,19.1885,0
CH5,20170707,19.1885,19.1885,19.1885,19.1885,0
CH5,20170710,19.1885,19.1885,19.1885,19.1885,0
CH5,20170711,19.1885,19.1885,19.1885,19.1885,0
CH5,20170712,19.1885,19.1885,19.1885,19.1885,0
CH5,20170713,19.1885,19.1885,19.1885,19.1885,0
CH5,20170714,19.1885,19.1885,19.1885,19.1885,0
CH5,20170717,19.1885,19.1885,19.1885,19.1885,0
CH5,20170718,19.1885,19.1885,19.1885,19.1885,0
CH5,20170719,19.1885,19.1885,19.1885,19.1885,0
CH5,20170720,19.1885,19.1885,19.1885,19.1885,0
CH5,20170721,19.1885,19.1885,19.1885,19.1885,0
CH5,20170724,19.1885,19.1885,19.1885,19.1885,0
CH5,20170725,19.1885,19.1885,19.1885,19.1885,0
CH5,20170726,19.1885,19.1885,19.1885,19.1885,0
CH5,20170727,19.1885,19.1885,19.1885,19.1885,0
CH5,20170728,19.1885,19.1885,19.1885,19.1885,0
CH5,20170731,19.1885,19.1885,19.1885,19.1885,0
CH5,20170801,19.1885,19.1885,19.1885,19.1885,0
CH5,20170802,19.1885,19.1885,19.1885,19.1885,0
CH5,20170803,19.1885,19.1885,19.1885,19.1885,0
CH5,20170804,19.1885,19.1885,19.1885,19.1885,0
CH5,20170807,19.1885,19.1885,19.1885,19.1885,0
CH5,20170808,19.1885,19.1885,19.1885,19.1885,0
CH5,20170809,19.1885,19.1885,19.1885,19.1885,0
CH5,20170810,19.1885,19.1885,19.1885,19.1885,0
CH5,20170811,19.1885,19.1885,19.1885,19.1885,0
CH5,20170814,19.1885,19.1885,19.1885,19.1885,0
CH5,20170815,19.1885,19.1885,19.1885,19.1885,0
CH5,20170816,19.1885,19.1885,19.1885,19.1885,0
CH5,20170817,19.1885,19.1885,19.1885,19.1885,0
CH5,20170818,19.1885,19.1885,19.1885,19.1885,0
CH5,20170821,19.1885,19.1885,19.1885,19.1885,0
CH5,20170822,19.1885,19.1885,19.1885,19.1885,0
CH5,20170823,19.1885,19.1885,19.1885,19.1885,0
CH5,20170824,19.1885,19.1885,19.1885,19.1885,0
CH5,20170825,19.1885,19.1885,19.1885,19.1885,0
CH5,20170828,19.1885,19.1885,19.1885,19.1885,0
CH5,20170829,19.1885,19.1885,19.1885,19.1885,0
CH5,20170830,19.1885,19.1885,19.1885,19.1885,0
CH5,20170831,19.1885,19.1885,19.1885,19.1885,0
CH5,20170901,19.1885,19.1885,19.1885,19.1885,0
CH5,20170905,19.1885,19.1885,19.1885,19.1885,0
CH5,20170906,19.1885,19.1885,19.1885,19.1885,0
CH5,20170907,19.1885,19.1885,19.1885,19.1885,0
CH5,20170908,19.1885,19.1885,19.1885,19.1885,0
CH5,20170911,19.1885,19.1885,19.1885,19.1885,0
CH5,20170912,19.1885,19.1885,19.1885,19.1885,0
CH5,20170913,19.1885,19.1885,19.1885,19.1885,0
CH5,20170914,19.1885,19.1885,19.1885,19.1885,0
CH5,20170915,19.1885,19.1885,19.1885,19.1885,0
CH5,20170918,19.1885,19.1885,19.1885,19.1885,0
CH5,20170919,19.1885,19.1885,19.1885,19.1885,0
CH5,20170920,19.1885,19.1885,19.1885,19.1885,0
CH5,20170921,19.1885,19.1885,19.1885,19.1885,0
CH5,20170922,19.1885,19.1885,19.1885,19.1885,0
CH5,20170925,19.1885,19.1885,19.1885,19.1885,0
CH5,20170926,19.1885,19.1885,19.1885,19.1885,0
CH5,20170927,19.1885,19.1885,19.1885,19.1885,0
CH5,20170928,19.1885,19.1885,19.1885,19.1885,0
CH5,20170929,19.1885,19.1885,19.1885,19.1885,0
CH5,20171002,19.1885,19.1885,19.1885,19.1885,0
CH5,20171003,19.1885,19.1885,19.1885,19.1885,0
CH5,20171004,19.1885,19.1885,19.1885,19.1885,0
CH5,20171005,19.1885,19.1885,19.1885,19.1885,0
CH5,20171006,19.1885,19.1885,19.1885,19.1885,0
CH5,20171009,19.1885,19.1885,19.1885,19.1885,0
CH5,20171010,19.1885,19.1885,19.1885,19.1885,0
CH5,20171011,19.1885,19.1885,19.1885,19.1885,0
CH5,20171012,19.1885,19.1885,19.1885,19.1885,0
CH5,20171013,19.1885,19.1885,19.1885,19.1885,0
CH5,20171016,19.1885,19.1885,19.1885,19.1885,0
CH5,20171017,19.1885,19.1885,19.1885,19.1885,0
CH5,20171018,19.1885,19.1885,19.1885,19.1885,0
CH5,20171019,19.1885,19.1885,19.1885,19.1885,0
CH5,20171020,19.1885,19.1885,19.1885,19.1885,0
CH5,20171023,19.1885,19.1885,19.1885,19.1885,0
CH5,20171024,19.1885,19.1885,19.1885,19.1885,0
CH5,20171025,19.1885,19.1885,19.1885,19.1885,0
CH5,20171026,19.1885,19.1885,19.1885,19.1885,0
CH5,20171027,19.1885,19.1885,19.1885,19.1885,0
CH5,20171030,19.1885,19.1885,19.1885,19.1885,0
CH5,20171031,19.1885,19.1885,19.1885,19.1885,0
CH5,20171101,19.1885,19.1885,19.1885,19.1885,0
CH5,20171102,19.1885,19.1885,19.1885,19.1885,0
CH5,20171103,19.1885,19.1885,19.1885,19.1885,0
CH5,20171106,19.1885,19.1885,19.1885,19.1885,0
CH5,20171107,19.1885,19.1885,19.1885,19.1885,0
CH5,20171108,19.1885,19.1885,19.1885,19.1885,0
CH5,20171109,19.1885,19.1885,19.1885,19.1885,0
CH5,20171110,19.1885,19.1885,19.1885,19.1885,0
CH5,20171113,19.1885,19.1885,19.1885,19.1885,0
CH5,20171114,19.1885,19.1885,19.1885,19.1885,0
CH5,20171115,19.1885,19.1885,19.1885,19.1885,0
CH5,20171116,19.1885,19.1885,19.1885,19.1885,0
CH5,20171117,19.1885,19.1885,19.1885,19.1885,0
CH5,20171120,19.1885,19.1885,19.1885,19.1885,0
CH5,20171121,19.1885,19.1885,19.1885,19.1885,0
CH5,20171122,19.1885,19.1885,19.1885,19.1885,0
CH5,20171123,19.1885,19.1885,19.1885,19.1885,0
CH5,20171124,19.1885,19.1885,19.1885,19.1885,0
CH5,20171127,19.1885,19.1885,19.1885,19.1885,0
CH5,20171128,19.1885,19.1885,19.1885,19.1885,0
CH5,20171129,19.1885,19.1885,19.1885,19.1885,0
CH5,20171130,19.1885,19.1885,19.1885,19.1885,0
CH5,20171201,19.1885,19.1885,19.1885,19.1885,0
CH5,20171204,19.1885,19.1885,19.1885,19.1885,0
CH5,20171205,19.1885,19.1885,19.1885,19.1885,0
CH5,20171206,19.1885,19.1885,19.1885,19.1885,0
CH5,20171207,19.1885,19.1885,19.1885,19.1885,0
CH5,20171208,19.1885,19.1885,19.1885,19.1885,0
CH5,20171211,19.1885,19.1885,19.1885,19.1885,0
CH5,20171212,19.1885,19.1885,19.1885,19.1885,0
CH5,20171213,19.1885,19.1885,19.1885,19.1885,0
CH5,20171214,19.1885,19.1885,19.1885,19.1885,0
CH5,20171215,19.1885,19.1885,19.1885,19.1885,0
CH5,20171218,19.1885,19.1885,19.1885,19.1885,0
CH5,20171219,19.1885,19.1885,19.1885,19.1885,0
CH5,20171220,19.1885,19.1885,19.1885,19.1885,0
CH5,20171221,19.1885,19.1885,19.1885,19.1885,0
CH5,20171222,19.1885,19.1885,19.1885,19.1885,0
CH5,20171225,19.1885,19.1885,19.1885,19.1885,0
CH5,20171226,19.1885,19.1885,19.1885,19.1885,0
CH5,20171227,19.1885,19.1885,19.1885,19.1885,0
CH5,20171228,19.1885,19.1885,19.1885,19.1885,0
CH5,20171229,19.1885,19.1885,19.1885,19.1885,0
CH5,20180102,19.1885,19.1885,19.1885,19.1885,0
CH5,20180103,19.1885,19.1885,19.1885,19.1885,0
CH5,20180104,19.1885,19.1885,19.1885,19.1885,0
CH5,20180105,19.1885,19.1885,19.1885,19.1885,0
CH5,20180108,19.1885,19.1885,19.1885,19.1885,0
CH5,20180109,19.1885,19.1885,19.1885,19.1885,0
CH5,20180110,19.1885,19.1885,19.1885,19.1885,0
CH5,20180111,19.1885,19.1885,19.1885,19.1885,0
CH5,20180112,19.1885,19.1885,19.1885,19.1885,0
CH5,20180115,19.1885,19.1885,19.1885,19.1885,0
CH5,20180116,19.1885,19.1885,19.1885,19.1885,0
CH5,20180117,19.1885,19.1885,19.1885,19.1885,0
CH5,20180118,19.1885,19.1885,19.1885,19.1885,0
CH5,20180119,19.1885,19.1885,19.1885,19.1885,0
CH5,20180122,19.1885,19.1885,19.1885,19.1885,0
CH5,20180123,19.1885,19.1885,19.1885,19.1885,0
CH5,20180124,19.1885,19.1885,19.1885,19.1885,0
CH5,20180125,19.1885,19.1885,19.1885,19.1885,0
CH5,20180126,19.1885,19.1885,19.1885,19.1885,0
CH5,20180129,19.1885,19.1885,19.1885,19.1885,0
CH5,20180130,19.1885,19.1885,19.1885,19.1885,0
CH5,20180131,19.1885,19.1885,19.1885,19.1885,0
CH5,20180201,19.1885,19.1885,19.1885,19.1885,0
CH5,20180202,19.1885,19.1885,19.1885,19.1885,0
CH5,20180205,19.1885,19.1885,19.1885,19.1885,0
CH5,20180206,19.1885,19.1885,19.1885,19.1885,0
CH5,20180207,19.1885,19.1885,19.1885,19.1885,0
CH5,20180208,19.1885,19.1885,19.1885,19.1885,0
CH5,20180209,19.1885,19.1885,19.1885,19.1885,0
CH5,20180212,19.1885,19.1885,19.1885,19.1885,0
CH5,20180213,19.1885,19.1885,19.1885,19.1885,0
CH5,20180221,19.1885,19.1885,19.1885,19.1885,0
CH5,20180222,19.1885,19.1885,19.1885,19.1885,0
CH5,20180223,19.1885,19.1885,19.1885,19.1885,0
CH5,20180226,19.1885,19.1885,19.1885,19.1885,0
CH5,20180227,19.1885,19.1885,19.1885,19.1885,0
CH5,20180228,19.1885,19.1885,19.1885,19.1885,0
CH5,20180301,19.1885,19.1885,19.1885,19.1885,0
CH5,20180302,19.1885,19.1885,19.1885,19.1885,0
CH5,20180305,19.1885,19.1885,19.1885,19.1885,0
CH5,20180306,19.1885,19.1885,19.1885,19.1885,0
CH5,20180307,19.1885,19.1885,19.1885,19.1885,0
CH5,20180308,19.1885,19.1885,19.1885,19.1885,0
CH5,20180309,19.1885,19.1885,19.1885,19.1885,0
CH5,20180312,19.1885,19.1885,19.1885,19.1885,0
CH5,20180313,19.1885,19.1885,19.1885,19.1885,0
CH5,20180314,19.1885,19.1885,19.1885,19.1885,0
CH5,20180315,19.1885,19.1885,19.1885,19.1885,0
CH5,20180316,19.1885,19.1885,19.1885,19.1885,0
CH5,20180319,19.1885,19.1885,19.1885,19.1885,0
CH5,20180320,19.1885,19.1885,19.1885,19.1885,0
CH5,20180321,19.1885,19.1885,19.1885,19.1885,0
CH5,20180322,19.1885,19.1885,19.1885,19.1885,0
CH5,20180323,19.1885,19.1885,19.1885,19.1885,0
CH5,20180326,19.1885,19.1885,19.1885,19.1885,0
CH5,20180327,19.1885,19.1885,19.1885,19.1885,0
CH5,20180328,19.1885,19.1885,19.1885,19.1885,0
CH5,20180329,19.1885,19.1885,19.1885,19.1885,0
CH5,20180330,19.1885,19.1885,19.1885,19.1885,0
CH5,20180402,19.1885,19.1885,19.1885,19.1885,0
CH5,20180403,19.1885,19.1885,19.1885,19.1885,0
CH5,20180404,19.1885,19.1885,19.1885,19.1885,0
CH5,20180405,19.1885,19.1885,19.1885,19.1885,0
CH5,20180406,19.1885,19.1885,19.1885,19.1885,0
CH5,20180409,19.1885,19.1885,19.1885,19.1885,0
CH5,20180410,19.1885,19.1885,19.1885,19.1885,0
CH5,20180411,19.1885,19.1885,19.1885,19.1885,0
CH5,20180412,19.1885,19.1885,19.1885,19.1885,0
CH5,20180413,19.1885,19.1885,19.1885,19.1885,0
CH5,20180416,19.1885,19.1885,19.1885,19.1885,0
