<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
CHC,20170216,4.9500,4.9500,4.9500,4.9500,0
CHC,20170217,4.9500,4.9500,4.9500,4.9500,0
CHC,20170220,4.9500,4.9500,4.9500,4.9500,0
CHC,20170221,4.9500,4.9500,4.9500,4.9500,0
CHC,20170222,4.9500,4.9500,4.9500,4.9500,0
CHC,20170223,4.9500,4.9500,4.9500,4.9500,0
CHC,20170224,4.9500,4.9500,4.9500,4.9500,0
CHC,20170227,4.9500,4.9500,4.9500,4.9500,0
CHC,20170228,4.9500,4.9500,4.9500,4.9500,0
CHC,20170301,4.9500,4.9500,4.9500,4.9500,0
CHC,20170302,4.9500,4.9500,4.9500,4.9500,0
CHC,20170303,4.9500,4.9500,4.9500,4.9500,0
CHC,20170306,4.9500,4.9500,4.9500,4.9500,0
CHC,20170307,4.9500,4.9500,4.9500,4.9500,0
CHC,20170308,4.9500,4.9500,4.9500,4.9500,0
CHC,20170309,4.9500,4.9500,4.9500,4.9500,0
CHC,20170310,4.9500,4.9500,4.9500,4.9500,0
CHC,20170313,4.9500,4.9500,4.9500,4.9500,0
CHC,20170314,4.9500,4.9500,4.9500,4.9500,0
CHC,20170315,4.9500,4.9500,4.9500,4.9500,0
CHC,20170316,4.9500,4.9500,4.9500,4.9500,0
CHC,20170317,4.9500,4.9500,4.9500,4.9500,0
CHC,20170320,4.9500,4.9500,4.9500,4.9500,0
CHC,20170321,4.9500,4.9500,4.9500,4.9500,0
CHC,20170322,4.9500,4.9500,4.9500,4.9500,0
CHC,20170323,4.9500,4.9500,4.9500,4.9500,0
CHC,20170324,4.9500,4.9500,4.9500,4.9500,0
CHC,20170327,4.9500,4.9500,4.9500,4.9500,0
CHC,20170328,4.9500,4.9500,4.9500,4.9500,0
CHC,20170329,4.9500,4.9500,4.9500,4.9500,0
CHC,20170330,4.9500,4.9500,4.9500,4.9500,0
CHC,20170331,4.9500,4.9500,4.9500,4.9500,0
CHC,20170403,4.9500,4.9500,4.9500,4.9500,0
CHC,20170404,4.9500,4.9500,4.9500,4.9500,0
CHC,20170405,4.9500,4.9500,4.9500,4.9500,0
CHC,20170407,4.9500,4.9500,4.9500,4.9500,0
CHC,20170410,4.9500,4.9500,4.9500,4.9500,0
CHC,20170411,4.9500,4.9500,4.9500,4.9500,0
CHC,20170412,4.9500,4.9500,4.9500,4.9500,0
CHC,20170413,4.9500,4.9500,4.9500,4.9500,0
CHC,20170414,4.9500,4.9500,4.9500,4.9500,0
CHC,20170417,4.9500,4.9500,4.9500,4.9500,0
CHC,20170418,4.9500,4.9500,4.9500,4.9500,0
CHC,20170419,4.9500,4.9500,4.9500,4.9500,0
CHC,20170420,4.9500,4.9500,4.9500,4.9500,0
CHC,20170421,4.9500,4.9500,4.9500,4.9500,0
CHC,20170424,4.9500,4.9500,4.9500,4.9500,0
CHC,20170425,4.9500,4.9500,4.9500,4.9500,0
CHC,20170426,4.9500,4.9500,4.9500,4.9500,0
CHC,20170427,4.9500,4.9500,4.9500,4.9500,0
CHC,20170428,4.9500,4.9500,4.9500,4.9500,0
CHC,20170503,4.9500,4.9500,4.9500,4.9500,0
CHC,20170504,4.9500,4.9500,4.9500,4.9500,0
CHC,20170505,4.9500,4.9500,4.9500,4.9500,0
CHC,20170508,4.9500,4.9500,4.9500,4.9500,0
CHC,20170509,4.9500,4.9500,4.9500,4.9500,0
CHC,20170510,4.9500,4.9500,4.9500,4.9500,0
CHC,20170511,4.9500,4.9500,4.9500,4.9500,0
CHC,20170512,4.9500,4.9500,4.9500,4.9500,0
CHC,20170515,4.9500,4.9500,4.9500,4.9500,0
CHC,20170516,4.9500,4.9500,4.9500,4.9500,0
CHC,20170517,4.9500,4.9500,4.9500,4.9500,0
CHC,20170518,4.9500,4.9500,4.9500,4.9500,0
CHC,20170519,4.9500,4.9500,4.9500,4.9500,0
