<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
CHDB2007,20200820,1.0900,1.0900,1.0900,1.0900,0
CHDB2007,20200821,1.0900,1.0900,1.0900,1.0900,0
CHDB2007,20200824,1.1000,1.1400,1.0800,1.1400,4780
CHDB2007,20200825,1.0000,1.2000,1.0000,1.1200,272270
CHDB2007,20200826,1.0700,1.0700,1.0500,1.0500,800
CHDB2007,20200827,1.0800,1.0800,1.0500,1.0500,3650
CHDB2007,20200828,1.0900,1.0900,1.0900,1.0900,18750
CHDB2007,20200831,1.0500,1.0600,1.0500,1.0600,13090
CHDB2007,20200901,1.1000,1.1000,1.0600,1.1000,7110
CHDB2007,20200903,1.2000,1.2100,1.1400,1.1400,10730
CHDB2007,20200904,1.2400,1.2900,1.2300,1.2700,226420
CHDB2007,20200907,1.3500,1.3500,1.1800,1.2000,219100
CHDB2007,20200908,1.1700,1.1700,1.0800,1.1000,54390
CHDB2007,20200909,1.1000,1.2000,1.1000,1.2000,56140
CHDB2007,20200910,1.2000,1.2200,1.1800,1.1800,31500
CHDB2007,20200911,1.1800,1.4000,1.1800,1.3000,25750
CHDB2007,20200914,1.3000,1.3500,1.3000,1.3300,7880
CHDB2007,20200915,1.2500,1.2900,1.2500,1.2900,25000
CHDB2007,20200916,1.2500,1.2500,1.2000,1.2100,46700
CHDB2007,20200917,1.1700,1.2200,1.1500,1.1500,28420
CHDB2007,20200918,1.2200,1.2300,1.1600,1.2200,26810
CHDB2007,20200921,1.2700,1.3600,1.2700,1.3400,79380
CHDB2007,20200922,1.3400,1.3500,1.2800,1.3400,269100
CHDB2007,20200923,1.4000,1.4500,1.3000,1.4000,175830
CHDB2007,20200924,1.3200,1.3500,1.3000,1.3400,151720
CHDB2007,20200925,1.3500,1.3600,1.2400,1.3300,434110
CHDB2007,20200928,1.4000,1.4000,1.3700,1.3700,42130
CHDB2007,20200929,1.3800,1.4600,1.3500,1.3800,157690
CHDB2007,20200930,1.3900,1.3900,1.3200,1.3800,604760
CHDB2007,20201001,1.5000,1.5500,1.4900,1.5200,268880
CHDB2007,20201002,1.5200,1.5400,1.4600,1.4600,196400
CHDB2007,20201005,1.5000,1.5200,1.4700,1.5200,217360
CHDB2007,20201006,1.5200,1.5300,1.4400,1.4900,293600
CHDB2007,20201007,1.4400,1.4900,1.4100,1.4700,59740
CHDB2007,20201008,1.4500,1.4500,1.3700,1.4400,154330
CHDB2007,20201009,1.4400,1.4500,1.4300,1.4300,105810
CHDB2007,20201012,1.4400,1.4400,1.3600,1.3800,181170
CHDB2007,20201013,1.3800,1.3800,1.3000,1.3200,138770
CHDB2007,20201014,1.3000,1.3800,1.2700,1.3500,92280
CHDB2007,20201015,1.3500,1.4000,1.3200,1.3700,273600
CHDB2007,20201016,1.4100,1.4800,1.4000,1.4500,225580
CHDB2007,20201019,1.4600,1.4600,1.3900,1.4300,223010
CHDB2007,20201020,1.4200,1.6000,1.4200,1.5200,374590
CHDB2007,20201021,1.5400,1.6400,1.5000,1.5300,335040
CHDB2007,20201022,1.4500,1.5500,1.4400,1.4900,265100
CHDB2007,20201023,1.5100,1.5400,1.4600,1.5400,255840
CHDB2007,20201026,1.5400,1.5400,1.4800,1.4800,468590
CHDB2007,20201027,1.4500,1.4600,1.3900,1.4300,281750
