<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
CHPG2024,20201029,3.0000,3.2000,2.8800,3.0800,20850
CHPG2024,20201030,3.1000,3.1000,2.9000,2.9000,20430
CHPG2024,20201102,2.9500,3.0300,2.9400,3.0300,16400
CHPG2024,20201103,3.0000,3.1900,3.0000,3.1400,52440
CHPG2024,20201104,3.1400,3.1400,3.1400,3.1400,0
CHPG2024,20201105,3.1400,3.1400,3.1400,3.1400,0
CHPG2024,20201106,3.1400,3.1400,3.1400,3.1400,0
CHPG2024,20201109,2.9700,3.2000,2.9700,3.2000,29080
CHPG2024,20201110,3.4500,3.4500,3.2000,3.2000,68710
CHPG2024,20201111,3.1800,3.2700,3.1800,3.2200,14260
CHPG2024,20201112,3.2200,3.2200,3.1800,3.1800,6880
CHPG2024,20201113,3.3100,3.3500,3.3100,3.3500,40390
CHPG2024,20201116,3.5000,3.7500,3.5000,3.7500,49080
CHPG2024,20201117,3.6500,4.8700,3.6500,4.8700,20340
CHPG2024,20201118,4.8700,4.8700,4.0700,4.5000,40910
CHPG2024,20201119,4.5700,4.7800,4.5700,4.7200,16600
CHPG2024,20201120,4.8000,5.0000,4.6500,5.0000,27530
CHPG2024,20201123,4.9000,6.0000,4.8000,6.0000,48990
CHPG2024,20201124,6.0500,6.3000,5.7000,6.3000,39410
CHPG2024,20201125,5.4000,6.3000,5.2600,5.4600,4040
CHPG2024,20201126,5.3000,6.5000,4.3000,6.5000,40290
CHPG2024,20201127,6.4900,6.4900,5.5000,5.7000,33310
CHPG2024,20201130,5.8000,5.8000,5.6000,5.6000,5640
CHPG2024,20201201,4.4500,6.5000,4.4500,4.9000,20960
CHPG2024,20201202,5.8000,5.8000,4.8200,4.8500,9700
CHPG2024,20201203,4.7800,5.9000,4.7800,5.9000,15460
CHPG2024,20201204,5.5000,5.8000,5.3000,5.5000,14640
CHPG2024,20201207,5.5000,5.8000,5.3000,5.8000,23790
CHPG2024,20201208,6.1500,6.1500,5.8000,5.8000,44220
CHPG2024,20201209,5.9000,6.1500,5.7500,5.7500,43790
CHPG2024,20201210,5.7500,5.7500,5.7000,5.7300,13740
CHPG2024,20201211,5.7000,5.9000,5.7000,5.9000,42200
CHPG2024,20201214,6.2000,6.4000,6.2000,6.4000,12610
CHPG2024,20201215,6.4000,6.4000,6.1500,6.1700,5920
CHPG2024,20201216,5.2000,6.2000,5.2000,6.2000,17520
CHPG2024,20201217,6.0000,6.0000,5.9000,5.9000,9510
CHPG2024,20201218,6.0000,6.1000,5.9000,6.1000,7920
CHPG2024,20201221,6.5000,6.5000,5.9500,6.0000,36020
CHPG2024,20201222,6.0000,6.2800,5.9000,6.2800,40260
CHPG2024,20201223,6.3000,7.1000,6.2900,6.7000,24850
CHPG2024,20201224,6.7000,6.7400,6.5000,6.6500,12890
CHPG2024,20201225,6.7000,7.2000,6.6000,7.0000,23900
CHPG2024,20201228,7.5000,7.8500,7.3000,7.8500,17970
CHPG2024,20201229,7.9000,7.9000,7.8000,7.8000,2620
CHPG2024,20201230,7.7000,7.7000,7.2000,7.2000,11110
CHPG2024,20201231,7.2000,7.9000,7.2000,7.9000,9530
CHPG2024,20210104,7.9000,8.2000,7.9000,8.2000,92600
CHPG2024,20210105,7.9000,8.4000,7.9000,8.4000,75300
CHPG2024,20210106,8.4000,8.4300,8.2000,8.4300,64000
CHPG2024,20210107,8.4300,8.4300,7.9000,8.4000,24800
CHPG2024,20210108,8.4000,8.5000,8.2500,8.2500,18300
CHPG2024,20210111,8.2500,8.5000,8.2000,8.3000,27600
CHPG2024,20210112,8.3200,9.0000,8.3200,9.0000,116800
CHPG2024,20210113,9.5000,9.6500,8.9000,8.9000,35000
CHPG2024,20210114,8.9000,8.9000,8.4000,8.4000,47900
CHPG2024,20210115,9.0000,9.4000,9.0000,9.1000,182200
CHPG2024,20210118,9.1000,9.3300,8.9000,9.3300,106000
CHPG2024,20210119,9.3300,9.3300,8.4000,8.7000,63200
CHPG2024,20210120,8.2000,8.7000,7.5000,8.7000,110100
CHPG2024,20210121,8.5000,10.0000,8.5000,9.8700,580700
