<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
CI5,20110701,14.1000,14.1000,14.1000,14.1000,0
CI5,20110704,14.1000,14.1000,14.1000,14.1000,0
CI5,20110705,14.1000,14.1000,14.1000,14.1000,0
CI5,20110706,14.1000,14.1000,14.1000,14.1000,0
CI5,20110707,14.1000,14.1000,14.1000,14.1000,0
CI5,20110708,14.1000,14.1000,14.1000,14.1000,0
CI5,20110711,14.1000,14.1000,14.1000,14.1000,0
CI5,20110712,14.1000,14.1000,14.1000,14.1000,0
CI5,20110713,14.1000,14.1000,14.1000,14.1000,0
CI5,20110714,14.1000,14.1000,14.1000,14.1000,0
CI5,20110715,14.1000,14.1000,14.1000,14.1000,0
CI5,20110718,14.1000,14.1000,14.1000,14.1000,0
CI5,20110719,14.1000,14.1000,14.1000,14.1000,0
CI5,20110720,14.1000,14.1000,14.1000,14.1000,0
CI5,20110721,14.1000,14.1000,14.1000,14.1000,0
CI5,20110722,14.1000,14.1000,14.1000,14.1000,0
CI5,20110725,14.1000,14.1000,14.1000,14.1000,0
CI5,20110726,14.1000,14.1000,14.1000,14.1000,0
CI5,20110727,14.1000,14.1000,14.1000,14.1000,0
CI5,20110728,14.1000,14.1000,14.1000,14.1000,0
CI5,20110729,14.1000,14.1000,14.1000,14.1000,0
CI5,20110801,14.1000,14.1000,14.1000,14.1000,0
CI5,20110802,14.1000,14.1000,14.1000,14.1000,0
CI5,20110803,14.1000,14.1000,14.1000,14.1000,0
CI5,20110804,14.1000,14.1000,14.1000,14.1000,0
CI5,20110805,14.1000,14.1000,14.1000,14.1000,0
CI5,20110808,14.1000,14.1000,14.1000,14.1000,0
CI5,20110809,14.1000,14.1000,14.1000,14.1000,0
CI5,20110810,14.1000,14.1000,14.1000,14.1000,0
CI5,20110811,14.1000,14.1000,14.1000,14.1000,0
CI5,20110812,14.1000,14.1000,14.1000,14.1000,0
CI5,20110815,14.1000,14.1000,14.1000,14.1000,0
CI5,20110816,14.1000,14.1000,14.1000,14.1000,0
CI5,20110817,14.1000,14.1000,14.1000,14.1000,0
CI5,20110818,14.1000,14.1000,14.1000,14.1000,0
CI5,20110819,14.1000,14.1000,14.1000,14.1000,0
CI5,20110822,14.1000,14.1000,14.1000,14.1000,0
CI5,20110823,14.1000,14.1000,14.1000,14.1000,0
CI5,20110824,14.1000,14.1000,14.1000,14.1000,0
CI5,20110825,14.1000,14.1000,14.1000,14.1000,0
CI5,20110826,14.1000,14.1000,14.1000,14.1000,0
CI5,20110829,14.1000,14.1000,14.1000,14.1000,0
CI5,20110830,14.1000,14.1000,14.1000,14.1000,0
CI5,20110831,14.1000,14.1000,14.1000,14.1000,0
CI5,20110901,14.1000,14.1000,14.1000,14.1000,0
CI5,20110905,14.1000,14.1000,14.1000,14.1000,0
CI5,20110906,14.1000,14.1000,14.1000,14.1000,0
CI5,20110907,14.1000,14.1000,14.1000,14.1000,0
CI5,20110908,14.1000,14.1000,14.1000,14.1000,0
CI5,20110909,14.1000,14.1000,14.1000,14.1000,0
CI5,20110912,14.1000,14.1000,14.1000,14.1000,0
CI5,20110913,14.1000,14.1000,14.1000,14.1000,0
CI5,20110914,14.1000,14.1000,14.1000,14.1000,0
CI5,20110915,14.1000,14.1000,14.1000,14.1000,0
CI5,20110916,14.1000,14.1000,14.1000,14.1000,0
CI5,20110919,14.1000,14.1000,14.1000,14.1000,0
CI5,20110920,14.1000,14.1000,14.1000,14.1000,0
CI5,20110921,14.1000,14.1000,14.1000,14.1000,0
CI5,20110922,14.1000,14.1000,14.1000,14.1000,0
CI5,20110923,14.1000,14.1000,14.1000,14.1000,0
CI5,20110926,14.1000,14.1000,14.1000,14.1000,0
CI5,20110927,14.1000,14.1000,14.1000,14.1000,0
CI5,20110928,14.1000,14.1000,14.1000,14.1000,0
CI5,20110929,14.1000,14.1000,14.1000,14.1000,0
CI5,20110930,14.1000,14.1000,14.1000,14.1000,0
CI5,20111003,14.1000,14.1000,14.1000,14.1000,0
CI5,20111004,14.1000,14.1000,14.1000,14.1000,0
CI5,20111005,14.1000,14.1000,14.1000,14.1000,0
CI5,20111006,14.1000,14.1000,14.1000,14.1000,0
CI5,20111007,14.1000,14.1000,14.1000,14.1000,0
CI5,20111010,14.1000,14.1000,14.1000,14.1000,0
CI5,20111011,14.1000,14.1000,14.1000,14.1000,0
CI5,20111012,14.1000,14.1000,14.1000,14.1000,0
CI5,20111013,14.1000,14.1000,14.1000,14.1000,0
CI5,20111014,14.1000,14.1000,14.1000,14.1000,0
CI5,20111017,14.1000,14.1000,14.1000,14.1000,0
CI5,20111018,14.1000,14.1000,14.1000,14.1000,0
CI5,20111019,14.1000,14.1000,14.1000,14.1000,0
CI5,20111020,14.1000,14.1000,14.1000,14.1000,0
CI5,20111021,14.1000,14.1000,14.1000,14.1000,0
CI5,20111024,14.1000,14.1000,14.1000,14.1000,0
CI5,20111025,14.1000,14.1000,14.1000,14.1000,0
CI5,20111026,14.1000,14.1000,14.1000,14.1000,0
CI5,20111027,14.1000,14.1000,14.1000,14.1000,0
CI5,20111028,14.1000,14.1000,14.1000,14.1000,0
CI5,20111031,14.1000,14.1000,14.1000,14.1000,0
CI5,20111101,14.1000,14.1000,14.1000,14.1000,0
CI5,20111102,14.1000,14.1000,14.1000,14.1000,0
CI5,20111103,14.1000,14.1000,14.1000,14.1000,0
CI5,20111104,14.1000,14.1000,14.1000,14.1000,0
CI5,20111107,14.1000,14.1000,14.1000,14.1000,0
CI5,20111108,14.1000,14.1000,14.1000,14.1000,0
CI5,20111109,14.1000,14.1000,14.1000,14.1000,0
CI5,20111110,14.1000,14.1000,14.1000,14.1000,0
