<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
CIA,20171129,58.5000,58.5000,58.5000,58.5000,69700
CIA,20171130,64.3000,64.3000,64.2000,64.3000,476848
CIA,20171201,70.5000,70.7000,64.3000,69.9000,192727
CIA,20171204,71.0000,71.0000,66.0000,66.0000,96200
CIA,20171205,65.2000,65.9000,62.5000,63.5000,290189
CIA,20171206,63.5000,65.8000,63.5000,63.7000,95720
CIA,20171207,63.8000,64.0000,62.5000,63.5000,77700
CIA,20171208,64.0000,64.2000,62.6000,63.0000,81230
CIA,20171211,62.8000,63.0000,60.1000,61.5000,63470
CIA,20171212,61.5000,61.5000,58.0000,59.0000,190800
CIA,20171213,58.9000,60.0000,58.3000,59.5000,21948
CIA,20171214,60.0000,63.0000,60.0000,61.1000,89500
CIA,20171215,61.3000,61.5000,60.4000,61.0000,176347
CIA,20171218,61.1000,62.4000,60.6000,61.0000,149498
CIA,20171219,61.2000,63.0000,61.1000,63.0000,73310
CIA,20171220,63.2000,66.0000,63.0000,65.5000,139720
CIA,20171221,66.0000,66.0000,64.9000,64.9000,74117
CIA,20171222,64.7000,65.2000,64.1000,64.8000,40650
CIA,20171225,64.8000,64.8000,62.5000,62.9000,61000
CIA,20171226,63.5000,64.4000,63.5000,64.0000,26310
CIA,20171227,64.3000,64.5000,63.8000,64.4000,27850
CIA,20171228,64.8000,64.9000,64.0000,64.1000,52948
CIA,20171229,64.3000,64.5000,61.0000,61.0000,70800
CIA,20180102,63.5000,64.0000,62.5000,63.9000,54800
CIA,20180103,63.6000,63.9000,63.0000,63.9000,33740
CIA,20180104,63.5000,63.8000,63.0000,63.8000,37480
CIA,20180105,63.5000,63.6000,63.1000,63.1000,36300
CIA,20180108,63.0000,64.5000,63.0000,64.1000,77980
CIA,20180109,64.5000,66.2000,64.2000,66.2000,72520
CIA,20180110,66.2000,66.2000,65.0000,65.0000,107990
CIA,20180111,65.0000,65.0000,63.0000,63.4000,85142
CIA,20180112,63.4000,64.9000,60.0000,63.4000,190620
CIA,20180115,64.5000,64.9000,63.1000,64.5000,128201
CIA,20180116,65.2000,65.2000,64.0000,64.5000,100800
CIA,20180117,64.5000,64.6000,63.5000,63.9000,80920
CIA,20180118,63.0000,64.3000,63.0000,64.2000,62591
CIA,20180119,64.5000,64.5000,63.0000,63.3000,124730
CIA,20180122,63.3000,63.5000,61.9000,62.5000,131427
CIA,20180123,62.5000,63.5000,61.9000,62.5000,139300
CIA,20180124,62.7000,62.7000,61.5000,62.0000,74800
CIA,20180125,61.5000,61.9000,60.7000,61.5000,54510
CIA,20180126,61.0000,61.5000,60.3000,60.3000,47000
CIA,20180129,60.0000,60.3000,59.5000,59.6000,28300
CIA,20180130,59.2000,60.5000,58.0000,60.0000,19300
CIA,20180131,61.0000,62.0000,60.5000,61.9000,30600
CIA,20180201,38.4433,38.4433,36.8207,37.6944,18000
CIA,20180202,36.5711,36.6959,36.5086,36.5711,22800
CIA,20180205,36.5086,36.5086,35.2605,35.6973,36000
