<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
CIG,20110719,10.8000,11.8000,10.8000,10.8000,18900
CIG,20110720,10.3000,10.3000,10.3000,10.3000,5700
CIG,20110721,9.8000,9.8000,9.8000,9.8000,6050
CIG,20110722,9.4000,9.4000,9.4000,9.4000,6720
CIG,20110725,9.0000,9.0000,9.0000,9.0000,6200
CIG,20110726,8.6000,8.6000,8.6000,8.6000,7800
CIG,20110727,8.2000,8.2000,8.2000,8.2000,38150
CIG,20110728,7.8000,8.4000,7.8000,8.3000,21800
CIG,20110729,8.3000,8.3000,7.9000,8.0000,4070
CIG,20110801,8.0000,8.0000,7.6000,8.0000,4000
CIG,20110802,7.6000,7.6000,7.6000,7.6000,4220
CIG,20110803,7.3000,7.3000,7.3000,7.3000,2500
CIG,20110804,7.0000,7.4000,7.0000,7.4000,1330
CIG,20110805,7.3000,7.4000,7.1000,7.4000,9000
CIG,20110808,7.4000,7.5000,7.1000,7.4000,16180
CIG,20110809,7.2000,7.2000,7.1000,7.2000,3530
CIG,20110810,7.2000,7.2000,6.9000,7.1000,8500
CIG,20110811,7.1000,7.1000,7.0000,7.0000,7550
CIG,20110812,6.8000,6.8000,6.7000,6.8000,1590
CIG,20110815,6.8000,6.8000,6.5000,6.5000,4300
CIG,20110816,6.2000,6.3000,6.2000,6.2000,7800
CIG,20110817,5.9000,5.9000,5.9000,5.9000,10780
CIG,20110818,5.8000,6.0000,5.7000,5.8000,61320
CIG,20110819,5.9000,6.0000,5.6000,6.0000,17210
CIG,20110822,6.1000,6.1000,5.7000,6.0000,5640
CIG,20110823,6.1000,6.3000,6.0000,6.3000,15860
CIG,20110824,6.1000,6.2000,6.0000,6.0000,29920
CIG,20110825,6.0000,6.0000,5.8000,5.8000,9060
CIG,20110826,6.0000,6.0000,5.9000,6.0000,5330
CIG,20110829,6.0000,6.2000,6.0000,6.1000,10870
CIG,20110830,6.2000,6.2000,5.9000,5.9000,21290
CIG,20110831,6.1000,6.1000,5.9000,6.1000,6060
CIG,20110901,6.1000,6.2000,6.1000,6.2000,3350
CIG,20110905,5.8000,5.8000,5.4000,5.8000,3900
CIG,20110906,5.7000,5.7000,5.7000,5.7000,510
CIG,20110907,5.6000,5.9000,5.6000,5.9000,300
CIG,20110908,6.0000,6.0000,5.9000,6.0000,3870
CIG,20110909,6.1000,6.1000,5.7000,5.7000,2630
CIG,20110912,5.9000,5.9000,5.7000,5.7000,15030
CIG,20110913,5.8000,5.8000,5.7000,5.8000,15640
CIG,20110914,5.9000,6.0000,5.9000,6.0000,13600
CIG,20110915,6.0000,6.3000,5.8000,6.3000,8750
CIG,20110916,6.3000,6.3000,6.0000,6.3000,5420
CIG,20110919,6.4000,6.6000,6.3000,6.6000,8180
CIG,20110920,6.7000,6.9000,6.3000,6.7000,1340
CIG,20110921,6.4000,6.9000,6.4000,6.4000,3170
CIG,20110922,6.4000,6.5000,6.1000,6.5000,3670
CIG,20110923,6.2000,6.3000,6.2000,6.2000,4090
CIG,20110926,6.2000,6.2000,5.9000,6.2000,7010
CIG,20110927,6.2000,6.2000,5.9000,6.2000,5740
CIG,20110928,5.9000,6.3000,5.9000,5.9000,4250
CIG,20110929,5.7000,6.1000,5.7000,5.7000,3800
CIG,20110930,5.9000,5.9000,5.5000,5.5000,7550
CIG,20111003,5.4000,5.7000,5.4000,5.7000,4780
CIG,20111004,5.8000,5.9000,5.8000,5.9000,110
CIG,20111005,6.0000,6.1000,5.7000,6.1000,1240
CIG,20111006,6.3000,6.3000,5.8000,5.8000,68100
CIG,20111007,6.0000,6.0000,5.7000,5.9000,1570
CIG,20111010,6.0000,6.0000,5.7000,5.7000,7930
CIG,20111011,5.8000,5.9000,5.8000,5.9000,340
CIG,20111012,6.1000,6.1000,5.7000,5.7000,2020
CIG,20111013,5.9000,5.9000,5.9000,5.9000,10
CIG,20111014,5.7000,5.7000,5.7000,5.7000,1370
CIG,20111017,5.9000,5.9000,5.5000,5.5000,3670
CIG,20111018,5.5000,5.5000,5.3000,5.3000,66410
CIG,20111019,5.1000,5.5000,5.1000,5.5000,26010
CIG,20111020,5.3000,5.7000,5.3000,5.3000,21020
CIG,20111021,5.5000,5.5000,5.5000,5.5000,100
CIG,20111024,5.5000,5.5000,5.5000,5.5000,0
CIG,20111025,5.3000,5.3000,5.3000,5.3000,90
CIG,20111026,5.1000,5.1000,5.1000,5.1000,4110
CIG,20111027,5.0000,5.0000,4.9000,4.9000,5100
CIG,20111028,4.8000,4.9000,4.7000,4.7000,32510
CIG,20111031,4.9000,4.9000,4.6000,4.6000,550
CIG,20111101,4.8000,4.8000,4.5000,4.8000,14300
CIG,20111102,4.9000,5.0000,4.9000,5.0000,110
CIG,20111103,5.1000,5.1000,4.8000,4.8000,70
CIG,20111104,4.9000,4.9000,4.9000,4.9000,1000
CIG,20111107,5.0000,5.0000,5.0000,5.0000,410
CIG,20111108,4.8000,5.1000,4.8000,5.1000,610
CIG,20111109,5.1000,5.1000,5.1000,5.1000,0
CIG,20111110,5.1000,5.1000,5.1000,5.1000,0
CIG,20111111,5.3000,5.3000,5.3000,5.3000,20
CIG,20111114,5.3000,5.3000,5.3000,5.3000,0
CIG,20111115,5.1000,5.3000,5.1000,5.1000,48290
CIG,20111116,5.3000,5.3000,5.3000,5.3000,10
CIG,20111117,5.1000,5.5000,5.1000,5.1000,230
CIG,20111118,4.9000,5.3000,4.9000,5.3000,110
CIG,20111121,5.3000,5.3000,5.3000,5.3000,10
CIG,20111122,5.1000,5.1000,5.1000,5.1000,60
CIG,20111123,5.3000,5.3000,4.9000,4.9000,220
CIG,20111124,5.1000,5.1000,5.1000,5.1000,10
CIG,20111125,5.1000,5.1000,5.1000,5.1000,0
CIG,20111128,5.3000,5.3000,4.9000,4.9000,30
CIG,20111129,4.7000,5.1000,4.7000,4.7000,460
CIG,20111130,4.8000,4.8000,4.5000,4.5000,120
CIG,20111201,4.7000,4.7000,4.7000,4.7000,10
CIG,20111202,4.9000,4.9000,4.5000,4.5000,30
CIG,20111205,4.7000,4.7000,4.3000,4.3000,5820
CIG,20111206,4.4000,4.5000,4.1000,4.2000,11850
CIG,20111207,4.4000,4.4000,4.4000,4.4000,10
CIG,20111208,4.6000,4.6000,4.2000,4.6000,780
CIG,20111209,4.7000,4.7000,4.6000,4.6000,20
CIG,20111212,4.7000,4.7000,4.7000,4.7000,10
CIG,20111213,4.6000,4.9000,4.6000,4.8000,80
CIG,20111214,4.8000,4.8000,4.8000,4.8000,0
CIG,20111215,4.8000,4.8000,4.8000,4.8000,0
CIG,20111216,4.8000,4.8000,4.8000,4.8000,0
CIG,20111219,4.8000,4.8000,4.8000,4.8000,0
CIG,20111220,4.6000,4.6000,4.6000,4.6000,120
CIG,20111221,4.6000,4.6000,4.6000,4.6000,30
CIG,20111222,4.6000,4.6000,4.6000,4.6000,0
CIG,20111223,4.6000,4.6000,4.6000,4.6000,500
CIG,20111226,4.6000,4.6000,4.6000,4.6000,0
CIG,20111227,4.6000,4.8000,4.6000,4.7000,20200
CIG,20111228,4.5000,4.5000,4.5000,4.5000,30
CIG,20111229,4.5000,4.5000,4.5000,4.5000,0
CIG,20111230,4.3000,4.5000,4.3000,4.5000,1010
CIG,20120103,4.7000,4.7000,4.3000,4.3000,120
CIG,20120104,4.1000,4.1000,4.1000,4.1000,4250
CIG,20120105,3.9000,4.3000,3.9000,4.2000,6940
CIG,20120106,4.4000,4.4000,4.1000,4.2000,420
CIG,20120109,4.2000,4.2000,4.2000,4.2000,0
CIG,20120110,4.4000,4.4000,4.0000,4.0000,2210
CIG,20120111,3.8000,4.2000,3.8000,4.2000,2380
CIG,20120112,4.4000,4.4000,4.0000,4.3000,780
CIG,20120113,4.1000,4.1000,4.1000,4.1000,10
CIG,20120116,4.0000,4.0000,3.9000,3.9000,1740
CIG,20120117,3.8000,3.8000,3.8000,3.8000,3310
CIG,20120118,3.7000,3.7000,3.7000,3.7000,680
CIG,20120119,3.7000,3.7000,3.6000,3.6000,3200
CIG,20120120,3.5000,3.5000,3.5000,3.5000,4400
CIG,20120130,3.4000,3.6000,3.4000,3.6000,1530
CIG,20120131,3.5000,3.5000,3.5000,3.5000,1590
CIG,20120201,3.4000,3.6000,3.4000,3.6000,4400
CIG,20120202,3.7000,3.7000,3.5000,3.6000,3530
CIG,20120203,3.7000,3.7000,3.5000,3.6000,2450
CIG,20120206,3.7000,3.7000,3.5000,3.5000,140
CIG,20120207,3.6000,3.6000,3.6000,3.6000,10
CIG,20120208,3.5000,3.5000,3.5000,3.5000,1480
CIG,20120209,3.4000,3.6000,3.4000,3.5000,7560
CIG,20120210,3.5000,3.6000,3.5000,3.6000,2370
CIG,20120213,3.6000,3.6000,3.6000,3.6000,0
CIG,20120214,3.5000,3.5000,3.5000,3.5000,110
CIG,20120215,3.6000,3.6000,3.4000,3.4000,3560
CIG,20120216,3.3000,3.5000,3.3000,3.3000,9540
CIG,20120217,3.4000,3.4000,3.2000,3.4000,5600
CIG,20120220,3.4000,3.4000,3.3000,3.4000,15960
CIG,20120221,3.3000,3.4000,3.3000,3.4000,11920
CIG,20120222,3.3000,3.4000,3.3000,3.4000,4220
CIG,20120223,3.4000,3.4000,3.3000,3.4000,5640
CIG,20120224,3.4000,3.5000,3.3000,3.5000,17000
CIG,20120227,3.5000,3.6000,3.5000,3.6000,9960
CIG,20120228,3.7000,3.7000,3.5000,3.6000,9690
CIG,20120229,3.5000,3.7000,3.5000,3.7000,12230
CIG,20120301,3.7000,3.8000,3.7000,3.8000,6110
CIG,20120302,3.9000,3.9000,3.7000,3.9000,25070
CIG,20120305,4.0000,4.0000,4.0000,4.0000,16320
CIG,20120306,4.2000,4.2000,4.1000,4.2000,62380
CIG,20120307,4.4000,4.4000,4.2000,4.4000,25770
CIG,20120308,4.6000,4.6000,4.6000,4.6000,11700
CIG,20120309,4.8000,4.8000,4.8000,4.8000,32490
CIG,20120312,4.6000,5.0000,4.6000,4.6000,17320
CIG,20120313,4.4000,4.7000,4.4000,4.7000,11150
CIG,20120314,4.7000,4.8000,4.5000,4.7000,34970
CIG,20120315,4.5000,4.7000,4.5000,4.7000,37670
CIG,20120316,4.5000,4.9000,4.5000,4.5000,5920
CIG,20120319,4.3000,4.5000,4.3000,4.5000,6100
CIG,20120320,4.5000,4.6000,4.5000,4.5000,7300
CIG,20120321,4.5000,4.6000,4.3000,4.6000,17180
CIG,20120322,4.6000,4.6000,4.4000,4.6000,19550
CIG,20120323,4.6000,4.7000,4.6000,4.7000,12730
CIG,20120326,4.6000,4.8000,4.5000,4.6000,11650
CIG,20120327,4.4000,4.7000,4.4000,4.4000,37250
CIG,20120328,4.2000,4.4000,4.2000,4.4000,23070
CIG,20120329,4.2000,4.5000,4.2000,4.2000,25000
CIG,20120330,4.1000,4.3000,4.0000,4.3000,17020
CIG,20120403,4.1000,4.1000,4.1000,4.1000,9620
CIG,20120404,4.1000,4.1000,3.9000,3.9000,15140
CIG,20120405,3.9000,4.0000,3.8000,4.0000,15950
CIG,20120406,4.0000,4.1000,3.9000,3.9000,3820
CIG,20120409,3.8000,4.0000,3.8000,4.0000,4990
CIG,20120410,4.0000,4.0000,3.9000,3.9000,15370
CIG,20120411,4.0000,4.0000,3.9000,4.0000,16410
CIG,20120412,4.2000,4.2000,4.1000,4.2000,41270
CIG,20120413,4.4000,4.4000,4.4000,4.4000,43260
CIG,20120416,4.6000,4.6000,4.6000,4.6000,13280
CIG,20120417,4.8000,4.8000,4.7000,4.8000,77570
CIG,20120418,5.0000,5.0000,4.9000,5.0000,80780
CIG,20120419,5.2000,5.2000,4.9000,5.1000,36060
CIG,20120420,4.9000,5.0000,4.9000,4.9000,9410
CIG,20120423,4.7000,4.7000,4.7000,4.7000,2070
CIG,20120424,4.5000,4.7000,4.5000,4.5000,15720
CIG,20120425,4.4000,4.7000,4.4000,4.6000,52340
CIG,20120426,4.7000,4.7000,4.5000,4.7000,20910
CIG,20120427,4.7000,4.9000,4.6000,4.7000,37810
CIG,20120502,4.6000,4.8000,4.5000,4.5000,14420
CIG,20120503,4.3000,4.7000,4.3000,4.5000,54210
CIG,20120504,4.5000,4.7000,4.5000,4.7000,55270
CIG,20120507,4.9000,4.9000,4.9000,4.9000,7180
CIG,20120508,5.1000,5.1000,5.0000,5.0000,57410
CIG,20120509,5.0000,5.2000,5.0000,5.2000,29230
CIG,20120510,5.3000,5.4000,5.2000,5.4000,110080
CIG,20120511,5.6000,5.6000,5.5000,5.6000,18150
CIG,20120514,5.6000,5.6000,5.4000,5.4000,4540
CIG,20120515,5.2000,5.2000,5.2000,5.2000,8240
CIG,20120516,5.0000,5.2000,5.0000,5.0000,40100
CIG,20120517,5.2000,5.2000,4.8000,5.1000,40210
CIG,20120518,5.2000,5.2000,4.9000,4.9000,4390
CIG,20120521,5.1000,5.1000,4.7000,5.1000,2520
CIG,20120522,5.1000,5.1000,4.9000,4.9000,16610
CIG,20120523,4.7000,4.7000,4.7000,4.7000,9530
CIG,20120524,4.5000,4.5000,4.5000,4.5000,1530
CIG,20120525,4.5000,4.7000,4.3000,4.7000,22440
CIG,20120528,4.9000,4.9000,4.5000,4.5000,1480
CIG,20120529,4.3000,4.7000,4.3000,4.7000,4740
CIG,20120530,4.8000,4.9000,4.5000,4.5000,350
CIG,20120531,4.5000,4.6000,4.3000,4.6000,830
CIG,20120601,4.6000,4.7000,4.6000,4.7000,1010
CIG,20120604,4.7000,4.7000,4.7000,4.7000,0
CIG,20120605,4.5000,4.5000,4.5000,4.5000,220
CIG,20120606,4.4000,4.5000,4.3000,4.5000,12780
CIG,20120607,4.3000,4.5000,4.3000,4.5000,3050
CIG,20120608,4.5000,4.6000,4.4000,4.5000,4480
CIG,20120611,4.4000,4.5000,4.4000,4.5000,2370
CIG,20120612,4.4000,4.4000,4.3000,4.3000,9180
CIG,20120613,4.5000,4.5000,4.2000,4.2000,100
CIG,20120614,4.0000,4.4000,4.0000,4.0000,6230
CIG,20120615,3.8000,4.2000,3.8000,3.8000,840
CIG,20120618,3.9000,3.9000,3.9000,3.9000,210
CIG,20120619,4.0000,4.0000,3.9000,4.0000,8510
CIG,20120620,4.0000,4.2000,4.0000,4.2000,130
CIG,20120621,4.0000,4.3000,4.0000,4.3000,200
CIG,20120622,4.3000,4.3000,4.2000,4.2000,280
CIG,20120625,4.0000,4.3000,4.0000,4.3000,13500
CIG,20120626,4.1000,4.1000,4.1000,4.1000,4300
CIG,20120627,3.9000,4.2000,3.9000,3.9000,110
CIG,20120628,3.8000,4.0000,3.8000,3.8000,4220
CIG,20120629,3.7000,3.9000,3.7000,3.7000,30
CIG,20120702,3.8000,3.8000,3.7000,3.7000,5460
CIG,20120703,3.9000,3.9000,3.7000,3.9000,2930
CIG,20120704,3.8000,3.8000,3.8000,3.8000,10
CIG,20120705,3.7000,3.7000,3.7000,3.7000,6100
CIG,20120706,3.8000,3.8000,3.8000,3.8000,100
CIG,20120709,3.7000,3.7000,3.7000,3.7000,10
CIG,20120710,3.7000,3.7000,3.7000,3.7000,510
CIG,20120711,3.8000,3.8000,3.7000,3.8000,40
CIG,20120712,3.7000,3.9000,3.7000,3.9000,20
CIG,20120713,4.0000,4.0000,4.0000,4.0000,110
CIG,20120716,4.2000,4.2000,4.2000,4.2000,200
CIG,20120717,4.2000,4.4000,4.0000,4.4000,970
CIG,20120718,4.2000,4.2000,4.2000,4.2000,20
CIG,20120719,4.3000,4.4000,4.0000,4.4000,3350
CIG,20120720,4.4000,4.4000,4.2000,4.2000,1110
CIG,20120723,4.0000,4.0000,4.0000,4.0000,8770
CIG,20120724,3.8000,3.8000,3.8000,3.8000,200
CIG,20120725,3.7000,3.9000,3.7000,3.9000,4400
CIG,20120726,3.8000,3.8000,3.8000,3.8000,6700
CIG,20120727,3.8000,3.8000,3.8000,3.8000,0
CIG,20120730,3.9000,3.9000,3.9000,3.9000,10
CIG,20120731,3.8000,4.0000,3.8000,4.0000,530
CIG,20120801,4.0000,4.2000,3.8000,3.8000,800
CIG,20120802,3.7000,3.7000,3.7000,3.7000,5350
CIG,20120803,3.6000,3.6000,3.6000,3.6000,1550
CIG,20120806,3.5000,3.7000,3.5000,3.7000,440
CIG,20120807,3.8000,3.8000,3.8000,3.8000,10
CIG,20120808,3.7000,3.7000,3.7000,3.7000,10
CIG,20120809,3.8000,3.8000,3.6000,3.6000,220
CIG,20120810,3.5000,3.6000,3.5000,3.5000,4240
CIG,20120813,3.4000,3.5000,3.4000,3.5000,1710
CIG,20120814,3.6000,3.6000,3.6000,3.6000,20
CIG,20120815,3.5000,3.5000,3.5000,3.5000,60
CIG,20120816,3.4000,3.4000,3.4000,3.4000,580
CIG,20120817,3.5000,3.5000,3.3000,3.5000,11430
CIG,20120820,3.4000,3.6000,3.4000,3.6000,150
CIG,20120821,3.7000,3.7000,3.5000,3.5000,6640
CIG,20120822,3.6000,3.6000,3.6000,3.6000,20
CIG,20120823,3.6000,3.6000,3.6000,3.6000,0
CIG,20120824,3.5000,3.6000,3.5000,3.5000,110
CIG,20120827,3.4000,3.4000,3.4000,3.4000,340
CIG,20120828,3.5000,3.5000,3.5000,3.5000,70
CIG,20120829,3.6000,3.6000,3.6000,3.6000,10
CIG,20120830,3.6000,3.7000,3.6000,3.7000,20
CIG,20120831,3.7000,3.7000,3.7000,3.7000,10
CIG,20120904,3.6000,3.7000,3.6000,3.7000,130
CIG,20120905,3.8000,3.8000,3.8000,3.8000,10
CIG,20120906,3.8000,3.8000,3.7000,3.7000,100
CIG,20120907,3.8000,3.8000,3.8000,3.8000,30
CIG,20120910,3.7000,3.7000,3.7000,3.7000,40
CIG,20120911,3.6000,3.7000,3.6000,3.7000,90
CIG,20120912,3.6000,3.6000,3.6000,3.6000,10
CIG,20120913,3.7000,3.7000,3.5000,3.5000,40
CIG,20120914,3.5000,3.5000,3.4000,3.4000,70
CIG,20120917,3.5000,3.5000,3.3000,3.3000,2050
CIG,20120918,3.3000,3.3000,3.3000,3.3000,0
CIG,20120919,3.4000,3.4000,3.4000,3.4000,80
CIG,20120920,3.3000,3.4000,3.3000,3.4000,110
CIG,20120921,3.3000,3.3000,3.3000,3.3000,170
CIG,20120924,3.4000,3.4000,3.2000,3.2000,30
CIG,20120925,3.1000,3.3000,3.1000,3.1000,870
CIG,20120926,3.0000,3.2000,3.0000,3.1000,800
CIG,20120927,3.0000,3.2000,3.0000,3.2000,650
CIG,20120928,3.2000,3.2000,3.2000,3.2000,0
CIG,20121001,3.1000,3.1000,3.1000,3.1000,50
CIG,20121002,3.2000,3.2000,3.0000,3.2000,170
CIG,20121003,3.1000,3.1000,3.1000,3.1000,10
CIG,20121004,3.0000,3.0000,3.0000,3.0000,70
CIG,20121005,2.9000,3.1000,2.9000,3.1000,150
CIG,20121008,3.1000,3.1000,3.1000,3.1000,20
CIG,20121009,3.0000,3.0000,3.0000,3.0000,210
CIG,20121010,3.1000,3.1000,3.1000,3.1000,20
CIG,20121011,3.0000,3.2000,3.0000,3.2000,2600
CIG,20121012,3.2000,3.2000,3.1000,3.1000,1610
CIG,20121015,3.2000,3.2000,3.2000,3.2000,10
CIG,20121016,3.2000,3.2000,3.2000,3.2000,0
CIG,20121017,3.1000,3.1000,3.1000,3.1000,420
CIG,20121018,3.0000,3.0000,3.0000,3.0000,2510
CIG,20121019,2.9000,2.9000,2.9000,2.9000,10
CIG,20121022,3.0000,3.0000,3.0000,3.0000,30
CIG,20121023,3.1000,3.1000,3.1000,3.1000,20
CIG,20121024,3.2000,3.2000,3.2000,3.2000,280
CIG,20121025,3.1000,3.1000,3.1000,3.1000,10
CIG,20121026,3.0000,3.1000,3.0000,3.1000,20
CIG,20121029,3.0000,3.0000,3.0000,3.0000,30
CIG,20121030,3.1000,3.1000,3.1000,3.1000,10
CIG,20121031,3.0000,3.0000,3.0000,3.0000,10
CIG,20121101,3.1000,3.1000,2.9000,3.1000,990
CIG,20121102,3.0000,3.0000,3.0000,3.0000,110
CIG,20121105,2.9000,2.9000,2.9000,2.9000,1610
CIG,20121106,2.8000,2.8000,2.8000,2.8000,230
CIG,20121107,2.7000,2.7000,2.7000,2.7000,1170
CIG,20121108,2.6000,2.8000,2.6000,2.6000,1230
CIG,20121109,2.6000,2.7000,2.6000,2.7000,5100
CIG,20121112,2.8000,2.8000,2.8000,2.8000,10
CIG,20121113,2.8000,2.8000,2.8000,2.8000,0
CIG,20121114,2.7000,2.7000,2.7000,2.7000,10
CIG,20121115,2.8000,2.8000,2.8000,2.8000,30
CIG,20121116,2.8000,2.8000,2.8000,2.8000,0
CIG,20121119,2.7000,2.8000,2.7000,2.8000,20
CIG,20121120,2.8000,2.8000,2.8000,2.8000,0
CIG,20121121,2.7000,2.7000,2.7000,2.7000,10
CIG,20121122,2.6000,2.8000,2.6000,2.8000,40
CIG,20121123,2.7000,2.9000,2.7000,2.9000,50
CIG,20121126,2.8000,2.8000,2.8000,2.8000,70
CIG,20121127,2.7000,2.7000,2.7000,2.7000,40
CIG,20121128,2.6000,2.6000,2.6000,2.6000,60
CIG,20121129,2.5000,2.6000,2.5000,2.6000,60
CIG,20121130,2.5000,2.5000,2.5000,2.5000,30
CIG,20121203,2.6000,2.6000,2.4000,2.4000,20
CIG,20121204,2.5000,2.5000,2.5000,2.5000,10
CIG,20121205,2.5000,2.5000,2.5000,2.5000,1960
CIG,20121206,2.5000,2.5000,2.5000,2.5000,0
CIG,20121207,2.5000,2.5000,2.5000,2.5000,0
CIG,20121210,2.5000,2.5000,2.5000,2.5000,0
CIG,20121211,2.6000,2.6000,2.4000,2.4000,20
CIG,20121212,2.4000,2.4000,2.4000,2.4000,60
CIG,20121213,2.5000,2.5000,2.3000,2.3000,6130
CIG,20121214,2.2000,2.4000,2.2000,2.4000,15040
CIG,20121217,2.3000,2.4000,2.3000,2.4000,21120
CIG,20121218,2.3000,2.4000,2.3000,2.4000,2980
