<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
CKDH2103,20210907,1.0800,1.0800,0.7400,0.7500,524000
CKDH2103,20210908,0.7500,0.7500,0.6900,0.7200,110200
CKDH2103,20210909,0.7100,0.7400,0.6700,0.7300,316800
CKDH2103,20210910,0.7200,0.7600,0.6800,0.7100,407600
CKDH2103,20210913,0.7100,0.7600,0.7100,0.7200,270100
CKDH2103,20210914,0.6100,0.7200,0.6100,0.7100,237200
CKDH2103,20210915,0.6800,0.6800,0.6200,0.6500,347000
CKDH2103,20210916,0.6500,0.7300,0.6500,0.7000,222200
CKDH2103,20210917,0.8900,0.8900,0.6500,0.7000,602800
CKDH2103,20210920,0.6900,0.6900,0.6000,0.6400,461000
CKDH2103,20210921,0.6400,0.6400,0.5400,0.5900,538200
CKDH2103,20210922,0.5900,0.6400,0.5500,0.5700,122500
CKDH2103,20210923,0.5600,0.5800,0.5300,0.5600,269600
CKDH2103,20210924,0.5500,0.5600,0.4900,0.5500,189200
CKDH2103,20210927,0.5500,0.5500,0.4800,0.5000,316600
CKDH2103,20210928,0.5000,0.5100,0.4300,0.5100,270700
CKDH2103,20210929,0.5000,0.5000,0.4500,0.4800,453400
CKDH2103,20210930,0.4700,0.5200,0.4300,0.4700,431500
CKDH2103,20211001,0.4600,0.4800,0.4100,0.4500,172400
CKDH2103,20211004,0.4500,0.4700,0.3700,0.4200,272600
CKDH2103,20211005,0.3900,0.4200,0.3500,0.4200,311500
CKDH2103,20211006,0.4200,0.4200,0.4200,0.4200,0
CKDH2103,20211007,0.4300,0.4300,0.4300,0.4300,0
CKDH2103,20211008,0.4200,0.4200,0.4200,0.4200,0
CKDH2103,20211011,0.4600,0.4600,0.4600,0.4600,0
CKDH2103,20211012,0.4500,0.4500,0.4500,0.4500,0
CKDH2103,20211013,0.4400,0.4400,0.4400,0.4400,0
CKDH2103,20211014,0.4300,0.4300,0.4300,0.4300,0
CKDH2103,20211015,0.4200,0.4200,0.4200,0.4200,0
CKDH2103,20211018,0.4100,0.4100,0.4100,0.4100,0
CKDH2103,20211019,0.4200,0.4200,0.4200,0.4200,0
CKDH2103,20211020,0.4300,0.4300,0.4300,0.4300,0
CKDH2103,20211021,0.4200,0.4200,0.4200,0.4200,0
CKDH2103,20211022,0.4200,0.4200,0.4200,0.4200,0
