<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
CLW,20110111,10.0000,10.0000,10.0000,10.0000,20120
CLW,20110112,9.5000,9.5000,9.5000,9.5000,2460
CLW,20110113,9.1000,9.1000,9.1000,9.1000,2420
CLW,20110114,8.7000,8.7000,8.7000,8.7000,1820
CLW,20110117,8.5000,8.7000,8.3000,8.7000,9370
CLW,20110118,8.5000,8.5000,8.3000,8.3000,36000
CLW,20110119,8.0000,8.3000,8.0000,8.3000,16720
CLW,20110120,8.5000,8.5000,7.9000,8.2000,22590
CLW,20110121,8.3000,8.3000,8.0000,8.2000,6700
CLW,20110124,8.0000,8.0000,7.8000,7.8000,6450
CLW,20110125,8.0000,8.0000,7.6000,7.6000,2180
CLW,20110126,7.8000,7.9000,7.8000,7.9000,6920
CLW,20110127,8.2000,8.2000,8.0000,8.0000,3590
CLW,20110128,8.0000,8.3000,8.0000,8.3000,770
CLW,20110208,7.9000,8.3000,7.9000,8.3000,2990
CLW,20110209,8.0000,8.5000,8.0000,8.3000,1120
CLW,20110210,7.9000,8.0000,7.9000,7.9000,3670
CLW,20110211,7.8000,7.9000,7.6000,7.9000,22600
CLW,20110214,7.7000,7.7000,7.7000,7.7000,30
CLW,20110215,7.4000,7.7000,7.4000,7.7000,6870
CLW,20110216,7.5000,7.5000,7.4000,7.4000,2360
CLW,20110217,7.4000,7.4000,7.2000,7.4000,1590
CLW,20110218,7.4000,7.4000,7.3000,7.4000,8130
CLW,20110221,7.3000,7.3000,7.1000,7.3000,4900
CLW,20110222,7.0000,7.0000,7.0000,7.0000,4000
CLW,20110223,7.2000,7.3000,6.9000,7.2000,10660
CLW,20110224,7.0000,7.2000,6.9000,7.2000,520
CLW,20110225,7.2000,7.4000,7.2000,7.4000,3020
CLW,20110228,7.4000,7.4000,7.1000,7.4000,1110
CLW,20110301,7.4000,7.4000,7.1000,7.2000,4110
CLW,20110302,7.2000,7.2000,6.9000,6.9000,2600
CLW,20110303,6.7000,6.9000,6.6000,6.9000,2110
CLW,20110304,6.6000,6.8000,6.6000,6.8000,1600
CLW,20110307,6.6000,7.0000,6.5000,6.5000,22150
CLW,20110308,6.3000,6.5000,6.2000,6.5000,11570
CLW,20110309,6.3000,6.4000,6.3000,6.3000,6690
CLW,20110310,6.4000,6.6000,6.4000,6.6000,1270
CLW,20110311,6.7000,6.9000,6.7000,6.9000,21510
CLW,20110314,6.9000,6.9000,6.6000,6.6000,3010
CLW,20110315,6.9000,6.9000,6.9000,6.9000,210
CLW,20110316,6.9000,7.1000,6.9000,6.9000,30
CLW,20110317,7.0000,7.2000,7.0000,7.2000,250
CLW,20110318,7.2000,7.2000,7.2000,7.2000,40
CLW,20110321,7.1000,7.2000,6.9000,6.9000,6430
CLW,20110322,6.9000,6.9000,6.8000,6.8000,2150
CLW,20110323,6.9000,6.9000,6.8000,6.9000,12280
CLW,20110324,7.0000,7.0000,6.9000,7.0000,4330
CLW,20110325,7.2000,7.2000,7.2000,7.2000,100
CLW,20110328,7.2000,7.2000,6.9000,7.2000,1070
CLW,20110329,6.9000,6.9000,6.9000,6.9000,8160
CLW,20110330,6.8000,6.9000,6.7000,6.9000,4860
CLW,20110331,6.9000,6.9000,6.8000,6.9000,3470
CLW,20110401,6.9000,6.9000,6.6000,6.6000,17210
CLW,20110404,6.9000,6.9000,6.9000,6.9000,7320
CLW,20110405,6.9000,7.0000,6.9000,6.9000,2890
CLW,20110406,7.1000,7.1000,7.1000,7.1000,1300
CLW,20110407,7.1000,7.1000,7.0000,7.1000,9730
CLW,20110408,7.1000,7.1000,7.1000,7.1000,5520
CLW,20110413,7.0000,7.0000,7.0000,7.0000,7490
CLW,20110414,7.0000,7.2000,7.0000,7.2000,1110
CLW,20110415,7.2000,7.2000,7.2000,7.2000,10
CLW,20110418,7.0000,7.2000,7.0000,7.2000,100
CLW,20110419,7.2000,7.2000,7.2000,7.2000,0
CLW,20110420,7.2000,7.2000,7.2000,7.2000,0
CLW,20110421,7.0000,7.2000,7.0000,7.2000,160
CLW,20110422,7.2000,7.2000,7.0000,7.0000,1870
CLW,20110425,7.3000,7.3000,7.0000,7.2000,30
CLW,20110426,7.1000,7.2000,7.1000,7.2000,20
CLW,20110427,7.2000,7.2000,7.1000,7.1000,5260
CLW,20110428,7.2000,7.2000,7.2000,7.2000,200
CLW,20110429,7.2000,7.2000,7.0000,7.2000,5520
CLW,20110504,7.0000,7.0000,7.0000,7.0000,2000
CLW,20110505,7.1000,7.1000,7.1000,7.1000,2040
CLW,20110506,7.0000,7.2000,7.0000,7.2000,7940
CLW,20110509,7.2000,7.5000,7.2000,7.5000,1720
CLW,20110510,7.5000,7.5000,7.5000,7.5000,14660
CLW,20110511,8.0000,8.0000,7.8000,8.0000,15340
