<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
CLX,20170301,14.2000,14.2000,14.2000,14.2000,83100
CLX,20170302,16.3000,16.3000,16.3000,16.3000,27700
CLX,20170303,18.7000,18.7000,18.7000,18.7000,41100
CLX,20170306,21.5000,21.5000,15.9000,15.9000,43210
CLX,20170307,15.4000,15.5000,15.4000,15.4000,40890
CLX,20170308,13.1000,17.0000,13.1000,14.8000,28898
CLX,20170309,14.8000,14.8000,13.0000,14.2000,49300
CLX,20170310,14.9000,14.9000,14.0000,14.3000,12300
CLX,20170313,14.4000,14.4000,14.0000,14.3000,11659
CLX,20170314,13.9000,14.0000,13.1000,14.0000,17600
CLX,20170315,13.1000,13.3000,13.1000,13.2000,8000
CLX,20170316,13.2000,13.7000,12.8000,12.8000,5129
CLX,20170317,13.0000,13.5000,12.9000,13.0000,4828
CLX,20170320,13.2000,13.2000,12.6000,12.8000,9900
CLX,20170321,12.9000,13.3000,12.9000,13.1000,20200
CLX,20170322,13.5000,13.7000,13.2000,13.2000,8100
CLX,20170323,13.5000,13.5000,13.0000,13.0000,3300
CLX,20170324,13.0000,13.0000,13.0000,13.0000,2000
CLX,20170327,13.0000,13.6000,13.0000,13.1000,10200
CLX,20170328,13.4000,13.4000,12.9000,13.0000,11700
CLX,20170329,13.0000,13.0000,12.6000,12.6000,2488
CLX,20170330,12.8000,12.8000,12.8000,12.8000,1020
CLX,20170331,12.6000,13.0000,12.6000,12.9000,2266
CLX,20170403,13.1000,13.1000,12.9000,12.9000,300
CLX,20170404,12.6000,12.7000,12.5000,12.6000,6734
CLX,20170405,12.6000,12.7000,12.5000,12.6000,3600
CLX,20170407,12.5000,12.6000,12.5000,12.5000,5200
CLX,20170410,12.6000,12.6000,12.5000,12.6000,2525
CLX,20170411,12.5000,12.6000,12.5000,12.6000,7200
CLX,20170412,12.6000,12.6000,12.4000,12.5000,3500
CLX,20170413,12.4000,12.4000,12.2000,12.2000,1200
CLX,20170414,11.5000,12.3000,11.5000,12.3000,5700
CLX,20170417,12.0000,12.1000,11.8000,11.8000,8500
CLX,20170418,11.5000,11.6000,11.5000,11.5000,5300
CLX,20170419,11.8000,12.0000,11.8000,12.0000,6000
CLX,20170420,12.0000,12.0000,11.8000,11.8000,22500
CLX,20170421,11.5000,11.9000,11.0000,11.2000,14000
CLX,20170424,11.8000,11.8000,11.6000,11.6000,8100
CLX,20170425,11.0000,11.5000,11.0000,11.5000,1000
CLX,20170426,11.5000,11.5000,11.2000,11.3000,5700
CLX,20170427,11.4000,11.4000,11.4000,11.4000,0
CLX,20170428,11.4000,11.4000,11.4000,11.4000,300
CLX,20170503,11.2000,11.5000,11.2000,11.5000,7200
CLX,20170504,11.4000,11.4000,11.2000,11.2000,10000
CLX,20170505,11.3000,11.3000,11.0000,11.2000,6100
