<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
CMBB2001,20200122,1.9000,1.9900,1.9000,1.9000,118510
CMBB2001,20200130,1.6300,1.8200,1.6300,1.6300,56800
CMBB2001,20200131,1.4300,1.6000,1.4300,1.4300,35020
CMBB2001,20200203,1.2800,1.2800,1.0800,1.2800,54990
CMBB2001,20200204,1.4200,1.5400,1.2500,1.4200,21270
CMBB2001,20200205,1.4800,1.6200,1.4800,1.4800,20870
CMBB2001,20200206,1.7300,1.7300,1.5300,1.7300,48430
CMBB2001,20200207,1.5300,1.6600,1.5300,1.5300,52200
CMBB2001,20200210,1.4200,1.5400,1.4200,1.4200,72300
CMBB2001,20200211,1.4900,1.5000,1.4300,1.4900,21210
CMBB2001,20200212,1.5700,1.6600,1.5400,1.5700,16220
CMBB2001,20200213,1.5500,1.5900,1.5200,1.5500,9990
CMBB2001,20200214,1.6100,1.6300,1.5900,1.6100,50300
CMBB2001,20200217,1.6100,1.7100,1.6000,1.6100,108400
CMBB2001,20200218,1.5700,1.6500,1.5600,1.5700,52550
CMBB2001,20200219,1.4800,1.5300,1.4800,1.4800,105520
CMBB2001,20200220,1.5100,1.5600,1.5000,1.5100,19250
CMBB2001,20200221,1.3500,1.5200,1.3500,1.3500,358820
CMBB2001,20200224,1.0500,1.2300,1.0400,1.0500,488370
CMBB2001,20200225,1.2700,1.2700,0.9700,1.2700,328670
CMBB2001,20200226,1.1400,1.2700,1.1200,1.1400,184200
CMBB2001,20200227,1.2400,1.2400,1.1200,1.2400,30530
CMBB2001,20200228,1.0800,1.1600,1.0800,1.0800,127560
CMBB2001,20200302,1.1500,1.1700,1.0800,1.1500,193990
CMBB2001,20200303,1.1900,1.2500,1.1900,1.1900,45650
CMBB2001,20200304,1.1500,1.1500,1.0800,1.1500,62940
CMBB2001,20200305,1.1300,1.2100,1.1000,1.1300,197950
CMBB2001,20200306,1.1300,1.1300,1.0400,1.1300,62650
CMBB2001,20200309,0.7500,0.8400,0.5200,0.7500,64000
CMBB2001,20200310,0.7200,0.8000,0.6500,0.7200,163670
CMBB2001,20200311,0.5400,0.8500,0.4500,0.5400,186820
CMBB2001,20200312,0.3900,0.4000,0.3000,0.3900,573850
CMBB2001,20200313,0.4500,0.4500,0.1800,0.4500,727300
CMBB2001,20200316,0.2400,0.3700,0.2400,0.2400,289640
CMBB2001,20200317,0.2700,0.2700,0.2000,0.2700,59770
CMBB2001,20200318,0.2700,0.3100,0.2400,0.2700,185850
CMBB2001,20200319,0.2300,0.2500,0.2200,0.2300,192180
CMBB2001,20200320,0.2300,0.2500,0.1800,0.2300,71260
CMBB2001,20200323,0.1500,0.1700,0.0300,0.1500,60990
CMBB2001,20200324,0.1500,0.2000,0.1500,0.1500,101610
CMBB2001,20200325,0.2400,0.2500,0.1600,0.2400,31120
CMBB2001,20200326,0.1400,0.1700,0.1200,0.1400,540560
CMBB2001,20200327,0.0900,0.1200,0.0900,0.0900,401570
CMBB2001,20200330,0.0900,0.0900,0.0500,0.0900,178690
CMBB2001,20200331,0.0600,0.0900,0.0600,0.0600,40620
CMBB2001,20200401,0.0900,0.1000,0.0600,0.0900,107460
CMBB2001,20200403,0.0900,0.1200,0.0900,0.0900,105790
CMBB2001,20200406,0.1300,0.1400,0.1200,0.1300,184980
CMBB2001,20200407,0.1400,0.1500,0.1300,0.1400,90000
CMBB2001,20200408,0.1400,0.1400,0.1000,0.1400,13530
CMBB2001,20200409,0.1100,0.1500,0.1100,0.1100,109620
CMBB2001,20200410,0.1000,0.1200,0.1000,0.1000,83610
CMBB2001,20200413,0.1100,0.1300,0.0900,0.1100,70360
CMBB2001,20200414,0.1100,0.1300,0.1000,0.1100,110470
CMBB2001,20200415,0.1300,0.1400,0.1200,0.1300,296070
CMBB2001,20200416,0.1200,0.1400,0.1100,0.1200,87320
CMBB2001,20200417,0.1600,0.1700,0.1400,0.1600,441060
CMBB2001,20200420,0.1500,0.1700,0.1400,0.1500,99680
CMBB2001,20200421,0.0900,0.1500,0.0900,0.0900,699260
CMBB2001,20200422,0.1000,0.1100,0.0600,0.1000,114990
CMBB2001,20200423,0.1000,0.1400,0.1000,0.1000,300940
CMBB2001,20200424,0.0900,0.1200,0.0900,0.0900,129130
CMBB2001,20200427,0.0900,0.1100,0.0800,0.0900,224580
CMBB2001,20200428,0.0900,0.1100,0.0600,0.0900,51700
CMBB2001,20200429,0.0900,0.1200,0.0800,0.0900,134520
CMBB2001,20200504,0.0800,0.1000,0.0800,0.0800,57980
CMBB2001,20200505,0.0700,0.1000,0.0700,0.0700,155770
CMBB2001,20200506,0.0700,0.0800,0.0500,0.0700,239100
CMBB2001,20200507,0.0700,0.0900,0.0500,0.0700,89930
CMBB2001,20200508,0.0900,0.1400,0.0800,0.0900,396540
CMBB2001,20200511,0.1000,0.1100,0.0900,0.1000,605950
CMBB2001,20200512,0.1300,0.1300,0.1000,0.1300,200960
CMBB2001,20200513,0.1400,0.1600,0.1200,0.1400,403690
CMBB2001,20200514,0.1200,0.1400,0.1200,0.1200,198500
CMBB2001,20200515,0.1100,0.1300,0.1100,0.1100,348400
CMBB2001,20200518,0.1000,0.1200,0.1000,0.1000,176330
CMBB2001,20200519,0.1100,0.1300,0.1100,0.1100,192700
CMBB2001,20200520,0.1200,0.1300,0.1000,0.1200,141430
CMBB2001,20200521,0.1100,0.1200,0.0900,0.1100,110420
CMBB2001,20200522,0.1000,0.1100,0.1000,0.1000,216460
CMBB2001,20200525,0.0900,0.1100,0.0900,0.0900,372080
CMBB2001,20200526,0.1000,0.1100,0.0900,0.1000,87810
CMBB2001,20200527,0.0900,0.1100,0.0900,0.0900,144310
CMBB2001,20200528,0.0700,0.0900,0.0700,0.0700,126210
CMBB2001,20200529,0.0700,0.0900,0.0600,0.0700,82210
CMBB2001,20200601,0.0600,0.0700,0.0400,0.0600,373100
CMBB2001,20200602,0.0700,0.1000,0.0700,0.0700,362990
CMBB2001,20200603,0.0700,0.0800,0.0700,0.0700,194230
CMBB2001,20200604,0.0800,0.0900,0.0700,0.0800,465880
CMBB2001,20200605,0.0500,0.0800,0.0400,0.0500,91190
CMBB2001,20200608,0.0400,0.0600,0.0200,0.0400,671270
CMBB2001,20200609,0.0400,0.0500,0.0300,0.0400,304540
CMBB2001,20200610,0.0600,0.0600,0.0300,0.0600,314610
CMBB2001,20200611,0.0300,0.0600,0.0300,0.0300,294550
CMBB2001,20200612,0.0300,0.0300,0.0100,0.0300,559290
CMBB2001,20200615,0.0200,0.0300,0.0200,0.0200,219530
CMBB2001,20200616,0.0100,0.0300,0.0100,0.0100,281290
CMBB2001,20200617,0.0100,0.0200,0.0100,0.0100,681560
