<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
CMK,20151021,12.4000,12.4000,12.4000,12.4000,0
CMK,20151022,12.4000,12.4000,12.4000,12.4000,0
CMK,20151023,12.4000,12.4000,12.4000,12.4000,0
CMK,20151026,12.4000,12.4000,12.4000,12.4000,0
CMK,20151027,12.4000,12.4000,12.4000,12.4000,0
CMK,20151028,12.4000,12.4000,12.4000,12.4000,0
CMK,20151029,12.4000,12.4000,12.4000,12.4000,0
CMK,20151030,12.4000,12.4000,12.4000,12.4000,0
CMK,20151102,12.4000,12.4000,12.4000,12.4000,0
CMK,20151103,12.4000,12.4000,12.4000,12.4000,0
CMK,20151104,12.4000,12.4000,12.4000,12.4000,0
CMK,20151105,12.4000,12.4000,12.4000,12.4000,0
CMK,20151106,12.4000,12.4000,12.4000,12.4000,0
CMK,20151109,12.4000,12.4000,12.4000,12.4000,0
CMK,20151110,12.4000,12.4000,12.4000,12.4000,0
CMK,20151111,12.4000,12.4000,12.4000,12.4000,0
CMK,20151112,12.4000,12.4000,12.4000,12.4000,0
CMK,20151113,12.4000,12.4000,12.4000,12.4000,0
CMK,20151116,12.4000,12.4000,12.4000,12.4000,0
CMK,20151117,12.4000,12.4000,12.4000,12.4000,0
CMK,20151118,12.4000,12.4000,12.4000,12.4000,0
CMK,20151119,12.4000,12.4000,12.4000,12.4000,0
CMK,20151120,12.4000,12.4000,12.4000,12.4000,0
CMK,20151123,12.4000,12.4000,12.4000,12.4000,0
CMK,20151124,12.4000,12.4000,12.4000,12.4000,0
CMK,20151125,12.4000,12.4000,12.4000,12.4000,0
CMK,20151126,12.4000,12.4000,12.4000,12.4000,0
CMK,20151127,12.4000,12.4000,12.4000,12.4000,0
CMK,20151130,12.4000,12.4000,12.4000,12.4000,0
CMK,20151201,12.4000,12.4000,12.4000,12.4000,0
CMK,20151202,12.4000,12.4000,12.4000,12.4000,0
CMK,20151203,12.4000,12.4000,12.4000,12.4000,0
CMK,20151204,12.4000,12.4000,12.4000,12.4000,0
CMK,20151207,12.4000,12.4000,12.4000,12.4000,0
CMK,20151208,12.4000,12.4000,12.4000,12.4000,0
CMK,20151209,12.4000,12.4000,12.4000,12.4000,0
CMK,20151210,12.4000,12.4000,12.4000,12.4000,0
CMK,20151211,12.4000,12.4000,12.4000,12.4000,0
CMK,20151214,12.4000,12.4000,12.4000,12.4000,0
CMK,20151215,12.4000,12.4000,12.4000,12.4000,0
CMK,20151216,12.4000,12.4000,12.4000,12.4000,0
CMK,20151217,12.4000,12.4000,12.4000,12.4000,0
CMK,20151218,12.4000,12.4000,12.4000,12.4000,0
CMK,20151221,12.4000,12.4000,12.4000,12.4000,0
CMK,20151222,12.4000,12.4000,12.4000,12.4000,0
CMK,20151223,12.4000,12.4000,12.4000,12.4000,0
CMK,20151224,12.4000,12.4000,12.4000,12.4000,0
CMK,20151225,12.4000,12.4000,12.4000,12.4000,0
CMK,20151228,12.4000,12.4000,12.4000,12.4000,0
CMK,20151229,12.4000,12.4000,12.4000,12.4000,0
CMK,20151230,12.4000,12.4000,12.4000,12.4000,0
CMK,20151231,12.4000,12.4000,12.4000,12.4000,0
CMK,20160104,12.4000,12.4000,12.4000,12.4000,0
CMK,20160105,12.4000,12.4000,12.4000,12.4000,0
CMK,20160106,12.4000,12.4000,12.4000,12.4000,0
CMK,20160107,12.4000,12.4000,12.4000,12.4000,0
CMK,20160108,12.4000,12.4000,12.4000,12.4000,0
CMK,20160111,12.4000,12.4000,12.4000,12.4000,0
CMK,20160112,12.4000,12.4000,12.4000,12.4000,0
CMK,20160113,12.4000,12.4000,12.4000,12.4000,0
CMK,20160114,12.4000,12.4000,12.4000,12.4000,0
CMK,20160115,12.4000,12.4000,12.4000,12.4000,0
CMK,20160118,12.4000,12.4000,12.4000,12.4000,0
CMK,20160119,12.4000,12.4000,12.4000,12.4000,0
CMK,20160120,12.4000,12.4000,12.4000,12.4000,0
CMK,20160121,12.4000,12.4000,12.4000,12.4000,0
CMK,20160122,12.4000,12.4000,12.4000,12.4000,0
CMK,20160125,12.4000,12.4000,12.4000,12.4000,0
CMK,20160126,12.4000,12.4000,12.4000,12.4000,0
CMK,20160127,12.4000,12.4000,12.4000,12.4000,0
CMK,20160128,12.4000,12.4000,12.4000,12.4000,0
CMK,20160129,12.4000,12.4000,12.4000,12.4000,0
CMK,20160201,12.4000,12.4000,12.4000,12.4000,0
CMK,20160202,12.4000,12.4000,12.4000,12.4000,0
CMK,20160203,12.4000,12.4000,12.4000,12.4000,0
CMK,20160204,12.4000,12.4000,12.4000,12.4000,0
CMK,20160205,12.4000,12.4000,12.4000,12.4000,0
CMK,20160215,12.4000,12.4000,12.4000,12.4000,0
CMK,20160216,12.4000,12.4000,12.4000,12.4000,0
CMK,20160217,12.4000,12.4000,12.4000,12.4000,0
CMK,20160218,12.4000,12.4000,12.4000,12.4000,0
CMK,20160219,12.4000,12.4000,12.4000,12.4000,0
CMK,20160222,12.4000,12.4000,12.4000,12.4000,0
CMK,20160223,12.4000,12.4000,12.4000,12.4000,0
CMK,20160224,12.4000,12.4000,12.4000,12.4000,0
CMK,20160225,12.4000,12.4000,12.4000,12.4000,0
CMK,20160226,12.4000,12.4000,12.4000,12.4000,0
CMK,20160229,12.4000,12.4000,12.4000,12.4000,0
CMK,20160301,12.4000,12.4000,12.4000,12.4000,0
CMK,20160302,12.4000,12.4000,12.4000,12.4000,0
CMK,20160303,12.4000,12.4000,12.4000,12.4000,0
CMK,20160304,12.4000,12.4000,12.4000,12.4000,0
CMK,20160307,12.4000,12.4000,12.4000,12.4000,0
CMK,20160308,12.4000,12.4000,12.4000,12.4000,0
CMK,20160309,12.4000,12.4000,12.4000,12.4000,0
CMK,20160310,12.4000,12.4000,12.4000,12.4000,0
CMK,20160311,12.4000,12.4000,12.4000,12.4000,0
CMK,20160314,12.4000,12.4000,12.4000,12.4000,0
CMK,20160315,12.4000,12.4000,12.4000,12.4000,0
CMK,20160316,12.4000,12.4000,12.4000,12.4000,0
CMK,20160317,12.4000,12.4000,12.4000,12.4000,0
CMK,20160318,12.4000,12.4000,12.4000,12.4000,0
CMK,20160321,12.4000,12.4000,12.4000,12.4000,0
CMK,20160322,12.4000,12.4000,12.4000,12.4000,0
CMK,20160323,12.4000,12.4000,12.4000,12.4000,0
CMK,20160324,12.4000,12.4000,12.4000,12.4000,0
CMK,20160325,12.4000,12.4000,12.4000,12.4000,0
CMK,20160328,12.4000,12.4000,12.4000,12.4000,0
CMK,20160329,12.4000,12.4000,12.4000,12.4000,0
CMK,20160330,12.4000,12.4000,12.4000,12.4000,0
CMK,20160331,12.4000,12.4000,12.4000,12.4000,0
CMK,20160401,12.4000,12.4000,12.4000,12.4000,0
CMK,20160404,12.4000,12.4000,12.4000,12.4000,0
CMK,20160405,12.4000,12.4000,12.4000,12.4000,0
CMK,20160406,12.4000,12.4000,12.4000,12.4000,0
CMK,20160407,12.4000,12.4000,12.4000,12.4000,0
CMK,20160408,12.4000,12.4000,12.4000,12.4000,0
CMK,20160411,12.4000,12.4000,12.4000,12.4000,0
CMK,20160412,12.4000,12.4000,12.4000,12.4000,0
CMK,20160413,12.4000,12.4000,12.4000,12.4000,0
CMK,20160414,12.4000,12.4000,12.4000,12.4000,0
CMK,20160415,12.4000,12.4000,12.4000,12.4000,0
CMK,20160419,12.4000,12.4000,12.4000,12.4000,0
CMK,20160420,12.4000,12.4000,12.4000,12.4000,0
