<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
CMP,20160215,10.3000,10.3000,10.3000,10.3000,0
CMP,20160216,10.3000,10.3000,10.3000,10.3000,0
CMP,20160217,10.3000,10.3000,10.3000,10.3000,0
CMP,20160218,10.3000,10.3000,10.3000,10.3000,0
CMP,20160219,10.3000,10.3000,10.3000,10.3000,0
CMP,20160222,10.3000,10.3000,10.3000,10.3000,0
CMP,20160223,10.3000,10.3000,10.3000,10.3000,0
CMP,20160224,10.3000,10.3000,10.3000,10.3000,0
CMP,20160225,10.3000,10.3000,10.3000,10.3000,0
CMP,20160226,10.3000,10.3000,10.3000,10.3000,0
CMP,20160229,10.3000,10.3000,10.3000,10.3000,0
CMP,20160301,10.3000,10.3000,10.3000,10.3000,0
CMP,20160302,10.3000,10.3000,10.3000,10.3000,0
CMP,20160303,10.3000,10.3000,10.3000,10.3000,0
CMP,20160304,10.3000,10.3000,10.3000,10.3000,0
CMP,20160307,10.3000,10.3000,10.3000,10.3000,0
CMP,20160308,10.3000,10.3000,10.3000,10.3000,0
CMP,20160309,10.3000,10.3000,10.3000,10.3000,0
CMP,20160310,10.3000,10.3000,10.3000,10.3000,0
CMP,20160311,10.3000,10.3000,10.3000,10.3000,0
CMP,20160314,10.3000,10.3000,10.3000,10.3000,0
CMP,20160315,10.3000,10.3000,10.3000,10.3000,0
CMP,20160316,10.3000,10.3000,10.3000,10.3000,0
CMP,20160317,10.3000,10.3000,10.3000,10.3000,0
CMP,20160318,10.3000,10.3000,10.3000,10.3000,0
CMP,20160321,10.3000,10.3000,10.3000,10.3000,0
CMP,20160322,10.3000,10.3000,10.3000,10.3000,0
CMP,20160323,10.3000,10.3000,10.3000,10.3000,0
CMP,20160324,10.3000,10.3000,10.3000,10.3000,0
CMP,20160325,10.3000,10.3000,10.3000,10.3000,0
CMP,20160328,10.3000,10.3000,10.3000,10.3000,0
CMP,20160329,10.3000,10.3000,10.3000,10.3000,0
CMP,20160330,10.3000,10.3000,10.3000,10.3000,0
CMP,20160331,10.3000,10.3000,10.3000,10.3000,0
CMP,20160401,10.3000,10.3000,10.3000,10.3000,0
CMP,20160404,10.3000,10.3000,10.3000,10.3000,0
CMP,20160405,10.3000,10.3000,10.3000,10.3000,0
CMP,20160406,10.3000,10.3000,10.3000,10.3000,0
CMP,20160407,10.3000,10.3000,10.3000,10.3000,0
CMP,20160408,10.3000,10.3000,10.3000,10.3000,0
CMP,20160411,10.3000,10.3000,10.3000,10.3000,0
CMP,20160412,10.3000,10.3000,10.3000,10.3000,0
CMP,20160413,10.3000,10.3000,10.3000,10.3000,0
CMP,20160414,10.3000,10.3000,10.3000,10.3000,0
CMP,20160415,10.3000,10.3000,10.3000,10.3000,0
CMP,20160419,10.3000,10.3000,10.3000,10.3000,0
CMP,20160420,10.3000,10.3000,10.3000,10.3000,0
CMP,20160421,10.3000,10.3000,10.3000,10.3000,0
CMP,20160422,10.3000,10.3000,10.3000,10.3000,0
CMP,20160425,10.3000,10.3000,10.3000,10.3000,0
CMP,20160426,10.3000,10.3000,10.3000,10.3000,0
CMP,20160427,10.3000,10.3000,10.3000,10.3000,0
CMP,20160428,10.3000,10.3000,10.3000,10.3000,0
CMP,20160429,10.3000,10.3000,10.3000,10.3000,0
CMP,20160504,10.3000,10.3000,10.3000,10.3000,0
CMP,20160505,10.3000,10.3000,10.3000,10.3000,0
CMP,20160506,10.3000,10.3000,10.3000,10.3000,0
CMP,20160509,10.3000,10.3000,10.3000,10.3000,0
CMP,20160510,10.3000,10.3000,10.3000,10.3000,0
CMP,20160511,10.3000,10.3000,10.3000,10.3000,0
CMP,20160512,10.3000,10.3000,10.3000,10.3000,0
CMP,20160513,10.3000,10.3000,10.3000,10.3000,0
CMP,20160516,10.3000,10.3000,10.3000,10.3000,0
CMP,20160517,10.3000,10.3000,10.3000,10.3000,0
CMP,20160518,10.3000,10.3000,10.3000,10.3000,0
CMP,20160519,8.0260,8.0260,8.0260,8.0260,0
CMP,20160520,8.0260,8.0260,8.0260,8.0260,0
CMP,20160523,8.0260,8.0260,8.0260,8.0260,0
CMP,20160524,8.0260,8.0260,8.0260,8.0260,0
CMP,20160525,8.0260,8.0260,8.0260,8.0260,0
CMP,20160526,8.0260,8.0260,8.0260,8.0260,0
CMP,20160527,8.0260,8.0260,8.0260,8.0260,0
CMP,20160530,8.0260,8.0260,8.0260,8.0260,0
CMP,20160531,8.0260,8.0260,8.0260,8.0260,0
CMP,20160601,8.0260,8.0260,8.0260,8.0260,0
CMP,20160602,8.0260,8.0260,8.0260,8.0260,0
CMP,20160603,8.0260,8.0260,8.0260,8.0260,0
CMP,20160606,8.0260,8.0260,8.0260,8.0260,0
CMP,20160607,8.0260,8.0260,8.0260,8.0260,0
CMP,20160608,8.0260,8.0260,8.0260,8.0260,0
CMP,20160609,8.0260,8.0260,8.0260,8.0260,0
CMP,20160610,8.0260,8.0260,8.0260,8.0260,0
CMP,20160613,8.0260,8.0260,8.0260,8.0260,0
CMP,20160614,8.0260,8.0260,8.0260,8.0260,0
CMP,20160615,8.0260,8.0260,8.0260,8.0260,0
CMP,20160616,8.0260,8.0260,8.0260,8.0260,0
CMP,20160617,8.0260,8.0260,8.0260,8.0260,0
CMP,20160620,8.0260,8.0260,8.0260,8.0260,0
CMP,20160621,8.0260,8.0260,8.0260,8.0260,0
CMP,20160622,8.0260,8.0260,8.0260,8.0260,0
CMP,20160623,8.0260,8.0260,8.0260,8.0260,0
CMP,20160624,8.0260,8.0260,8.0260,8.0260,0
CMP,20160627,8.0260,8.0260,8.0260,8.0260,0
CMP,20160628,8.0260,8.0260,8.0260,8.0260,0
CMP,20160629,8.0260,8.0260,8.0260,8.0260,0
CMP,20160630,8.0260,8.0260,8.0260,8.0260,0
CMP,20160701,8.0260,8.0260,8.0260,8.0260,0
CMP,20160704,8.0260,8.0260,8.0260,8.0260,0
CMP,20160705,8.0260,8.0260,8.0260,8.0260,0
CMP,20160706,8.0260,8.0260,8.0260,8.0260,0
CMP,20160707,8.0260,8.0260,8.0260,8.0260,0
CMP,20160708,8.0260,8.0260,8.0260,8.0260,0
CMP,20160711,8.0260,8.0260,8.0260,8.0260,0
CMP,20160712,8.0260,8.0260,8.0260,8.0260,0
CMP,20160713,8.0260,8.0260,8.0260,8.0260,0
CMP,20160714,8.0260,8.0260,8.0260,8.0260,0
CMP,20160715,8.0260,8.0260,8.0260,8.0260,0
CMP,20160718,8.0260,8.0260,8.0260,8.0260,0
CMP,20160719,8.0260,8.0260,8.0260,8.0260,0
CMP,20160720,8.0260,8.0260,8.0260,8.0260,0
CMP,20160721,8.0260,8.0260,8.0260,8.0260,0
CMP,20160722,8.0260,8.0260,8.0260,8.0260,0
CMP,20160725,8.0260,8.0260,8.0260,8.0260,0
CMP,20160726,8.0260,8.0260,8.0260,8.0260,0
CMP,20160727,8.0260,8.0260,8.0260,8.0260,0
CMP,20160728,8.0260,8.0260,8.0260,8.0260,0
CMP,20160729,8.0260,8.0260,8.0260,8.0260,0
CMP,20160801,8.0260,8.0260,8.0260,8.0260,0
CMP,20160802,8.0260,8.0260,8.0260,8.0260,0
CMP,20160803,8.0260,8.0260,8.0260,8.0260,0
CMP,20160804,8.0260,8.0260,8.0260,8.0260,0
CMP,20160805,8.0260,8.0260,8.0260,8.0260,0
CMP,20160808,8.0260,8.0260,8.0260,8.0260,0
CMP,20160809,8.0260,8.0260,8.0260,8.0260,0
CMP,20160810,8.0260,8.0260,8.0260,8.0260,0
CMP,20160811,8.0260,8.0260,8.0260,8.0260,0
CMP,20160812,8.0260,8.0260,8.0260,8.0260,0
CMP,20160815,8.0260,8.0260,8.0260,8.0260,0
CMP,20160816,8.0260,8.0260,8.0260,8.0260,0
CMP,20160817,8.0260,8.0260,8.0260,8.0260,0
CMP,20160818,8.0260,8.0260,8.0260,8.0260,0
CMP,20160819,8.0260,8.0260,8.0260,8.0260,0
CMP,20160822,8.0260,8.0260,8.0260,8.0260,0
CMP,20160823,8.0260,8.0260,8.0260,8.0260,0
CMP,20160824,8.0260,8.0260,8.0260,8.0260,0
CMP,20160825,8.0260,8.0260,8.0260,8.0260,0
CMP,20160826,8.0260,8.0260,8.0260,8.0260,0
CMP,20160829,8.0260,8.0260,8.0260,8.0260,0
CMP,20160830,8.0260,8.0260,8.0260,8.0260,0
CMP,20160831,8.0260,8.0260,8.0260,8.0260,0
CMP,20160901,8.0260,8.0260,8.0260,8.0260,0
CMP,20160905,8.0260,8.0260,8.0260,8.0260,0
CMP,20160906,8.0260,8.0260,8.0260,8.0260,0
CMP,20160907,8.0260,8.0260,8.0260,8.0260,0
CMP,20160908,8.0260,8.0260,8.0260,8.0260,0
CMP,20160909,8.0260,8.0260,8.0260,8.0260,0
CMP,20160912,8.0260,8.0260,8.0260,8.0260,0
CMP,20160913,8.0260,8.0260,8.0260,8.0260,0
CMP,20160914,8.0260,8.0260,8.0260,8.0260,0
CMP,20160915,8.0260,8.0260,8.0260,8.0260,0
CMP,20160916,8.0260,8.0260,8.0260,8.0260,0
CMP,20160919,8.0260,8.0260,8.0260,8.0260,0
CMP,20160920,8.0260,8.0260,8.0260,8.0260,0
CMP,20160921,8.0260,8.0260,8.0260,8.0260,0
CMP,20160922,8.0260,8.0260,8.0260,8.0260,0
CMP,20160923,8.0260,8.0260,8.0260,8.0260,0
CMP,20160926,8.0260,8.0260,8.0260,8.0260,0
CMP,20160927,8.0260,8.0260,8.0260,8.0260,0
CMP,20160928,8.0260,8.0260,8.0260,8.0260,0
CMP,20160929,8.0260,8.0260,8.0260,8.0260,0
CMP,20160930,8.0260,8.0260,8.0260,8.0260,0
CMP,20161003,8.0260,8.0260,8.0260,8.0260,0
CMP,20161004,8.0260,8.0260,8.0260,8.0260,0
CMP,20161005,8.0260,8.0260,8.0260,8.0260,0
CMP,20161006,8.0260,8.0260,8.0260,8.0260,0
CMP,20161007,8.0260,8.0260,8.0260,8.0260,0
CMP,20161010,8.0260,8.0260,8.0260,8.0260,0
CMP,20161011,8.0260,8.0260,8.0260,8.0260,0
CMP,20161012,8.0260,8.0260,8.0260,8.0260,0
CMP,20161013,8.0260,8.0260,8.0260,8.0260,0
CMP,20161014,8.0260,8.0260,8.0260,8.0260,0
CMP,20161017,8.0260,8.0260,8.0260,8.0260,0
CMP,20161018,8.0260,8.0260,8.0260,8.0260,0
CMP,20161019,8.0260,8.0260,8.0260,8.0260,0
CMP,20161020,8.0260,8.0260,8.0260,8.0260,0
CMP,20161021,8.0260,8.0260,8.0260,8.0260,0
CMP,20161024,8.0260,8.0260,8.0260,8.0260,0
CMP,20161025,8.0260,8.0260,8.0260,8.0260,0
CMP,20161026,8.0260,8.0260,8.0260,8.0260,0
CMP,20161027,8.0260,8.0260,8.0260,8.0260,0
CMP,20161028,8.0260,8.0260,8.0260,8.0260,0
CMP,20161031,8.0260,8.0260,8.0260,8.0260,0
CMP,20161101,8.0260,8.0260,8.0260,8.0260,0
CMP,20161102,8.0260,8.0260,8.0260,8.0260,0
CMP,20161103,8.0260,8.0260,8.0260,8.0260,0
CMP,20161104,8.0260,8.0260,8.0260,8.0260,0
CMP,20161107,8.0260,8.0260,8.0260,8.0260,0
CMP,20161108,8.0260,8.0260,8.0260,8.0260,0
CMP,20161109,8.0260,8.0260,8.0260,8.0260,0
CMP,20161110,8.0260,8.0260,8.0260,8.0260,0
CMP,20161111,8.0260,8.0260,8.0260,8.0260,0
CMP,20161114,8.0260,8.0260,8.0260,8.0260,0
CMP,20161115,8.0260,8.0260,8.0260,8.0260,0
CMP,20161116,8.0260,8.0260,8.0260,8.0260,0
CMP,20161117,8.0260,8.0260,8.0260,8.0260,0
CMP,20161118,8.0260,8.0260,8.0260,8.0260,0
CMP,20161121,8.0260,8.0260,8.0260,8.0260,0
CMP,20161122,8.0260,8.0260,8.0260,8.0260,0
CMP,20161123,8.0260,8.0260,8.0260,8.0260,0
CMP,20161124,8.0260,8.0260,8.0260,8.0260,0
CMP,20161125,8.0260,8.0260,8.0260,8.0260,0
CMP,20161128,8.0260,8.0260,8.0260,8.0260,0
CMP,20161129,8.0260,8.0260,8.0260,8.0260,0
CMP,20161130,8.0260,8.0260,8.0260,8.0260,0
CMP,20161201,8.0260,8.0260,8.0260,8.0260,0
CMP,20161202,8.0260,8.0260,8.0260,8.0260,0
CMP,20161205,8.0260,8.0260,8.0260,8.0260,0
CMP,20161206,8.0260,8.0260,8.0260,8.0260,0
CMP,20161207,8.0260,8.0260,8.0260,8.0260,0
CMP,20161208,8.0260,8.0260,8.0260,8.0260,0
CMP,20161209,8.0260,8.0260,8.0260,8.0260,0
CMP,20161212,8.0260,8.0260,8.0260,8.0260,0
CMP,20161213,8.0260,8.0260,8.0260,8.0260,0
CMP,20161214,8.0260,8.0260,8.0260,8.0260,0
CMP,20161215,8.0260,8.0260,8.0260,8.0260,0
CMP,20161216,8.0260,8.0260,8.0260,8.0260,0
CMP,20161219,8.0260,8.0260,8.0260,8.0260,0
CMP,20161220,8.0260,8.0260,8.0260,8.0260,0
CMP,20161221,8.0260,8.0260,8.0260,8.0260,0
CMP,20161222,8.0260,8.0260,8.0260,8.0260,0
CMP,20161223,8.0260,8.0260,8.0260,8.0260,0
CMP,20161226,8.0260,8.0260,8.0260,8.0260,0
CMP,20161227,8.0260,8.0260,8.0260,8.0260,0
CMP,20161228,8.0260,8.0260,8.0260,8.0260,0
CMP,20161229,8.0260,8.0260,8.0260,8.0260,0
CMP,20161230,8.0260,8.0260,8.0260,8.0260,0
CMP,20170103,8.0260,8.0260,8.0260,8.0260,0
CMP,20170104,8.0260,8.0260,8.0260,8.0260,0
CMP,20170105,8.0260,8.0260,8.0260,8.0260,0
CMP,20170106,8.0260,8.0260,8.0260,8.0260,0
CMP,20170109,8.0260,8.0260,8.0260,8.0260,0
CMP,20170110,8.0260,8.0260,8.0260,8.0260,0
CMP,20170111,8.0260,8.0260,8.0260,8.0260,0
CMP,20170112,8.0260,8.0260,8.0260,8.0260,0
CMP,20170113,8.0260,8.0260,8.0260,8.0260,0
CMP,20170116,8.0260,8.0260,8.0260,8.0260,0
CMP,20170117,8.0260,8.0260,8.0260,8.0260,0
CMP,20170118,8.0260,8.0260,8.0260,8.0260,0
CMP,20170119,8.0260,8.0260,8.0260,8.0260,0
CMP,20170120,8.0260,8.0260,8.0260,8.0260,0
CMP,20170123,8.0260,8.0260,8.0260,8.0260,0
CMP,20170124,8.0260,8.0260,8.0260,8.0260,0
CMP,20170125,8.0260,8.0260,8.0260,8.0260,0
CMP,20170202,8.0260,8.0260,8.0260,8.0260,0
CMP,20170203,8.0260,8.0260,8.0260,8.0260,0
CMP,20170206,8.0260,8.0260,8.0260,8.0260,0
CMP,20170207,8.0260,8.0260,8.0260,8.0260,0
CMP,20170208,8.0260,8.0260,8.0260,8.0260,0
CMP,20170209,8.0260,8.0260,8.0260,8.0260,0
CMP,20170210,8.0260,8.0260,8.0260,8.0260,0
CMP,20170213,8.0260,8.0260,8.0260,8.0260,0
CMP,20170214,8.0260,8.0260,8.0260,8.0260,0
CMP,20170215,8.0260,8.0260,8.0260,8.0260,0
CMP,20170216,8.0260,8.0260,8.0260,8.0260,0
CMP,20170217,8.0260,8.0260,8.0260,8.0260,0
CMP,20170220,8.0260,8.0260,8.0260,8.0260,0
CMP,20170221,8.0260,8.0260,8.0260,8.0260,0
CMP,20170222,8.0260,8.0260,8.0260,8.0260,0
CMP,20170223,8.0260,8.0260,8.0260,8.0260,0
CMP,20170224,8.0260,8.0260,8.0260,8.0260,0
CMP,20170227,8.0260,8.0260,8.0260,8.0260,0
CMP,20170228,8.0260,8.0260,8.0260,8.0260,0
CMP,20170301,8.0260,8.0260,8.0260,8.0260,0
CMP,20170302,8.0260,8.0260,8.0260,8.0260,0
CMP,20170303,8.0260,8.0260,8.0260,8.0260,0
CMP,20170306,8.0260,8.0260,8.0260,8.0260,0
CMP,20170307,8.0260,8.0260,8.0260,8.0260,0
CMP,20170308,8.0260,8.0260,8.0260,8.0260,0
CMP,20170309,8.0260,8.0260,8.0260,8.0260,0
CMP,20170310,8.0260,8.0260,8.0260,8.0260,0
CMP,20170313,8.0260,8.0260,8.0260,8.0260,0
CMP,20170314,8.0260,8.0260,8.0260,8.0260,0
CMP,20170315,8.0260,8.0260,8.0260,8.0260,0
CMP,20170316,8.0260,8.0260,8.0260,8.0260,0
