<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
CMS,20101129,26.0000,26.0000,20.2000,23.0000,48600
CMS,20101130,23.0000,23.0000,22.3000,22.3000,1100
CMS,20101201,21.1000,21.1000,21.1000,21.1000,5300
CMS,20101202,19.7000,19.7000,19.7000,19.7000,3100
CMS,20101203,18.4000,21.0000,18.4000,20.4000,57300
CMS,20101206,20.0000,21.5000,20.0000,21.5000,60800
CMS,20101207,23.0000,23.0000,22.4000,22.5000,24700
CMS,20101208,21.5000,23.7000,21.5000,23.0000,9000
CMS,20101209,21.6000,21.6000,21.4000,21.4000,18900
CMS,20101210,22.0000,22.3000,21.2000,21.2000,13100
CMS,20101213,21.0000,22.8000,20.5000,20.9000,31500
CMS,20101214,21.8000,21.8000,20.0000,20.0000,9200
CMS,20101215,19.1000,19.2000,18.8000,18.8000,5100
CMS,20101216,18.0000,18.5000,17.9000,17.9000,4500
CMS,20101217,19.0000,19.2000,19.0000,19.2000,15200
CMS,20101220,20.5000,20.5000,20.3000,20.3000,19400
CMS,20101221,21.3000,21.3000,20.5000,20.6000,8100
CMS,20101222,20.9000,20.9000,19.4000,19.4000,13500
CMS,20101223,19.5000,19.5000,18.4000,18.4000,8800
CMS,20101224,18.6000,18.8000,18.0000,18.8000,400
CMS,20101227,19.6000,19.7000,19.5000,19.7000,25500
CMS,20101228,21.0000,21.0000,20.8000,20.8000,15300
CMS,20101229,20.8000,21.0000,20.8000,21.0000,2200
CMS,20101230,19.7000,20.0000,19.5000,20.0000,10200
CMS,20101231,20.5000,20.5000,19.6000,19.6000,2400
CMS,20110104,21.0000,21.0000,19.0000,19.4000,6600
CMS,20110105,19.9000,19.9000,19.9000,19.9000,200
CMS,20110106,20.4000,20.4000,19.0000,19.9000,4700
CMS,20110107,19.9000,19.9000,19.9000,19.9000,1100
CMS,20110110,19.9000,19.9000,19.0000,19.0000,2600
CMS,20110111,20.0000,20.0000,20.0000,20.0000,300
CMS,20110112,19.0000,19.5000,18.8000,19.0000,4200
CMS,20110113,20.0000,20.4000,19.7000,19.7000,3600
CMS,20110114,20.8000,20.8000,19.0000,20.5000,1400
CMS,20110117,20.0000,20.2000,19.0000,20.2000,5800
CMS,20110118,19.6000,19.6000,18.3000,18.3000,900
CMS,20110119,19.3000,19.9000,19.3000,19.9000,200
CMS,20110120,20.0000,20.0000,18.3000,18.3000,3700
CMS,20110121,17.2000,17.5000,17.2000,17.3000,13100
CMS,20110124,18.5000,18.5000,17.1000,17.6000,13900
CMS,20110125,18.0000,18.0000,17.3000,17.5000,27600
CMS,20110126,18.3000,18.3000,17.5000,17.5000,7500
CMS,20110127,17.7000,18.0000,17.7000,17.9000,10500
CMS,20110128,19.1000,19.1000,18.0000,18.0000,2000
CMS,20110208,19.3000,19.3000,19.3000,19.3000,1000
CMS,20110209,19.3000,19.3000,19.3000,19.3000,100
CMS,20110210,18.0000,19.0000,18.0000,19.0000,700
CMS,20110211,19.0000,19.0000,18.5000,18.5000,6400
CMS,20110214,19.4000,19.4000,18.6000,19.0000,4300
CMS,20110215,19.4000,19.4000,19.0000,19.0000,500
CMS,20110216,19.4000,19.4000,19.4000,19.4000,100
CMS,20110217,18.9000,18.9000,18.5000,18.5000,2700
CMS,20110218,19.1000,19.1000,18.8000,18.8000,1100
CMS,20110221,17.6000,17.6000,17.6000,17.6000,25100
CMS,20110222,16.9000,17.6000,16.9000,17.0000,19500
CMS,20110223,17.3000,17.4000,17.2000,17.4000,17900
CMS,20110224,17.5000,17.5000,16.8000,16.8000,10300
CMS,20110225,17.7000,17.7000,17.1000,17.1000,6300
CMS,20110228,17.6000,17.8000,16.4000,17.2000,4200
CMS,20110301,17.1000,17.1000,16.4000,16.4000,3000
CMS,20110302,15.6000,15.6000,15.5000,15.5000,4000
CMS,20110303,14.8000,14.8000,14.6000,14.6000,12900
CMS,20110304,15.3000,15.7000,15.0000,15.7000,18000
CMS,20110307,15.5000,15.5000,15.5000,15.5000,6000
CMS,20110308,15.7000,16.1000,15.6000,15.6000,2900
CMS,20110309,5.5117,5.5117,5.4411,5.4411,600
CMS,20110310,5.6531,5.7237,5.6531,5.7237,2100
CMS,20110311,6.0064,6.0064,6.0064,6.0064,300
CMS,20110314,5.6177,5.6177,5.6177,5.6177,1300
CMS,20110315,5.5824,5.5824,5.5117,5.5117,500
CMS,20110316,5.7944,5.7944,5.5824,5.7944,600
CMS,20110317,5.3351,5.3351,5.3351,5.3351,400
CMS,20110318,5.4764,5.4764,5.4764,5.4764,300
CMS,20110321,5.4764,5.4764,5.4764,5.4764,0
CMS,20110322,5.5824,5.5824,5.5824,5.5824,100
CMS,20110323,5.5117,5.5117,5.4764,5.4764,300
CMS,20110324,5.5117,5.5117,5.5117,5.5117,200
CMS,20110325,5.4057,5.4057,5.3704,5.3704,1500
CMS,20110328,5.4411,5.4411,5.4411,5.4411,300
CMS,20110329,5.4411,5.4411,5.4411,5.4411,0
CMS,20110330,5.4411,5.4411,5.4411,5.4411,100
CMS,20110331,5.4764,5.4764,5.4764,5.4764,500
CMS,20110401,5.4411,5.4411,5.4411,5.4411,500
CMS,20110404,5.4764,5.4764,5.4764,5.4764,2000
CMS,20110405,5.1231,5.1231,5.1231,5.1231,100
CMS,20110406,5.4764,5.4764,5.4411,5.4411,300
CMS,20110407,5.7944,5.7944,5.7944,5.7944,100
CMS,20110408,5.6884,5.6884,5.6884,5.6884,100
CMS,20110413,5.6884,5.6884,5.6884,5.6884,0
CMS,20110414,6.0064,6.0064,6.0064,6.0064,100
CMS,20110415,6.0064,6.0064,6.0064,6.0064,0
CMS,20110418,6.0064,6.0064,6.0064,6.0064,0
CMS,20110419,6.0064,6.0064,6.0064,6.0064,0
CMS,20110420,6.0064,6.0064,6.0064,6.0064,0
CMS,20110421,6.0064,6.0064,6.0064,6.0064,0
CMS,20110422,6.0064,6.0064,6.0064,6.0064,0
CMS,20110425,5.6177,5.6177,5.6177,5.6177,400
CMS,20110426,5.6177,5.6177,5.6177,5.6177,0
CMS,20110427,5.6177,5.6177,5.6177,5.6177,0
CMS,20110428,5.6177,5.6177,5.6177,5.6177,0
CMS,20110429,5.6177,5.6177,5.6177,5.6177,0
CMS,20110504,5.6177,5.6177,5.6177,5.6177,0
CMS,20110505,5.6177,5.6177,5.6177,5.6177,0
CMS,20110506,5.2291,5.2291,5.2291,5.2291,100
CMS,20110509,5.2997,5.2997,5.2997,5.2997,500
CMS,20110510,5.2644,5.2644,4.9464,4.9464,5500
CMS,20110511,4.7698,4.7698,4.6991,4.6991,7100
CMS,20110512,4.3811,4.5931,4.3811,4.3811,4000
CMS,20110513,4.6991,4.6991,4.1338,4.1338,8000
CMS,20110516,3.9218,3.9925,3.8865,3.9925,4800
CMS,20110517,3.7451,3.9218,3.7451,3.9218,8100
CMS,20110518,3.6392,3.8511,3.6392,3.8511,3800
CMS,20110519,4.0985,4.0985,3.9218,4.0985,5400
CMS,20110520,3.9218,3.9571,3.8511,3.9218,10000
CMS,20110523,3.8865,3.8865,3.7451,3.7451,5200
CMS,20110524,3.7098,3.7098,3.5685,3.5685,8500
CMS,20110525,3.3565,3.3565,3.3565,3.3565,9900
CMS,20110526,3.5685,3.5685,3.5332,3.5332,5700
CMS,20110527,3.7805,3.7805,3.7805,3.7805,600
CMS,20110530,4.0278,4.0278,3.9925,3.9925,5200
CMS,20110531,4.0631,4.0631,3.9925,4.0631,2700
CMS,20110601,3.7805,3.9571,3.7805,3.9571,4700
CMS,20110602,4.0985,4.0985,4.0985,4.0985,7900
CMS,20110603,4.1338,4.3811,4.1338,4.1338,10000
CMS,20110606,4.2751,4.4164,3.9925,3.9925,15000
CMS,20110607,4.4871,4.4871,4.2751,4.2751,15000
CMS,20110608,4.3811,4.5931,4.3811,4.4518,20900
CMS,20110609,4.5931,4.6991,4.4164,4.6991,43400
CMS,20110610,4.9464,4.9464,4.8404,4.9464,27100
CMS,20110613,5.2291,5.2291,4.8404,5.1937,40200
CMS,20110614,5.0877,5.0877,4.7344,4.9818,22000
CMS,20110615,4.5578,4.9111,4.5578,4.8051,13800
CMS,20110616,4.6638,4.7698,4.3458,4.7698,15500
CMS,20110617,4.4164,4.5224,4.1691,4.1691,24100
CMS,20110620,4.2045,4.4871,3.9218,4.0278,60500
CMS,20110621,4.2398,4.3105,4.0631,4.3105,20500
CMS,20110622,4.0278,4.3811,4.0278,4.3811,26900
CMS,20110623,4.3458,4.6284,4.3458,4.6284,29900
CMS,20110624,4.6991,4.8051,4.5224,4.8051,30800
CMS,20110627,4.9111,5.0524,4.7344,4.7344,32500
CMS,20110628,4.9464,4.9464,4.8051,4.9464,10000
CMS,20110629,4.9111,4.9111,4.5578,4.8758,9500
CMS,20110630,4.6991,4.6991,4.4871,4.4871,5000
CMS,20110701,4.5931,4.8051,4.3811,4.8051,10000
CMS,20110704,4.6284,4.8758,4.4871,4.8758,8000
CMS,20110705,5.0171,5.0171,5.0171,5.0171,9800
CMS,20110706,5.1584,5.1584,4.7698,4.7698,10000
CMS,20110707,4.7698,4.7698,4.5931,4.5931,7100
CMS,20110708,4.6638,4.6638,4.4871,4.4871,4700
CMS,20110711,4.5931,4.6991,4.4518,4.4871,11500
CMS,20110712,4.5931,4.5931,4.4518,4.4518,5900
CMS,20110713,4.8051,4.8051,4.8051,4.8051,8100
CMS,20110714,4.8051,4.8051,4.8051,4.8051,1000
CMS,20110715,4.8051,4.8051,4.8051,4.8051,400
CMS,20110718,4.7698,4.7698,4.6284,4.6284,8800
CMS,20110719,4.5931,4.6284,4.5931,4.6284,6000
CMS,20110720,4.3105,4.4871,4.3105,4.4164,6300
CMS,20110721,4.4164,4.5224,4.4164,4.5224,1400
CMS,20110722,4.6638,4.6638,4.5224,4.5224,4300
CMS,20110725,4.5931,4.5931,4.5931,4.5931,3000
CMS,20110726,4.4518,4.5931,4.4518,4.5931,5000
CMS,20110727,4.5578,4.5578,4.5578,4.5578,5300
CMS,20110728,4.5578,4.5578,4.5578,4.5578,0
CMS,20110729,4.3105,4.5578,4.3105,4.4164,17900
CMS,20110801,4.2398,4.4164,4.2398,4.2398,6500
CMS,20110802,4.0985,4.2398,4.0985,4.2398,3300
CMS,20110803,4.4164,4.4164,3.9218,3.9571,3800
CMS,20110804,3.9218,4.2398,3.9218,4.2398,8100
CMS,20110805,4.3458,4.3458,4.3458,4.3458,1500
CMS,20110808,4.5578,4.5931,4.5578,4.5931,3900
CMS,20110809,4.7698,4.7698,4.5931,4.5931,5600
CMS,20110810,4.7698,4.8051,4.6284,4.6284,2800
CMS,20110811,4.6284,4.6284,4.6284,4.6284,3000
CMS,20110812,4.6638,4.7698,4.6638,4.6991,1100
CMS,20110815,4.7344,4.7344,4.5931,4.5931,2700
CMS,20110816,4.5931,4.5931,4.5931,4.5931,0
CMS,20110817,4.6284,4.6284,4.5931,4.5931,4800
CMS,20110818,4.6284,4.7698,4.6284,4.7698,2900
CMS,20110819,4.6638,4.7344,4.6284,4.6284,3300
CMS,20110822,4.7698,4.7698,4.6638,4.6638,2100
CMS,20110823,4.8404,4.8404,4.7344,4.7344,1500
CMS,20110824,4.7344,4.7344,4.6991,4.6991,1100
CMS,20110825,4.6991,4.6991,4.6991,4.6991,1200
CMS,20110826,4.8404,4.8404,4.6638,4.6638,1300
CMS,20110829,4.8051,4.8758,4.8051,4.8758,1300
CMS,20110830,4.9464,4.9464,4.6991,4.6991,1000
