<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
CMSN2001,20200219,1.4200,1.4700,1.3400,1.4200,14830
CMSN2001,20200220,1.4400,1.4400,1.4000,1.4400,1510
CMSN2001,20200221,1.6700,1.6700,1.6200,1.6700,20
CMSN2001,20200224,1.5100,1.6000,1.4500,1.5100,2940
CMSN2001,20200225,1.4200,1.4500,1.3300,1.4200,4160
CMSN2001,20200226,1.3200,1.3200,1.2500,1.3200,3010
CMSN2001,20200227,1.3000,1.3000,1.2000,1.3000,9200
CMSN2001,20200228,1.3000,1.3000,1.3000,1.3000,0
CMSN2001,20200302,1.1400,1.1400,1.0500,1.1400,2000
CMSN2001,20200303,1.2600,1.3000,1.2300,1.2600,42860
CMSN2001,20200304,1.2300,1.2300,1.2000,1.2300,78920
CMSN2001,20200305,1.3800,1.5100,1.2200,1.3800,113910
CMSN2001,20200306,1.6100,1.6200,1.3800,1.6100,136760
CMSN2001,20200309,1.5600,1.9300,1.5500,1.5600,110500
CMSN2001,20200310,1.5400,1.7000,1.5400,1.5400,81720
CMSN2001,20200311,1.3200,1.5900,1.2600,1.3200,69310
CMSN2001,20200312,1.1600,1.1800,1.0000,1.1600,252540
CMSN2001,20200313,1.3400,1.3600,1.1100,1.3400,109660
CMSN2001,20200316,1.2500,1.3300,1.2200,1.2500,22500
CMSN2001,20200317,1.2900,1.2900,1.1900,1.2900,13280
CMSN2001,20200318,1.2900,1.3200,1.2500,1.2900,40520
CMSN2001,20200319,1.2000,1.2200,1.2000,1.2000,43630
CMSN2001,20200320,1.2000,1.2000,1.2000,1.2000,0
CMSN2001,20200323,1.0500,1.1700,1.0500,1.0500,49200
CMSN2001,20200324,1.2400,1.2400,1.2300,1.2400,18770
CMSN2001,20200325,1.2500,1.2800,1.2400,1.2500,48900
CMSN2001,20200326,1.2500,1.9300,1.2400,1.2500,130900
CMSN2001,20200327,1.3200,1.3900,1.2500,1.3200,56850
CMSN2001,20200330,1.2300,1.2400,1.2000,1.2300,6680
CMSN2001,20200331,1.1700,1.3000,1.1700,1.1700,49780
CMSN2001,20200401,1.2700,1.2700,1.2500,1.2700,85100
CMSN2001,20200403,1.4500,1.4800,1.2700,1.4500,99650
CMSN2001,20200406,1.7900,1.7900,1.2000,1.7900,283970
CMSN2001,20200407,1.9800,2.0000,1.7300,1.9800,98820
CMSN2001,20200408,1.9000,1.9000,1.7600,1.9000,37070
CMSN2001,20200409,2.0200,2.0500,1.9300,2.0200,232810
CMSN2001,20200410,2.2900,2.3700,1.9700,2.2900,66240
CMSN2001,20200413,2.0000,2.2900,1.9900,2.0000,34000
CMSN2001,20200414,2.1300,2.1300,1.8100,2.1300,36760
CMSN2001,20200415,2.2100,2.3600,2.1900,2.2100,24350
CMSN2001,20200416,2.1100,2.2000,1.8800,2.1100,13310
CMSN2001,20200417,2.1800,2.2100,2.1400,2.1800,24410
CMSN2001,20200420,1.9900,2.0800,1.9600,1.9900,39480
CMSN2001,20200421,1.7200,1.8600,1.6000,1.7200,71570
CMSN2001,20200422,1.9100,1.9300,1.6800,1.9100,73740
CMSN2001,20200423,1.9600,2.0600,1.9100,1.9600,35160
CMSN2001,20200424,2.0200,2.0300,1.8000,2.0200,62190
CMSN2001,20200427,2.0000,2.1100,2.0000,2.0000,107530
CMSN2001,20200428,2.0500,2.0500,1.8900,2.0500,93850
CMSN2001,20200429,1.9700,2.0500,1.9500,1.9700,35280
CMSN2001,20200504,1.7700,1.8600,1.7700,1.7700,23580
CMSN2001,20200505,1.6700,1.7400,1.6500,1.6700,73090
CMSN2001,20200506,1.7500,1.7500,1.4000,1.7500,123060
CMSN2001,20200507,1.8600,1.8600,1.7800,1.8600,8720
CMSN2001,20200508,2.0400,2.1600,1.8600,2.0400,27310
CMSN2001,20200511,2.2600,2.2600,1.9900,2.2600,83060
CMSN2001,20200512,2.2000,2.2600,2.1700,2.2000,2800
CMSN2001,20200513,2.0700,2.1500,1.9800,2.0700,16700
CMSN2001,20200514,2.2500,2.4000,2.0000,2.2500,56490
CMSN2001,20200515,2.2200,2.2900,2.2200,2.2200,21080
CMSN2001,20200518,2.0500,2.0800,2.0100,2.0500,32560
CMSN2001,20200519,2.1200,2.2600,2.0500,2.1200,116360
CMSN2001,20200520,2.1600,2.1900,2.0300,2.1600,116640
CMSN2001,20200521,2.1200,2.1700,2.1100,2.1200,4720
CMSN2001,20200522,2.0100,2.1200,2.0000,2.0100,99840
CMSN2001,20200525,1.9800,2.0200,1.8800,1.9800,50830
CMSN2001,20200526,2.0000,2.0000,1.9500,2.0000,13280
CMSN2001,20200527,2.0800,2.2500,2.0500,2.0800,189300
CMSN2001,20200528,2.0100,2.0500,2.0100,2.0100,39800
CMSN2001,20200529,1.9700,2.0100,1.9700,1.9700,15150
CMSN2001,20200601,2.0400,2.0900,2.0100,2.0400,17470
CMSN2001,20200602,2.0700,2.3000,2.0600,2.0700,126140
